--------------------
BDMEP - INMET
--------------------
Estação           : CONCEICAO DO ARAGUAIA - PA (OMM: 82861)
Latitude  (graus) : -8.26
Longitude (graus) : -49.26
Altitude  (metros): 156.85
Estação Operante
Inicio de operação: 19/03/1920
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82861;01/01/1961;0000;34.5;;26.64;78.25;0;
82861;01/01/1961;1200;;19.2;;;;
82861;02/01/1961;0000;33.8;;25.24;82.75;0;
82861;02/01/1961;1200;;18.8;;;;
82861;03/01/1961;0000;31.4;;23.64;91.75;0;
82861;03/01/1961;1200;;18.8;;;;
82861;04/01/1961;0000;29.9;;24.1;85.25;0;
82861;04/01/1961;1200;;18.4;;;;
82861;05/01/1961;0000;29.4;;24.08;86.5;0;
82861;05/01/1961;1200;;19.2;;;;
82861;06/01/1961;0000;32.4;;25.04;89.25;0;
82861;06/01/1961;1200;;18.6;;;;
82861;07/01/1961;0000;33.4;;25.36;84.5;0;
82861;07/01/1961;1200;;19.4;;;;
82861;08/01/1961;0000;31.4;;24.48;94;0;
82861;08/01/1961;1200;;19.4;;;;
82861;09/01/1961;0000;29.8;;24.36;86.25;0;
82861;09/01/1961;1200;;17.8;;;;
82861;10/01/1961;0000;32.6;;26;91.75;0;
82861;10/01/1961;1200;;19;;;;
82861;11/01/1961;0000;31.4;;24.4;85;0;
82861;11/01/1961;1200;;18;;;;
82861;12/01/1961;0000;30;;23.68;93;0;
82861;12/01/1961;1200;;19.4;;;;
82861;13/01/1961;0000;28;;22.68;88.25;0;
82861;13/01/1961;1200;;17.2;;;;
82861;14/01/1961;0000;32;;24.7;87.75;0;
82861;14/01/1961;1200;;18;;;;
82861;15/01/1961;0000;31.4;;24.28;82.25;1.5;
82861;15/01/1961;1200;;18.2;;;;
82861;16/01/1961;0000;32.8;;23.98;81;0;
82861;16/01/1961;1200;;18;;;;
82861;17/01/1961;0000;26.4;;22.24;92;1.5;
82861;17/01/1961;1200;;18;;;;
82861;18/01/1961;0000;30.4;;24.04;89.25;0;
82861;18/01/1961;1200;;17.2;;;;
82861;19/01/1961;0000;30.8;;24.52;85.75;0;
82861;19/01/1961;1200;;17.8;;;;
82861;20/01/1961;0000;32.8;;24.88;86.75;0;
82861;20/01/1961;1200;;18.6;;;;
82861;21/01/1961;0000;30;;24.76;84.25;0.5;
82861;21/01/1961;1200;;18.4;;;;
82861;22/01/1961;0000;27;;22.92;94;0;
82861;22/01/1961;1200;;18.8;;;;
82861;23/01/1961;0000;29;;24;84.5;0;
82861;23/01/1961;1200;;17.6;;;;
82861;24/01/1961;0000;31.8;;25.92;78.75;0;
82861;24/01/1961;1200;;19.8;;;;
82861;25/01/1961;0000;31;;24.96;87;0;
82861;25/01/1961;1200;;19.8;;;;
82861;26/01/1961;0000;28.8;;24.84;87.25;0;
82861;26/01/1961;1200;;19.4;;;;
82861;27/01/1961;0000;31;;24.48;89.5;0;
82861;27/01/1961;1200;;19;;;;
82861;28/01/1961;0000;28.6;;23.8;91;0;
82861;28/01/1961;1200;;19;;;;
82861;29/01/1961;0000;33.6;;25.72;83;0;
82861;29/01/1961;1200;;19;;;;
82861;30/01/1961;0000;31.4;;25.08;83.75;0;
82861;30/01/1961;1200;;19.4;;;;
82861;31/01/1961;0000;32.4;;26.04;79.25;0;
82861;31/01/1961;1200;;18.6;;;;
82861;01/02/1961;0000;32.4;;25;82.25;0;
82861;01/02/1961;1200;;19;;;;
82861;02/02/1961;0000;31.5;;25.38;83.25;0;
82861;02/02/1961;1200;;19;;;;
82861;03/02/1961;0000;34.8;;25.76;77.5;0;
82861;03/02/1961;1200;;17.8;;;;
82861;04/02/1961;0000;33.8;;25.84;75.25;0;
82861;04/02/1961;1200;;18.2;;;;
82861;05/02/1961;0000;32.4;;24.88;81.75;0;
82861;05/02/1961;1200;;18.4;;;;
82861;06/02/1961;0000;29.9;;24.34;83.5;0;
82861;06/02/1961;1200;;18.2;;;;
82861;07/02/1961;0000;31;;24.64;83.75;0.5;
82861;07/02/1961;1200;;18.8;;;;
82861;08/02/1961;0000;33.8;;24.36;85.5;0;
82861;08/02/1961;1200;;18.4;;;;
82861;09/02/1961;0000;31.6;;24.2;83;0;
82861;09/02/1961;1200;;18.2;;;;
82861;10/02/1961;0000;26.4;;22.6;93.75;0;
82861;10/02/1961;1200;;18.8;;;;
82861;11/02/1961;0000;27;;23.28;78.5;0;
82861;11/02/1961;1200;;15.6;;;;
82861;12/02/1961;0000;26.4;;22.2;95.5;0;
82861;12/02/1961;1200;;17.6;;;;
82861;13/02/1961;0000;30.4;;24.08;84.5;1.5;
82861;13/02/1961;1200;;17.6;;;;
82861;14/02/1961;0000;30.6;;24.24;87.75;0;
82861;14/02/1961;1200;;19;;;;
82861;15/02/1961;0000;30.8;;24.16;84;0;
82861;15/02/1961;1200;;17.8;;;;
82861;16/02/1961;0000;32;;24.84;84.5;0;
82861;16/02/1961;1200;;18.4;;;;
82861;17/02/1961;0000;30.3;;23.9;88.75;0;
82861;17/02/1961;1200;;18;;;;
82861;18/02/1961;0000;27.7;;24.14;90.75;0;
82861;18/02/1961;1200;;19.4;;;;
82861;19/02/1961;0000;28.4;;23.88;90.75;0;
82861;19/02/1961;1200;;18.4;;;;
82861;20/02/1961;0000;31.4;;23.92;89.75;0;
82861;20/02/1961;1200;;17.6;;;;
82861;21/02/1961;0000;33.8;;24.28;86.5;0;
82861;21/02/1961;1200;;19.2;;;;
82861;22/02/1961;0000;30.4;;24.72;85.5;0;
82861;22/02/1961;1200;;18.2;;;;
82861;23/02/1961;0000;31.4;;24.32;94.75;0;
82861;23/02/1961;1200;;19.4;;;;
82861;24/02/1961;0000;33.4;;25.4;80.25;0;
82861;24/02/1961;1200;;17.2;;;;
82861;25/02/1961;0000;30.6;;24.8;84.25;0;
82861;25/02/1961;1200;;18.6;;;;
82861;26/02/1961;0000;33.4;;25.6;79.25;0;
82861;26/02/1961;1200;;19.4;;;;
82861;27/02/1961;0000;30.5;;23.58;83.25;0.5;
82861;27/02/1961;1200;;17.6;;;;
82861;28/02/1961;0000;31.5;;24.38;79.75;0;
82861;28/02/1961;1200;;16.6;;;;
82861;01/03/1961;0000;31.7;;24.14;83.75;0;
82861;01/03/1961;1200;;18.2;;;;
82861;02/03/1961;0000;31.8;;25.16;86;0;
82861;02/03/1961;1200;;18.8;;;;
82861;03/03/1961;0000;30.8;;25.6;83.25;2.5;
82861;03/03/1961;1200;;20;;;;
82861;04/03/1961;0000;33.8;;26.24;76.25;0;
82861;04/03/1961;1200;;18.2;;;;
82861;05/03/1961;0000;33.7;;26.28;78.5;0;
82861;05/03/1961;1200;;19.4;;;;
82861;06/03/1961;0000;33.6;;26.24;78.75;0;
82861;06/03/1961;1200;;19.8;;;;
82861;07/03/1961;0000;33.6;;26;85;0;
82861;07/03/1961;1200;;20;;;;
82861;08/03/1961;0000;34.2;;26.68;80;0;
82861;08/03/1961;1200;;19.2;;;;
82861;09/03/1961;0000;34.4;;26.88;74;1.5;
82861;09/03/1961;1200;;19.6;;;;
82861;10/03/1961;0000;33.6;;26.4;77.25;0;
82861;10/03/1961;1200;;18.8;;;;
82861;11/03/1961;0000;33.4;;26.56;81;0;
82861;11/03/1961;1200;;19.4;;;;
82861;12/03/1961;0000;31.8;;26.16;80.75;3.5;
82861;12/03/1961;1200;;18.6;;;;
82861;13/03/1961;0000;31.5;;24.98;83;0;
82861;13/03/1961;1200;;16.6;;;;
