--------------------
BDMEP - INMET
--------------------
Estação           : VALE DO GURGUEIA  CRISTIANO CASTRO  - PI (OMM: 82870)
Latitude  (graus) : -8.41
Longitude (graus) : -43.71
Altitude  (metros): 265.00
Estação Operante
Inicio de operação: 01/08/1978
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82870;01/01/1979;0000;32.5;;26.94;69.75;2.333333;
82870;01/01/1979;1200;;20.8;;;;
82870;02/01/1979;0000;34.6;;26.3;69.75;2.666667;
82870;02/01/1979;1200;;19.8;;;;
82870;03/01/1979;0000;33.2;;26.36;62.5;1.666667;
82870;03/01/1979;1200;;19.6;;;;
82870;04/01/1979;0000;34.6;;27.04;66;1.666667;
82870;04/01/1979;1200;;20.6;;;;
82870;05/01/1979;0000;32.6;;25.28;74;1;
82870;05/01/1979;1200;;22;;;;
82870;06/01/1979;0000;26.6;;23.62;90.25;1;
82870;06/01/1979;1200;;21.5;;;;
82870;07/01/1979;0000;31.2;;25.52;79.25;1.333333;
82870;07/01/1979;1200;;20.2;;;;
82870;08/01/1979;0000;31.7;;25.94;79.5;1.333333;
82870;08/01/1979;1200;;21;;;;
82870;09/01/1979;0000;26.2;;23.3;94.75;1;
82870;09/01/1979;1200;;22.3;;;;
82870;10/01/1979;0000;29.5;;25.16;79.75;1.333333;
82870;10/01/1979;1200;;20.5;;;;
82870;11/01/1979;0000;32.5;;26.82;75.25;2.333333;
82870;11/01/1979;1200;;22.6;;;;
82870;12/01/1979;0000;31.5;;26.18;78.25;1.666667;
82870;12/01/1979;1200;;21.8;;;;
82870;13/01/1979;0000;30;;24.08;92.25;1;
82870;13/01/1979;1200;;22;;;;
82870;14/01/1979;0000;25.4;;23.72;93.75;0.666667;
82870;14/01/1979;1200;;22.2;;;;
82870;15/01/1979;0000;29.7;;23.92;94;1;
82870;15/01/1979;1200;;19.3;;;;
82870;16/01/1979;0000;28.5;;23.36;87;1;
82870;16/01/1979;1200;;16.3;;;;
82870;17/01/1979;0000;29.2;;24.58;88.75;1;
82870;17/01/1979;1200;;21.7;;;;
82870;18/01/1979;0000;24;;22.74;96.5;1.666667;
82870;18/01/1979;1200;;21.9;;;;
82870;19/01/1979;0000;26.5;;23.4;92.75;1.666667;
82870;19/01/1979;1200;;21.6;;;;
82870;20/01/1979;0000;32.1;;24.84;86;1.333333;
82870;20/01/1979;1200;;20;;;;
82870;21/01/1979;0000;33;;26;69.25;1.666667;
82870;21/01/1979;1200;;21.4;;;;
82870;22/01/1979;0000;34.4;;26.38;75.75;1;
82870;22/01/1979;1200;;20;;;;
82870;23/01/1979;0000;33.4;;26.56;75;1.333333;
82870;23/01/1979;1200;;22;;;;
82870;24/01/1979;0000;25.8;;22.38;93;2;
82870;24/01/1979;1200;;21.4;;;;
82870;25/01/1979;0000;29.4;;23.76;92.25;1;
82870;25/01/1979;1200;;19.4;;;;
82870;26/01/1979;0000;31;;24.76;86.5;0.666667;
82870;26/01/1979;1200;;21;;;;
82870;27/01/1979;0000;29.2;;24.32;91.25;1.333333;
82870;27/01/1979;1200;;21;;;;
82870;28/01/1979;0000;29.6;;25.16;83.25;1;
82870;28/01/1979;1200;;21.2;;;;
82870;29/01/1979;0000;31.5;;24.7;92;1.666667;
82870;29/01/1979;1200;;21;;;;
82870;31/01/1979;0000;27.5;;24.3;87.25;2.333333;
82870;31/01/1979;1200;;22.2;;;;
