--------------------
BDMEP - INMET
--------------------
Estação           : SAO JOAO DO PIAUI - PI (OMM: 82879)
Latitude  (graus) : -8.35
Longitude (graus) : -42.25
Altitude  (metros): 235.33
Estação Operante
Inicio de operação: 30/09/1975
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82879;01/10/1975;0000;36.3;;27.98;36;1.633333;
82879;01/10/1975;1200;;23.2;;;;
82879;02/10/1975;0000;36.4;;29.66;28.25;3.733333;
82879;02/10/1975;1200;;23.6;;;;
82879;03/10/1975;0000;36.4;;28.4;38.25;1.866667;
82879;03/10/1975;1200;;23.6;;;;
82879;04/10/1975;0000;36.8;;28.14;32.5;2.2;
82879;04/10/1975;1200;;15.9;;;;
82879;05/10/1975;0000;36.3;;28.38;40;1.533333;
82879;05/10/1975;1200;;20.4;;;;
82879;06/10/1975;0000;36.8;;28.88;39.75;3.066667;
82879;06/10/1975;1200;;20.6;;;;
82879;07/10/1975;0000;37;;29.08;39.25;3.166667;
82879;07/10/1975;1200;;22;;;;
82879;08/10/1975;0000;36.8;;28.76;39.5;2.466667;
82879;08/10/1975;1200;;20.8;;;;
82879;09/10/1975;0000;35.8;;28.92;40;1.2;
82879;09/10/1975;1200;;23;;;;
82879;10/10/1975;0000;36.4;;29.36;43.25;1.633333;
82879;10/10/1975;1200;;24.8;;;;
82879;11/10/1975;0000;37.2;;29.76;39.25;2.2;
82879;11/10/1975;1200;;24;;;;
82879;12/10/1975;0000;37.2;;30.64;39.75;3.966667;
82879;12/10/1975;1200;;23.8;;;;
82879;13/10/1975;0000;34;;28.04;51.75;2.233333;
82879;13/10/1975;1200;;22.6;;;;
82879;14/10/1975;0000;37.2;;29.84;42;2.9;
82879;14/10/1975;1200;;23;;;;
82879;15/10/1975;0000;37.6;;28.96;39.25;4.133333;
82879;15/10/1975;1200;;19.6;;;;
82879;16/10/1975;0000;38.2;;29.72;38.25;1.9;
