--------------------
BDMEP - INMET
--------------------
Estação           : PAULISTANA - PI (OMM: 82882)
Latitude  (graus) : -8.13
Longitude (graus) : -41.13
Altitude  (metros): 374.22
Estação Operante
Inicio de operação: 22/09/1975
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82882;21/09/1975;0000;27.6;;;;1.2;
82882;22/09/1975;0000;33.3;;26.96;42.5;7.833333;
82882;22/09/1975;1200;;20.7;;;;
82882;23/09/1975;0000;32.7;;27.16;43;4.766667;
82882;23/09/1975;1200;;21.9;;;;
82882;24/09/1975;0000;36;;29.08;36.5;4.966667;
82882;24/09/1975;1200;;22;;;;
82882;25/09/1975;0000;36.9;;30.08;37.75;5.666667;
82882;25/09/1975;1200;;23.7;;;;
82882;26/09/1975;0000;32.8;;27.92;47.5;3.2;
82882;26/09/1975;1200;;23.9;;;;
82882;27/09/1975;0000;32.5;;27.06;43.25;5.433333;
82882;27/09/1975;1200;;22.1;;;;
82882;28/09/1975;0000;33.4;;27.54;35.5;4.4;
82882;28/09/1975;1200;;22.3;;;;
82882;29/09/1975;0000;33.7;;27.96;36;4.666667;
82882;29/09/1975;1200;;21.7;;;;
82882;30/09/1975;0000;34.5;;27.92;43.75;5.133333;
82882;30/09/1975;1200;;21.6;;;;
82882;01/10/1975;0000;34.1;;27.82;32.25;6.033333;
82882;01/10/1975;1200;;21.3;;;;
82882;02/10/1975;0000;34.5;;27.96;30.5;4.533333;
82882;02/10/1975;1200;;21.7;;;;
82882;03/10/1975;0000;34.3;;28;36;3.4;
82882;03/10/1975;1200;;21.9;;;;
82882;04/10/1975;0000;36.8;;29.86;29;3.866667;
82882;04/10/1975;1200;;22.7;;;;
