--------------------
BDMEP - INMET
--------------------
Estação           : CABROBO - PE (OMM: 82886)
Latitude  (graus) : -8.51
Longitude (graus) : -39.33
Altitude  (metros): 341.46
Estação Operante
Inicio de operação: 17/10/1927
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82886;01/01/1961;0000;34;;30.04;46;1.1;
82886;01/01/1961;1200;;24.3;;;;
82886;02/01/1961;0000;35;;29.86;45.5;0.3;
82886;02/01/1961;1200;;23.4;;;;
82886;03/01/1961;0000;35.7;;30.62;45;2.233333;
82886;03/01/1961;1200;;24.3;;;;
82886;04/01/1961;0000;36;;29.48;59;0.6;
82886;04/01/1961;1200;;24.3;;;;
82886;05/01/1961;0000;36;;29.92;54.75;1.6;
82886;05/01/1961;1200;;25.4;;;;
82886;06/01/1961;0000;36;;30.82;51;1.9;
82886;06/01/1961;1200;;24;;;;
82886;07/01/1961;0000;35;;31.02;42.25;1.1;
82886;07/01/1961;1200;;24.3;;;;
82886;08/01/1961;0000;35.3;;31.04;45.25;1.1;
82886;08/01/1961;1200;;23.7;;;;
82886;09/01/1961;0000;36;;30.84;49.25;2.566667;
82886;09/01/1961;1200;;24.3;;;;
82886;10/01/1961;0000;;;;49.5;2.066667;
82886;10/01/1961;1200;;23.7;;;;
82886;11/01/1961;0000;35.6;;30.94;58;2.566667;
82886;11/01/1961;1200;;24.5;;;;
82886;12/01/1961;0000;35.4;;30.5;54.5;2.266667;
82886;12/01/1961;1200;;25;;;;
82886;13/01/1961;0000;35;;28.68;59;1.1;
82886;13/01/1961;1200;;23.9;;;;
82886;14/01/1961;0000;35.4;;28.64;58.75;2.566667;
82886;14/01/1961;1200;;24.1;;;;
82886;15/01/1961;0000;36;;29.56;61.75;1.1;
82886;15/01/1961;1200;;24.5;;;;
82886;16/01/1961;0000;36;;28.66;64;1.6;
82886;16/01/1961;1200;;24.5;;;;
82886;17/01/1961;0000;35;;28.52;62.75;3.233333;
82886;17/01/1961;1200;;23.4;;;;
82886;18/01/1961;0000;31.7;;26.36;78.5;1.9;
82886;18/01/1961;1200;;23;;;;
82886;19/01/1961;0000;31.5;;25.78;77;0.9;
82886;19/01/1961;1200;;21.2;;;;
82886;20/01/1961;0000;30.6;;25.06;73.5;0.6;
82886;20/01/1961;1200;;21.5;;;;
82886;21/01/1961;0000;30;;26.26;60;0.3;
82886;21/01/1961;1200;;21.4;;;;
82886;22/01/1961;0000;29;;23.72;80.5;0.3;
82886;22/01/1961;1200;;20.5;;;;
82886;23/01/1961;0000;;;;86.5;0.3;
82886;23/01/1961;1200;;21.2;;;;
82886;24/01/1961;0000;32.6;;26.72;65.75;0.3;
82886;24/01/1961;1200;;21.5;;;;
82886;25/01/1961;0000;28;;25.86;67.75;0.9;
82886;25/01/1961;1200;;21.7;;;;
82886;26/01/1961;0000;33;;28;58;0.9;
82886;26/01/1961;1200;;22.2;;;;
82886;27/01/1961;0000;33;;28.4;60.25;0.6;
82886;27/01/1961;1200;;22.6;;;;
82886;28/01/1961;0000;33;;27.86;64.25;0.9;
82886;28/01/1961;1200;;22.7;;;;
82886;29/01/1961;0000;33;;27.42;64.25;0.6;
82886;29/01/1961;1200;;21.5;;;;
82886;30/01/1961;0000;37;;26.76;69.75;0.6;
82886;30/01/1961;1200;;21.2;;;;
82886;31/01/1961;0000;37;;28.42;63.5;0.9;
82886;31/01/1961;1200;;22.3;;;;
82886;01/02/1961;0000;;;;60.25;0.9;
82886;01/02/1961;1200;;22.7;;;;
82886;02/02/1961;0000;;;;56.75;0.9;
82886;02/02/1961;1200;;21.5;;;;
82886;03/02/1961;0000;;;;54.75;0.9;
82886;03/02/1961;1200;;22.2;;;;
82886;04/02/1961;0000;;;;65.25;0.9;
82886;04/02/1961;1200;;22.2;;;;
82886;05/02/1961;0000;;;;61.5;0.9;
82886;05/02/1961;1200;;21.5;;;;
82886;06/02/1961;0000;;;;58.5;1.4;
82886;06/02/1961;1200;;21.8;;;;
82886;07/02/1961;0000;;;;62;0.9;
82886;07/02/1961;1200;;22.2;;;;
82886;08/02/1961;0000;;;;57.75;1.6;
82886;08/02/1961;1200;;22.2;;;;
82886;09/02/1961;0000;;;;59.75;1.1;
82886;09/02/1961;1200;;23.2;;;;
82886;10/02/1961;0000;;;;57.25;0.9;
82886;10/02/1961;1200;;22.4;;;;
82886;11/02/1961;0000;;;;62.75;1.4;
82886;11/02/1961;1200;;22.2;;;;
82886;12/02/1961;0000;;;;63;1.4;
82886;12/02/1961;1200;;22.7;;;;
82886;13/02/1961;0000;;;;65.5;0.9;
82886;13/02/1961;1200;;20.2;;;;
82886;14/02/1961;0000;;;;60;1.4;
82886;14/02/1961;1200;;21.7;;;;
82886;15/02/1961;0000;;;;55.75;1.1;
82886;15/02/1961;1200;;21.7;;;;
82886;16/02/1961;0000;;;;46.75;0.9;
82886;16/02/1961;1200;;21.7;;;;
82886;17/02/1961;0000;;;;44.5;1.1;
82886;17/02/1961;1200;;21;;;;
82886;18/02/1961;0000;;;;44;1.1;
82886;18/02/1961;1200;;21.6;;;;
82886;19/02/1961;0000;;;;44.25;1.1;
82886;19/02/1961;1200;;21.6;;;;
82886;20/02/1961;0000;;;;50.25;1.9;
82886;20/02/1961;1200;;21.7;;;;
82886;21/02/1961;0000;;;;53.25;1.6;
82886;21/02/1961;1200;;22;;;;
82886;22/02/1961;0000;;;;47.5;0.3;
82886;22/02/1961;1200;;22;;;;
82886;23/02/1961;0000;;;;53;2.266667;
82886;23/02/1961;1200;;21.8;;;;
82886;24/02/1961;0000;;;;53;1.766667;
82886;24/02/1961;1200;;21.6;;;;
82886;25/02/1961;0000;;;;50.75;2.566667;
82886;25/02/1961;1200;;21.2;;;;
82886;26/02/1961;0000;;;;48.75;1.9;
82886;26/02/1961;1200;;22;;;;
82886;27/02/1961;0000;;;;45;3.733333;
82886;27/02/1961;1200;;21.7;;;;
82886;28/02/1961;0000;;;;42.75;0.8;
82886;28/02/1961;1200;;21.5;;;;
82886;01/03/1961;0000;36.3;;29.62;48.75;1.1;
82886;01/03/1961;1200;;22.2;;;;
82886;02/03/1961;0000;34;;28.96;47;1.1;
82886;02/03/1961;1200;;21.6;;;;
82886;03/03/1961;0000;37;;30.58;46;1.1;
82886;03/03/1961;1200;;22.2;;;;
82886;04/03/1961;0000;;;;40;2.566667;
82886;04/03/1961;1200;;21.5;;;;
82886;05/03/1961;0000;36.8;;30.34;39.75;1.1;
82886;05/03/1961;1200;;21.9;;;;
82886;06/03/1961;0000;36;;30.1;40;4.5;
82886;06/03/1961;1200;;21.3;;;;
82886;07/03/1961;0000;35.6;;30.16;41.5;2.266667;
82886;07/03/1961;1200;;22;;;;
82886;08/03/1961;0000;35;;29.38;45.5;3.833333;
82886;08/03/1961;1200;;21.9;;;;
82886;09/03/1961;0000;34.7;;29.46;44.5;2.266667;
82886;09/03/1961;1200;;21.8;;;;
82886;10/03/1961;0000;33.7;;29.4;44.25;2.566667;
82886;10/03/1961;1200;;21.5;;;;
82886;11/03/1961;0000;35.6;;29.54;39.25;2.566667;
82886;11/03/1961;1200;;21.5;;;;
82886;12/03/1961;0000;34.1;;28.96;44.25;1.4;
82886;12/03/1961;1200;;21.2;;;;
82886;13/03/1961;0000;31;;27.36;51;0.8;
82886;13/03/1961;1200;;21.2;;;;
82886;14/03/1961;0000;;;;56.25;0.8;
82886;14/03/1961;1200;;20.9;;;;
82886;15/03/1961;0000;31;;26.34;57.75;3.833333;
