--------------------
BDMEP - INMET
--------------------
Estação           : ARCOVERDE - PE (OMM: 82890)
Latitude  (graus) : -8.41
Longitude (graus) : -37.08
Altitude  (metros): 680.70
Estação Operante
Inicio de operação: 01/02/1973
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82890;01/02/1973;0000;32.7;;25.76;60.25;4.133333;
82890;01/02/1973;1200;;19.6;;;;
82890;02/02/1973;0000;33.4;;26.32;57.75;3.566667;
82890;02/02/1973;1200;;21;;;;
82890;03/02/1973;0000;33.9;;25.8;57.25;4.1;
82890;03/02/1973;1200;;19.6;;;;
82890;04/02/1973;0000;30.8;;25.08;62.5;3.966667;
82890;04/02/1973;1200;;19.9;;;;
82890;05/02/1973;0000;32.7;;25.96;61;4.733333;
82890;05/02/1973;1200;;21.8;;;;
82890;06/02/1973;0000;31;;24.94;55.25;3.133333;
82890;06/02/1973;1200;;20.6;;;;
82890;07/02/1973;0000;33.8;;26.26;60.5;4.133333;
82890;07/02/1973;1200;;20.1;;;;
82890;08/02/1973;0000;30.8;;25.42;67.25;4.4;
82890;08/02/1973;1200;;21.4;;;;
82890;09/02/1973;0000;32.4;;25.68;62.5;4.266667;
82890;09/02/1973;1200;;20.7;;;;
82890;10/02/1973;0000;33.9;;26.42;60;3.733333;
82890;10/02/1973;1200;;20.7;;;;
82890;11/02/1973;0000;34.9;;27.3;51;2.6;
82890;11/02/1973;1200;;20.1;;;;
82890;12/02/1973;0000;33.4;;26.1;56.75;4.466667;
82890;12/02/1973;1200;;20;;;;
82890;13/02/1973;0000;32.4;;25.5;56.75;4.666667;
82890;13/02/1973;1200;;19.8;;;;
82890;14/02/1973;0000;33.5;;26.12;58;4.466667;
82890;14/02/1973;1200;;20.1;;;;
82890;15/02/1973;0000;33;;25.92;55.75;4.2;
82890;15/02/1973;1200;;21.1;;;;
82890;16/02/1973;0000;33.5;;26.34;46.5;3.633333;
82890;16/02/1973;1200;;20.8;;;;
82890;17/02/1973;0000;33;;25.18;55;3.966667;
82890;17/02/1973;1200;;17.4;;;;
82890;18/02/1973;0000;34.2;;26.78;53.5;3.033333;
82890;18/02/1973;1200;;20.4;;;;
82890;19/02/1973;0000;32.1;;25.84;67.75;3.3;
82890;19/02/1973;1200;;22;;;;
82890;20/02/1973;0000;32.8;;26.28;60.75;4.533333;
82890;20/02/1973;1200;;22.1;;;;
82890;21/02/1973;0000;32.9;;26.3;46.5;4.466667;
82890;21/02/1973;1200;;21.3;;;;
82890;22/02/1973;0000;32.9;;25.66;60;4.466667;
82890;22/02/1973;1200;;20.1;;;;
82890;23/02/1973;0000;32.9;;25.76;57;3.4;
82890;23/02/1973;1200;;21.4;;;;
82890;24/02/1973;0000;33.7;;25.66;62.75;4.2;
82890;24/02/1973;1200;;20.5;;;;
82890;25/02/1973;0000;31.9;;25.66;60.5;4.466667;
82890;25/02/1973;1200;;20.5;;;;
82890;26/02/1973;0000;31.4;;25.42;65;3.4;
82890;26/02/1973;1200;;22.4;;;;
82890;27/02/1973;0000;30.5;;25.06;62;4.633333;
82890;27/02/1973;1200;;20.8;;;;
82890;28/02/1973;0000;32.3;;24.86;57.5;4.1;
82890;28/02/1973;1200;;17.3;;;;
82890;01/03/1973;0000;33.7;;26.12;59.75;3;
82890;01/03/1973;1200;;20.4;;;;
82890;02/03/1973;0000;32.9;;25.62;61.25;2.633333;
82890;02/03/1973;1200;;22.3;;;;
82890;03/03/1973;0000;30.5;;25.38;69.5;3.666667;
82890;03/03/1973;1200;;22.6;;;;
82890;04/03/1973;0000;32.7;;26.32;53.5;4.366667;
82890;04/03/1973;1200;;20.4;;;;
82890;05/03/1973;0000;33.1;;26.72;53.75;2.566667;
82890;05/03/1973;1200;;19.7;;;;
82890;06/03/1973;0000;32.6;;26.44;62.25;3.1;
82890;06/03/1973;1200;;21.3;;;;
82890;07/03/1973;0000;34.3;;27.68;53.5;2.566667;
82890;07/03/1973;1200;;22.4;;;;
82890;08/03/1973;0000;34.7;;26.9;55.5;2.3;
82890;08/03/1973;1200;;21.9;;;;
82890;09/03/1973;0000;31.7;;25.7;70.75;4;
82890;09/03/1973;1200;;21.9;;;;
82890;10/03/1973;0000;34.2;;25.92;62.5;2.633333;
82890;10/03/1973;1200;;22.1;;;;
82890;11/03/1973;0000;30;;24.62;80;2.666667;
82890;11/03/1973;1200;;21.8;;;;
82890;12/03/1973;0000;30.6;;25.22;64.75;3.166667;
82890;12/03/1973;1200;;20.4;;;;
82890;13/03/1973;0000;31.7;;26.54;50.75;3.366667;
82890;13/03/1973;1200;;20.9;;;;
