--------------------
BDMEP - INMET
--------------------
Estação           : GARANHUNS - PE (OMM: 82893)
Latitude  (graus) : -8.88
Longitude (graus) : -36.51
Altitude  (metros): 822.76
Estação Operante
Inicio de operação: 01/02/1913
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82893;01/12/1963;0000;28.4;;20.44;87;3;
82893;01/12/1963;1200;;16.4;;;;
82893;02/12/1963;0000;27.7;;21.08;84.75;3.333333;
82893;02/12/1963;1200;;16.5;;;;
82893;03/12/1963;0000;27.5;;20.76;80.75;3.333333;
82893;03/12/1963;1200;;17.1;;;;
82893;04/12/1963;0000;27.7;;21.48;81;3;
82893;04/12/1963;1200;;16.5;;;;
82893;05/12/1963;0000;28;;21.3;85.25;3;
82893;05/12/1963;1200;;16.6;;;;
82893;06/12/1963;0000;28.8;;21.52;82.25;3;
82893;06/12/1963;1200;;17.3;;;;
82893;07/12/1963;0000;28.4;;21.44;85;3.333333;
82893;07/12/1963;1200;;17.9;;;;
82893;08/12/1963;0000;27.4;;21.08;85.25;3;
82893;08/12/1963;1200;;17.2;;;;
82893;09/12/1963;0000;29.2;;21.52;79.75;3;
82893;09/12/1963;1200;;16.4;;;;
82893;10/12/1963;0000;28.6;;21.9;82.75;3.333333;
82893;10/12/1963;1200;;17.5;;;;
82893;11/12/1963;0000;30.4;;22.74;83.25;3.333333;
82893;11/12/1963;1200;;18.7;;;;
82893;12/12/1963;0000;31.2;;22.5;83.5;3;
82893;12/12/1963;1200;;18.3;;;;
82893;13/12/1963;0000;30.5;;23.34;82.5;4;
82893;13/12/1963;1200;;17.8;;;;
82893;14/12/1963;0000;29.8;;23;85;4;
82893;14/12/1963;1200;;18.7;;;;
82893;15/12/1963;0000;27.4;;21.6;90;2.666667;
82893;15/12/1963;1200;;18.3;;;;
82893;16/12/1963;0000;30.2;;23.12;82.75;4;
82893;16/12/1963;1200;;18.9;;;;
82893;17/12/1963;0000;27.9;;21.98;92.25;4;
82893;17/12/1963;1200;;18.6;;;;
82893;18/12/1963;0000;24.9;;20.88;93.5;3;
82893;18/12/1963;1200;;18.7;;;;
82893;19/12/1963;0000;27;;22.02;90;3.333333;
82893;19/12/1963;1200;;19.7;;;;
82893;20/12/1963;0000;27.7;;22.18;84.5;3;
82893;20/12/1963;1200;;18.6;;;;
82893;21/12/1963;0000;28.1;;22.96;78.5;3;
82893;21/12/1963;1200;;19.2;;;;
82893;22/12/1963;0000;28;;21.92;83;3.666667;
82893;22/12/1963;1200;;19.5;;;;
82893;23/12/1963;0000;24.4;;20.38;92.5;2;
82893;23/12/1963;1200;;18.6;;;;
82893;24/12/1963;0000;22;;18.92;91.25;2.666667;
82893;24/12/1963;1200;;16.2;;;;
82893;25/12/1963;0000;23.7;;19.26;90.5;1.333333;
82893;25/12/1963;1200;;17.4;;;;
82893;26/12/1963;0000;25.4;;20.3;88.25;2.333333;
82893;26/12/1963;1200;;17.3;;;;
82893;27/12/1963;0000;23.6;;20.14;92.5;2;
82893;27/12/1963;1200;;18.3;;;;
82893;28/12/1963;0000;25.5;;20.76;87.75;2.333333;
82893;28/12/1963;1200;;18.1;;;;
82893;29/12/1963;0000;25.2;;21.24;85.75;2.333333;
82893;29/12/1963;1200;;18.6;;;;
82893;30/12/1963;0000;27.4;;21.42;83.75;2.333333;
82893;30/12/1963;1200;;18.1;;;;
82893;31/12/1963;0000;22.6;;20.42;91.75;2.333333;
82893;31/12/1963;1200;;17.8;;;;
82893;01/01/1964;0000;24.8;;20.28;85.25;3;
82893;01/01/1964;1200;;17.2;;;;
82893;02/01/1964;0000;26.6;;21.38;84.5;2.333333;
82893;02/01/1964;1200;;17.6;;;;
82893;03/01/1964;0000;21.7;;19.94;93;2.333333;
82893;03/01/1964;1200;;18.3;;;;
82893;04/01/1964;0000;26;;20.78;85.75;1.666667;
82893;04/01/1964;1200;;17.7;;;;
