--------------------
BDMEP - INMET
--------------------
Estação           : RIO BRANCO - AC (OMM: 82915)
Latitude  (graus) : -9.96
Longitude (graus) : -67.8
Altitude  (metros): 160.00
Estação Operante
Inicio de operação: 01/01/1929
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82915;01/06/1969;0000;35.2;;28.76;82;0;
82915;01/06/1969;1200;;21.8;;;;
82915;02/06/1969;0000;35.2;;25.98;83;0;
82915;02/06/1969;1200;;20.3;;;;
82915;03/06/1969;0000;27.5;;25.68;88.5;3.333333;
82915;03/06/1969;1200;;22.5;;;;
82915;04/06/1969;0000;27.5;;22.9;88.25;5;
82915;04/06/1969;1200;;19.2;;;;
82915;05/06/1969;0000;27.3;;20.5;86.5;4.666667;
82915;05/06/1969;1200;;17.6;;;;
82915;06/06/1969;0000;29.1;;23.84;88.25;0;
82915;06/06/1969;1200;;21.9;;;;
82915;07/06/1969;0000;32.5;;25.2;83.5;0;
82915;07/06/1969;1200;;21.3;;;;
82915;08/06/1969;0000;33.5;;24.6;94.5;0.333333;
82915;08/06/1969;1200;;20.5;;;;
82915;09/06/1969;0000;33.1;;27.54;78;1.666667;
82915;09/06/1969;1200;;21.6;;;;
82915;10/06/1969;0000;30.3;;26.42;89.75;1.666667;
82915;10/06/1969;1200;;21.4;;;;
82915;11/06/1969;0000;31.7;;24.52;94.5;1.666667;
82915;11/06/1969;1200;;21.7;;;;
82915;12/06/1969;0000;31.7;;25.22;85.25;0;
82915;12/06/1969;1200;;21.2;;;;
82915;13/06/1969;0000;31.3;;26.54;87.75;0;
82915;13/06/1969;1200;;22;;;;
82915;14/06/1969;0000;32.1;;25.26;84.5;1.666667;
82915;14/06/1969;1200;;23;;;;
82915;15/06/1969;0000;33.4;;25.04;93.5;0;
82915;15/06/1969;1200;;20.2;;;;
82915;16/06/1969;0000;33.4;;25.34;93.5;1.666667;
82915;16/06/1969;1200;;19.5;;;;
82915;17/06/1969;0000;24.5;;19.94;91;1.666667;
82915;17/06/1969;1200;;17.4;;;;
82915;18/06/1969;0000;24.5;;21.86;86;1.666667;
82915;18/06/1969;1200;;18;;;;
82915;19/06/1969;0000;26.5;;20.36;80.75;2.666667;
82915;19/06/1969;1200;;16;;;;
82915;20/06/1969;0000;27.3;;21.14;82.25;3.666667;
82915;20/06/1969;1200;;16.2;;;;
82915;21/06/1969;0000;27.5;;21.28;90.25;1.666667;
82915;21/06/1969;1200;;17.3;;;;
82915;22/06/1969;0000;30.3;;20.36;86;0;
82915;22/06/1969;1200;;13.9;;;;
82915;23/06/1969;0000;32.9;;21.98;85.75;0;
82915;23/06/1969;1200;;15;;;;
82915;24/06/1969;0000;33.1;;23.16;83;0;
82915;24/06/1969;1200;;16.5;;;;
82915;25/06/1969;0000;32.5;;25.1;86.75;1.666667;
