--------------------
BDMEP - INMET
--------------------
Estação           : ALTO PARNAIBA - MA (OMM: 82970)
Latitude  (graus) : -9.1
Longitude (graus) : -45.93
Altitude  (metros): 285.05
Estação Operante
Inicio de operação: 21/08/1976
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82970;01/09/1976;0000;34.1;;23.12;52;2.9;
82970;01/09/1976;1200;;14.4;;;;
82970;02/09/1976;0000;34.6;;20.5;49;2.1;
82970;03/09/1976;0000;35.8;;24.06;47.25;2.233333;
82970;03/09/1976;1200;;14;;;;
82970;04/09/1976;0000;34.5;;24.36;49;1.9;
82970;04/09/1976;1200;;16.6;;;;
82970;05/09/1976;0000;36;;24.04;52;1.8;
82970;05/09/1976;1200;;14.1;;;;
82970;06/09/1976;0000;35.8;;24.84;52.25;1.7;
82970;06/09/1976;1200;;16.1;;;;
82970;07/09/1976;0000;35.4;;25.2;53.75;1.6;
82970;07/09/1976;1200;;16.3;;;;
82970;08/09/1976;0000;36;;27.5;55.25;1.433333;
82970;08/09/1976;1200;;20;;;;
82970;09/09/1976;0000;32.6;;25.56;75.5;1.966667;
82970;09/09/1976;1200;;19.9;;;;
82970;10/09/1976;0000;34;;20.7;73.75;2;
82970;11/09/1976;0000;33.4;;24.52;76.5;1.366667;
82970;11/09/1976;1200;;18.8;;;;
82970;12/09/1976;0000;35.2;;21.3;74.75;1.3;
82970;13/09/1976;0000;35.3;;24.96;66.25;1.366667;
82970;13/09/1976;1200;;19.6;;;;
82970;14/09/1976;0000;35.4;;27.34;50.75;1.1;
82970;14/09/1976;1200;;18.2;;;;
82970;15/09/1976;0000;35.7;;25.2;58.5;1.633333;
82970;15/09/1976;1200;;18.2;;;;
82970;16/09/1976;0000;35.3;;25.46;58.5;1.2;
82970;16/09/1976;1200;;18;;;;
82970;17/09/1976;0000;36.6;;25.94;46.25;1.966667;
82970;17/09/1976;1200;;20;;;;
82970;18/09/1976;0000;35.5;;24.7;56;1.566667;
82970;18/09/1976;1200;;15.7;;;;
82970;19/09/1976;0000;35.4;;26.42;51.25;1.7;
82970;19/09/1976;1200;;18;;;;
82970;20/09/1976;0000;33.2;;25.5;66.5;1.1;
82970;20/09/1976;1200;;20;;;;
82970;21/09/1976;0000;36.5;;26.2;40.75;2;
82970;21/09/1976;1200;;17.9;;;;
82970;22/09/1976;0000;35.6;;24.48;49;1.1;
82970;22/09/1976;1200;;14.6;;;;
82970;23/09/1976;0000;32.6;;26.08;58.25;1;
82970;23/09/1976;1200;;19.1;;;;
82970;24/09/1976;0000;31.8;;25.78;70.5;2.733333;
82970;24/09/1976;1200;;22.2;;;;
82970;25/09/1976;0000;30.2;;23.86;74;0.866667;
82970;25/09/1976;1200;;20.1;;;;
82970;26/09/1976;0000;32;;25.56;71;2.366667;
82970;26/09/1976;1200;;19.2;;;;
82970;27/09/1976;0000;32;;20.9;84.25;1.133333;
82970;28/09/1976;0000;34.9;;26.08;66.25;1.166667;
82970;28/09/1976;1200;;18.4;;;;
82970;29/09/1976;0000;30.3;;24.72;86.5;0.766667;
82970;29/09/1976;1200;;20.2;;;;
82970;30/09/1976;0000;32.9;;26.16;69.25;1.5;
82970;30/09/1976;1200;;21.3;;;;
82970;01/10/1976;0000;29.5;;19.6;91.25;0.766667;
82970;02/10/1976;0000;28.6;;24.34;82.5;0.966667;
82970;02/10/1976;1200;;20.9;;;;
82970;03/10/1976;0000;33;;25.22;79.25;1.766667;
82970;03/10/1976;1200;;20.8;;;;
82970;04/10/1976;0000;30.9;;25.34;64;2.633333;
82970;04/10/1976;1200;;20.1;;;;
82970;05/10/1976;0000;33.6;;26.08;66.5;1.3;
82970;05/10/1976;1200;;22.4;;;;
82970;06/10/1976;0000;34.8;;26.9;63.25;1.433333;
82970;06/10/1976;1200;;20.3;;;;
82970;07/10/1976;0000;25.6;;18.2;94;1.266667;
82970;08/10/1976;0000;28.4;;24.22;75.5;2.633333;
82970;08/10/1976;1200;;20.7;;;;
82970;09/10/1976;0000;31.3;;25.4;66.5;2.433333;
82970;09/10/1976;1200;;18.6;;;;
82970;10/10/1976;0000;32.2;;25.38;73.75;1.8;
82970;10/10/1976;1200;;22;;;;
82970;11/10/1976;0000;34.7;;27.12;68.5;1.5;
82970;11/10/1976;1200;;19.9;;;;
82970;12/10/1976;0000;30.4;;25.82;78.5;1.7;
82970;12/10/1976;1200;;22.4;;;;
82970;13/10/1976;0000;30.8;;26.02;74.5;1.6;
82970;13/10/1976;1200;;22.6;;;;
82970;14/10/1976;0000;29.6;;25.04;79.25;1.033333;
82970;14/10/1976;1200;;21.1;;;;
82970;15/10/1976;0000;32.7;;25.82;71.75;2.4;
82970;15/10/1976;1200;;21.4;;;;
82970;16/10/1976;0000;34.4;;25.8;58.75;2.9;
82970;16/10/1976;1200;;18.2;;;;
82970;17/10/1976;0000;34.6;;25.62;61.75;2.033333;
82970;17/10/1976;1200;;19.2;;;;
82970;18/10/1976;0000;34.8;;26.26;54.5;2.233333;
82970;18/10/1976;1200;;18.3;;;;
82970;19/10/1976;0000;35.6;;26.86;53;2.1;
82970;19/10/1976;1200;;18.4;;;;
82970;20/10/1976;0000;34;;26.02;62.5;0.533333;
82970;20/10/1976;1200;;19.3;;;;
82970;21/10/1976;0000;34.8;;26.92;67.25;2.266667;
82970;21/10/1976;1200;;21;;;;
82970;22/10/1976;0000;27.6;;23.8;89;0.666667;
82970;22/10/1976;1200;;20.7;;;;
82970;23/10/1976;0000;33.1;;26.28;75.5;1.166667;
82970;23/10/1976;1200;;21.8;;;;
82970;24/10/1976;0000;33.6;;27.08;65;1.733333;
82970;24/10/1976;1200;;22.9;;;;
82970;25/10/1976;0000;34.2;;26.16;68.25;2.2;
82970;25/10/1976;1200;;19;;;;
82970;26/10/1976;0000;33.3;;26.52;66.25;1.533333;
82970;26/10/1976;1200;;21.3;;;;
82970;27/10/1976;0000;35.3;;27.28;65.5;1.4;
82970;27/10/1976;1200;;20.6;;;;
82970;28/10/1976;0000;35.1;;26.94;70.5;1.766667;
82970;28/10/1976;1200;;23;;;;
82970;29/10/1976;0000;34.8;;28.22;62.75;1.433333;
82970;29/10/1976;1200;;22.2;;;;
82970;30/10/1976;0000;35;;27.98;56.25;2.366667;
82970;30/10/1976;1200;;21.6;;;;
82970;31/10/1976;0000;35.5;;27.98;56.5;2.033333;
82970;31/10/1976;1200;;21.4;;;;
82970;01/12/1976;0000;29.9;;24.58;91.25;1.8;
82970;01/12/1976;1200;;21.6;;;;
82970;02/12/1976;0000;32.2;;25.64;84.5;1.633333;
82970;02/12/1976;1200;;20.7;;;;
82970;03/12/1976;0000;27.6;;19.1;93.5;1.4;
82970;04/12/1976;0000;28.2;;20;92;2.2;
82970;05/12/1976;0000;31.4;;25.58;76.75;1.8;
82970;05/12/1976;1200;;21;;;;
82970;06/12/1976;0000;33.2;;25.54;73.25;1.366667;
82970;06/12/1976;1200;;20.2;;;;
82970;07/12/1976;0000;33.9;;26.56;69.5;2.733333;
82970;07/12/1976;1200;;19.2;;;;
82970;08/12/1976;0000;33.2;;25.44;73.75;1.933333;
82970;08/12/1976;1200;;19.8;;;;
82970;09/12/1976;0000;34.1;;25.4;72.75;1.066667;
82970;09/12/1976;1200;;19.3;;;;
82970;10/12/1976;0000;32.2;;25.66;82;0.6;
82970;10/12/1976;1200;;19.3;;;;
82970;11/12/1976;0000;29.6;;24.74;89.5;1.166667;
82970;11/12/1976;1200;;20;;;;
82970;12/12/1976;0000;32.6;;26.12;73.5;2.7;
82970;12/12/1976;1200;;21.4;;;;
82970;13/12/1976;0000;32.3;;24.9;68.25;1.366667;
82970;13/12/1976;1200;;19.5;;;;
82970;14/12/1976;0000;32.7;;24.86;69.5;0.766667;
82970;14/12/1976;1200;;18.2;;;;
82970;15/12/1976;0000;33.8;;25.68;69.75;1.1;
82970;15/12/1976;1200;;18.6;;;;
82970;16/12/1976;0000;30.3;;25.48;81.75;0.533333;
82970;16/12/1976;1200;;20.8;;;;
82970;17/12/1976;0000;30.6;;24.74;82.5;0.566667;
82970;17/12/1976;1200;;20.9;;;;
82970;18/12/1976;0000;26.1;;18.5;95;0.866667;
82970;19/12/1976;0000;29.6;;24.08;86.75;1.233333;
82970;19/12/1976;1200;;20.3;;;;
82970;20/12/1976;0000;27.8;;19.2;88.5;2.4;
82970;21/12/1976;0000;29.2;;24.48;85.25;1.066667;
82970;21/12/1976;1200;;20.2;;;;
82970;22/12/1976;0000;30.8;;25.2;87.75;0.7;
82970;22/12/1976;1200;;21.2;;;;
82970;23/12/1976;0000;29.9;;24.96;86.75;1.766667;
82970;23/12/1976;1200;;22.2;;;;
82970;24/12/1976;0000;32.8;;20.9;78;1.366667;
82970;25/12/1976;0000;31.9;;25.02;84.5;1.033333;
82970;25/12/1976;1200;;19.1;;;;
82970;26/12/1976;0000;34.4;;26.86;71.75;1.966667;
82970;26/12/1976;1200;;19.3;;;;
82970;27/12/1976;0000;30.4;;24.92;86.75;1.4;
82970;27/12/1976;1200;;21.2;;;;
82970;28/12/1976;0000;31.4;;24.92;79.75;1.6;
82970;28/12/1976;1200;;20;;;;
82970;29/12/1976;0000;33;;25.28;79;0.633333;
82970;29/12/1976;1200;;19.3;;;;
82970;30/12/1976;0000;24.7;;18.7;92.25;0.666667;
82970;31/12/1976;0000;29.6;;24.22;84.25;1.7;
82970;31/12/1976;1200;;21.2;;;;
82970;01/01/1977;0000;29.4;;23.82;87.75;1.066667;
82970;01/01/1977;1200;;21;;;;
82970;02/01/1977;0000;33.4;;25.54;71.5;1.633333;
82970;02/01/1977;1200;;20.7;;;;
82970;03/01/1977;0000;31;;24.64;81.25;1.966667;
82970;03/01/1977;1200;;20.8;;;;
82970;04/01/1977;0000;31.7;;24.86;87.5;2.133333;
82970;04/01/1977;1200;;21.9;;;;
82970;05/01/1977;0000;29.4;;24.18;85.75;2.466667;
82970;05/01/1977;1200;;21.8;;;;
82970;06/01/1977;0000;31.8;;25.24;82;1.033333;
82970;06/01/1977;1200;;21.7;;;;
82970;07/01/1977;0000;32.1;;25.48;71.25;1.433333;
82970;07/01/1977;1200;;20.1;;;;
82970;08/01/1977;0000;31.9;;25.74;74.5;2.566667;
82970;08/01/1977;1200;;21.2;;;;
82970;09/01/1977;0000;31.8;;25.88;67;2.2;
82970;09/01/1977;1200;;20;;;;
82970;10/01/1977;0000;32.6;;25.68;70;2.8;
82970;10/01/1977;1200;;21;;;;
82970;11/01/1977;0000;32.8;;25.2;74.25;2.333333;
82970;11/01/1977;1200;;19.3;;;;
82970;12/01/1977;0000;30.6;;24.14;78.25;1.433333;
82970;12/01/1977;1200;;20.6;;;;
82970;13/01/1977;0000;31.4;;25.38;69.25;2.233333;
82970;13/01/1977;1200;;19.4;;;;
82970;14/01/1977;0000;29.1;;24.36;80.25;1.366667;
82970;14/01/1977;1200;;21;;;;
82970;15/01/1977;0000;32.6;;25.32;68;1.9;
82970;15/01/1977;1200;;22;;;;
82970;16/01/1977;0000;35.1;;25.76;68.75;1.766667;
82970;16/01/1977;1200;;18.2;;;;
82970;17/01/1977;0000;33.3;;25.06;82.25;0.5;
82970;17/01/1977;1200;;21.2;;;;
82970;18/01/1977;0000;31;;24.18;91.25;1.666667;
82970;18/01/1977;1200;;20.5;;;;
