--------------------
BDMEP - INMET
--------------------
Estação           : BOM JESUS DO PIAUI - PI (OMM: 82975)
Latitude  (graus) : -9.1
Longitude (graus) : -44.11
Altitude  (metros): 331.74
Estação Operante
Inicio de operação: 19/04/1971
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82975;19/04/1971;0000;32.3;;;97.5;1;
82975;20/04/1971;0000;32.1;;;97.5;1;
82975;21/04/1971;0000;28.1;;;93;2.666667;
82975;22/04/1971;0000;29.6;;;92.75;1;
82975;23/04/1971;0000;33.1;;;86.5;1.333333;
82975;24/04/1971;0000;29.8;;;87;0.666667;
82975;25/04/1971;0000;31.7;;;90.25;0.666667;
82975;26/04/1971;0000;26.7;;;94;1.333333;
82975;27/04/1971;0000;29.3;;;86.75;2.333333;
82975;28/04/1971;0000;30.7;;;79.25;0.666667;
82975;29/04/1971;0000;30.2;;;78.25;1.666667;
82975;30/04/1971;0000;28.3;;;91.5;0.666667;
82975;01/05/1971;0000;31;;;80.25;2.666667;
82975;02/05/1971;0000;30.5;;;72.25;2.333333;
82975;03/05/1971;0000;31.2;;;79.5;1;
82975;04/05/1971;0000;31;;;70;2.666667;
82975;05/05/1971;0000;31;;;77;1;
82975;06/05/1971;0000;31.1;;;73.75;1.666667;
82975;07/05/1971;0000;31.6;;;69.75;3;
82975;08/05/1971;0000;31.2;;;73.75;1.333333;
82975;09/05/1971;0000;31.9;;;75.5;2.666667;
82975;10/05/1971;0000;32.2;;;77.75;4.666667;
82975;11/05/1971;0000;30.3;;;74;2;
82975;12/05/1971;0000;29.9;;;82.5;3.333333;
82975;13/05/1971;0000;31;;;74.75;4;
82975;14/05/1971;0000;30.8;;;74.5;2.333333;
82975;15/05/1971;0000;30.7;;;76.25;1.666667;
82975;16/05/1971;0000;31.2;;;86.75;1.666667;
82975;17/05/1971;0000;32.1;;;71.75;2.666667;
82975;18/05/1971;0000;31.2;;;74.5;1.666667;
82975;19/05/1971;0000;31.8;;;72.75;3;
82975;20/05/1971;0000;31.6;;;76.75;2.333333;
82975;21/05/1971;0000;30.8;;;79;3.333333;
82975;22/05/1971;0000;29.8;;;82.5;2.333333;
82975;23/05/1971;0000;30.4;;;77.75;2.666667;
82975;24/05/1971;0000;31.5;;;69.75;1.333333;
82975;25/05/1971;0000;32.7;;;76.75;1.666667;
82975;26/05/1971;0000;33.3;;;66.5;1;
82975;27/05/1971;0000;34;;;71;2.666667;
82975;28/05/1971;0000;32.2;;;67.75;1.666667;
82975;29/05/1971;0000;31.3;;;70.75;4.666667;
82975;30/05/1971;0000;31;;;77.25;2;
82975;31/05/1971;0000;31.4;;;77;3.333333;
82975;01/06/1971;0000;32.2;;;67.75;2.333333;
82975;02/06/1971;0000;31.8;;;78.5;2;
82975;03/06/1971;0000;32;;;75.75;1.333333;
