--------------------
BDMEP - INMET
--------------------
Estação           : CARACOL - PI (OMM: 82976)
Latitude  (graus) : -9.28
Longitude (graus) : -43.33
Altitude  (metros): 522.77
Estação Operante
Inicio de operação: 03/10/1975
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82976;03/10/1975;0000;35.4;;25.6;34.25;2.866667;
82976;03/10/1975;1200;;18.4;;;;
82976;04/10/1975;0000;35.8;;25.08;35.25;2.133333;
82976;04/10/1975;1200;;11.2;;;;
82976;05/10/1975;0000;35;;25.02;38;3.733333;
82976;05/10/1975;1200;;12.2;;;;
82976;06/10/1975;0000;34.8;;24.88;41.25;3.2;
82976;06/10/1975;1200;;11.4;;;;
82976;07/10/1975;0000;35.4;;27.96;37;2.066667;
82976;07/10/1975;1200;;18.4;;;;
82976;08/10/1975;0000;34.4;;26.16;40.75;2.866667;
82976;08/10/1975;1200;;15.6;;;;
82976;09/10/1975;0000;33.8;;26.48;45.5;3.466667;
82976;09/10/1975;1200;;18;;;;
82976;10/10/1975;0000;32.8;;26.12;56.25;3.033333;
82976;10/10/1975;1200;;20.8;;;;
82976;11/10/1975;0000;34.4;;26;59.25;2.966667;
82976;11/10/1975;1200;;18.6;;;;
82976;12/10/1975;0000;32.2;;23.84;81.5;2.133333;
82976;12/10/1975;1200;;19.6;;;;
82976;13/10/1975;0000;31;;23.6;73.5;1.3;
82976;13/10/1975;1200;;18.8;;;;
82976;14/10/1975;0000;32.8;;25.76;58.5;2.633333;
82976;14/10/1975;1200;;18.8;;;;
82976;15/10/1975;0000;34;;26.44;48.25;2.3;
82976;15/10/1975;1200;;18.6;;;;
82976;16/10/1975;0000;34;;26.56;43.75;2.533333;
82976;16/10/1975;1200;;18.4;;;;
82976;17/10/1975;0000;33.2;;27.04;53;5;
82976;17/10/1975;1200;;20.6;;;;
82976;18/10/1975;0000;34.4;;26.2;56.5;1.466667;
82976;18/10/1975;1200;;19.4;;;;
82976;19/10/1975;0000;28;;23.78;78.25;1.166667;
82976;19/10/1975;1200;;20.2;;;;
82976;20/10/1975;0000;31.8;;25.12;79.5;0.933333;
82976;20/10/1975;1200;;19.8;;;;
82976;21/10/1975;0000;25;;22.68;86.75;1.833333;
82976;21/10/1975;1200;;19.8;;;;
82976;22/10/1975;0000;33.8;;25.34;65.75;1.766667;
82976;22/10/1975;1200;;18.4;;;;
82976;23/10/1975;0000;31.8;;24.94;78.75;3.2;
82976;23/10/1975;1200;;20.7;;;;
82976;24/10/1975;0000;32.6;;25.34;64.75;1.966667;
82976;24/10/1975;1200;;18.8;;;;
82976;25/10/1975;0000;32.6;;24.96;58;3.2;
82976;25/10/1975;1200;;18.2;;;;
82976;26/10/1975;0000;33.2;;25.32;53.5;2.9;
82976;26/10/1975;1200;;17.6;;;;
82976;27/10/1975;0000;33.8;;23.76;63.5;1.066667;
82976;27/10/1975;1200;;12.4;;;;
82976;28/10/1975;0000;26.8;;23.7;79.5;2.433333;
82976;28/10/1975;1200;;19.6;;;;
82976;29/10/1975;0000;31;;26.08;66.25;3.566667;
82976;29/10/1975;1200;;20;;;;
82976;30/10/1975;0000;30.9;;25.1;64.25;1.933333;
82976;30/10/1975;1200;;20;;;;
82976;31/10/1975;0000;31.4;;25.44;65;1.933333;
82976;31/10/1975;1200;;20;;;;
82976;01/11/1975;0000;25.4;;19.76;96.75;0.966667;
82976;01/11/1975;1200;;10.4;;;;
82976;02/11/1975;0000;25.8;;21.32;89.5;1.933333;
82976;02/11/1975;1200;;18.4;;;;
82976;03/11/1975;0000;31.4;;23.72;75.75;1.566667;
82976;03/11/1975;1200;;17.4;;;;
82976;04/11/1975;0000;32.8;;25.24;76.25;1.466667;
82976;04/11/1975;1200;;20.2;;;;
82976;05/11/1975;0000;31.2;;26.12;48.5;3.8;
82976;05/11/1975;1200;;19.6;;;;
82976;06/11/1975;0000;31;;23.08;68.5;2.8;
82976;06/11/1975;1200;;17.2;;;;
82976;07/11/1975;0000;32.2;;25.8;51;2.9;
82976;07/11/1975;1200;;16.8;;;;
82976;08/11/1975;0000;33.4;;26.08;53.25;3.033333;
82976;08/11/1975;1200;;18.4;;;;
82976;09/11/1975;0000;33.2;;25.36;61.25;2.533333;
82976;09/11/1975;1200;;20.2;;;;
82976;10/11/1975;0000;33;;25.44;67.75;1.733333;
82976;10/11/1975;1200;;19.4;;;;
82976;11/11/1975;0000;33.6;;25.16;62.75;1.233333;
82976;11/11/1975;1200;;19.2;;;;
82976;12/11/1975;0000;34;;26.52;59.25;1.3;
82976;12/11/1975;1200;;21.2;;;;
82976;13/11/1975;0000;34;;26.96;57;2.4;
82976;13/11/1975;1200;;20.8;;;;
82976;14/11/1975;0000;33.6;;25.96;63.25;1.9;
82976;14/11/1975;1200;;19.6;;;;
82976;15/11/1975;0000;32;;24.48;58.75;3.4;
82976;15/11/1975;1200;;19;;;;
82976;16/11/1975;0000;31.4;;24.32;55.75;2.7;
82976;16/11/1975;1200;;17.4;;;;
82976;17/11/1975;0000;31.8;;26.04;48.25;3.266667;
82976;17/11/1975;1200;;19.2;;;;
82976;18/11/1975;0000;33;;24.44;52.75;3.733333;
82976;18/11/1975;1200;;17.6;;;;
82976;19/11/1975;0000;32.2;;24.96;52.5;3.666667;
82976;19/11/1975;1200;;16.4;;;;
82976;20/11/1975;0000;34;;24;43.5;3.533333;
82976;20/11/1975;1200;;12.8;;;;
82976;21/11/1975;0000;34.6;;25.44;49;2.9;
82976;21/11/1975;1200;;17.6;;;;
82976;22/11/1975;0000;35.2;;27.4;45.25;2.3;
82976;22/11/1975;1200;;19.4;;;;
82976;23/11/1975;0000;34.4;;27.2;55;3.366667;
82976;23/11/1975;1200;;21;;;;
