--------------------
BDMEP - INMET
--------------------
Estação           : REMANSO - BA (OMM: 82979)
Latitude  (graus) : -9.63
Longitude (graus) : -42.1
Altitude  (metros): 400.51
Estação Operante
Inicio de operação: 01/10/1927
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82979;01/01/1961;0000;36.6;;29.72;57.75;0.333333;
82979;01/01/1961;1200;;22;;;;
82979;02/01/1961;0000;35.8;;29.28;55.75;1;
82979;02/01/1961;1200;;23;;;;
82979;03/01/1961;0000;37.2;;29.28;52.75;5.333333;
82979;03/01/1961;1200;;21.8;;;;
82979;04/01/1961;0000;35;;27.28;65.75;0;
82979;04/01/1961;1200;;23;;;;
82979;05/01/1961;0000;32.4;;24.68;80.5;0;
82979;05/01/1961;1200;;18.2;;;;
82979;06/01/1961;0000;35.6;;28.72;61.5;1.666667;
82979;06/01/1961;1200;;22.8;;;;
82979;07/01/1961;0000;36.6;;29.92;52.75;0.666667;
82979;07/01/1961;1200;;22.8;;;;
82979;08/01/1961;0000;36.4;;29.52;59.5;2.333333;
82979;08/01/1961;1200;;24.6;;;;
82979;09/01/1961;0000;36.6;;29.48;57.25;0;
82979;09/01/1961;1200;;22.6;;;;
82979;10/01/1961;0000;37.4;;30.64;50.75;3;
82979;10/01/1961;1200;;23;;;;
82979;11/01/1961;0000;38.4;;30.52;53.5;4;
82979;11/01/1961;1200;;24.2;;;;
82979;12/01/1961;0000;36.4;;29.28;57;2.333333;
82979;12/01/1961;1200;;24.8;;;;
82979;13/01/1961;0000;32.4;;26.56;62.25;0.666667;
82979;13/01/1961;1200;;21.2;;;;
82979;14/01/1961;0000;35;;28.8;56.75;2;
82979;14/01/1961;1200;;22.8;;;;
82979;15/01/1961;0000;35.4;;28.84;54.75;0.666667;
82979;15/01/1961;1200;;23.4;;;;
82979;16/01/1961;0000;33.2;;28.36;60.25;2;
82979;16/01/1961;1200;;24;;;;
82979;17/01/1961;0000;29.6;;23.28;82.5;0.666667;
82979;17/01/1961;1200;;20.4;;;;
82979;18/01/1961;0000;30.6;;22.76;83.5;1;
82979;18/01/1961;1200;;19.6;;;;
82979;19/01/1961;0000;32.4;;26.12;66.25;0.333333;
82979;19/01/1961;1200;;20.6;;;;
82979;20/01/1961;0000;33.4;;26.68;66.25;0;
82979;20/01/1961;1200;;21.4;;;;
82979;21/01/1961;0000;34.4;;26.6;71;0;
82979;21/01/1961;1200;;20.4;;;;
82979;22/01/1961;0000;27.2;;23.6;84.25;1;
82979;22/01/1961;1200;;20.2;;;;
82979;23/01/1961;0000;28;;23.72;82.75;0;
82979;23/01/1961;1200;;21;;;;
82979;24/01/1961;0000;32.8;;27.4;65.75;0;
82979;24/01/1961;1200;;21.6;;;;
82979;25/01/1961;0000;32;;25.2;74.75;1.333333;
82979;25/01/1961;1200;;21.4;;;;
82979;26/01/1961;0000;31.6;;26.68;70.75;0;
82979;26/01/1961;1200;;22.6;;;;
82979;27/01/1961;0000;27;;22.92;86;0.666667;
82979;27/01/1961;1200;;20.6;;;;
82979;28/01/1961;0000;29.4;;24;93.25;0.666667;
82979;28/01/1961;1200;;20.4;;;;
82979;29/01/1961;0000;34.4;;27.24;64.5;0;
82979;29/01/1961;1200;;20;;;;
82979;30/01/1961;0000;34.2;;27.32;62;0.666667;
82979;30/01/1961;1200;;19.6;;;;
82979;31/01/1961;0000;34.4;;27.08;61.5;0.666667;
82979;31/01/1961;1200;;19.4;;;;
82979;01/02/1961;0000;34.4;;27.52;59.5;2.333333;
82979;01/02/1961;1200;;20.4;;;;
82979;02/02/1961;0000;34;;26.68;66.25;0.666667;
82979;02/02/1961;1200;;20.8;;;;
82979;03/02/1961;0000;33;;27.36;56;0.333333;
82979;03/02/1961;1200;;19;;;;
82979;04/02/1961;0000;34;;27.68;60.75;0.666667;
82979;04/02/1961;1200;;20.8;;;;
82979;05/02/1961;0000;32.4;;26.68;66.25;0.666667;
82979;05/02/1961;1200;;21.2;;;;
82979;06/02/1961;0000;34.2;;26.92;63.75;1.666667;
82979;06/02/1961;1200;;19.8;;;;
82979;07/02/1961;0000;32.6;;25.84;68.5;1.333333;
