--------------------
BDMEP - INMET
--------------------
Estação           : PETROLINA - PE (OMM: 82983)
Latitude  (graus) : -9.38
Longitude (graus) : -40.48
Altitude  (metros): 370.46
Estação Operante
Inicio de operação: 01/01/1941
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82983;03/12/1962;0000;36.3;;27.6;51.5;1;
82983;03/12/1962;1200;;22.4;;;;
82983;04/12/1962;0000;38.4;;28.08;51;0.666667;
82983;04/12/1962;1200;;19.9;;;;
82983;05/12/1962;0000;39.4;;29.46;47;0.666667;
82983;05/12/1962;1200;;22.1;;;;
82983;06/12/1962;0000;38.9;;30.56;45.5;4;
82983;06/12/1962;1200;;25.3;;;;
82983;07/12/1962;0000;36;;28.32;46;6;
82983;07/12/1962;1200;;21.3;;;;
82983;08/12/1962;0000;36.5;;28.7;39.5;1.666667;
82983;08/12/1962;1200;;22.4;;;;
82983;09/12/1962;0000;35.8;;29.06;50.5;1.666667;
82983;09/12/1962;1200;;27.2;;;;
82983;10/12/1962;0000;38.5;;27.82;62.25;3.333333;
82983;10/12/1962;1200;;23.6;;;;
82983;11/12/1962;0000;34.6;;27.88;58.25;2.666667;
82983;11/12/1962;1200;;23.3;;;;
82983;12/12/1962;0000;33.6;;25.7;85;2.666667;
82983;12/12/1962;1200;;23;;;;
82983;13/12/1962;0000;28.9;;24.3;80.75;2.333333;
82983;13/12/1962;1200;;21.2;;;;
82983;14/12/1962;0000;31.4;;26;63;3.666667;
82983;14/12/1962;1200;;22.3;;;;
82983;15/12/1962;0000;32.3;;24.54;78.25;4;
82983;15/12/1962;1200;;21.9;;;;
82983;16/12/1962;0000;30.9;;24.68;76;4;
82983;16/12/1962;1200;;21.1;;;;
82983;17/12/1962;0000;33.7;;26.82;60.5;5;
82983;17/12/1962;1200;;22.2;;;;
82983;18/12/1962;0000;36.5;;28.24;54.5;2;
82983;18/12/1962;1200;;21.1;;;;
82983;19/12/1962;0000;36.6;;29.04;47.5;4.333333;
