--------------------
BDMEP - INMET
--------------------
Estação           : PAULO AFONSO - BA (OMM: 82986)
Latitude  (graus) : -9.36
Longitude (graus) : -38.21
Altitude  (metros): 252.69
Estação Operante
Inicio de operação: 01/02/1951
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82986;01/01/1962;0000;36.5;;28.28;64.5;2;
82986;01/01/1962;1200;;24;;;;
82986;02/01/1962;0000;35.9;;28.92;54.75;1.333333;
82986;02/01/1962;1200;;23.6;;;;
82986;03/01/1962;0000;37.7;;30.1;47.25;0.666667;
82986;03/01/1962;1200;;22.4;;;;
82986;04/01/1962;0000;37.7;;30.22;49.75;2.666667;
82986;04/01/1962;1200;;22.7;;;;
82986;05/01/1962;0000;34.6;;28.44;59.25;0;
82986;05/01/1962;1200;;23;;;;
82986;06/01/1962;0000;36.3;;28.7;53;2.333333;
82986;06/01/1962;1200;;22.5;;;;
82986;07/01/1962;0000;35.5;;28.26;53;3;
82986;07/01/1962;1200;;23;;;;
82986;08/01/1962;0000;34.9;;27.58;51.25;3.333333;
82986;08/01/1962;1200;;22;;;;
82986;09/01/1962;0000;36.4;;28.36;51.75;5.333333;
82986;09/01/1962;1200;;21.6;;;;
82986;10/01/1962;0000;35.9;;29.62;50.5;1.666667;
82986;10/01/1962;1200;;22.8;;;;
82986;11/01/1962;0000;37.9;;30.46;50;2;
82986;11/01/1962;1200;;23.2;;;;
82986;12/01/1962;0000;37;;30.48;48.75;1.333333;
82986;12/01/1962;1200;;24;;;;
82986;13/01/1962;0000;35.7;;28.54;57.75;3.333333;
82986;13/01/1962;1200;;23.6;;;;
82986;14/01/1962;0000;36.9;;28.08;64.25;1.333333;
82986;14/01/1962;1200;;22;;;;
82986;15/01/1962;0000;33.9;;27.3;64.75;2.666667;
82986;15/01/1962;1200;;21.2;;;;
82986;16/01/1962;0000;36.5;;30;58.25;1.333333;
82986;16/01/1962;1200;;24;;;;
82986;17/01/1962;0000;35.9;;28.86;54.75;2.666667;
82986;17/01/1962;1200;;23.6;;;;
82986;18/01/1962;0000;35.4;;27.64;54.25;3.666667;
82986;18/01/1962;1200;;21.7;;;;
82986;19/01/1962;0000;34.9;;28.08;46.25;2.666667;
82986;19/01/1962;1200;;21;;;;
82986;20/01/1962;0000;36.3;;28.74;54;2.333333;
82986;20/01/1962;1200;;22;;;;
82986;21/01/1962;0000;37.3;;27.96;66.25;2;
82986;21/01/1962;1200;;23;;;;
82986;22/01/1962;0000;36.2;;28.94;58.75;2.333333;
82986;22/01/1962;1200;;23;;;;
82986;23/01/1962;0000;36.5;;29.08;54.5;1.333333;
82986;23/01/1962;1200;;22.3;;;;
82986;24/01/1962;0000;36.4;;28.62;57.5;2.666667;
82986;24/01/1962;1200;;22.1;;;;
82986;25/01/1962;0000;36;;28.82;54;2.666667;
82986;25/01/1962;1200;;22.7;;;;
82986;26/01/1962;0000;35.3;;28.56;56;1.666667;
82986;26/01/1962;1200;;22.5;;;;
82986;27/01/1962;0000;35.4;;28.7;55.25;3;
82986;27/01/1962;1200;;22.5;;;;
82986;28/01/1962;0000;37.3;;29.02;57.25;1.666667;
82986;28/01/1962;1200;;22.7;;;;
82986;29/01/1962;0000;36.3;;29.78;58.75;1;
82986;29/01/1962;1200;;24;;;;
82986;30/01/1962;0000;36.9;;27.96;62.75;0.666667;
82986;30/01/1962;1200;;23.5;;;;
82986;31/01/1962;0000;33.7;;27.1;70.25;0;
82986;31/01/1962;1200;;23;;;;
82986;01/02/1962;0000;34.7;;28.18;53;4.333333;
82986;01/02/1962;1200;;23;;;;
82986;02/02/1962;0000;34.9;;27.86;52;3.333333;
82986;02/02/1962;1200;;21;;;;
82986;03/02/1962;0000;35.3;;27.94;62.5;3.333333;
82986;03/02/1962;1200;;22.4;;;;
82986;04/02/1962;0000;36.1;;28.62;50.25;3;
82986;04/02/1962;1200;;23.3;;;;
82986;05/02/1962;0000;36.5;;28.38;51;3;
82986;05/02/1962;1200;;21.5;;;;
82986;06/02/1962;0000;36.9;;29.16;46.75;4;
82986;06/02/1962;1200;;22.2;;;;
