--------------------
BDMEP - INMET
--------------------
Estação           : PAO DE ACUCAR - AL (OMM: 82990)
Latitude  (graus) : -9.75
Longitude (graus) : -37.43
Altitude  (metros): 19.10
Estação Operante
Inicio de operação: 14/03/1927
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82990;01/01/1977;0000;34.3;;27.24;76.75;4.333333;
82990;01/01/1977;1200;;21.7;;;;
82990;02/01/1977;0000;33.9;;27.2;63.5;3.666667;
82990;02/01/1977;1200;;22.4;;;;
82990;03/01/1977;0000;32.4;;26.64;69.25;3.666667;
82990;03/01/1977;1200;;22.1;;;;
82990;04/01/1977;0000;33.6;;27.24;61.25;3;
82990;04/01/1977;1200;;21.9;;;;
82990;05/01/1977;0000;33;;27.04;65.25;3;
82990;05/01/1977;1200;;21.8;;;;
82990;06/01/1977;0000;33.1;;27.6;66;6;
82990;06/01/1977;1200;;23.6;;;;
82990;07/01/1977;0000;30.4;;26.44;71.5;5;
82990;07/01/1977;1200;;23.4;;;;
82990;08/01/1977;0000;33.9;;27.54;60;4.333333;
82990;08/01/1977;1200;;21.8;;;;
82990;09/01/1977;0000;34.9;;28.06;62.75;1.333333;
82990;09/01/1977;1200;;22.2;;;;
82990;10/01/1977;0000;34.9;;27.7;61.5;4;
82990;10/01/1977;1200;;23.1;;;;
82990;11/01/1977;0000;34.2;;27.48;58.25;3.666667;
82990;11/01/1977;1200;;21.8;;;;
82990;12/01/1977;0000;34.3;;27.38;60.75;4.333333;
82990;12/01/1977;1200;;20.9;;;;
82990;13/01/1977;0000;30.5;;25.38;84.75;3;
82990;13/01/1977;1200;;22.4;;;;
82990;14/01/1977;0000;33.6;;27.9;67.5;6.333333;
82990;14/01/1977;1200;;24.1;;;;
82990;15/01/1977;0000;31.8;;27.16;65.25;3;
82990;15/01/1977;1200;;24;;;;
