--------------------
BDMEP - INMET
--------------------
Estação           : PALMEIRA DOS INDIOS - AL (OMM: 82992)
Latitude  (graus) : -9.44
Longitude (graus) : -36.7
Altitude  (metros): 274.90
Estação Operante
Inicio de operação: 01/01/1928
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82992;19/02/1961;0000;;;;74.25;1;
82992;19/02/1961;1200;;21.1;;;;
82992;20/02/1961;0000;;;;72.25;1;
82992;20/02/1961;1200;;20.3;;;;
82992;21/02/1961;0000;;;;85.75;1.666667;
82992;21/02/1961;1200;;22.1;;;;
82992;22/02/1961;0000;;;;75.75;1;
82992;22/02/1961;1200;;20.8;;;;
82992;23/02/1961;0000;;;;77.75;1.666667;
82992;23/02/1961;1200;;21.8;;;;
82992;24/02/1961;0000;;;;72.5;2;
82992;24/02/1961;1200;;21.8;;;;
82992;25/02/1961;0000;;;;78.5;1;
82992;25/02/1961;1200;;21.7;;;;
82992;26/02/1961;0000;;;;82;1.333333;
82992;26/02/1961;1200;;22.6;;;;
82992;27/02/1961;0000;;;;82.75;1.666667;
82992;27/02/1961;1200;;22.8;;;;
82992;28/02/1961;0000;;;;78.25;1;
82992;28/02/1961;1200;;22.2;;;;
82992;01/03/1961;0000;;;;79.25;2;
82992;01/03/1961;1200;;21.4;;;;
82992;02/03/1961;0000;;;;77;2.333333;
82992;02/03/1961;1200;;20.8;;;;
82992;03/03/1961;0000;;;;71;2.333333;
82992;03/03/1961;1200;;21.4;;;;
82992;04/03/1961;0000;;;;75.75;3;
82992;04/03/1961;1200;;22.6;;;;
82992;05/03/1961;0000;;;;77;1.666667;
82992;05/03/1961;1200;;21.8;;;;
82992;06/03/1961;0000;;;;77.25;3;
82992;06/03/1961;1200;;22;;;;
82992;07/03/1961;0000;;;;77.25;1;
82992;07/03/1961;1200;;21.8;;;;
82992;08/03/1961;0000;;;;74;1.666667;
82992;08/03/1961;1200;;22.2;;;;
82992;09/03/1961;0000;;;;76.75;1;
82992;09/03/1961;1200;;22.6;;;;
82992;10/03/1961;0000;;;;72.5;1.666667;
82992;10/03/1961;1200;;22.3;;;;
82992;11/03/1961;0000;;;;85.5;0.333333;
82992;11/03/1961;1200;;20.4;;;;
82992;12/03/1961;0000;;;;86.75;1.333333;
82992;12/03/1961;1200;;20.1;;;;
82992;13/03/1961;0000;;;;84.25;1;
82992;13/03/1961;1200;;21.8;;;;
82992;14/03/1961;0000;;;;81.25;1;
82992;14/03/1961;1200;;21.8;;;;
82992;15/03/1961;0000;;;;76;1;
82992;15/03/1961;1200;;22;;;;
82992;16/03/1961;0000;;;;82;2.333333;
82992;16/03/1961;1200;;22;;;;
82992;17/03/1961;0000;;;;81.5;1.666667;
82992;17/03/1961;1200;;21.4;;;;
82992;18/03/1961;0000;;;;79.5;0.666667;
82992;18/03/1961;1200;;22.6;;;;
82992;19/03/1961;0000;;;;74.25;1;
82992;19/03/1961;1200;;22.6;;;;
82992;20/03/1961;0000;;;;72.75;1;
82992;20/03/1961;1200;;21.8;;;;
82992;21/03/1961;0000;;;;77;0.333333;
82992;21/03/1961;1200;;21.8;;;;
82992;22/03/1961;0000;;;;77.25;0.666667;
82992;22/03/1961;1200;;22.6;;;;
82992;23/03/1961;0000;;;;91.75;0.666667;
82992;23/03/1961;1200;;21.2;;;;
82992;24/03/1961;0000;;;;84.5;0.333333;
82992;24/03/1961;1200;;21.6;;;;
82992;25/03/1961;0000;;;;89;0.333333;
82992;25/03/1961;1200;;21.6;;;;
82992;26/03/1961;0000;;;;88.75;0.333333;
82992;26/03/1961;1200;;22;;;;
82992;27/03/1961;0000;;;;86.5;0.333333;
82992;27/03/1961;1200;;21.8;;;;
82992;28/03/1961;0000;;;;86.75;0;
82992;28/03/1961;1200;;22;;;;
82992;29/03/1961;0000;;;;94.5;0;
82992;29/03/1961;1200;;21.6;;;;
82992;30/03/1961;0000;;;;91.75;0;
82992;30/03/1961;1200;;21.4;;;;
82992;31/03/1961;0000;;;;88.25;0;
82992;31/03/1961;1200;;20.1;;;;
82992;01/04/1961;0000;;;;82.5;1.666667;
82992;01/04/1961;1200;;22.8;;;;
82992;02/04/1961;0000;;;;77.25;0;
82992;02/04/1961;1200;;20.8;;;;
82992;03/04/1961;0000;;;;75.5;0.333333;
82992;03/04/1961;1200;;21.9;;;;
82992;04/04/1961;0000;;;;80.25;0.333333;
82992;04/04/1961;1200;;21;;;;
82992;05/04/1961;0000;;;;84.5;0.333333;
82992;05/04/1961;1200;;21;;;;
82992;06/04/1961;0000;;;;76.5;0.333333;
82992;06/04/1961;1200;;20.6;;;;
82992;07/04/1961;0000;;;;80;0.666667;
82992;07/04/1961;1200;;21.6;;;;
82992;08/04/1961;0000;;;;79;0.333333;
82992;08/04/1961;1200;;21;;;;
82992;09/04/1961;0000;;;;82;1;
82992;09/04/1961;1200;;21.6;;;;
82992;10/04/1961;0000;;;;76.25;1;
82992;10/04/1961;1200;;21.3;;;;
82992;11/04/1961;0000;;;;81.25;2;
82992;11/04/1961;1200;;21.1;;;;
82992;12/04/1961;0000;;;;87.5;0.333333;
82992;12/04/1961;1200;;21.2;;;;
82992;13/04/1961;0000;;;;87.5;0.666667;
82992;13/04/1961;1200;;21.6;;;;
82992;14/04/1961;0000;;;;88;1.333333;
82992;14/04/1961;1200;;21.6;;;;
82992;15/04/1961;0000;;;;82.5;0.333333;
82992;15/04/1961;1200;;21;;;;
82992;16/04/1961;0000;;;;93.75;0.333333;
82992;16/04/1961;1200;;21.2;;;;
82992;17/04/1961;0000;;;;82.25;0.666667;
82992;17/04/1961;1200;;21.3;;;;
82992;18/04/1961;0000;;;;93.75;0.333333;
82992;18/04/1961;1200;;21.7;;;;
82992;19/04/1961;0000;;;;83.75;0;
82992;19/04/1961;1200;;20.6;;;;
82992;20/04/1961;0000;;;;85;0.666667;
82992;20/04/1961;1200;;22.4;;;;
82992;21/04/1961;0000;;;;85.25;0.666667;
82992;21/04/1961;1200;;22;;;;
82992;22/04/1961;0000;;;;81.5;0.666667;
82992;22/04/1961;1200;;21.4;;;;
82992;23/04/1961;0000;;;;91.75;0;
82992;23/04/1961;1200;;20.8;;;;
82992;24/04/1961;0000;;;;85.25;1;
82992;24/04/1961;1200;;20.8;;;;
82992;25/04/1961;0000;;;;90;0.333333;
82992;25/04/1961;1200;;20.4;;;;
82992;26/04/1961;0000;;;;89;0.333333;
82992;26/04/1961;1200;;21.8;;;;
82992;27/04/1961;0000;;;;79.5;0;
82992;27/04/1961;1200;;21.2;;;;
82992;28/04/1961;0000;;;;79.5;1;
82992;28/04/1961;1200;;21.6;;;;
82992;29/04/1961;0000;;;;83.5;0.666667;
82992;29/04/1961;1200;;22.3;;;;
82992;30/04/1961;0000;;;;85.5;0.333333;
82992;30/04/1961;1200;;21.2;;;;
82992;01/05/1961;0000;;;;91.25;0.333333;
82992;01/05/1961;1200;;20.8;;;;
82992;02/05/1961;0000;;;;77.75;0.333333;
82992;02/05/1961;1200;;21;;;;
82992;03/05/1961;0000;;;;76.5;0;
82992;03/05/1961;1200;;20.4;;;;
82992;04/05/1961;0000;;;;80;1;
82992;04/05/1961;1200;;20.4;;;;
82992;05/05/1961;0000;;;;81.75;0.666667;
82992;05/05/1961;1200;;22.2;;;;
82992;06/05/1961;0000;;;;80.25;0.666667;
82992;06/05/1961;1200;;21.6;;;;
82992;07/05/1961;0000;;;;83.75;0.666667;
82992;07/05/1961;1200;;21.2;;;;
82992;08/05/1961;0000;;;;83.75;0.333333;
82992;08/05/1961;1200;;21.2;;;;
82992;09/05/1961;0000;;;;85;0.666667;
82992;09/05/1961;1200;;21;;;;
82992;10/05/1961;0000;;;;95.75;0;
82992;10/05/1961;1200;;20.2;;;;
82992;11/05/1961;0000;;;;93.25;0;
82992;11/05/1961;1200;;19.2;;;;
82992;12/05/1961;0000;;;;97;0;
82992;12/05/1961;1200;;20.4;;;;
82992;13/05/1961;0000;;;;96;0;
82992;13/05/1961;1200;;20.8;;;;
82992;14/05/1961;0000;;;;86.75;0;
82992;14/05/1961;1200;;20.2;;;;
82992;15/05/1961;0000;;;;80.75;0;
82992;15/05/1961;1200;;19.6;;;;
82992;16/05/1961;0000;;;;83.25;0.666667;
82992;16/05/1961;1200;;19.8;;;;
82992;17/05/1961;0000;;;;87;0.333333;
82992;17/05/1961;1200;;20.2;;;;
82992;18/05/1961;0000;;;;91.75;0;
82992;18/05/1961;1200;;21.6;;;;
82992;19/05/1961;0000;;;;86.75;1.333333;
82992;19/05/1961;1200;;20.5;;;;
82992;20/05/1961;0000;;;;77.25;1;
82992;20/05/1961;1200;;20.8;;;;
82992;21/05/1961;0000;;;;80.25;0.666667;
82992;21/05/1961;1200;;20.3;;;;
82992;22/05/1961;0000;;;;88.75;0;
82992;22/05/1961;1200;;21.6;;;;
82992;23/05/1961;0000;;;;85;0.666667;
82992;23/05/1961;1200;;20.8;;;;
82992;24/05/1961;0000;;;;85;2.666667;
82992;24/05/1961;1200;;21.3;;;;
82992;25/05/1961;0000;;;;92.75;1;
82992;25/05/1961;1200;;20.3;;;;
82992;26/05/1961;0000;;;;85.75;0.666667;
82992;26/05/1961;1200;;19.8;;;;
82992;27/05/1961;0000;;;;85.5;1.333333;
82992;27/05/1961;1200;;20.1;;;;
82992;28/05/1961;0000;;;;95.25;1.333333;
82992;28/05/1961;1200;;20.3;;;;
82992;29/05/1961;0000;;;;90;1.666667;
82992;29/05/1961;1200;;20.1;;;;
82992;30/05/1961;0000;;;;84.75;1.666667;
82992;30/05/1961;1200;;20.1;;;;
82992;31/05/1961;0000;;;;86.25;1.333333;
82992;31/05/1961;1200;;20.3;;;;
82992;01/06/1961;0000;;;;97.25;1.666667;
82992;01/06/1961;1200;;20.5;;;;
