--------------------
BDMEP - INMET
--------------------
Estação           : MACEIO - AL (OMM: 82994)
Latitude  (graus) : -9.66
Longitude (graus) : -35.7
Altitude  (metros): 64.50
Estação Operante
Inicio de operação: 01/01/1909
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82994;01/01/1961;0000;29.4;;26.44;70;5;
82994;01/01/1961;1200;;22.8;;;;
82994;02/01/1961;0000;29.3;;26.26;66.5;5.333333;
82994;02/01/1961;1200;;22.1;;;;
82994;03/01/1961;0000;29.9;;26.36;72.5;5.333333;
82994;03/01/1961;1200;;21.9;;;;
82994;04/01/1961;0000;30;;26.58;76.75;6;
82994;04/01/1961;1200;;22.4;;;;
82994;05/01/1961;0000;29.8;;27.04;71.25;4;
82994;05/01/1961;1200;;24.8;;;;
82994;06/01/1961;0000;29.7;;26.76;73;4;
82994;06/01/1961;1200;;23.6;;;;
82994;07/01/1961;0000;30.4;;26.74;75;6;
82994;07/01/1961;1200;;22.8;;;;
82994;08/01/1961;0000;29.9;;26.54;76.25;5.666667;
82994;08/01/1961;1200;;22.4;;;;
82994;09/01/1961;0000;29.4;;26.24;77;4.333333;
82994;09/01/1961;1200;;22.8;;;;
82994;10/01/1961;0000;29.9;;26.34;76;4.333333;
82994;10/01/1961;1200;;22.6;;;;
82994;11/01/1961;0000;29.3;;26.28;76.75;5.666667;
82994;11/01/1961;1200;;22.2;;;;
82994;12/01/1961;0000;29.9;;26.9;78;4.666667;
82994;12/01/1961;1200;;25.1;;;;
82994;13/01/1961;0000;27.5;;25.24;86.75;4;
82994;13/01/1961;1200;;23.8;;;;
82994;14/01/1961;0000;28.6;;26.18;77.5;3.333333;
82994;14/01/1961;1200;;23.7;;;;
82994;15/01/1961;0000;29.3;;25.92;82.75;3.333333;
