--------------------
BDMEP - INMET
--------------------
Estação           : PORTO DE PEDRAS - AL (OMM: 82996)
Latitude  (graus) : -9.18
Longitude (graus) : -35.43
Altitude  (metros): 50.02
Estação Operante
Inicio de operação: 14/03/1927
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82996;01/01/1961;0000;30;;26.48;71;1.666667;
82996;01/01/1961;1200;;21.5;;;;
82996;02/01/1961;0000;29.9;;25.74;74;1.666667;
82996;02/01/1961;1200;;19.5;;;;
82996;03/01/1961;0000;29.8;;26.52;72.5;2;
82996;03/01/1961;1200;;22.3;;;;
82996;04/01/1961;0000;30.6;;26.64;74.75;2;
82996;04/01/1961;1200;;22.1;;;;
82996;05/01/1961;0000;29.6;;26.72;71.25;2.666667;
82996;05/01/1961;1200;;23.5;;;;
82996;06/01/1961;0000;29.8;;26.78;74.25;2.333333;
82996;06/01/1961;1200;;23.1;;;;
82996;07/01/1961;0000;29.9;;26.5;69.75;2;
82996;07/01/1961;1200;;21.1;;;;
82996;08/01/1961;0000;30.6;;26.72;75.25;2.666667;
82996;08/01/1961;1200;;22.7;;;;
82996;09/01/1961;0000;29.8;;25.96;75.75;2;
82996;09/01/1961;1200;;20.5;;;;
82996;10/01/1961;0000;30.8;;26.84;72.25;2.333333;
82996;10/01/1961;1200;;21.7;;;;
82996;11/01/1961;0000;29.6;;26.08;73.75;2.333333;
82996;11/01/1961;1200;;20.5;;;;
82996;12/01/1961;0000;29.8;;26.68;73;2.666667;
82996;12/01/1961;1200;;22.9;;;;
82996;13/01/1961;0000;28.8;;26.34;75.25;2.666667;
82996;13/01/1961;1200;;23.8;;;;
82996;14/01/1961;0000;28.8;;25.2;81.75;1;
82996;14/01/1961;1200;;22.3;;;;
82996;15/01/1961;0000;28.5;;25.58;79.5;1.333333;
82996;15/01/1961;1200;;21.1;;;;
