--------------------
BDMEP - INMET
--------------------
Estação           : LAMBARI - MG (OMM: 83032)
Latitude  (graus) : -21.94
Longitude (graus) : -45.31
Altitude  (metros): 878.45
Estação Operante
Inicio de operação: 01/06/1976
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83032;01/06/1976;0000;23.1;;;;;
83032;01/06/1976;1200;;-0.4;;;;
83032;02/06/1976;0000;23.1;;;;;
83032;02/06/1976;1200;;-0.2;;;;
83032;03/06/1976;0000;24.4;;;;;
83032;03/06/1976;1200;;2.2;;;;
83032;04/06/1976;0000;24.3;;;;;
83032;04/06/1976;1200;;3.4;;;;
83032;05/06/1976;0000;23.7;;;;;
83032;05/06/1976;1200;;6.1;;;;
83032;06/06/1976;0000;21.9;;;;;
83032;06/06/1976;1200;;10.8;;;;
83032;07/06/1976;0000;22.3;;;;;
83032;07/06/1976;1200;;5;;;;
83032;08/06/1976;0000;22.5;;;;;
83032;08/06/1976;1200;;2.2;;;;
83032;09/06/1976;0000;22.5;;;;;
83032;09/06/1976;1200;;10;;;;
83032;10/06/1976;0000;24.9;;;;;
83032;10/06/1976;1200;;11.4;;;;
83032;11/06/1976;0000;23.9;;;;;
83032;11/06/1976;1200;;7.8;;;;
83032;12/06/1976;0000;23.5;;;;;
83032;12/06/1976;1200;;10.4;;;;
83032;13/06/1976;0000;24.7;;;;;
83032;13/06/1976;1200;;9.4;;;;
83032;14/06/1976;0000;24.5;;;;;
83032;14/06/1976;1200;;9.2;;;;
83032;15/06/1976;0000;22.9;;;;;
83032;15/06/1976;1200;;5.3;;;;
83032;16/06/1976;0000;24.9;;;;;
83032;16/06/1976;1200;;2;;;;
83032;25/06/1976;0000;23.9;;;;;
83032;25/06/1976;1200;;5.9;;;;
83032;26/06/1976;0000;25.4;;;;;
83032;26/06/1976;1200;;2.8;;;;
83032;27/06/1976;0000;24.9;;;;;
83032;27/06/1976;1200;;2.6;;;;
83032;28/06/1976;0000;25.4;;;;;
83032;28/06/1976;1200;;5.2;;;;
83032;29/06/1976;0000;24.5;;;;;
83032;29/06/1976;1200;;5;;;;
83032;30/06/1976;0000;21.7;;;;;
83032;30/06/1976;1200;;6.7;;;;
83032;01/07/1976;0000;15.5;;;;;
83032;01/07/1976;1200;;6.1;;;;
83032;02/07/1976;0000;15.3;;;;;
83032;02/07/1976;1200;;6.7;;;;
83032;03/07/1976;0000;12.4;;;;;
83032;03/07/1976;1200;;7.6;;;;
83032;04/07/1976;0000;17.7;;;;;
83032;04/07/1976;1200;;2;;;;
83032;05/07/1976;0000;19.1;;;;;
83032;05/07/1976;1200;;-0.6;;;;
83032;06/07/1976;0000;20.7;;;;;
83032;06/07/1976;1200;;1.6;;;;
83032;07/07/1976;0000;22.9;;;;;
83032;07/07/1976;1200;;1.4;;;;
83032;08/07/1976;0000;18.3;;;;;
83032;08/07/1976;1200;;3.6;;;;
83032;09/07/1976;0000;19.7;;;;;
83032;09/07/1976;1200;;9;;;;
83032;10/07/1976;0000;18.1;;;;;
83032;10/07/1976;1200;;10;;;;
83032;11/07/1976;0000;18.3;;;;;
83032;11/07/1976;1200;;5.3;;;;
83032;12/07/1976;0000;22.7;;;;;
83032;12/07/1976;1200;;9.6;;;;
83032;13/07/1976;0000;23.7;;;;;
83032;13/07/1976;1200;;4.6;;;;
83032;14/07/1976;0000;25.6;;;;;
83032;14/07/1976;1200;;3;;;;
83032;15/07/1976;0000;23.9;;;;;
83032;15/07/1976;1200;;5.5;;;;
83032;16/07/1976;0000;22.3;;;;;
83032;16/07/1976;1200;;2.8;;;;
83032;17/07/1976;0000;20.5;;;;;
83032;17/07/1976;1200;;0.4;;;;
83032;18/07/1976;0000;21.3;;;;;
83032;18/07/1976;1200;;1.2;;;;
83032;19/07/1976;0000;21.3;;;;;
83032;19/07/1976;1200;;1;;;;
83032;20/07/1976;0000;21.3;;;;;
83032;20/07/1976;1200;;5.2;;;;
83032;21/07/1976;0000;20.1;;;;;
83032;21/07/1976;1200;;6.9;;;;
83032;22/07/1976;0000;21.1;;;;;
83032;22/07/1976;1200;;8.4;;;;
83032;23/07/1976;0000;20.3;;;;;
83032;23/07/1976;1200;;7.8;;;;
83032;24/07/1976;0000;23.7;;;;;
83032;24/07/1976;1200;;4;;;;
83032;25/07/1976;0000;25.2;;;;;
83032;25/07/1976;1200;;3;;;;
83032;26/07/1976;0000;26.2;;;;;
83032;26/07/1976;1200;;2.4;;;;
83032;27/07/1976;0000;27.2;;;;;
83032;27/07/1976;1200;;3.6;;;;
83032;28/07/1976;0000;26;;;;;
83032;28/07/1976;1200;;3.8;;;;
83032;29/07/1976;0000;24.9;;;;;
83032;29/07/1976;1200;;3.6;;;;
83032;30/07/1976;0000;24.7;;;;;
83032;30/07/1976;1200;;4.2;;;;
83032;31/07/1976;0000;26.2;;;;;
83032;31/07/1976;1200;;3.4;;;;
83032;01/08/1976;0000;27;;;;;
83032;01/08/1976;1200;;4.2;;;;
83032;02/08/1976;0000;26.8;;;;;
83032;02/08/1976;1200;;4.6;;;;
83032;04/08/1976;0000;26;;;;;
83032;04/08/1976;1200;;4;;;;
83032;05/08/1976;0000;24.5;;;;;
83032;05/08/1976;1200;;5;;;;
83032;06/08/1976;0000;20.7;;;;;
83032;06/08/1976;1200;;4;;;;
83032;07/08/1976;0000;23.7;;;;;
83032;07/08/1976;1200;;5.3;;;;
83032;08/08/1976;0000;26.4;;;;;
83032;08/08/1976;1200;;5;;;;
83032;09/08/1976;0000;27.2;;;;;
83032;09/08/1976;1200;;5.5;;;;
83032;10/08/1976;0000;24.7;;;;;
83032;10/08/1976;1200;;12.2;;;;
83032;11/08/1976;0000;18.3;;;;;
83032;11/08/1976;1200;;12.2;;;;
83032;12/08/1976;0000;21.1;;;;;
83032;12/08/1976;1200;;10;;;;
83032;13/08/1976;0000;23.7;;;;;
83032;13/08/1976;1200;;11.6;;;;
83032;14/08/1976;0000;19.3;;;;;
83032;14/08/1976;1200;;11.6;;;;
83032;15/08/1976;0000;17.7;;;;;
83032;15/08/1976;1200;;7.1;;;;
83032;16/08/1976;0000;17.3;;;;;
83032;16/08/1976;1200;;1.6;;;;
83032;17/08/1976;0000;24.9;;;;;
83032;17/08/1976;1200;;10.2;;;;
83032;18/08/1976;0000;25.8;;;;;
83032;18/08/1976;1200;;9;;;;
83032;19/08/1976;0000;25.8;;;;;
83032;19/08/1976;1200;;11.6;;;;
83032;20/08/1976;0000;17.5;;;;;
83032;20/08/1976;1200;;13.2;;;;
83032;21/08/1976;0000;15.1;;;;;
83032;21/08/1976;1200;;10.8;;;;
83032;22/08/1976;0000;21.3;;;;;
83032;22/08/1976;1200;;9.6;;;;
83032;23/08/1976;0000;23.5;;;;;
83032;23/08/1976;1200;;6.9;;;;
83032;24/08/1976;0000;24.5;;;;;
83032;24/08/1976;1200;;5.7;;;;
83032;25/08/1976;0000;24.1;;;;;
83032;25/08/1976;1200;;5;;;;
83032;26/08/1976;0000;25.2;;;;;
83032;26/08/1976;1200;;5.7;;;;
83032;27/08/1976;0000;24.5;;;;;
83032;27/08/1976;1200;;8.6;;;;
83032;28/08/1976;0000;26;;;;;
83032;28/08/1976;1200;;6.5;;;;
83032;29/08/1976;0000;26.2;;;;;
83032;29/08/1976;1200;;7.2;;;;
83032;30/08/1976;0000;23.5;;;;;
83032;30/08/1976;1200;;9.2;;;;
