--------------------
BDMEP - INMET
--------------------
Estação           : PALMAS - TO (OMM: 83033)
Latitude  (graus) : -10.19
Longitude (graus) : -48.3
Altitude  (metros): 280.00
Estação Operante
Inicio de operação: 08/10/1993
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83033;25/11/1993;0000;33;;27.08;81.75;;
83033;25/11/1993;1200;;25.6;;;;
83033;26/11/1993;0000;32.4;;26.46;78.75;;
83033;26/11/1993;1200;;21.7;;;;
83033;27/11/1993;0000;27.5;;24.38;91;;
83033;27/11/1993;1200;;22.7;;;;
83033;28/11/1993;0000;32.6;;26.42;78.25;;
83033;28/11/1993;1200;;22.7;;;;
83033;03/12/1993;0000;35.3;;28.58;66.25;;
83033;03/12/1993;1200;;24;;;;
83033;04/12/1993;0000;34.8;;28.04;69.25;;
83033;04/12/1993;1200;;22.9;;;;
83033;05/12/1993;0000;33.3;;28.32;68.5;;
83033;05/12/1993;1200;;24;;;;
83033;06/12/1993;0000;31.8;;25.44;85.5;;
83033;06/12/1993;1200;;23.3;;;;
83033;07/12/1993;0000;30;;24.8;92.5;;
83033;07/12/1993;1200;;22.5;;;;
83033;08/12/1993;0000;32.3;;26.76;76.25;;
83033;08/12/1993;1200;;22;;;;
83033;09/12/1993;0000;31.8;;25.96;83.75;;
83033;09/12/1993;1200;;24;;;;
83033;10/12/1993;0000;30.8;;26.44;79.75;;
83033;10/12/1993;1200;;22.5;;;;
83033;11/12/1993;0000;31.8;;27.98;78.75;;
83033;11/12/1993;1200;;23.5;;;;
83033;12/12/1993;0000;34.4;;27.32;64;;
83033;12/12/1993;1200;;22.9;;;;
83033;13/12/1993;0000;33;;26.1;78;;
83033;13/12/1993;1200;;23.3;;;;
83033;14/12/1993;0000;32.5;;25.66;82.25;;
83033;14/12/1993;1200;;21.9;;;;
83033;15/12/1993;0000;32;;26.24;76.5;;
83033;15/12/1993;1200;;23;;;;
83033;17/12/1993;0000;38.8;;27.16;79;;
83033;17/12/1993;1200;;23;;;;
83033;18/12/1993;0000;31;;26.52;84;;
83033;18/12/1993;1200;;23.6;;;;
83033;19/12/1993;0000;30.6;;25.6;84.25;;
83033;19/12/1993;1200;;23.2;;;;
83033;20/12/1993;0000;27.1;;23.4;90.25;;
83033;20/12/1993;1200;;21.7;;;;
83033;21/12/1993;0000;31;;25.44;85;;
83033;21/12/1993;1200;;21.8;;;;
83033;22/12/1993;0000;31.8;;25.4;85;;
83033;22/12/1993;1200;;21.9;;;;
83033;23/12/1993;0000;29.4;;26.08;70.75;;
83033;23/12/1993;1200;;22.3;;;;
83033;24/12/1993;0000;27.4;;23;89.25;;
83033;24/12/1993;1200;;19.7;;;;
83033;25/12/1993;0000;30.6;;24.34;87.75;;
83033;25/12/1993;1200;;21.5;;;;
83033;26/12/1993;0000;26.1;;24.1;88.5;;
83033;26/12/1993;1200;;21.8;;;;
83033;27/12/1993;0000;30.9;;25.1;80.5;;
83033;27/12/1993;1200;;21.5;;;;
