--------------------
BDMEP - INMET
--------------------
Estação           : CORONEL PACHECO - MG (OMM: 83037)
Latitude  (graus) : -21.55
Longitude (graus) : -43.26
Altitude  (metros): 435.00
Estação 
Inicio de operação: 01/01/1955
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83037;01/10/1966;0000;28.9;;20.58;80.25;0.333333;
83037;01/10/1966;1200;;11;;;;
83037;02/10/1966;0000;32.4;;22.8;65.25;0.333333;
83037;02/10/1966;1200;;9.3;;;;
83037;03/10/1966;0000;34.7;;22.64;66.75;0;
83037;03/10/1966;1200;;8.9;;;;
83037;04/10/1966;0000;31.2;;22.02;65.5;3;
83037;04/10/1966;1200;;9.3;;;;
83037;05/10/1966;0000;23.2;;20.38;72.75;0;
83037;05/10/1966;1200;;13.2;;;;
83037;06/10/1966;0000;20.6;;16.62;88.25;1;
83037;06/10/1966;1200;;10.3;;;;
83037;07/10/1966;0000;24.1;;19.06;82.75;1;
83037;07/10/1966;1200;;8.8;;;;
83037;08/10/1966;0000;29.9;;21.48;82.5;0.333333;
83037;08/10/1966;1200;;10.9;;;;
83037;09/10/1966;0000;27.5;;21.38;80.25;0.666667;
83037;09/10/1966;1200;;11.8;;;;
83037;10/10/1966;0000;30.2;;21.7;65;0.666667;
83037;10/10/1966;1200;;9.3;;;;
83037;11/10/1966;0000;31.5;;21.56;79.25;0.333333;
83037;11/10/1966;1200;;12.2;;;;
83037;12/10/1966;0000;29.1;;21.34;75.5;0.333333;
83037;12/10/1966;1200;;9.9;;;;
83037;13/10/1966;0000;26.9;;21;77.5;0;
83037;13/10/1966;1200;;13.1;;;;
83037;14/10/1966;0000;29.4;;22.18;81.5;0.666667;
83037;14/10/1966;1200;;13.8;;;;
83037;15/10/1966;0000;32.8;;22.98;74.5;0;
83037;15/10/1966;1200;;14.8;;;;
83037;16/10/1966;0000;31.9;;24.06;70.75;1;
83037;16/10/1966;1200;;12.4;;;;
83037;17/10/1966;0000;23.3;;19.1;91;0;
83037;17/10/1966;1200;;12.4;;;;
83037;18/10/1966;0000;28.5;;20.04;90.25;0.333333;
83037;18/10/1966;1200;;11.2;;;;
83037;19/10/1966;0000;32.7;;21.2;68;2;
83037;19/10/1966;1200;;10.9;;;;
