--------------------
BDMEP - INMET
--------------------
Estação           : AVELAR  P DO ALFERES  - RJ (OMM: 83049)
Latitude  (graus) : -22.35
Longitude (graus) : -43.41
Altitude  (metros): 507.00
Estação Operante
Inicio de operação: 01/04/1971
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83049;01/01/1985;0000;30.7;;;;;
83049;01/01/1985;1200;;20;;;;
83049;02/01/1985;0000;28.3;;;;;
83049;02/01/1985;1200;;17.8;;;;
83049;03/01/1985;0000;29;;;;;
83049;03/01/1985;1200;;16.1;;;;
83049;04/01/1985;0000;28.4;;;;;
83049;04/01/1985;1200;;18;;;;
83049;05/01/1985;0000;29;;;;;
83049;05/01/1985;1200;;15.3;;;;
83049;06/01/1985;0000;31.4;;;;;
83049;06/01/1985;1200;;19.8;;;;
83049;07/01/1985;0000;31.3;;;;;
83049;07/01/1985;1200;;20;;;;
83049;08/01/1985;0000;23.9;;;;;
83049;08/01/1985;1200;;19.5;;;;
83049;09/01/1985;0000;23.3;;;;;
83049;09/01/1985;1200;;16.6;;;;
83049;10/01/1985;0000;26;;;;;
83049;10/01/1985;1200;;14;;;;
83049;11/01/1985;0000;28.9;;;;;
83049;11/01/1985;1200;;17.3;;;;
83049;12/01/1985;0000;30.7;;;;;
83049;12/01/1985;1200;;19.3;;;;
83049;13/01/1985;0000;30.5;;;;;
83049;13/01/1985;1200;;19.2;;;;
83049;14/01/1985;0000;29.6;;;;;
83049;14/01/1985;1200;;18.9;;;;
83049;15/01/1985;0000;29.3;;;;;
83049;15/01/1985;1200;;19.2;;;;
83049;16/01/1985;0000;28.6;;;;;
83049;16/01/1985;1200;;18.8;;;;
83049;17/01/1985;0000;23.3;;;;;
83049;17/01/1985;1200;;20;;;;
83049;18/01/1985;0000;27.2;;;;;
83049;18/01/1985;1200;;19.9;;;;
83049;19/01/1985;0000;28.7;;;;;
83049;19/01/1985;1200;;19.3;;;;
83049;20/01/1985;0000;29.3;;;;;
83049;20/01/1985;1200;;20.4;;;;
83049;21/01/1985;0000;31.3;;;;;
83049;21/01/1985;1200;;21.5;;;;
83049;22/01/1985;0000;32.7;;;;;
83049;22/01/1985;1200;;21.2;;;;
83049;23/01/1985;0000;29.3;;;;;
83049;23/01/1985;1200;;20.9;;;;
83049;24/01/1985;0000;25.3;;;;;
83049;24/01/1985;1200;;20.7;;;;
83049;25/01/1985;0000;24.4;;;;;
83049;25/01/1985;1200;;18;;;;
83049;26/01/1985;0000;25.7;;;;;
83049;26/01/1985;1200;;17.1;;;;
83049;27/01/1985;0000;20.3;;;;;
83049;27/01/1985;1200;;17.9;;;;
83049;28/01/1985;0000;26.7;;;;;
83049;28/01/1985;1200;;18.4;;;;
83049;29/01/1985;0000;29.9;;;;;
83049;29/01/1985;1200;;20.2;;;;
83049;30/01/1985;0000;28;;;;;
83049;30/01/1985;1200;;20.8;;;;
83049;31/01/1985;0000;29.7;;;;;
83049;31/01/1985;1200;;21;;;;
83049;01/02/1985;0000;30.6;;;;;
83049;01/02/1985;1200;;21.5;;;;
83049;02/02/1985;0000;31.9;;;;;
83049;02/02/1985;1200;;19.2;;;;
83049;03/02/1985;0000;32.5;;;;;
83049;03/02/1985;1200;;17.4;;;;
83049;04/02/1985;0000;34;;;;;
83049;04/02/1985;1200;;17.6;;;;
83049;05/02/1985;0000;31.3;;;;;
83049;05/02/1985;1200;;18.7;;;;
83049;06/02/1985;0000;29.7;;;;;
83049;06/02/1985;1200;;18.7;;;;
83049;07/02/1985;0000;29.1;;;;;
83049;07/02/1985;1200;;18.2;;;;
83049;08/02/1985;0000;27.9;;;;;
83049;08/02/1985;1200;;19.3;;;;
83049;09/02/1985;0000;32.3;;;;;
83049;09/02/1985;1200;;18.2;;;;
83049;10/02/1985;0000;31.1;;;;;
83049;10/02/1985;1200;;19.9;;;;
83049;11/02/1985;0000;32.9;;;;;
83049;11/02/1985;1200;;18.8;;;;
83049;12/02/1985;0000;33.7;;;;;
83049;12/02/1985;1200;;17.6;;;;
83049;13/02/1985;0000;32.9;;;;;
83049;13/02/1985;1200;;18.6;;;;
83049;14/02/1985;0000;32.3;;;;;
83049;14/02/1985;1200;;19.7;;;;
83049;15/02/1985;0000;32.7;;;;;
83049;15/02/1985;1200;;18.6;;;;
83049;16/02/1985;0000;33.1;;;;;
83049;16/02/1985;1200;;18.4;;;;
83049;17/02/1985;0000;33.1;;;;;
83049;17/02/1985;1200;;20.4;;;;
83049;18/02/1985;0000;31.9;;;;;
83049;18/02/1985;1200;;18.2;;;;
83049;19/02/1985;0000;31.1;;;;;
83049;19/02/1985;1200;;17.2;;;;
83049;20/02/1985;0000;33.3;;;;;
83049;20/02/1985;1200;;15.5;;;;
83049;21/02/1985;0000;34.3;;;;;
83049;21/02/1985;1200;;18.1;;;;
83049;22/02/1985;0000;27.3;;;;;
83049;22/02/1985;1200;;20;;;;
83049;23/02/1985;0000;27.3;;;;;
83049;23/02/1985;1200;;20.2;;;;
83049;24/02/1985;0000;27.7;;;;;
83049;24/02/1985;1200;;20.2;;;;
83049;25/02/1985;0000;30.3;;;;;
83049;25/02/1985;1200;;20.1;;;;
83049;26/02/1985;0000;27.9;;;;;
83049;26/02/1985;1200;;21.3;;;;
83049;27/02/1985;0000;30.7;;;;;
83049;27/02/1985;1200;;19.5;;;;
83049;28/02/1985;0000;27.4;;;;;
83049;28/02/1985;1200;;19.4;;;;
83049;01/03/1985;0000;26.7;;;;;
83049;01/03/1985;1200;;20;;;;
83049;02/03/1985;0000;27.3;;;;;
83049;02/03/1985;1200;;18.6;;;;
83049;03/03/1985;0000;28.1;;;;;
83049;03/03/1985;1200;;17.5;;;;
83049;04/03/1985;0000;29;;;;;
83049;04/03/1985;1200;;19.1;;;;
83049;05/03/1985;0000;29.2;;;;;
83049;05/03/1985;1200;;18.8;;;;
83049;06/03/1985;0000;30.2;;;;;
83049;06/03/1985;1200;;20.2;;;;
83049;07/03/1985;0000;29.5;;;;;
83049;07/03/1985;1200;;20.2;;;;
83049;08/03/1985;0000;29.5;;;;;
83049;08/03/1985;1200;;21.2;;;;
83049;09/03/1985;0000;30.4;;;;;
83049;09/03/1985;1200;;19.3;;;;
83049;10/03/1985;0000;30.7;;;;;
83049;10/03/1985;1200;;20.4;;;;
83049;11/03/1985;0000;28.7;;;;;
83049;11/03/1985;1200;;20.6;;;;
83049;12/03/1985;0000;30.9;;;;;
83049;12/03/1985;1200;;19.6;;;;
83049;13/03/1985;0000;29.6;;;;;
83049;13/03/1985;1200;;19.3;;;;
83049;14/03/1985;0000;30.2;;;;;
83049;14/03/1985;1200;;19.8;;;;
83049;15/03/1985;0000;29.5;;;;;
83049;15/03/1985;1200;;19.1;;;;
83049;16/03/1985;0000;28.9;;;;;
83049;16/03/1985;1200;;20;;;;
83049;17/03/1985;0000;29.7;;;;;
83049;17/03/1985;1200;;19.5;;;;
83049;18/03/1985;0000;29.3;;;;;
83049;18/03/1985;1200;;20.2;;;;
83049;19/03/1985;0000;27.6;;;;;
83049;19/03/1985;1200;;18.4;;;;
83049;20/03/1985;0000;28.1;;;;;
83049;20/03/1985;1200;;16.1;;;;
83049;21/03/1985;0000;30.6;;;;;
83049;21/03/1985;1200;;19.6;;;;
83049;22/03/1985;0000;30.7;;;;;
83049;22/03/1985;1200;;20.6;;;;
83049;23/03/1985;0000;31.3;;;;;
83049;23/03/1985;1200;;20;;;;
83049;24/03/1985;0000;32.3;;;;;
83049;24/03/1985;1200;;17.4;;;;
83049;25/03/1985;0000;32.3;;;;;
83049;25/03/1985;1200;;16.4;;;;
83049;26/03/1985;0000;29.2;;;;;
83049;26/03/1985;1200;;21;;;;
83049;27/03/1985;0000;30.3;;;;;
83049;27/03/1985;1200;;20;;;;
83049;28/03/1985;0000;32.1;;;;;
83049;28/03/1985;1200;;20.1;;;;
83049;29/03/1985;0000;31.1;;;;;
83049;29/03/1985;1200;;21.2;;;;
83049;30/03/1985;0000;28.9;;;;;
83049;30/03/1985;1200;;19.2;;;;
83049;31/03/1985;0000;30.7;;;;;
83049;31/03/1985;1200;;17.9;;;;
83049;01/04/1985;0000;30.1;;;;;
83049;01/04/1985;1200;;20.8;;;;
83049;02/04/1985;0000;30.1;;;;;
83049;02/04/1985;1200;;18.8;;;;
83049;03/04/1985;0000;30.7;;;;;
83049;03/04/1985;1200;;18.1;;;;
83049;04/04/1985;0000;31.3;;;;;
83049;04/04/1985;1200;;17.5;;;;
83049;05/04/1985;0000;30.5;;;;;
83049;05/04/1985;1200;;17.1;;;;
83049;06/04/1985;0000;30.1;;;;;
83049;06/04/1985;1200;;16;;;;
83049;07/04/1985;0000;30.4;;;;;
83049;07/04/1985;1200;;15;;;;
83049;08/04/1985;0000;30.5;;;;;
83049;08/04/1985;1200;;19.2;;;;
83049;09/04/1985;0000;26.3;;;;;
83049;09/04/1985;1200;;19.2;;;;
83049;10/04/1985;0000;29.9;;;;;
83049;10/04/1985;1200;;17.7;;;;
83049;11/04/1985;0000;32.3;;;;;
83049;11/04/1985;1200;;19;;;;
83049;12/04/1985;0000;28.4;;;;;
83049;12/04/1985;1200;;19.3;;;;
83049;13/04/1985;0000;29.3;;;;;
83049;13/04/1985;1200;;15.9;;;;
83049;14/04/1985;0000;29.1;;;;;
83049;14/04/1985;1200;;14.4;;;;
83049;15/04/1985;0000;29.9;;;;;
83049;15/04/1985;1200;;15;;;;
83049;16/04/1985;0000;29.7;;;;;
83049;16/04/1985;1200;;18.2;;;;
83049;17/04/1985;0000;30.3;;;;;
83049;17/04/1985;1200;;19;;;;
83049;18/04/1985;0000;30.3;;;;;
83049;18/04/1985;1200;;18.4;;;;
