--------------------
BDMEP - INMET
--------------------
Estação           : PORTO NACIONAL - TO (OMM: 83064)
Latitude  (graus) : -10.71
Longitude (graus) : -48.41
Altitude  (metros): 239.20
Estação Operante
Inicio de operação: 01/01/1915
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83064;01/01/1961;0000;30.4;;24.72;90;0;
83064;01/01/1961;1200;;21;;;;
83064;02/01/1961;0000;32.2;;25.86;80.75;1;
83064;02/01/1961;1200;;20.9;;;;
83064;03/01/1961;0000;30.8;;24.76;88;0;
83064;03/01/1961;1200;;20;;;;
83064;04/01/1961;0000;29.8;;24.2;86;4;
83064;04/01/1961;1200;;19.4;;;;
83064;05/01/1961;0000;30.6;;25;84.5;0;
83064;05/01/1961;1200;;20.8;;;;
83064;06/01/1961;0000;32;;25.34;84;0;
83064;06/01/1961;1200;;21.5;;;;
83064;07/01/1961;0000;32.2;;26.62;81.25;1;
83064;07/01/1961;1200;;21.5;;;;
83064;08/01/1961;0000;28.2;;24.78;90;3;
83064;08/01/1961;1200;;20.9;;;;
83064;09/01/1961;0000;31.2;;24.74;88.75;0.333333;
83064;09/01/1961;1200;;20.3;;;;
83064;10/01/1961;0000;32.6;;24.62;86.75;3;
83064;10/01/1961;1200;;20.3;;;;
83064;11/01/1961;0000;30;;24.7;92.25;1.666667;
83064;11/01/1961;1200;;20.1;;;;
83064;12/01/1961;0000;28.2;;22.34;92.75;2;
83064;12/01/1961;1200;;19.1;;;;
83064;13/01/1961;0000;28.4;;23.78;86.25;2.666667;
83064;13/01/1961;1200;;18.1;;;;
83064;14/01/1961;0000;30;;24.02;89.75;1;
83064;14/01/1961;1200;;20.3;;;;
83064;15/01/1961;0000;30.8;;24.78;87.25;0.333333;
83064;15/01/1961;1200;;19.1;;;;
83064;16/01/1961;0000;31.2;;25.18;83;3.666667;
83064;16/01/1961;1200;;20.7;;;;
83064;17/01/1961;0000;29.7;;24.42;79.5;1.333333;
83064;17/01/1961;1200;;19;;;;
83064;18/01/1961;0000;31;;25.3;78.25;0;
83064;18/01/1961;1200;;19.7;;;;
83064;19/01/1961;0000;33;;24.88;81.25;1;
83064;19/01/1961;1200;;20.5;;;;
83064;20/01/1961;0000;31.6;;25.28;89.25;0.333333;
83064;20/01/1961;1200;;19.8;;;;
83064;21/01/1961;0000;32.6;;25.56;83.75;0.666667;
83064;21/01/1961;1200;;20.6;;;;
83064;22/01/1961;0000;25.2;;22.98;96.5;2.666667;
83064;22/01/1961;1200;;20.3;;;;
83064;23/01/1961;0000;28.8;;25.1;85.75;1;
83064;23/01/1961;1200;;20.5;;;;
83064;24/01/1961;0000;29.2;;24.78;88.5;1.666667;
83064;24/01/1961;1200;;21.9;;;;
83064;25/01/1961;0000;31;;24.74;91.25;1;
83064;25/01/1961;1200;;20.3;;;;
83064;26/01/1961;0000;31;;25.26;87.5;2;
83064;26/01/1961;1200;;21.3;;;;
83064;27/01/1961;0000;29.6;;25.18;87.5;1.666667;
83064;27/01/1961;1200;;20.5;;;;
83064;28/01/1961;0000;26.8;;23.26;94;0.666667;
83064;28/01/1961;1200;;20.9;;;;
83064;29/01/1961;0000;31.4;;24.98;83.5;2;
83064;29/01/1961;1200;;20.1;;;;
83064;30/01/1961;0000;32.2;;25.82;84.5;0.666667;
83064;30/01/1961;1200;;21.1;;;;
83064;31/01/1961;0000;30.8;;25.24;92;1;
83064;31/01/1961;1200;;21.4;;;;
83064;01/02/1961;0000;33;;26.78;78.25;0;
83064;01/02/1961;1200;;20.9;;;;
83064;02/02/1961;0000;32.8;;26.22;78.5;1;
83064;02/02/1961;1200;;20.9;;;;
83064;03/02/1961;0000;32.2;;25.8;83.75;0;
83064;03/02/1961;1200;;20.6;;;;
83064;04/02/1961;0000;30.8;;26.08;81.25;0;
83064;04/02/1961;1200;;21;;;;
83064;05/02/1961;0000;28.8;;24.56;91.25;0.666667;
83064;05/02/1961;1200;;20.2;;;;
83064;06/02/1961;0000;28.2;;22.48;91.5;1.333333;
83064;06/02/1961;1200;;19.1;;;;
83064;07/02/1961;0000;30.6;;24.24;86;0.333333;
83064;07/02/1961;1200;;18.6;;;;
83064;08/02/1961;0000;31.6;;24.28;82;0.666667;
83064;08/02/1961;1200;;18.6;;;;
83064;09/02/1961;0000;32.4;;24.92;81.25;0;
83064;09/02/1961;1200;;18.6;;;;
83064;10/02/1961;0000;27.8;;24.12;88.25;1.333333;
83064;10/02/1961;1200;;19.8;;;;
83064;11/02/1961;0000;29.6;;24.32;93;0.333333;
83064;11/02/1961;1200;;19.6;;;;
83064;12/02/1961;0000;26;;23.08;86.5;2;
83064;12/02/1961;1200;;20.4;;;;
83064;13/02/1961;0000;28;;23.96;92.75;0.666667;
83064;13/02/1961;1200;;19.8;;;;
83064;14/02/1961;0000;25.6;;23.32;93.25;0.333333;
83064;14/02/1961;1200;;20.8;;;;
83064;15/02/1961;0000;27.6;;24.08;92.25;0;
83064;15/02/1961;1200;;20.2;;;;
83064;16/02/1961;0000;30;;24.52;84;0;
83064;16/02/1961;1200;;19.2;;;;
83064;17/02/1961;0000;27.9;;23.74;95.75;0;
83064;17/02/1961;1200;;20.6;;;;
83064;18/02/1961;0000;31.2;;24.3;89.5;0.333333;
83064;18/02/1961;1200;;20.9;;;;
83064;19/02/1961;0000;28.6;;24.04;89.75;0.333333;
83064;19/02/1961;1200;;20.6;;;;
83064;20/02/1961;0000;28;;23.76;88.5;1.333333;
83064;20/02/1961;1200;;20.2;;;;
83064;21/02/1961;0000;27.7;;23.02;93;0.333333;
83064;21/02/1961;1200;;20.4;;;;
83064;22/02/1961;0000;29.8;;23.86;85.5;0;
83064;22/02/1961;1200;;20.1;;;;
83064;23/02/1961;0000;31.8;;24.84;84.25;0;
83064;23/02/1961;1200;;19.8;;;;
83064;24/02/1961;0000;33.6;;26.88;81;0;
83064;24/02/1961;1200;;20;;;;
83064;25/02/1961;0000;30;;24.84;89.25;0.333333;
83064;25/02/1961;1200;;20.8;;;;
83064;26/02/1961;0000;32;;25.12;84.75;0;
83064;26/02/1961;1200;;20.4;;;;
83064;27/02/1961;0000;31.6;;25.32;76;1;
83064;27/02/1961;1200;;19.8;;;;
83064;28/02/1961;0000;32;;24.08;87;0.666667;
83064;28/02/1961;1200;;19.4;;;;
83064;01/03/1961;0000;31.6;;25.82;82.25;0.333333;
83064;01/03/1961;1200;;20.1;;;;
83064;02/03/1961;0000;32.7;;26.1;80;1.333333;
83064;02/03/1961;1200;;21.2;;;;
83064;03/03/1961;0000;29.8;;25.16;88;1;
83064;03/03/1961;1200;;21.8;;;;
83064;04/03/1961;0000;34.4;;26.2;78.5;0.666667;
83064;04/03/1961;1200;;20.1;;;;
83064;05/03/1961;0000;32.6;;26.14;82;1.333333;
83064;05/03/1961;1200;;21.1;;;;
83064;06/03/1961;0000;27.8;;25.54;88.5;1.666667;
83064;06/03/1961;1200;;22.5;;;;
83064;07/03/1961;0000;33.1;;26.8;81.25;0.666667;
83064;07/03/1961;1200;;20.5;;;;
83064;08/03/1961;0000;33.2;;27.46;78.25;1.666667;
83064;08/03/1961;1200;;21.3;;;;
83064;09/03/1961;0000;34;;27.38;78;1.666667;
83064;09/03/1961;1200;;21.7;;;;
83064;10/03/1961;0000;32.7;;25.2;82;0.333333;
83064;10/03/1961;1200;;21.1;;;;
83064;11/03/1961;0000;30.6;;25.42;85.25;1.333333;
83064;11/03/1961;1200;;21.1;;;;
83064;12/03/1961;0000;30.8;;23.68;97.25;1.333333;
83064;12/03/1961;1200;;20;;;;
83064;13/03/1961;0000;30;;23.8;87.75;2.333333;
83064;13/03/1961;1200;;18.8;;;;
83064;14/03/1961;0000;29.6;;24.28;89.5;2.333333;
83064;14/03/1961;1200;;20.4;;;;
83064;15/03/1961;0000;29.8;;24.24;89;1;
83064;15/03/1961;1200;;21;;;;
83064;16/03/1961;0000;31.2;;25.82;82.25;0.333333;
83064;16/03/1961;1200;;20.9;;;;
83064;17/03/1961;0000;31.8;;24.3;91.5;1;
83064;17/03/1961;1200;;20.3;;;;
83064;18/03/1961;0000;31.2;;24.46;90.75;1.666667;
83064;18/03/1961;1200;;20.3;;;;
83064;19/03/1961;0000;31.2;;24.98;83.75;0.666667;
83064;19/03/1961;1200;;20.4;;;;
83064;20/03/1961;0000;29.4;;24.98;84.75;0.666667;
83064;20/03/1961;1200;;20.7;;;;
83064;21/03/1961;0000;31.2;;26.06;80.5;2;
83064;21/03/1961;1200;;20.3;;;;
83064;22/03/1961;0000;33.4;;27.42;78;2;
83064;22/03/1961;1200;;21.3;;;;
83064;23/03/1961;0000;32.8;;26.54;82;3;
83064;23/03/1961;1200;;21.9;;;;
83064;24/03/1961;0000;31.4;;26.54;83.25;0.666667;
83064;24/03/1961;1200;;21.3;;;;
83064;25/03/1961;0000;32.5;;27.12;80;2;
83064;25/03/1961;1200;;21.3;;;;
83064;26/03/1961;0000;32.6;;27.38;78.75;0.333333;
83064;26/03/1961;1200;;22.3;;;;
83064;27/03/1961;0000;31.2;;25.08;86;2;
83064;27/03/1961;1200;;21.4;;;;
83064;28/03/1961;0000;31.8;;25.52;89.25;1.333333;
83064;28/03/1961;1200;;20.6;;;;
