--------------------
BDMEP - INMET
--------------------
Estação           : GUARULHOS - SP (OMM: 83075)
Latitude  (graus) : -23.43
Longitude (graus) : -46.46
Altitude  (metros): 735.00
Estação Operante
Inicio de operação: 03/09/1983
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83075;01/07/1983;0000;;;;;2.3;
83075;02/07/1983;0000;;;;;1.5;
83075;03/07/1983;0000;;;;;3.1;
83075;04/07/1983;0000;;;;;1.5;
83075;05/07/1983;0000;;;;;1.5;
83075;06/07/1983;0000;;;;;2.8;
83075;07/07/1983;0000;;;;;2.6;
83075;08/07/1983;0000;;;;;2.1;
83075;09/07/1983;0000;;;;;2.1;
83075;10/07/1983;0000;;;;;2.1;
83075;11/07/1983;0000;;;;;0.3;
83075;12/07/1983;0000;28;;;;0.5;
83075;13/07/1983;0000;21.4;;;;2.6;
83075;14/07/1983;0000;25;;;;0;
83075;15/07/1983;0000;25;;;;;
83075;16/07/1983;0000;26.2;;;;;
83075;17/07/1983;0000;21.8;;;;0.5;
83075;18/07/1983;0000;14.1;;;;;
83075;19/07/1983;0000;13.5;;;;0.5;
83075;20/07/1983;0000;16.4;;;;;
83075;21/07/1983;0000;16.4;;;;;
83075;22/07/1983;0000;17;;;;;
83075;23/07/1983;0000;24.8;;;;;
83075;24/07/1983;0000;20.4;;;;;
83075;25/07/1983;0000;27.4;;;;;
83075;26/07/1983;0000;18.8;;;;1.3;
83075;27/07/1983;0000;23.6;;;;3.1;
83075;28/07/1983;0000;26.6;;;;2.1;
83075;29/07/1983;0000;25.4;;;;0;
83075;30/07/1983;0000;27;;;;0.5;
83075;31/07/1983;0000;26.6;;;;0.5;
83075;01/08/1983;0000;;;;;0.5;
83075;02/08/1983;0000;17;;;;2.5;
83075;03/08/1983;0000;14.4;;;;2.6;
83075;04/08/1983;0000;12.5;;;;5.1;
83075;05/08/1983;0000;16.6;;;;1;
83075;06/08/1983;0000;20.2;;;;1.5;
83075;07/08/1983;0000;25;;;;1;
83075;08/08/1983;0000;25.6;;;;1.1;
83075;09/08/1983;0000;20.2;;;;0.5;
83075;10/08/1983;0000;21;;;;2.1;
83075;11/08/1983;0000;24.8;;;;1.5;
83075;12/08/1983;0000;25.2;;;;0;
83075;13/08/1983;0000;27.2;;;;5.1;
83075;14/08/1983;0000;27.2;;;;0.5;
83075;15/08/1983;0000;30;;;;1;
83075;16/08/1983;0000;26.2;;;;5.1;
83075;17/08/1983;0000;22;;;;3.9;
83075;18/08/1983;0000;28.2;;;;1;
83075;19/08/1983;0000;;;;;3.3;
83075;20/08/1983;0000;18.2;;;;2.6;
83075;21/08/1983;0000;14;;;;2.6;
83075;22/08/1983;0000;20;;;;3.1;
83075;23/08/1983;0000;23.4;;;;1.5;
83075;24/08/1983;0000;27;;;;1;
83075;25/08/1983;0000;28.2;;;;1.5;
83075;26/08/1983;0000;29.6;;;;0.5;
83075;27/08/1983;0000;30.4;;;;1.5;
83075;28/08/1983;0000;30.4;;;;1;
83075;29/08/1983;0000;30.6;;;;0.5;
83075;30/08/1983;0000;29.6;;;;1;
83075;31/08/1983;0000;31;;;;2.6;
83075;01/09/1983;0000;26.2;;;;0;
83075;02/09/1983;0000;15;;;;1;
83075;03/09/1983;0000;14.1;;;;1;
83075;04/09/1983;0000;19;;;;1;
83075;05/09/1983;0000;19.4;;;;2.6;
83075;06/09/1983;0000;24;;;;2.1;
83075;07/09/1983;0000;20.2;;;;1;
83075;08/09/1983;0000;18.5;;;;2.1;
83075;09/09/1983;0000;16.8;;;;1;
83075;10/09/1983;0000;18.4;;;;3.1;
83075;11/09/1983;0000;16.1;;;;4.1;
83075;12/09/1983;0000;16;;;;3.1;
83075;13/09/1983;0000;18;;;;3.1;
83075;14/09/1983;0000;23;;;;2.1;
83075;15/09/1983;0000;27.6;;;;1.5;
83075;16/09/1983;0000;25;;;;0.5;
83075;17/09/1983;0000;18.2;;;;2.1;
83075;18/09/1983;0000;19.8;;;;0.5;
83075;19/09/1983;0000;21.6;;;;0.5;
83075;20/09/1983;0000;14.6;;;;4.6;
83075;21/09/1983;0000;15;;;;2.6;
83075;22/09/1983;0000;16;;;;2.6;
83075;23/09/1983;0000;22.8;;;;1.5;
83075;24/09/1983;0000;22.6;;;;3.1;
83075;25/09/1983;0000;20.8;;;;1.5;
83075;26/09/1983;0000;25.6;;;;4.1;
83075;27/09/1983;0000;26.8;;;;1.5;
83075;28/09/1983;0000;26.8;;;;1.5;
83075;29/09/1983;0000;28.6;;;;0.5;
83075;30/09/1983;0000;;;;;0.5;
83075;01/10/1983;0000;27.2;;20.1;;2.05;
83075;01/10/1983;1200;;15.5;;;;
83075;02/10/1983;0000;19.2;;16.94;;1.8;
83075;02/10/1983;1200;;15.5;;;;
83075;03/10/1983;0000;20.4;;17.16;;2.1;
83075;03/10/1983;1200;;15;;;;
83075;04/10/1983;0000;24.4;;18.06;;1.8;
83075;04/10/1983;1200;;10.9;;;;
83075;05/10/1983;0000;25.2;;20.46;;3.1;
83075;05/10/1983;1200;;16.7;;;;
83075;06/10/1983;0000;24.8;;19.98;;1.5;
83075;06/10/1983;1200;;16.7;;;;
83075;07/10/1983;0000;27.4;;20.9;;0.5;
83075;07/10/1983;1200;;15.3;;;;
83075;08/10/1983;0000;29.2;;22.66;;0.5;
83075;08/10/1983;1200;;15.5;;;;
83075;09/10/1983;0000;30.4;;24.74;;2.3;
83075;09/10/1983;1200;;20.5;;;;
83075;10/10/1983;0000;30.4;;20.82;;3.35;
83075;10/10/1983;1200;;16.7;;;;
83075;11/10/1983;0000;20;;18.18;;2.85;
83075;11/10/1983;1200;;15.3;;;;
83075;12/10/1983;0000;23;;18.74;;2.85;
83075;12/10/1983;1200;;16.3;;;;
83075;13/10/1983;0000;20;;18.34;;3.1;
83075;13/10/1983;1200;;15.9;;;;
83075;14/10/1983;0000;19.2;;17.86;;1.3;
83075;14/10/1983;1200;;15.5;;;;
83075;15/10/1983;0000;25.4;;20.1;;1.3;
83075;15/10/1983;1200;;15.9;;;;
83075;16/10/1983;0000;29.8;;21.58;;0.5;
83075;16/10/1983;1200;;13.7;;;;
83075;17/10/1983;0000;29.8;;24.3;;1.25;
83075;17/10/1983;1200;;17.3;;;;
83075;18/10/1983;0000;24.6;;18.46;;0.75;
83075;18/10/1983;1200;;15.1;;;;
83075;19/10/1983;0000;18.6;;16.26;;2.35;
83075;19/10/1983;1200;;14.5;;;;
83075;20/10/1983;0000;22.2;;17.94;;1.8;
83075;20/10/1983;1200;;14.3;;;;
83075;21/10/1983;0000;30.6;;23.02;;1.55;
83075;21/10/1983;1200;;16.7;;;;
83075;22/10/1983;0000;24.8;;20.54;;4.4;
83075;22/10/1983;1200;;17.5;;;;
83075;23/10/1983;0000;20.8;;15.98;;2.85;
83075;23/10/1983;1200;;12.5;;;;
83075;24/10/1983;0000;19.2;;;;3.05;
83075;24/10/1983;1200;;9.9;;;;
83075;25/10/1983;0000;17.8;;14.78;;3.05;
83075;25/10/1983;1200;;10.1;;;;
83075;26/10/1983;0000;20.2;;15.66;;1.8;
83075;26/10/1983;1200;;11.9;;;;
83075;27/10/1983;0000;23.2;;16.9;;2.85;
83075;27/10/1983;1200;;11.9;;;;
83075;28/10/1983;0000;25.4;;18.78;;3.1;
83075;28/10/1983;1200;;13.7;;;;
83075;29/10/1983;0000;26;;19.66;;4.1;
83075;29/10/1983;1200;;15.5;;;;
83075;30/10/1983;0000;29.2;;20.88;;1.5;
83075;30/10/1983;1200;;15.5;;;;
83075;31/10/1983;0000;28.6;;20.98;;0.5;
83075;31/10/1983;1200;;15.9;;;;
83075;01/11/1983;0000;28.3;;20.16;;1.55;
83075;01/11/1983;1200;;16.1;;;;
83075;02/11/1983;0000;24.8;;;;1;
83075;02/11/1983;1200;;16.3;;;;
83075;03/11/1983;0000;26.8;;21.7;;1.55;
83075;03/11/1983;1200;;17.3;;;;
83075;04/11/1983;0000;24;;20.18;;0.75;
83075;04/11/1983;1200;;17.1;;;;
83075;05/11/1983;0000;26.6;;21.18;;1.3;
83075;05/11/1983;1200;;15.1;;;;
83075;06/11/1983;0000;28.2;;21.26;;1.25;
83075;06/11/1983;1200;;15.7;;;;
83075;07/11/1983;0000;28.4;;20.86;;2.05;
83075;07/11/1983;1200;;15.9;;;;
83075;08/11/1983;0000;32.4;;24.14;;0.75;
83075;08/11/1983;1200;;16.5;;;;
