--------------------
BDMEP - INMET
--------------------
Estação           : SENHOR DO BONFIM - BA (OMM: 83088)
Latitude  (graus) : -10.46
Longitude (graus) : -40.18
Altitude  (metros): 558.24
Estação 
Inicio de operação: 01/01/1940
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83088;01/01/1977;0000;31.4;;23.62;72.25;3.666667;
83088;01/01/1977;1200;;20.1;;;;
83088;02/01/1977;0000;29;;23.92;64.75;2;
83088;02/01/1977;1200;;19.6;;;;
83088;03/01/1977;0000;30.9;;24.88;60.5;3.666667;
83088;03/01/1977;1200;;18.9;;;;
83088;04/01/1977;0000;30.6;;24.94;59.75;2;
83088;04/01/1977;1200;;19.9;;;;
83088;05/01/1977;0000;30.8;;23.8;70.25;3;
83088;05/01/1977;1200;;20;;;;
83088;06/01/1977;0000;29.1;;23.8;67.75;1.666667;
83088;06/01/1977;1200;;20.3;;;;
83088;07/01/1977;0000;31.3;;23.92;78.25;3.333333;
83088;07/01/1977;1200;;20.1;;;;
83088;08/01/1977;0000;30.8;;24.54;55;3.666667;
83088;08/01/1977;1200;;19.1;;;;
83088;09/01/1977;0000;31.2;;23.88;72.25;3;
83088;09/01/1977;1200;;19.6;;;;
83088;10/01/1977;0000;29.2;;22.96;82;3;
83088;10/01/1977;1200;;20.2;;;;
83088;11/01/1977;0000;31;;24.22;63.25;4.333333;
83088;11/01/1977;1200;;19.3;;;;
83088;12/01/1977;0000;31.2;;24.84;59.25;4.333333;
83088;12/01/1977;1200;;19.4;;;;
83088;13/01/1977;0000;29.4;;24.32;64.25;3;
83088;13/01/1977;1200;;19.4;;;;
83088;14/01/1977;0000;27;;23.1;81.25;3.666667;
83088;14/01/1977;1200;;20.3;;;;
83088;15/01/1977;0000;27;;22.52;85;3.666667;
83088;15/01/1977;1200;;20.4;;;;
83088;16/01/1977;0000;30.2;;24.6;67.5;3;
83088;16/01/1977;1200;;18.8;;;;
83088;17/01/1977;0000;33.6;;24.7;72.25;1;
83088;17/01/1977;1200;;20.1;;;;
83088;18/01/1977;0000;30.6;;23.92;77.5;2.333333;
83088;18/01/1977;1200;;20.8;;;;
83088;19/01/1977;0000;29.8;;25.26;69;1.333333;
83088;19/01/1977;1200;;20.7;;;;
83088;20/01/1977;0000;30.8;;25.36;66.75;1.666667;
83088;20/01/1977;1200;;20.2;;;;
83088;21/01/1977;0000;27.4;;23.14;82.75;3.333333;
83088;21/01/1977;1200;;21.1;;;;
83088;22/01/1977;0000;29.3;;24.24;80.75;1;
83088;22/01/1977;1200;;20.3;;;;
83088;23/01/1977;0000;30.2;;24.9;79.75;1;
83088;23/01/1977;1200;;21.1;;;;
83088;24/01/1977;0000;28.8;;22.66;87.5;0.333333;
83088;24/01/1977;1200;;20.3;;;;
83088;25/01/1977;0000;24;;21.7;91.25;1.333333;
83088;25/01/1977;1200;;20;;;;
83088;26/01/1977;0000;24.9;;22.08;83.75;0.666667;
83088;26/01/1977;1200;;20.7;;;;
83088;27/01/1977;0000;27;;22.92;79.25;1.666667;
83088;27/01/1977;1200;;19.4;;;;
83088;28/01/1977;0000;30.2;;24.82;60.25;0.666667;
83088;28/01/1977;1200;;18.7;;;;
83088;29/01/1977;0000;28.2;;23.7;78.75;1;
83088;29/01/1977;1200;;20.5;;;;
83088;30/01/1977;0000;29.6;;24.38;76.75;1;
83088;30/01/1977;1200;;20.1;;;;
83088;31/01/1977;0000;26.4;;22.3;85;2.333333;
83088;31/01/1977;1200;;19.3;;;;
83088;01/02/1977;0000;25.2;;22.3;83.5;2;
83088;01/02/1977;1200;;19.3;;;;
83088;02/02/1977;0000;29.6;;23.58;83.25;1;
83088;02/02/1977;1200;;20.7;;;;
83088;03/02/1977;0000;29.2;;23.98;71;0.666667;
83088;03/02/1977;1200;;19.9;;;;
83088;04/02/1977;0000;29.4;;23.36;86.25;2.333333;
83088;04/02/1977;1200;;20.4;;;;
83088;05/02/1977;0000;27.8;;22.94;79.75;3.666667;
83088;05/02/1977;1200;;19.9;;;;
83088;06/02/1977;0000;27.8;;22.5;80.25;3;
83088;06/02/1977;1200;;19.6;;;;
83088;07/02/1977;0000;28.6;;23.48;70.75;1.666667;
83088;07/02/1977;1200;;19.2;;;;
83088;08/02/1977;0000;28.2;;23.54;75.75;0;
83088;08/02/1977;1200;;20.2;;;;
83088;09/02/1977;0000;29.7;;23.88;68.25;2.333333;
83088;09/02/1977;1200;;19.4;;;;
83088;10/02/1977;0000;29;;23.44;74.25;2.333333;
83088;10/02/1977;1200;;19.8;;;;
83088;11/02/1977;0000;27.8;;22.74;78.5;3;
83088;11/02/1977;1200;;19.7;;;;
83088;12/02/1977;0000;29.4;;23.34;73.25;3;
83088;12/02/1977;1200;;19.5;;;;
83088;13/02/1977;0000;27;;22.7;87;2.333333;
83088;13/02/1977;1200;;19.3;;;;
83088;14/02/1977;0000;29.2;;23.9;73.5;4.333333;
83088;14/02/1977;1200;;19.9;;;;
83088;15/02/1977;0000;29.6;;23.9;76.25;2.333333;
83088;15/02/1977;1200;;19.9;;;;
83088;16/02/1977;0000;30.8;;24.28;70.75;3;
83088;16/02/1977;1200;;20.6;;;;
83088;17/02/1977;0000;31;;24.38;67.75;4.333333;
83088;17/02/1977;1200;;19.9;;;;
83088;18/02/1977;0000;30.4;;23.78;71.5;1.666667;
83088;18/02/1977;1200;;19.3;;;;
83088;19/02/1977;0000;27;;22.62;85.25;0.666667;
83088;19/02/1977;1200;;20;;;;
83088;20/02/1977;0000;28.9;;23.64;72.25;2;
83088;20/02/1977;1200;;19.9;;;;
83088;21/02/1977;0000;30.2;;23.6;75.25;2.333333;
83088;21/02/1977;1200;;19.7;;;;
83088;22/02/1977;0000;28.2;;22.98;77.25;3;
83088;22/02/1977;1200;;19.9;;;;
83088;23/02/1977;0000;28.6;;23.46;74.5;2.666667;
83088;23/02/1977;1200;;20.3;;;;
83088;24/02/1977;0000;30;;23.62;74.5;2.666667;
83088;24/02/1977;1200;;19.9;;;;
83088;25/02/1977;0000;30.2;;24.24;70.5;3.333333;
83088;25/02/1977;1200;;20.4;;;;
83088;26/02/1977;0000;24.8;;21.64;93.25;3.666667;
83088;26/02/1977;1200;;19.2;;;;
83088;27/02/1977;0000;28.6;;23.2;82.5;2.666667;
83088;27/02/1977;1200;;19.9;;;;
83088;28/02/1977;0000;29.6;;24.02;70.5;0.666667;
83088;28/02/1977;1200;;19.7;;;;
83088;01/03/1977;0000;30.6;;24.18;67.5;1.666667;
83088;01/03/1977;1200;;20.7;;;;
83088;02/03/1977;0000;30.6;;24.72;62.5;2.333333;
83088;02/03/1977;1200;;20.4;;;;
83088;03/03/1977;0000;31.2;;25.1;58.5;2.333333;
83088;03/03/1977;1200;;20.3;;;;
83088;04/03/1977;0000;31.6;;25.08;65;1.933333;
83088;04/03/1977;1200;;20.6;;;;
83088;05/03/1977;0000;28;;23.74;74.75;1.666667;
83088;05/03/1977;1200;;20.1;;;;
83088;06/03/1977;0000;29.6;;24.06;67.25;1;
83088;06/03/1977;1200;;19.7;;;;
83088;07/03/1977;0000;31.4;;25.18;58;3;
83088;07/03/1977;1200;;19.1;;;;
83088;08/03/1977;0000;31.4;;24.6;69.5;3;
83088;08/03/1977;1200;;20.2;;;;
83088;09/03/1977;0000;30.8;;24.72;62;3;
83088;09/03/1977;1200;;20;;;;
