--------------------
BDMEP - INMET
--------------------
Estação           : MONTE SANTO - BA (OMM: 83090)
Latitude  (graus) : -10.43
Longitude (graus) : -39.29
Altitude  (metros): 464.60
Estação Operante
Inicio de operação: 15/05/1913
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83090;01/01/1961;0000;33;;25.28;48.75;0.666667;
83090;01/01/1961;1200;;15.3;;;;
83090;02/01/1961;0000;34.2;;25.32;50;1;
83090;02/01/1961;1200;;14.4;;;;
83090;03/01/1961;0000;35.3;;25.32;57.25;1;
83090;03/01/1961;1200;;14.5;;;;
83090;04/01/1961;0000;35;;26.5;51;2.333333;
83090;04/01/1961;1200;;15.6;;;;
83090;05/01/1961;0000;32.2;;25.16;52;1;
83090;05/01/1961;1200;;16;;;;
83090;06/01/1961;0000;33;;25.06;59.25;1.333333;
83090;06/01/1961;1200;;14;;;;
83090;07/01/1961;0000;35.1;;26.24;53;1;
83090;07/01/1961;1200;;15.3;;;;
83090;08/01/1961;0000;34;;25.32;55;0.666667;
83090;08/01/1961;1200;;15.1;;;;
83090;09/01/1961;0000;36.8;;26.4;47.5;1;
83090;09/01/1961;1200;;15.2;;;;
83090;10/01/1961;0000;35.9;;26.52;51.5;1;
83090;10/01/1961;1200;;15.8;;;;
83090;11/01/1961;0000;35.5;;26.4;55;1;
83090;11/01/1961;1200;;15.6;;;;
83090;12/01/1961;0000;34.7;;25.8;57.75;2.333333;
83090;12/01/1961;1200;;16.7;;;;
83090;13/01/1961;0000;32.6;;25;52.75;1.666667;
83090;13/01/1961;1200;;16.9;;;;
83090;14/01/1961;0000;33;;24.12;63.25;1;
83090;14/01/1961;1200;;14.5;;;;
83090;15/01/1961;0000;32.1;;24.38;60;2.333333;
83090;15/01/1961;1200;;14.4;;;;
83090;16/01/1961;0000;32.3;;24.02;79.5;1;
83090;16/01/1961;1200;;16.2;;;;
83090;17/01/1961;0000;28.2;;22.04;83.25;2.333333;
83090;17/01/1961;1200;;15;;;;
83090;18/01/1961;0000;31.5;;24.4;62;3;
83090;18/01/1961;1200;;15.5;;;;
83090;19/01/1961;0000;31.6;;24.34;61.5;1.666667;
83090;19/01/1961;1200;;15.4;;;;
83090;20/01/1961;0000;31.4;;24.32;64.25;1;
83090;20/01/1961;1200;;15.9;;;;
83090;21/01/1961;0000;31.3;;23.66;72.5;1;
83090;21/01/1961;1200;;15.9;;;;
83090;22/01/1961;0000;28.8;;22.66;70;0.666667;
83090;22/01/1961;1200;;14;;;;
83090;23/01/1961;0000;29.8;;21.78;86;1;
83090;23/01/1961;1200;;15.1;;;;
83090;24/01/1961;0000;32.3;;23.52;75.25;1;
83090;24/01/1961;1200;;14.7;;;;
83090;25/01/1961;0000;30.6;;24.8;66;1;
83090;25/01/1961;1200;;17.7;;;;
83090;26/01/1961;0000;33.4;;26.54;56;1.333333;
83090;26/01/1961;1200;;15.5;;;;
83090;27/01/1961;0000;34.2;;25.12;64.5;1;
83090;27/01/1961;1200;;16.5;;;;
83090;28/01/1961;0000;32.8;;25.18;60.5;1;
83090;28/01/1961;1200;;17.6;;;;
83090;29/01/1961;0000;32.6;;24.6;55.5;1;
83090;29/01/1961;1200;;13.7;;;;
83090;30/01/1961;0000;31.3;;23.84;60.25;0.666667;
83090;30/01/1961;1200;;14.8;;;;
83090;31/01/1961;0000;32;;24.58;60.25;1.666667;
83090;31/01/1961;1200;;15.4;;;;
83090;01/02/1961;0000;31.1;;23.46;60;2.333333;
83090;01/02/1961;1200;;14.5;;;;
83090;02/02/1961;0000;29.2;;22.14;69;1;
83090;02/02/1961;1200;;13.5;;;;
83090;03/02/1961;0000;29.7;;23.28;66;1;
83090;03/02/1961;1200;;14.4;;;;
83090;04/02/1961;0000;31;;23.22;71.25;1.666667;
83090;04/02/1961;1200;;14.6;;;;
83090;05/02/1961;0000;30.6;;24.38;65;1;
83090;05/02/1961;1200;;14.7;;;;
83090;06/02/1961;0000;31.8;;24.7;68;3.666667;
83090;06/02/1961;1200;;15.4;;;;
83090;07/02/1961;0000;32;;24.92;61.75;1;
83090;07/02/1961;1200;;16.4;;;;
83090;08/02/1961;0000;31.7;;24.7;62.5;0.666667;
83090;08/02/1961;1200;;18.2;;;;
83090;09/02/1961;0000;31.2;;24.14;60.5;1;
83090;09/02/1961;1200;;14.8;;;;
83090;10/02/1961;0000;32.3;;24.24;62;1;
83090;10/02/1961;1200;;14.7;;;;
83090;11/02/1961;0000;31.6;;25.28;59.75;1;
83090;11/02/1961;1200;;19.6;;;;
83090;12/02/1961;0000;34;;26.24;64.5;1;
83090;12/02/1961;1200;;16.4;;;;
83090;13/02/1961;0000;32;;24.26;70.25;1;
83090;13/02/1961;1200;;15.2;;;;
83090;14/02/1961;0000;31.9;;25.38;66.5;0.333333;
83090;14/02/1961;1200;;16.5;;;;
83090;15/02/1961;0000;31.9;;24.46;68;2.333333;
83090;15/02/1961;1200;;16.8;;;;
83090;16/02/1961;0000;30.6;;23.5;63.5;1.666667;
83090;16/02/1961;1200;;14;;;;
83090;17/02/1961;0000;29.9;;24.02;62.25;1.333333;
83090;17/02/1961;1200;;15.8;;;;
83090;18/02/1961;0000;31;;24.3;61.25;2.333333;
83090;18/02/1961;1200;;15.8;;;;
83090;19/02/1961;0000;29.4;;23.7;64.75;0.666667;
83090;19/02/1961;1200;;14.3;;;;
83090;20/02/1961;0000;30.9;;24.12;64.5;1;
83090;20/02/1961;1200;;15.5;;;;
83090;21/02/1961;0000;31.5;;23.84;63.25;1;
83090;21/02/1961;1200;;14;;;;
83090;22/02/1961;0000;32.8;;24.86;60.25;1.666667;
83090;22/02/1961;1200;;15.9;;;;
83090;23/02/1961;0000;32.8;;24.78;56.75;3;
83090;23/02/1961;1200;;15.7;;;;
83090;24/02/1961;0000;32.3;;25.26;53.75;1.666667;
83090;24/02/1961;1200;;16.8;;;;
83090;25/02/1961;0000;32.8;;24.52;55;1;
83090;25/02/1961;1200;;13.5;;;;
83090;26/02/1961;0000;33.8;;24.66;60.5;1;
83090;26/02/1961;1200;;14;;;;
83090;27/02/1961;0000;30.1;;23.94;64.5;1;
83090;27/02/1961;1200;;15.1;;;;
83090;28/02/1961;0000;33.5;;25.38;56.25;1;
83090;28/02/1961;1200;;14.2;;;;
83090;01/03/1961;0000;33;;25.76;57.25;1;
83090;01/03/1961;1200;;16.3;;;;
83090;02/03/1961;0000;36.6;;26.7;49.5;1.333333;
83090;02/03/1961;1200;;15.2;;;;
83090;03/03/1961;0000;37.3;;26.4;59.25;1.666667;
83090;03/03/1961;1200;;14;;;;
83090;04/03/1961;0000;34.4;;26.6;62.5;1.666667;
83090;04/03/1961;1200;;18.6;;;;
83090;05/03/1961;0000;33.5;;25.78;58.25;1.666667;
83090;05/03/1961;1200;;16.1;;;;
83090;06/03/1961;0000;32.8;;24.86;58.75;1.333333;
83090;06/03/1961;1200;;16.8;;;;
83090;07/03/1961;0000;33.4;;24.44;58.25;1.666667;
83090;07/03/1961;1200;;14.3;;;;
83090;08/03/1961;0000;33.4;;26.2;58.25;1.666667;
83090;08/03/1961;1200;;16.1;;;;
83090;09/03/1961;0000;33;;25.24;68.25;0.666667;
83090;09/03/1961;1200;;17.5;;;;
83090;10/03/1961;0000;34;;25.46;64.25;3;
83090;10/03/1961;1200;;15.8;;;;
83090;11/03/1961;0000;33.9;;24.72;69.75;1.666667;
83090;11/03/1961;1200;;17;;;;
83090;12/03/1961;0000;31;;23.54;84.25;0.333333;
83090;12/03/1961;1200;;15;;;;
83090;13/03/1961;0000;31.5;;24.44;62;1;
83090;13/03/1961;1200;;15.6;;;;
83090;14/03/1961;0000;30.3;;23.96;73;1;
83090;14/03/1961;1200;;16.8;;;;
83090;15/03/1961;0000;30.4;;24.52;71;0.333333;
83090;15/03/1961;1200;;16;;;;
83090;16/03/1961;0000;33.2;;25.84;63.25;1;
83090;16/03/1961;1200;;17.1;;;;
83090;17/03/1961;0000;33.8;;25.56;63.75;1.666667;
83090;17/03/1961;1200;;16.7;;;;
83090;18/03/1961;0000;32.8;;25;67;2.333333;
83090;18/03/1961;1200;;15.3;;;;
83090;19/03/1961;0000;32.3;;24.72;63.75;1.666667;
83090;19/03/1961;1200;;15.4;;;;
83090;20/03/1961;0000;32.3;;24.76;61.75;1.666667;
83090;20/03/1961;1200;;14.6;;;;
83090;21/03/1961;0000;32.5;;24.88;63;1.666667;
83090;21/03/1961;1200;;15.4;;;;
83090;22/03/1961;0000;31.2;;24.34;70.75;3;
83090;22/03/1961;1200;;16.9;;;;
83090;23/03/1961;0000;31;;24.14;68.75;2.333333;
83090;23/03/1961;1200;;15.3;;;;
83090;24/03/1961;0000;32.5;;24.5;62.5;1;
83090;24/03/1961;1200;;14;;;;
83090;25/03/1961;0000;30.2;;22.68;79.25;1.666667;
83090;25/03/1961;1200;;15.6;;;;
83090;26/03/1961;0000;29;;23.32;70;0.666667;
83090;26/03/1961;1200;;15.6;;;;
83090;27/03/1961;0000;29.7;;23.44;77;1;
83090;27/03/1961;1200;;15.8;;;;
83090;28/03/1961;0000;30.5;;23.88;66;1.666667;
83090;28/03/1961;1200;;15.6;;;;
83090;29/03/1961;0000;25.8;;21.3;82.25;2.333333;
83090;29/03/1961;1200;;14;;;;
83090;30/03/1961;0000;27.3;;21.74;79.5;2.333333;
83090;30/03/1961;1200;;14.1;;;;
83090;31/03/1961;0000;28.1;;22.1;76.5;1.666667;
83090;31/03/1961;1200;;15.1;;;;
83090;01/04/1961;0000;27.1;;21.3;84.75;1;
83090;01/04/1961;1200;;14.8;;;;
83090;02/04/1961;0000;27;;22.16;77.25;1;
83090;02/04/1961;1200;;14.2;;;;
83090;03/04/1961;0000;30.2;;23.46;69.5;1;
83090;03/04/1961;1200;;15.6;;;;
83090;04/04/1961;0000;30.7;;23.18;68;1;
83090;04/04/1961;1200;;14;;;;
83090;05/04/1961;0000;30;;23.28;66.5;1.666667;
83090;05/04/1961;1200;;15;;;;
83090;06/04/1961;0000;31.1;;23.32;68.5;1;
83090;06/04/1961;1200;;14.6;;;;
83090;07/04/1961;0000;30.6;;23.8;67.5;1;
83090;07/04/1961;1200;;15.5;;;;
83090;08/04/1961;0000;30.2;;22.76;71;1;
83090;08/04/1961;1200;;14;;;;
