--------------------
BDMEP - INMET
--------------------
Estação           : PROPRIA - SE (OMM: 83097)
Latitude  (graus) : -10.21
Longitude (graus) : -36.84
Altitude  (metros): 19.92
Estação Operante
Inicio de operação: 10/05/1925
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83097;28/10/1963;0000;33.5;;26.18;70.5;4.666667;
83097;28/10/1963;1200;;19.7;;;;
83097;29/10/1963;0000;35.4;;27.58;66;7;
83097;29/10/1963;1200;;21.7;;;;
83097;30/10/1963;0000;33.2;;27.18;67.5;3;
83097;30/10/1963;1200;;22.5;;;;
83097;31/10/1963;0000;33;;26.94;67;4.333333;
83097;31/10/1963;1200;;22.8;;;;
83097;01/11/1963;0000;32;;26.58;71;5.666667;
83097;01/11/1963;1200;;22.5;;;;
83097;02/11/1963;0000;32.2;;26.74;73;3.666667;
83097;02/11/1963;1200;;22;;;;
83097;03/11/1963;0000;33.6;;26.82;65.75;8;
83097;03/11/1963;1200;;21.5;;;;
83097;04/11/1963;0000;32.6;;26.54;68;5.666667;
83097;04/11/1963;1200;;21.5;;;;
83097;05/11/1963;0000;32;;26.38;71;5;
83097;05/11/1963;1200;;21.8;;;;
83097;06/11/1963;0000;32.6;;27.16;67;6.666667;
83097;06/11/1963;1200;;23;;;;
83097;07/11/1963;0000;33.6;;26.72;70.75;6.333333;
83097;07/11/1963;1200;;22.2;;;;
83097;08/11/1963;0000;33.6;;26.74;77;6.666667;
83097;08/11/1963;1200;;21.7;;;;
83097;09/11/1963;0000;35.6;;27.64;65.5;5.666667;
83097;09/11/1963;1200;;21.8;;;;
83097;10/11/1963;0000;38.5;;28.66;64.5;4.333333;
83097;10/11/1963;1200;;22;;;;
83097;11/11/1963;0000;39.5;;29.68;74.5;4.333333;
83097;11/11/1963;1200;;24;;;;
83097;12/11/1963;0000;36.2;;28;71.75;2.666667;
83097;12/11/1963;1200;;23.6;;;;
83097;13/11/1963;0000;33.4;;26.4;81.5;1.666667;
83097;13/11/1963;1200;;23.6;;;;
83097;14/11/1963;0000;35.2;;28.96;65.25;5.666667;
83097;14/11/1963;1200;;25.4;;;;
83097;15/11/1963;0000;34.5;;27.66;66.25;7;
83097;15/11/1963;1200;;25;;;;
83097;16/11/1963;0000;35.5;;28.46;62.5;6.333333;
83097;16/11/1963;1200;;24.6;;;;
83097;17/11/1963;0000;35;;;70.5;5.666667;
83097;18/11/1963;0000;33.2;;;63.25;5;
83097;19/11/1963;0000;32.5;;;71.25;3.666667;
83097;20/11/1963;0000;32.9;;;71.25;5.333333;
83097;21/11/1963;0000;34.6;;;69.5;5.666667;
83097;22/11/1963;0000;31.8;;;68.5;3.666667;
83097;23/11/1963;0000;31.5;;;68.75;1.666667;
83097;24/11/1963;0000;29.6;;;69.75;6.333333;
83097;25/11/1963;0000;31.5;;;72;5.333333;
83097;26/11/1963;0000;32.2;;;72.25;5;
83097;27/11/1963;0000;32.2;;;70;3.666667;
83097;28/11/1963;0000;32.5;;;70;5;
83097;29/11/1963;0000;33.6;;;66.5;4.333333;
83097;30/11/1963;0000;31.5;;;74;5;
83097;01/12/1963;0000;31.6;;;64.5;4;
83097;02/12/1963;0000;30.8;;;67.75;3.333333;
83097;03/12/1963;0000;31.4;;;65;5.333333;
83097;04/12/1963;0000;32;;;67.5;3.333333;
83097;05/12/1963;0000;32.4;;;73;4.666667;
83097;06/12/1963;0000;32.7;;;68.75;4.333333;
83097;07/12/1963;0000;32.8;;;63.5;6.333333;
83097;08/12/1963;0000;32.5;;;64.25;4;
83097;09/12/1963;0000;33.2;;;64.75;2.666667;
83097;10/12/1963;0000;33.2;;;66.25;3.666667;
83097;11/12/1963;0000;34.2;;;69.5;4.333333;
83097;12/12/1963;0000;36.8;;;63.25;6.333333;
83097;13/12/1963;0000;38.2;;;60.75;4.333333;
83097;14/12/1963;0000;35.8;;;61.25;5.666667;
83097;15/12/1963;0000;33.5;;;72.75;2;
83097;16/12/1963;0000;36;;;65;3.333333;
83097;17/12/1963;0000;31.8;;;82.75;4.333333;
83097;18/12/1963;0000;31;;;84.25;3.666667;
83097;19/12/1963;0000;33.2;;;69.5;1;
83097;20/12/1963;0000;34.3;;;70.25;1.666667;
83097;21/12/1963;0000;34.2;;;69;4.333333;
83097;22/12/1963;0000;30.5;;;81;1;
83097;23/12/1963;0000;30.1;;;91.5;2;
83097;24/12/1963;0000;25.2;;;90.5;4.333333;
83097;25/12/1963;0000;26.4;;;91.5;2.666667;
83097;26/12/1963;0000;29.4;;;75.75;1;
83097;27/12/1963;0000;30.5;;;92.25;2;
83097;28/12/1963;0000;32.1;;;79;1.666667;
83097;29/12/1963;0000;31.3;;;81.25;4.333333;
83097;30/12/1963;0000;31.3;;;81;1.666667;
83097;31/12/1963;0000;28.7;;;81.75;1;
83097;01/01/1964;0000;31.6;;;76.5;0.666667;
83097;02/01/1964;0000;32.6;;;80.75;5.666667;
83097;03/01/1964;0000;29.5;;;87;3;
83097;04/01/1964;0000;31.7;;;75.5;3;
83097;05/01/1964;0000;33;;;77;1;
83097;06/01/1964;0000;32.5;;;74.25;3;
83097;07/01/1964;0000;30;;;89.25;3;
83097;08/01/1964;0000;31.8;;;78;5;
83097;09/01/1964;0000;33.4;;;76.5;3;
83097;10/01/1964;0000;35;;;72.25;2;
83097;11/01/1964;0000;33.5;;;76.5;3.666667;
83097;12/01/1964;0000;32.5;;;81.75;2.666667;
83097;13/01/1964;0000;32.4;;;75;5.666667;
83097;14/01/1964;0000;35;;;74.5;3.666667;
83097;15/01/1964;0000;33.7;;;73;3.333333;
83097;16/01/1964;0000;35.2;;;73.25;3;
83097;17/01/1964;0000;33.2;;;74;1.666667;
83097;18/01/1964;0000;36;;;75.75;3;
83097;19/01/1964;0000;33;;;78.25;3;
83097;20/01/1964;0000;30.4;;;82.75;2.333333;
83097;21/01/1964;0000;31.6;;;78.25;4.333333;
83097;22/01/1964;0000;30.4;;;80.25;2.333333;
83097;23/01/1964;0000;32;;;78.25;4.333333;
83097;24/01/1964;0000;31.6;;;78.25;5;
83097;25/01/1964;0000;32.6;;;75.5;3.666667;
83097;26/01/1964;0000;32;;;76.75;4.333333;
83097;27/01/1964;0000;33.4;;;75.75;5;
83097;28/01/1964;0000;33.1;;;77.25;5.666667;
83097;29/01/1964;0000;33;;;75.5;6.333333;
83097;30/01/1964;0000;34.2;;;78.75;3.666667;
83097;31/01/1964;0000;32.5;;;78;4.333333;
83097;01/02/1964;0000;32.5;;26.86;73.5;7;
83097;01/02/1964;1200;;22;;;;
83097;02/02/1964;0000;32;;26.6;75;5;
83097;02/02/1964;1200;;21.5;;;;
83097;03/02/1964;0000;33;;26.58;75;5;
83097;03/02/1964;1200;;21.5;;;;
83097;04/02/1964;0000;34;;27;73.25;4.333333;
83097;04/02/1964;1200;;21.5;;;;
83097;05/02/1964;0000;35.5;;26.2;71;4.333333;
83097;05/02/1964;1200;;15;;;;
83097;06/02/1964;0000;35.6;;28.56;70.5;4.333333;
83097;06/02/1964;1200;;25;;;;
83097;07/02/1964;0000;35;;26.22;79;4.333333;
83097;07/02/1964;1200;;21.6;;;;
83097;08/02/1964;0000;27.3;;24.44;88.75;2.333333;
83097;08/02/1964;1200;;21.5;;;;
83097;09/02/1964;0000;30.4;;25.36;91.75;4.666667;
83097;09/02/1964;1200;;21.5;;;;
83097;10/02/1964;0000;30.6;;25.72;80.5;3.666667;
83097;10/02/1964;1200;;21.4;;;;
83097;11/02/1964;0000;31.6;;26.12;80.5;5;
83097;11/02/1964;1200;;22;;;;
83097;12/02/1964;0000;30.6;;26.2;82;5;
83097;12/02/1964;1200;;22;;;;
83097;13/02/1964;0000;32.5;;26.4;78.5;5.666667;
83097;13/02/1964;1200;;20.2;;;;
83097;14/02/1964;0000;29.9;;25.36;87.25;3;
83097;14/02/1964;1200;;19.2;;;;
83097;15/02/1964;0000;31.8;;27;78.5;6.333333;
83097;15/02/1964;1200;;23;;;;
83097;16/02/1964;0000;32.6;;26.62;75.75;3.666667;
83097;16/02/1964;1200;;20.2;;;;
83097;17/02/1964;0000;33.3;;26.7;74.25;4.333333;
83097;17/02/1964;1200;;20;;;;
83097;18/02/1964;0000;33.2;;26.9;77.75;4.333333;
83097;18/02/1964;1200;;20.1;;;;
83097;19/02/1964;0000;34.2;;27.62;75.75;4.333333;
83097;19/02/1964;1200;;22;;;;
83097;20/02/1964;0000;33.5;;27.78;75.5;5.666667;
83097;20/02/1964;1200;;23;;;;
83097;21/02/1964;0000;34.8;;28.14;69.5;2.333333;
83097;21/02/1964;1200;;22.5;;;;
83097;22/02/1964;0000;35.2;;27.02;82.25;3;
83097;22/02/1964;1200;;22.1;;;;
83097;23/02/1964;0000;32.5;;27.28;76.25;5;
83097;23/02/1964;1200;;22.1;;;;
83097;24/02/1964;0000;34;;28.02;73.5;5;
83097;24/02/1964;1200;;23.4;;;;
83097;25/02/1964;0000;34.5;;27.82;73.5;3;
83097;25/02/1964;1200;;23;;;;
83097;26/02/1964;0000;35.4;;27.9;72.25;3.666667;
83097;26/02/1964;1200;;23;;;;
83097;27/02/1964;0000;33.5;;27.2;73.5;1.666667;
83097;27/02/1964;1200;;21.6;;;;
83097;28/02/1964;0000;32.5;;26.92;73.5;5;
83097;28/02/1964;1200;;21.5;;;;
83097;29/02/1964;0000;33.2;;27.08;;4.333333;
