--------------------
BDMEP - INMET
--------------------
Estação           : IRECE - BA (OMM: 83182)
Latitude  (graus) : -11.3
Longitude (graus) : -41.86
Altitude  (metros): 747.16
Estação Operante
Inicio de operação: 01/12/1970
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83182;01/01/1973;0000;29.5;;;61;5;
83182;02/01/1973;0000;30.5;;;55;6;
83182;03/01/1973;0000;31;;;55.5;6.333333;
83182;04/01/1973;0000;30.7;;;59.25;3.333333;
83182;05/01/1973;0000;31.3;;;56.25;4.333333;
83182;06/01/1973;0000;32.3;;;51;1.333333;
83182;07/01/1973;0000;33;;;51;1.333333;
83182;08/01/1973;0000;32.3;;;58;2.666667;
83182;09/01/1973;0000;32.8;;;52.25;3.666667;
83182;10/01/1973;0000;31.3;;;50.25;5.666667;
83182;11/01/1973;0000;31.2;;;55;4.333333;
83182;12/01/1973;0000;31.7;;;55.75;0.666667;
83182;13/01/1973;0000;32.6;;;52.75;1.666667;
83182;14/01/1973;0000;33.1;;;66.25;1.666667;
83182;15/01/1973;0000;30.8;;;80;2.333333;
83182;16/01/1973;0000;29.6;;;73.5;1.333333;
83182;17/01/1973;0000;27.2;;;81;0;
83182;18/01/1973;0000;24.9;;;92.25;0.666667;
83182;19/01/1973;0000;28;;;72.25;3.333333;
83182;20/01/1973;0000;28.7;;;77.5;3;
83182;21/01/1973;0000;29.9;;;67.5;5.666667;
83182;22/01/1973;0000;30;;;74.75;4.666667;
83182;23/01/1973;0000;29.8;;;65.25;2.666667;
83182;24/01/1973;0000;30.2;;;55.25;4;
83182;25/01/1973;0000;30.3;;;65.25;2.666667;
83182;26/01/1973;0000;29.9;;;59.75;4.333333;
83182;27/01/1973;0000;30.3;;;59.25;7;
83182;28/01/1973;0000;30;;;70.25;6.666667;
83182;29/01/1973;0000;31.7;;;59;4;
83182;30/01/1973;0000;29.8;;;62.75;5;
83182;31/01/1973;0000;31.9;;;52.25;1.333333;
83182;01/02/1973;0000;30.5;;;62.75;4.333333;
83182;02/02/1973;0000;31.4;;;59.25;2;
83182;03/02/1973;0000;31.8;;;57.5;2;
83182;04/02/1973;0000;31.6;;;54;4;
83182;05/02/1973;0000;32.3;;;53.25;2.333333;
83182;06/02/1973;0000;33.3;;;48.25;3;
83182;07/02/1973;0000;34;;;45.25;2;
83182;08/02/1973;0000;32.2;;;59.5;6.666667;
83182;09/02/1973;0000;33.2;;;50.5;6;
83182;10/02/1973;0000;33.9;;;46.5;1.333333;
83182;11/02/1973;0000;34.9;;;41;3.333333;
83182;12/02/1973;0000;32.4;;;61.75;1.666667;
83182;13/02/1973;0000;27.8;;;78.25;4.333333;
83182;14/02/1973;0000;29;;;62.25;3.666667;
83182;15/02/1973;0000;32.1;;24.62;51.5;4.333333;
83182;15/02/1973;1200;;19;;;;
83182;16/02/1973;0000;32.3;;24.9;45;2.333333;
83182;16/02/1973;1200;;19.6;;;;
83182;17/02/1973;0000;33.8;;25.56;45.25;4.333333;
83182;17/02/1973;1200;;18.8;;;;
83182;18/02/1973;0000;33.3;;26.28;51.5;5.333333;
83182;18/02/1973;1200;;19.4;;;;
83182;19/02/1973;0000;30.6;;24.84;55.5;5.333333;
83182;19/02/1973;1200;;18.8;;;;
83182;20/02/1973;0000;31.9;;25.82;59.75;5.333333;
83182;20/02/1973;1200;;19.6;;;;
83182;21/02/1973;0000;32.1;;25.74;63.5;4.333333;
83182;21/02/1973;1200;;19.7;;;;
83182;22/02/1973;0000;32.2;;25.52;54.5;5.333333;
83182;22/02/1973;1200;;19.6;;;;
83182;23/02/1973;0000;32.6;;25.58;50.75;4.333333;
83182;23/02/1973;1200;;19.3;;;;
83182;24/02/1973;0000;32.2;;26.04;53.5;3.666667;
83182;24/02/1973;1200;;20.2;;;;
83182;25/02/1973;0000;33.1;;26.02;51.75;3.666667;
83182;25/02/1973;1200;;20;;;;
