--------------------
BDMEP - INMET
--------------------
Estação           : MORRO DO CHAPEU - BA (OMM: 83184)
Latitude  (graus) : -11.21
Longitude (graus) : -41.21
Altitude  (metros): 1003.27
Estação Operante
Inicio de operação: 13/01/1913
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83184;01/02/1961;0000;26;;19.82;77.25;3.333333;
83184;01/02/1961;1200;;16;;;;
83184;02/02/1961;0000;27.6;;19.82;67.25;2.666667;
83184;02/02/1961;1200;;15.2;;;;
83184;03/02/1961;0000;26.8;;20.56;68;3.333333;
83184;03/02/1961;1200;;16.5;;;;
83184;04/02/1961;0000;28.2;;20.86;71.75;2;
83184;04/02/1961;1200;;16.2;;;;
83184;05/02/1961;0000;28.2;;21.7;74.75;3;
83184;05/02/1961;1200;;16.4;;;;
83184;06/02/1961;0000;28.4;;21.64;79.25;4;
83184;06/02/1961;1200;;18.5;;;;
83184;07/02/1961;0000;25.4;;20.74;85.25;2.666667;
83184;07/02/1961;1200;;18.4;;;;
83184;08/02/1961;0000;27.4;;19.68;75;2.666667;
83184;08/02/1961;1200;;17.3;;;;
83184;09/02/1961;0000;26.6;;19.58;78.75;2;
83184;09/02/1961;1200;;15.2;;;;
83184;10/02/1961;0000;27.8;;20.3;75.75;3.333333;
83184;10/02/1961;1200;;16.6;;;;
83184;11/02/1961;0000;26.8;;20.68;75.75;0.666667;
83184;11/02/1961;1200;;17.5;;;;
83184;12/02/1961;0000;29;;21.28;76.5;4;
83184;12/02/1961;1200;;15.5;;;;
83184;13/02/1961;0000;26;;21.26;76.75;2;
83184;13/02/1961;1200;;17.6;;;;
83184;14/02/1961;0000;27.4;;20.96;79.25;3.333333;
83184;14/02/1961;1200;;18.5;;;;
83184;15/02/1961;0000;27;;21.02;71.25;4;
83184;15/02/1961;1200;;18;;;;
83184;16/02/1961;0000;25.6;;20.26;73;3.333333;
83184;16/02/1961;1200;;16;;;;
83184;17/02/1961;0000;26.2;;20.98;72;2.666667;
83184;17/02/1961;1200;;17;;;;
83184;18/02/1961;0000;26.8;;20.5;76;2.666667;
83184;18/02/1961;1200;;17;;;;
83184;19/02/1961;0000;25;;18.84;79;2;
83184;19/02/1961;1200;;16.5;;;;
83184;20/02/1961;0000;26.8;;20.16;70.25;2;
83184;20/02/1961;1200;;15.5;;;;
83184;21/02/1961;0000;26.2;;19.62;70.75;3;
83184;21/02/1961;1200;;16;;;;
83184;22/02/1961;0000;28.4;;21.66;64.5;4;
83184;22/02/1961;1200;;17;;;;
83184;23/02/1961;0000;28.4;;21.9;60.75;2;
83184;23/02/1961;1200;;17;;;;
83184;24/02/1961;0000;28;;22.06;62.5;5.333333;
83184;24/02/1961;1200;;16.6;;;;
