--------------------
BDMEP - INMET
--------------------
Estação           : JACOBINA - BA (OMM: 83186)
Latitude  (graus) : -11.18
Longitude (graus) : -40.46
Altitude  (metros): 484.74
Estação Operante
Inicio de operação: 01/12/1912
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83186;01/01/1961;0000;31;;23.24;75.25;1.333333;
83186;01/01/1961;1200;;15;;;;
83186;02/01/1961;0000;34.3;;25.14;55.75;2;
83186;02/01/1961;1200;;15;;;;
83186;03/01/1961;0000;33.8;;25.76;50.5;3;
83186;03/01/1961;1200;;15.4;;;;
83186;04/01/1961;0000;34.6;;26.46;52.75;1.333333;
83186;04/01/1961;1200;;16.1;;;;
83186;05/01/1961;0000;32.8;;26.04;55.25;2;
83186;05/01/1961;1200;;16.8;;;;
83186;06/01/1961;0000;34.6;;26.2;53;3;
83186;06/01/1961;1200;;16.2;;;;
83186;07/01/1961;0000;35.2;;26.16;48.75;1.666667;
83186;07/01/1961;1200;;15.6;;;;
83186;08/01/1961;0000;35.8;;27.08;43;5.666667;
83186;08/01/1961;1200;;16.8;;;;
83186;09/01/1961;0000;34.2;;25.92;52.5;2;
83186;09/01/1961;1200;;16;;;;
83186;10/01/1961;0000;34.4;;26.16;46.5;3;
83186;10/01/1961;1200;;15.6;;;;
83186;11/01/1961;0000;34.2;;26.08;50;0.666667;
83186;11/01/1961;1200;;15.4;;;;
83186;12/01/1961;0000;33;;25.56;62;3.333333;
83186;12/01/1961;1200;;16.4;;;;
83186;13/01/1961;0000;32.4;;25.78;57.5;3.333333;
83186;13/01/1961;1200;;16.9;;;;
83186;14/01/1961;0000;33.2;;25.6;54;2.666667;
83186;14/01/1961;1200;;15.2;;;;
83186;15/01/1961;0000;33.6;;25.96;52.5;1.666667;
83186;15/01/1961;1200;;15.8;;;;
83186;16/01/1961;0000;32.2;;24.56;69.5;2.666667;
83186;16/01/1961;1200;;16.6;;;;
83186;17/01/1961;0000;24.9;;21.54;90.25;3;
83186;17/01/1961;1200;;15;;;;
83186;18/01/1961;0000;30.2;;23.64;71.25;3;
83186;18/01/1961;1200;;15.4;;;;
83186;19/01/1961;0000;31.4;;25;61.25;3;
83186;19/01/1961;1200;;16;;;;
83186;20/01/1961;0000;31.6;;24.28;68;1.666667;
83186;20/01/1961;1200;;16;;;;
83186;21/01/1961;0000;29.8;;24.02;69.75;0.666667;
83186;21/01/1961;1200;;16.1;;;;
83186;22/01/1961;0000;26.4;;21.68;85.25;0;
83186;22/01/1961;1200;;15.4;;;;
83186;23/01/1961;0000;29.6;;23.44;79.75;0.666667;
83186;23/01/1961;1200;;15.4;;;;
83186;24/01/1961;0000;34.6;;23.08;78;0;
83186;24/01/1961;1200;;14.4;;;;
83186;25/01/1961;0000;28.6;;22.56;87.25;1;
83186;25/01/1961;1200;;15;;;;
83186;26/01/1961;0000;31.8;;25.2;69.75;1;
83186;26/01/1961;1200;;16.4;;;;
83186;27/01/1961;0000;28.8;;23.32;85;0.333333;
83186;27/01/1961;1200;;17;;;;
83186;28/01/1961;0000;31.1;;23.82;78.75;0.666667;
83186;28/01/1961;1200;;16.4;;;;
83186;29/01/1961;0000;31.4;;23.28;71.5;3;
83186;29/01/1961;1200;;15.4;;;;
83186;30/01/1961;0000;31.7;;24.12;62.5;2;
83186;30/01/1961;1200;;15.3;;;;
83186;31/01/1961;0000;32.8;;24.92;58.25;2.666667;
83186;31/01/1961;1200;;15.6;;;;
83186;01/02/1961;0000;32.2;;23.6;67.25;2;
83186;01/02/1961;1200;;16;;;;
83186;02/02/1961;0000;31.6;;24.2;63;2.666667;
83186;02/02/1961;1200;;14.8;;;;
83186;03/02/1961;0000;31;;24.48;64;2;
83186;03/02/1961;1200;;16;;;;
83186;04/02/1961;0000;32.8;;24.36;59.5;2;
83186;04/02/1961;1200;;15.6;;;;
83186;05/02/1961;0000;32.9;;24.62;61.25;1;
83186;05/02/1961;1200;;15.5;;;;
83186;06/02/1961;0000;33.2;;25.36;69;3.666667;
83186;06/02/1961;1200;;16;;;;
83186;07/02/1961;0000;31.2;;25.12;68.75;2.666667;
83186;07/02/1961;1200;;16.4;;;;
83186;08/02/1961;0000;32;;24.06;67.25;1.333333;
83186;08/02/1961;1200;;15.9;;;;
83186;09/02/1961;0000;31.9;;23.7;67;1.333333;
83186;09/02/1961;1200;;15.6;;;;
83186;10/02/1961;0000;32.6;;25.38;58;2.666667;
83186;10/02/1961;1200;;16.1;;;;
83186;11/02/1961;0000;30.4;;23.96;71.75;3;
83186;11/02/1961;1200;;16.6;;;;
83186;12/02/1961;0000;34.4;;25.44;64;0.333333;
83186;12/02/1961;1200;;17;;;;
83186;13/02/1961;0000;34.2;;25.2;73.5;0.333333;
83186;13/02/1961;1200;;17.4;;;;
83186;14/02/1961;0000;34.2;;25.48;70.25;1.333333;
83186;14/02/1961;1200;;17.8;;;;
83186;15/02/1961;0000;33;;25.32;60.5;2;
83186;15/02/1961;1200;;17;;;;
83186;16/02/1961;0000;31.2;;24.78;63.75;1.333333;
83186;16/02/1961;1200;;15.9;;;;
83186;17/02/1961;0000;31.4;;24.76;62.75;1.333333;
83186;17/02/1961;1200;;16;;;;
83186;18/02/1961;0000;32.4;;25.42;60.5;4.333333;
83186;18/02/1961;1200;;15.9;;;;
83186;19/02/1961;0000;30.7;;24.02;66.75;2.333333;
83186;19/02/1961;1200;;15.9;;;;
83186;20/02/1961;0000;31.9;;24.78;59.75;1;
83186;20/02/1961;1200;;16;;;;
83186;21/02/1961;0000;32;;24.44;68.75;1.666667;
83186;21/02/1961;1200;;15.4;;;;
83186;22/02/1961;0000;34;;25.94;62.5;3.333333;
83186;22/02/1961;1200;;16.2;;;;
83186;23/02/1961;0000;33.8;;25.92;67.25;1.666667;
83186;23/02/1961;1200;;16.2;;;;
83186;24/02/1961;0000;33.9;;25.82;65;1.666667;
83186;24/02/1961;1200;;16.9;;;;
83186;25/02/1961;0000;34.2;;25.64;65.75;3.666667;
83186;25/02/1961;1200;;15;;;;
83186;26/02/1961;0000;34;;25.98;66.75;3.666667;
83186;26/02/1961;1200;;16.4;;;;
83186;27/02/1961;0000;33.5;;26.16;67.5;2.333333;
83186;27/02/1961;1200;;16;;;;
83186;28/02/1961;0000;34.1;;26.14;70.5;1.333333;
83186;28/02/1961;1200;;16.2;;;;
83186;01/03/1961;0000;31.6;;24.58;76.5;0.333333;
83186;01/03/1961;1200;;16;;;;
