--------------------
BDMEP - INMET
--------------------
Estação           : SERRINHA - BA (OMM: 83190)
Latitude  (graus) : -11.63
Longitude (graus) : -38.96
Altitude  (metros): 359.63
Estação Operante
Inicio de operação: 01/02/1904
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83190;02/04/1961;0000;29.4;;23.94;81.75;3;
83190;02/04/1961;1200;;20.7;;;;
83190;03/04/1961;0000;30.9;;24.6;78;2.666667;
83190;03/04/1961;1200;;21.2;;;;
83190;04/04/1961;0000;31;;24.7;74.5;2.333333;
83190;04/04/1961;1200;;20.1;;;;
83190;05/04/1961;0000;30.9;;24.58;76.75;2.333333;
83190;05/04/1961;1200;;21.1;;;;
83190;06/04/1961;0000;30.2;;23.88;79.75;1;
83190;06/04/1961;1200;;20.1;;;;
83190;07/04/1961;0000;29.4;;23.58;79.25;2.333333;
83190;07/04/1961;1200;;20.5;;;;
83190;08/04/1961;0000;31;;24.36;76.75;3;
83190;08/04/1961;1200;;20.1;;;;
83190;09/04/1961;0000;31.6;;24.24;86.25;1.666667;
83190;09/04/1961;1200;;19.9;;;;
83190;10/04/1961;0000;30.2;;23.46;79;0.666667;
83190;10/04/1961;1200;;19.9;;;;
83190;11/04/1961;0000;30.9;;23.78;80;2.666667;
83190;11/04/1961;1200;;19.9;;;;
83190;12/04/1961;0000;29.3;;23.5;82.5;3.666667;
83190;12/04/1961;1200;;20.5;;;;
83190;13/04/1961;0000;29.6;;23.78;80.75;2.666667;
83190;13/04/1961;1200;;18.9;;;;
83190;14/04/1961;0000;31.4;;24.64;82.5;3;
83190;14/04/1961;1200;;20.9;;;;
83190;15/04/1961;0000;28.6;;23.76;77;2.333333;
83190;15/04/1961;1200;;20.7;;;;
83190;16/04/1961;0000;28.5;;22.88;80.25;2.333333;
83190;16/04/1961;1200;;19.5;;;;
83190;17/04/1961;0000;28.2;;23.22;80;1.666667;
83190;17/04/1961;1200;;20.5;;;;
83190;18/04/1961;0000;28.6;;23.48;80.5;3.666667;
83190;18/04/1961;1200;;19.5;;;;
83190;19/04/1961;0000;30.4;;24.66;76.25;1;
83190;19/04/1961;1200;;20.4;;;;
83190;20/04/1961;0000;32;;24.66;79;3;
83190;20/04/1961;1200;;20.6;;;;
83190;21/04/1961;0000;30;;24.6;75.75;3;
83190;21/04/1961;1200;;21.3;;;;
83190;22/04/1961;0000;30;;23.9;81.25;2;
83190;22/04/1961;1200;;20.5;;;;
83190;23/04/1961;0000;31.4;;23.96;78.5;2;
83190;23/04/1961;1200;;19.9;;;;
83190;24/04/1961;0000;30.4;;24.16;76;3.333333;
83190;24/04/1961;1200;;20.9;;;;
83190;25/04/1961;0000;28.8;;22.98;83.25;2.333333;
83190;25/04/1961;1200;;19.1;;;;
83190;26/04/1961;0000;28.9;;23.8;79.25;2.333333;
83190;26/04/1961;1200;;20.5;;;;
83190;27/04/1961;0000;33.1;;25.62;74;1.666667;
83190;27/04/1961;1200;;20.9;;;;
83190;28/04/1961;0000;31.8;;25.2;77.5;1;
83190;28/04/1961;1200;;21.9;;;;
83190;29/04/1961;0000;30.8;;24.66;77.25;2.333333;
83190;29/04/1961;1200;;21.7;;;;
83190;30/04/1961;0000;31.9;;24.26;71;2.333333;
83190;30/04/1961;1200;;20.1;;;;
83190;01/05/1961;0000;30.6;;23.76;73;3.333333;
83190;01/05/1961;1200;;19.5;;;;
83190;02/05/1961;0000;30.2;;24.18;76.75;1.666667;
83190;02/05/1961;1200;;20.4;;;;
83190;03/05/1961;0000;30.4;;23.54;78.75;3;
83190;03/05/1961;1200;;19.5;;;;
83190;04/05/1961;0000;30.2;;24.08;80;2;
83190;04/05/1961;1200;;20;;;;
83190;05/05/1961;0000;32;;25.6;73.25;3;
83190;05/05/1961;1200;;21.7;;;;
83190;06/05/1961;0000;31.2;;24.02;78;2;
83190;06/05/1961;1200;;21.7;;;;
83190;07/05/1961;0000;31;;23.6;75.25;1;
83190;07/05/1961;1200;;18.9;;;;
83190;08/05/1961;0000;31.1;;23.76;77.5;3.666667;
83190;08/05/1961;1200;;19.5;;;;
83190;09/05/1961;0000;29.2;;23.68;75.75;2;
83190;09/05/1961;1200;;20.5;;;;
83190;10/05/1961;0000;29.9;;23.16;74;3;
83190;10/05/1961;1200;;18.7;;;;
83190;11/05/1961;0000;30.6;;23.08;72;1.333333;
83190;11/05/1961;1200;;18.9;;;;
83190;12/05/1961;0000;28.4;;22.38;83;1.666667;
83190;12/05/1961;1200;;18.3;;;;
83190;13/05/1961;0000;30.2;;23.04;72.5;3.333333;
83190;13/05/1961;1200;;17.6;;;;
83190;14/05/1961;0000;26.9;;22.72;83.75;1.666667;
83190;14/05/1961;1200;;18.5;;;;
83190;15/05/1961;0000;29;;22.7;84.75;2.666667;
83190;15/05/1961;1200;;18.9;;;;
83190;16/05/1961;0000;27.8;;22.3;87.75;1.666667;
83190;16/05/1961;1200;;19.2;;;;
83190;17/05/1961;0000;27.9;;22.2;84.75;1;
83190;17/05/1961;1200;;19.7;;;;
83190;18/05/1961;0000;29.6;;23.42;74.75;2;
83190;18/05/1961;1200;;18.5;;;;
83190;19/05/1961;0000;32.1;;24.14;75.25;1.333333;
83190;19/05/1961;1200;;19.5;;;;
83190;20/05/1961;0000;31.9;;24.48;74.25;2;
83190;20/05/1961;1200;;20.5;;;;
