--------------------
BDMEP - INMET
--------------------
Estação           : CIPO - BA (OMM: 83192)
Latitude  (graus) : -11.08
Longitude (graus) : -38.51
Altitude  (metros): 145.31
Estação Operante
Inicio de operação: 01/01/1935
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83192;01/01/1961;0000;35.6;;25.2;73.25;2.666667;
83192;01/01/1961;1200;;15;;;;
83192;02/01/1961;0000;36.6;;24.96;73.5;4;
83192;02/01/1961;1200;;14.4;;;;
83192;03/01/1961;0000;37.8;;27.12;63;2.666667;
83192;03/01/1961;1200;;16;;;;
83192;04/01/1961;0000;36.6;;25.76;70.75;3;
83192;04/01/1961;1200;;18;;;;
83192;05/01/1961;0000;36.4;;26.64;64;4;
83192;05/01/1961;1200;;16.6;;;;
83192;06/01/1961;0000;36.8;;25.84;62.75;2.666667;
83192;06/01/1961;1200;;17.2;;;;
83192;07/01/1961;0000;36;;26.8;63.5;3.333333;
83192;07/01/1961;1200;;16.6;;;;
83192;08/01/1961;0000;36.8;;26.08;63.75;3.333333;
83192;08/01/1961;1200;;18;;;;
83192;09/01/1961;0000;37;;26.36;64.5;4;
83192;09/01/1961;1200;;16.6;;;;
83192;10/01/1961;0000;37.8;;25.72;64.25;2.666667;
83192;10/01/1961;1200;;17.6;;;;
83192;11/01/1961;0000;37.6;;26.52;67.75;4;
83192;11/01/1961;1200;;16.6;;;;
83192;12/01/1961;0000;36.8;;26;59.75;2.333333;
83192;12/01/1961;1200;;17.6;;;;
83192;13/01/1961;0000;36.2;;26.16;61.25;3.666667;
83192;13/01/1961;1200;;18;;;;
83192;14/01/1961;0000;35.8;;25.36;74;2;
83192;14/01/1961;1200;;16.6;;;;
83192;15/01/1961;0000;34.4;;24.36;72.75;3.333333;
83192;15/01/1961;1200;;16;;;;
83192;16/01/1961;0000;31.6;;22.64;75.75;3.333333;
83192;16/01/1961;1200;;15;;;;
83192;17/01/1961;0000;28.8;;21.64;72.5;3.333333;
83192;17/01/1961;1200;;14;;;;
83192;18/01/1961;0000;34.8;;24.76;70.5;2.666667;
83192;18/01/1961;1200;;16.6;;;;
83192;19/01/1961;0000;36.8;;25.52;72;3;
83192;19/01/1961;1200;;15;;;;
