--------------------
BDMEP - INMET
--------------------
Estação           : ITABAIANINHA - SE (OMM: 83195)
Latitude  (graus) : -11.11
Longitude (graus) : -37.81
Altitude  (metros): 208.00
Estação Operante
Inicio de operação: 06/08/1923
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83195;01/06/1963;0000;26.6;;21.78;82;0.666667;
83195;01/06/1963;1200;;16.2;;;;
83195;02/06/1963;0000;25.6;;21.68;81;1;
83195;02/06/1963;1200;;17.9;;;;
83195;03/06/1963;0000;24.4;;20.62;94.5;1.333333;
83195;03/06/1963;1200;;17.1;;;;
83195;04/06/1963;0000;24.2;;21.18;86.75;0.666667;
83195;04/06/1963;1200;;17.9;;;;
83195;05/06/1963;0000;23.2;;21.14;93.75;1.333333;
83195;05/06/1963;1200;;18.3;;;;
83195;06/06/1963;0000;26.3;;21.68;82.25;1.333333;
83195;06/06/1963;1200;;16.6;;;;
83195;07/06/1963;0000;25.5;;21.68;84;1.333333;
83195;07/06/1963;1200;;16.5;;;;
83195;08/06/1963;0000;24.1;;21.62;87.25;1.666667;
83195;08/06/1963;1200;;17.9;;;;
83195;09/06/1963;0000;25.2;;21.6;86;1.666667;
83195;09/06/1963;1200;;17.9;;;;
83195;10/06/1963;0000;26.4;;22.42;82.75;2;
83195;10/06/1963;1200;;15.9;;;;
83195;11/06/1963;0000;23.6;;21.56;94.5;1;
83195;11/06/1963;1200;;19;;;;
83195;12/06/1963;0000;25.1;;22.1;87.5;0.666667;
83195;12/06/1963;1200;;18.8;;;;
83195;13/06/1963;0000;25.9;;21.66;81.75;1.666667;
83195;13/06/1963;1200;;17.3;;;;
83195;14/06/1963;0000;24.7;;21.22;78.75;1.666667;
83195;14/06/1963;1200;;16.2;;;;
83195;15/06/1963;0000;26.5;;21.78;75;1.333333;
83195;15/06/1963;1200;;15.9;;;;
83195;16/06/1963;0000;27;;22.42;83;2;
83195;16/06/1963;1200;;18.5;;;;
83195;17/06/1963;0000;26.4;;21.82;80.5;2;
83195;17/06/1963;1200;;17.5;;;;
83195;18/06/1963;0000;27.4;;21.24;82.75;0.666667;
83195;18/06/1963;1200;;15.2;;;;
83195;19/06/1963;0000;29.1;;22.06;87.5;0.333333;
83195;19/06/1963;1200;;16;;;;
83195;20/06/1963;0000;27.4;;22;82.25;0.333333;
83195;20/06/1963;1200;;17.6;;;;
83195;21/06/1963;0000;28.6;;22.02;86.5;1.333333;
83195;21/06/1963;1200;;15.7;;;;
83195;22/06/1963;0000;29.4;;22.46;82.25;1;
83195;22/06/1963;1200;;17.3;;;;
83195;23/06/1963;0000;23.6;;20.88;90.5;1;
83195;23/06/1963;1200;;18;;;;
83195;24/06/1963;0000;25.3;;21.12;78.5;1.333333;
83195;24/06/1963;1200;;17.9;;;;
83195;25/06/1963;0000;26.8;;20.9;85.5;2;
83195;25/06/1963;1200;;16.1;;;;
83195;26/06/1963;0000;24.4;;20.68;91.75;1.666667;
83195;26/06/1963;1200;;17.5;;;;
83195;27/06/1963;0000;27;;20.96;94;2;
83195;27/06/1963;1200;;15.4;;;;
83195;28/06/1963;0000;26.7;;22.06;87;2.333333;
83195;28/06/1963;1200;;18.2;;;;
83195;29/06/1963;0000;23.6;;20.38;91.25;0.333333;
83195;29/06/1963;1200;;17.4;;;;
83195;30/06/1963;0000;26.3;;21.08;84.25;1.333333;
83195;30/06/1963;1200;;15.9;;;;
83195;01/07/1963;0000;24.7;;20.9;79.75;1;
83195;01/07/1963;1200;;17.4;;;;
83195;02/07/1963;0000;25;;20.18;90.75;1.666667;
83195;02/07/1963;1200;;15.2;;;;
83195;03/07/1963;0000;25.6;;21.06;84.25;1.666667;
83195;03/07/1963;1200;;16.3;;;;
83195;04/07/1963;0000;25.7;;21.2;91.25;0.666667;
83195;04/07/1963;1200;;16.7;;;;
83195;05/07/1963;0000;25.8;;21.54;88;0.666667;
83195;05/07/1963;1200;;18.3;;;;
83195;06/07/1963;0000;26.5;;20.94;83.5;1;
83195;06/07/1963;1200;;16.2;;;;
83195;07/07/1963;0000;26.4;;20.36;80.5;1.333333;
83195;07/07/1963;1200;;15.8;;;;
83195;08/07/1963;0000;23.7;;19.88;91.5;1;
83195;08/07/1963;1200;;15.3;;;;
83195;09/07/1963;0000;23.9;;19.38;84.5;1;
83195;09/07/1963;1200;;16.4;;;;
83195;10/07/1963;0000;24.5;;19.28;83.5;1;
83195;10/07/1963;1200;;14.7;;;;
83195;11/07/1963;0000;26;;19.92;85;0.666667;
83195;11/07/1963;1200;;14.7;;;;
83195;12/07/1963;0000;23.3;;20.46;88;1.333333;
83195;12/07/1963;1200;;16.9;;;;
83195;13/07/1963;0000;26.8;;20.9;85.5;0.666667;
83195;13/07/1963;1200;;15.3;;;;
83195;14/07/1963;0000;26.3;;20.76;71;1.333333;
83195;14/07/1963;1200;;14.9;;;;
83195;15/07/1963;0000;25;;20.34;81.25;1;
83195;15/07/1963;1200;;14.9;;;;
83195;16/07/1963;0000;27.4;;20.24;85.25;1;
83195;16/07/1963;1200;;14.4;;;;
83195;17/07/1963;0000;28.4;;21.24;82.5;1;
83195;17/07/1963;1200;;15.8;;;;
83195;18/07/1963;0000;27.6;;21.24;81.25;2;
83195;18/07/1963;1200;;16.1;;;;
83195;19/07/1963;0000;26.7;;21.16;74.25;1.333333;
83195;19/07/1963;1200;;15.7;;;;
83195;20/07/1963;0000;27.3;;21.6;81.75;1.333333;
83195;20/07/1963;1200;;15.7;;;;
83195;21/07/1963;0000;27.3;;21.76;83.75;1.333333;
83195;21/07/1963;1200;;17.3;;;;
83195;22/07/1963;0000;28.3;;21.82;81.5;1;
83195;22/07/1963;1200;;14.6;;;;
83195;23/07/1963;0000;26.7;;21.16;80.75;1.333333;
83195;23/07/1963;1200;;17.7;;;;
83195;24/07/1963;0000;26.9;;20.68;86;1.666667;
83195;24/07/1963;1200;;15.7;;;;
83195;25/07/1963;0000;27;;21.26;88.75;1.666667;
83195;25/07/1963;1200;;16.9;;;;
83195;26/07/1963;0000;26.5;;20.74;84.25;2.333333;
