--------------------
BDMEP - INMET
--------------------
Estação           : FEIRA DE SANTANA - BA (OMM: 83221)
Latitude  (graus) : -12.18
Longitude (graus) : -38.96
Altitude  (metros): 230.68
Estação Operante
Inicio de operação: 01/01/1939
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83221;01/01/1961;0000;36.2;;27.56;66;2.333333;
83221;01/01/1961;1200;;21.8;;;;
83221;02/01/1961;0000;36;;27.16;66.75;3;
83221;02/01/1961;1200;;21.8;;;;
83221;03/01/1961;0000;37.4;;27.74;66.25;2;
83221;03/01/1961;1200;;22;;;;
83221;04/01/1961;0000;37.3;;27.86;64;3.666667;
83221;04/01/1961;1200;;22.2;;;;
83221;05/01/1961;0000;34.6;;26.36;74.25;3;
83221;05/01/1961;1200;;22;;;;
83221;06/01/1961;0000;35.2;;26.84;69.75;3;
83221;06/01/1961;1200;;21.8;;;;
83221;07/01/1961;0000;37;;27.78;65.75;2;
83221;07/01/1961;1200;;22;;;;
83221;08/01/1961;0000;38;;27.92;67;2.333333;
83221;08/01/1961;1200;;22.4;;;;
83221;09/01/1961;0000;37.8;;27.96;67.75;2;
83221;09/01/1961;1200;;22.1;;;;
83221;10/01/1961;0000;34.2;;27.16;72.25;1.666667;
83221;10/01/1961;1200;;22.2;;;;
83221;11/01/1961;0000;36.6;;27.48;68.5;4.333333;
83221;11/01/1961;1200;;22;;;;
83221;12/01/1961;0000;36;;27.2;66.75;3.666667;
83221;12/01/1961;1200;;22.4;;;;
83221;13/01/1961;0000;35.5;;27.22;66.75;3.666667;
83221;13/01/1961;1200;;21.8;;;;
83221;14/01/1961;0000;37.2;;27.76;64.25;2.333333;
83221;14/01/1961;1200;;22.2;;;;
83221;15/01/1961;0000;35.8;;26.8;70;5;
83221;15/01/1961;1200;;20;;;;
83221;16/01/1961;0000;35.8;;27;69.75;2.666667;
83221;16/01/1961;1200;;21.8;;;;
83221;17/01/1961;0000;28;;24.44;83.25;2.333333;
83221;17/01/1961;1200;;22;;;;
83221;18/01/1961;0000;33;;25.36;76.75;3.666667;
83221;18/01/1961;1200;;21.2;;;;
83221;19/01/1961;0000;35;;26.12;73.5;4.333333;
83221;19/01/1961;1200;;20.8;;;;
83221;20/01/1961;0000;37.4;;27.12;67.5;2.333333;
83221;20/01/1961;1200;;20.8;;;;
83221;21/01/1961;0000;34;;26.28;79;1.333333;
83221;21/01/1961;1200;;21.8;;;;
83221;22/01/1961;0000;29.8;;25.16;77;2.333333;
83221;22/01/1961;1200;;22.4;;;;
83221;23/01/1961;0000;31.6;;25.32;80.25;2;
83221;23/01/1961;1200;;21.8;;;;
83221;24/01/1961;0000;34.4;;25.84;79.25;2.333333;
83221;24/01/1961;1200;;20.6;;;;
83221;25/01/1961;0000;35;;27.12;73.75;2;
83221;25/01/1961;1200;;22.6;;;;
83221;26/01/1961;0000;35.8;;26.76;77.5;2.333333;
83221;26/01/1961;1200;;21.4;;;;
83221;27/01/1961;0000;35;;26.56;71.5;1.333333;
83221;27/01/1961;1200;;22.6;;;;
83221;28/01/1961;0000;36.5;;27.26;74.25;2.333333;
83221;28/01/1961;1200;;22;;;;
83221;29/01/1961;0000;36;;26.84;74.5;2.333333;
83221;29/01/1961;1200;;21.8;;;;
83221;30/01/1961;0000;37.4;;26.4;72.25;2;
83221;30/01/1961;1200;;19.8;;;;
83221;31/01/1961;0000;35.2;;25.84;71.5;1.333333;
83221;31/01/1961;1200;;20.8;;;;
83221;01/02/1961;0000;35.7;;26.02;70.75;3;
83221;01/02/1961;1200;;19.8;;;;
83221;02/02/1961;0000;32.2;;25.12;72.5;2.333333;
83221;02/02/1961;1200;;19.2;;;;
83221;03/02/1961;0000;35;;25.8;71.25;2;
83221;03/02/1961;1200;;20;;;;
83221;04/02/1961;0000;35.8;;26.64;71.25;2.333333;
83221;04/02/1961;1200;;19.8;;;;
83221;05/02/1961;0000;36.2;;26.84;74;2.666667;
83221;05/02/1961;1200;;22.2;;;;
83221;06/02/1961;0000;35.2;;26.24;78.75;3.666667;
83221;06/02/1961;1200;;21.4;;;;
83221;07/02/1961;0000;34.8;;26.72;68.25;2.333333;
83221;07/02/1961;1200;;21.6;;;;
83221;08/02/1961;0000;36.4;;26.96;69.25;1.333333;
83221;08/02/1961;1200;;20.8;;;;
83221;09/02/1961;0000;36.8;;26.36;69;3;
83221;09/02/1961;1200;;20;;;;
83221;10/02/1961;0000;37;;27.2;71.5;3;
83221;10/02/1961;1200;;21;;;;
83221;11/02/1961;0000;37.7;;27.58;68.75;2.666667;
83221;11/02/1961;1200;;22;;;;
83221;12/02/1961;0000;39.4;;27.8;74.25;2;
83221;12/02/1961;1200;;21.8;;;;
83221;13/02/1961;0000;35.8;;27.32;71;1.333333;
83221;13/02/1961;1200;;22.2;;;;
83221;14/02/1961;0000;38.8;;28.36;68.5;3.666667;
83221;14/02/1961;1200;;22.8;;;;
83221;15/02/1961;0000;35.6;;27.16;71;3;
83221;15/02/1961;1200;;22;;;;
83221;16/02/1961;0000;36.2;;27.4;67.75;2.333333;
83221;16/02/1961;1200;;22;;;;
83221;17/02/1961;0000;37;;27.26;67.75;2;
83221;17/02/1961;1200;;20.7;;;;
83221;18/02/1961;0000;37.2;;27.56;68.25;2;
83221;18/02/1961;1200;;21.8;;;;
83221;19/02/1961;0000;35;;26.48;69;3.666667;
83221;19/02/1961;1200;;20.8;;;;
83221;20/02/1961;0000;35.4;;26.04;69.75;1.333333;
83221;20/02/1961;1200;;22.2;;;;
83221;21/02/1961;0000;35.8;;26.68;69.25;1.333333;
83221;21/02/1961;1200;;19.8;;;;
83221;22/02/1961;0000;36.8;;26.7;70.5;3.333333;
83221;22/02/1961;1200;;20.5;;;;
83221;23/02/1961;0000;37.4;;26.92;68.25;3.666667;
83221;23/02/1961;1200;;20.2;;;;
83221;24/02/1961;0000;36.8;;27;66.75;2.333333;
83221;24/02/1961;1200;;21;;;;
83221;25/02/1961;0000;37;;26.92;67.5;2.333333;
83221;25/02/1961;1200;;19.2;;;;
83221;26/02/1961;0000;37.6;;27.34;67.25;3.666667;
83221;26/02/1961;1200;;20.5;;;;
83221;27/02/1961;0000;36.6;;27.04;71;2.333333;
83221;27/02/1961;1200;;21.2;;;;
83221;28/02/1961;0000;35.2;;27.2;68.75;2.333333;
83221;28/02/1961;1200;;22;;;;
83221;01/03/1961;0000;37;;27.48;67.5;1.666667;
83221;01/03/1961;1200;;21.8;;;;
83221;02/03/1961;0000;37;;27.34;66.5;2.166667;
83221;02/03/1961;1200;;22;;;;
83221;03/03/1961;0000;37.8;;28.04;68.5;2;
83221;03/03/1961;1200;;22;;;;
83221;04/03/1961;0000;37.8;;27.76;68;2.333333;
83221;04/03/1961;1200;;21.8;;;;
83221;05/03/1961;0000;36.6;;27.32;72.75;4.333333;
83221;05/03/1961;1200;;22.2;;;;
83221;06/03/1961;0000;35.6;;27.04;68.5;2.333333;
83221;06/03/1961;1200;;21.4;;;;
83221;07/03/1961;0000;37;;27.64;69;2;
83221;07/03/1961;1200;;22;;;;
83221;08/03/1961;0000;35.8;;27.46;70.5;2.333333;
83221;08/03/1961;1200;;22;;;;
83221;09/03/1961;0000;37;;27.54;68;3;
83221;09/03/1961;1200;;21.8;;;;
83221;10/03/1961;0000;37.8;;27.96;67.75;1.333333;
83221;10/03/1961;1200;;22.2;;;;
83221;11/03/1961;0000;34.9;;26.72;72;3.666667;
83221;11/03/1961;1200;;21.7;;;;
83221;12/03/1961;0000;34.2;;26.44;74.25;2;
83221;12/03/1961;1200;;21.2;;;;
83221;13/03/1961;0000;36;;26.92;73.75;3;
83221;13/03/1961;1200;;21.2;;;;
83221;14/03/1961;0000;37;;27.6;68.5;2.333333;
83221;14/03/1961;1200;;21.8;;;;
83221;15/03/1961;0000;37.8;;27.82;68.25;1.333333;
83221;15/03/1961;1200;;21.7;;;;
83221;16/03/1961;0000;35.6;;27.04;72;2.333333;
83221;16/03/1961;1200;;21.5;;;;
83221;17/03/1961;0000;37.9;;27.74;69;2.333333;
83221;17/03/1961;1200;;22;;;;
83221;18/03/1961;0000;33.6;;25.88;75.25;2.333333;
83221;18/03/1961;1200;;21;;;;
83221;19/03/1961;0000;33.6;;25.8;75;3.666667;
83221;19/03/1961;1200;;20.8;;;;
83221;20/03/1961;0000;34.6;;26.58;73.25;2;
83221;20/03/1961;1200;;21;;;;
83221;21/03/1961;0000;35.3;;27.26;70.75;1.333333;
83221;21/03/1961;1200;;21.8;;;;
83221;22/03/1961;0000;37.8;;27.96;64;2.333333;
83221;22/03/1961;1200;;22;;;;
83221;23/03/1961;0000;29.8;;24.76;83.25;3;
83221;23/03/1961;1200;;21.6;;;;
83221;24/03/1961;0000;32;;25.7;72.5;3;
83221;24/03/1961;1200;;20.3;;;;
83221;25/03/1961;0000;33.8;;26.52;73;1.333333;
83221;25/03/1961;1200;;21;;;;
83221;26/03/1961;0000;28;;24.12;79.5;3;
83221;26/03/1961;1200;;21;;;;
83221;27/03/1961;0000;29.8;;24.76;81.25;3.666667;
83221;27/03/1961;1200;;19;;;;
83221;28/03/1961;0000;35;;26.76;72.75;2.333333;
83221;28/03/1961;1200;;21;;;;
83221;29/03/1961;0000;28;;24.28;79.5;3;
83221;29/03/1961;1200;;20;;;;
83221;30/03/1961;0000;32.6;;25.32;74.75;3.666667;
83221;30/03/1961;1200;;20.8;;;;
83221;31/03/1961;0000;26;;23.6;88.25;3;
83221;31/03/1961;1200;;21;;;;
83221;01/04/1961;0000;27.7;;23.68;81.5;3.666667;
83221;01/04/1961;1200;;20.7;;;;
83221;02/04/1961;0000;29.6;;24.4;85.75;4.333333;
83221;02/04/1961;1200;;20.8;;;;
83221;03/04/1961;0000;33.3;;25.44;81.5;3;
83221;03/04/1961;1200;;20.3;;;;
83221;04/04/1961;0000;34.2;;26.12;78;3;
83221;04/04/1961;1200;;21.4;;;;
83221;05/04/1961;0000;33.8;;26.92;74.75;3.666667;
83221;05/04/1961;1200;;21;;;;
83221;06/04/1961;0000;35.2;;27;70.5;3;
83221;06/04/1961;1200;;21.8;;;;
83221;07/04/1961;0000;33;;26.08;75.5;3.666667;
83221;07/04/1961;1200;;21.2;;;;
83221;08/04/1961;0000;34;;25.76;73.75;2.333333;
83221;08/04/1961;1200;;20.8;;;;
83221;09/04/1961;0000;32.8;;26.3;73;3;
83221;09/04/1961;1200;;21.7;;;;
83221;10/04/1961;0000;33.6;;25.68;75.5;3;
83221;10/04/1961;1200;;21.8;;;;
83221;11/04/1961;0000;34;;26.64;70;2.333333;
83221;11/04/1961;1200;;22;;;;
83221;12/04/1961;0000;34;;26.74;67.5;3;
83221;12/04/1961;1200;;22;;;;
83221;13/04/1961;0000;34;;26.48;73.5;2.333333;
83221;13/04/1961;1200;;21.8;;;;
83221;14/04/1961;0000;32;;25.8;72.75;2;
83221;14/04/1961;1200;;21.6;;;;
83221;15/04/1961;0000;32;;25.5;77.5;3.666667;
83221;15/04/1961;1200;;21.5;;;;
