--------------------
BDMEP - INMET
--------------------
Estação           : CRUZ DAS ALMAS - BA (OMM: 83222)
Latitude  (graus) : -12.66
Longitude (graus) : -39.08
Altitude  (metros): 225.87
Estação Operante
Inicio de operação: 01/01/1958
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83222;01/01/1961;0000;33.2;;26.06;68.5;4.866667;
83222;01/01/1961;1200;;21.7;;;;
83222;02/01/1961;0000;31.8;;25;68.25;3.733333;
83222;02/01/1961;1200;;20.4;;;;
83222;03/01/1961;0000;31.7;;24.84;69.25;3.866667;
83222;03/01/1961;1200;;19.3;;;;
83222;04/01/1961;0000;33.8;;26.28;65.25;3.4;
83222;04/01/1961;1200;;22;;;;
83222;05/01/1961;0000;32.4;;26.08;72.75;3.9;
83222;05/01/1961;1200;;22.8;;;;
83222;06/01/1961;0000;33;;25.7;65.5;3.333333;
83222;06/01/1961;1200;;20.5;;;;
83222;07/01/1961;0000;32.4;;25.92;67.5;4.2;
83222;07/01/1961;1200;;21.4;;;;
83222;08/01/1961;0000;34.3;;26.86;61.75;4.9;
83222;08/01/1961;1200;;22.4;;;;
83222;09/01/1961;0000;32;;25.8;67.75;3.466667;
83222;09/01/1961;1200;;21.8;;;;
83222;10/01/1961;0000;33.5;;25.42;65.75;3.4;
83222;10/01/1961;1200;;20.4;;;;
83222;11/01/1961;0000;33.8;;26.04;68.25;6.033333;
83222;11/01/1961;1200;;21.2;;;;
83222;12/01/1961;0000;32;;26.16;71.25;4.1;
83222;12/01/1961;1200;;22.4;;;;
83222;13/01/1961;0000;31.6;;25.32;75.75;4.533333;
83222;13/01/1961;1200;;22.4;;;;
83222;14/01/1961;0000;31.3;;24.88;71;4.2;
83222;14/01/1961;1200;;21.7;;;;
83222;15/01/1961;0000;31.8;;25.12;68.75;3.6;
83222;15/01/1961;1200;;19.4;;;;
83222;16/01/1961;0000;31.4;;25.36;80.25;5.033333;
83222;16/01/1961;1200;;21.6;;;;
83222;17/01/1961;0000;26;;23.72;90.5;2.933333;
83222;17/01/1961;1200;;21.4;;;;
83222;18/01/1961;0000;31.3;;25.06;77;3.466667;
83222;18/01/1961;1200;;21.2;;;;
83222;19/01/1961;0000;31.2;;24.98;75;3.966667;
83222;19/01/1961;1200;;20.7;;;;
83222;20/01/1961;0000;31.8;;25.6;70.75;3.966667;
83222;20/01/1961;1200;;20.8;;;;
83222;21/01/1961;0000;29.9;;24.82;73;3.333333;
83222;21/01/1961;1200;;20;;;;
83222;22/01/1961;0000;27.2;;24.28;85;2.6;
83222;22/01/1961;1200;;22.2;;;;
83222;23/01/1961;0000;31;;25.22;89.5;0.866667;
83222;23/01/1961;1200;;21.9;;;;
83222;24/01/1961;0000;33.6;;25.86;71.75;3.933333;
83222;24/01/1961;1200;;20.5;;;;
83222;25/01/1961;0000;32.6;;26.24;71.75;3.133333;
83222;25/01/1961;1200;;22.6;;;;
83222;26/01/1961;0000;31.7;;25.98;71.25;3.333333;
83222;26/01/1961;1200;;21.8;;;;
83222;27/01/1961;0000;32.7;;25.7;77;1.8;
83222;27/01/1961;1200;;22.8;;;;
83222;28/01/1961;0000;33.3;;26.14;69.75;4.4;
83222;28/01/1961;1200;;21.8;;;;
83222;29/01/1961;0000;32.2;;25.46;69.25;3.533333;
83222;29/01/1961;1200;;20.5;;;;
83222;30/01/1961;0000;32.4;;25.76;67.5;3;
83222;30/01/1961;1200;;20.2;;;;
83222;31/01/1961;0000;30.2;;24.82;79.25;3;
83222;31/01/1961;1200;;20.3;;;;
83222;01/02/1961;0000;31;;24.28;67.75;2.466667;
83222;01/02/1961;1200;;19.8;;;;
83222;02/02/1961;0000;28.6;;23.56;76;1.866667;
83222;02/02/1961;1200;;18.4;;;;
83222;03/02/1961;0000;31;;24.2;73.75;2.733333;
