--------------------
BDMEP - INMET
--------------------
Estação           : PEIXE - TO (OMM: 83228)
Latitude  (graus) : -12.01
Longitude (graus) : -48.35
Altitude  (metros): 242.49
Estação Operante
Inicio de operação: 01/05/1975
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83228;01/05/1975;0000;32.9;;26.16;76.75;0.666667;
83228;01/05/1975;1200;;21.3;;;;
83228;02/05/1975;0000;32.5;;25.72;73.25;0.666667;
83228;02/05/1975;1200;;21.3;;;;
83228;03/05/1975;0000;32.5;;25.56;70;0.666667;
83228;03/05/1975;1200;;20.3;;;;
83228;04/05/1975;0000;32.7;;24.92;70;1.333333;
83228;04/05/1975;1200;;20.3;;;;
83228;05/05/1975;0000;32.7;;25.02;70.5;0.666667;
83228;05/05/1975;1200;;18.8;;;;
83228;06/05/1975;0000;31.7;;25.28;78;0.666667;
83228;06/05/1975;1200;;21.3;;;;
83228;07/05/1975;0000;30.9;;25.9;81.75;0.333333;
83228;07/05/1975;1200;;22.8;;;;
83228;08/05/1975;0000;31.9;;26.36;74.5;0.666667;
83228;08/05/1975;1200;;22.3;;;;
83228;09/05/1975;0000;31.9;;26.12;73.25;0.666667;
83228;09/05/1975;1200;;22.3;;;;
83228;10/05/1975;0000;30.5;;24.64;66.25;2;
83228;10/05/1975;1200;;20.9;;;;
83228;11/05/1975;0000;31.1;;23.86;68;2.666667;
83228;11/05/1975;1200;;18.8;;;;
83228;12/05/1975;0000;31.7;;24.1;67.5;0.666667;
83228;12/05/1975;1200;;17.4;;;;
83228;13/05/1975;0000;32.3;;23.8;69.5;0.666667;
83228;13/05/1975;1200;;16.3;;;;
83228;14/05/1975;0000;32.1;;24.82;73.75;0.333333;
83228;14/05/1975;1200;;17.8;;;;
83228;15/05/1975;0000;32.3;;25.36;70.25;0.666667;
83228;15/05/1975;1200;;19.9;;;;
83228;16/05/1975;0000;33.3;;26.42;73.75;0.666667;
83228;16/05/1975;1200;;21.8;;;;
83228;17/05/1975;0000;31.3;;25.92;82.75;0.333333;
83228;17/05/1975;1200;;22.3;;;;
83228;18/05/1975;0000;32.1;;26.28;81.5;1.666667;
83228;18/05/1975;1200;;23.3;;;;
83228;19/05/1975;0000;32.7;;26.62;76.75;0.333333;
83228;19/05/1975;1200;;22.8;;;;
83228;20/05/1975;0000;28.7;;24.16;87.25;0;
83228;20/05/1975;1200;;20.9;;;;
83228;21/05/1975;0000;29.6;;24.72;78.25;0.666667;
83228;21/05/1975;1200;;21;;;;
83228;22/05/1975;0000;29.1;;22.7;74.25;1.333333;
83228;22/05/1975;1200;;20;;;;
83228;23/05/1975;0000;28.5;;21.86;71.75;2;
83228;23/05/1975;1200;;18.4;;;;
83228;24/05/1975;0000;27.3;;21.94;62.75;2;
83228;24/05/1975;1200;;18.4;;;;
83228;25/05/1975;0000;27.4;;20.56;66.5;3.333333;
83228;25/05/1975;1200;;16.4;;;;
83228;26/05/1975;0000;29.7;;21.94;66;2;
83228;26/05/1975;1200;;15.4;;;;
83228;27/05/1975;0000;30.7;;23.18;67;0.666667;
83228;27/05/1975;1200;;17.4;;;;
83228;28/05/1975;0000;31.9;;23.96;69;0.333333;
83228;28/05/1975;1200;;16.9;;;;
83228;29/05/1975;0000;31.9;;25.54;71.25;0.333333;
83228;29/05/1975;1200;;23.2;;;;
83228;30/05/1975;0000;31.3;;24.84;67.25;2;
83228;30/05/1975;1200;;22.3;;;;
83228;31/05/1975;0000;31.7;;24.1;69.25;2;
83228;31/05/1975;1200;;17.4;;;;
83228;01/06/1975;0000;32.1;;24.52;68.75;0.666667;
83228;01/06/1975;1200;;17.9;;;;
83228;02/06/1975;0000;32.7;;24.04;67.5;0.666667;
