--------------------
BDMEP - INMET
--------------------
Estação           : BARREIRAS - BA (OMM: 83236)
Latitude  (graus) : -12.15
Longitude (graus) : -45
Altitude  (metros): 439.29
Estação Operante
Inicio de operação: 01/01/1924
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83236;01/01/1961;0000;31.4;;24.56;81.75;1.666667;
83236;01/01/1961;1200;;21.5;;;;
83236;02/01/1961;0000;28.6;;23.9;83.75;1.333333;
83236;02/01/1961;1200;;20.9;;;;
83236;03/01/1961;0000;28.9;;24.22;75.5;2.333333;
83236;03/01/1961;1200;;20.1;;;;
83236;04/01/1961;0000;32.5;;25;77;0.666667;
83236;04/01/1961;1200;;20.1;;;;
83236;05/01/1961;0000;29.8;;23.98;84.5;1.333333;
83236;05/01/1961;1200;;19.2;;;;
83236;06/01/1961;0000;31.2;;25;83.75;2;
83236;06/01/1961;1200;;20;;;;
83236;07/01/1961;0000;26.6;;23.7;87.5;2;
83236;07/01/1961;1200;;21.5;;;;
83236;08/01/1961;0000;31.8;;24.6;79.75;2.666667;
83236;08/01/1961;1200;;20.9;;;;
83236;09/01/1961;0000;31.6;;24.18;89;1;
83236;09/01/1961;1200;;19.9;;;;
83236;10/01/1961;0000;34.4;;25.88;71;3.333333;
83236;10/01/1961;1200;;20.5;;;;
83236;11/01/1961;0000;32.4;;25.2;73.5;3;
83236;11/01/1961;1200;;19.8;;;;
83236;12/01/1961;0000;27;;21.36;90;1.333333;
83236;12/01/1961;1200;;19.4;;;;
83236;13/01/1961;0000;27.6;;23.24;89.25;1.666667;
83236;13/01/1961;1200;;19.4;;;;
83236;14/01/1961;0000;31.6;;24.72;79;2.666667;
83236;14/01/1961;1200;;20.4;;;;
83236;15/01/1961;0000;30.6;;25.2;80;1.666667;
83236;15/01/1961;1200;;21.6;;;;
83236;16/01/1961;0000;31.4;;25.16;77;2.666667;
83236;16/01/1961;1200;;21.6;;;;
83236;17/01/1961;0000;30.8;;23.32;84;3.666667;
83236;17/01/1961;1200;;20;;;;
83236;18/01/1961;0000;30.4;;23.28;79;1.666667;
83236;18/01/1961;1200;;19.6;;;;
83236;19/01/1961;0000;31.4;;25.04;77.75;2.666667;
83236;19/01/1961;1200;;19.2;;;;
83236;20/01/1961;0000;31.4;;25.04;76;2.666667;
83236;20/01/1961;1200;;20.6;;;;
83236;21/01/1961;0000;31.2;;24.28;90.25;3;
83236;21/01/1961;1200;;21.2;;;;
83236;22/01/1961;0000;25;;22.04;91.25;1.333333;
83236;22/01/1961;1200;;20.6;;;;
83236;23/01/1961;0000;26.8;;22.96;91.5;3.666667;
83236;23/01/1961;1200;;20.4;;;;
83236;24/01/1961;0000;28.2;;23.52;92.25;3;
83236;24/01/1961;1200;;21;;;;
83236;25/01/1961;0000;31;;24.24;82.75;3.666667;
83236;25/01/1961;1200;;19.2;;;;
83236;26/01/1961;0000;30.2;;24.64;85.75;2.333333;
83236;26/01/1961;1200;;21.8;;;;
83236;27/01/1961;0000;28.4;;23.32;86.25;4.333333;
83236;27/01/1961;1200;;20.6;;;;
83236;28/01/1961;0000;30.4;;24.68;85.25;1.333333;
83236;28/01/1961;1200;;20.4;;;;
83236;29/01/1961;0000;31.9;;25.42;85.25;2;
83236;29/01/1961;1200;;21.2;;;;
83236;30/01/1961;0000;31.2;;25.32;80.25;1.666667;
83236;30/01/1961;1200;;21.6;;;;
83236;31/01/1961;0000;31.7;;25;76.25;1.333333;
83236;31/01/1961;1200;;20.3;;;;
83236;01/02/1961;0000;32.5;;24.64;77.5;1.333333;
83236;01/02/1961;1200;;19.1;;;;
83236;02/02/1961;0000;32.8;;24.82;75.25;1.666667;
83236;02/02/1961;1200;;18.5;;;;
83236;03/02/1961;0000;33.4;;24.12;72.75;1.666667;
83236;03/02/1961;1200;;17.2;;;;
83236;04/02/1961;0000;33.4;;24.92;74.75;1.666667;
83236;04/02/1961;1200;;17.4;;;;
83236;05/02/1961;0000;33.6;;25.68;69.25;1.333333;
83236;05/02/1961;1200;;20.3;;;;
83236;06/02/1961;0000;31.8;;24.4;74.75;2.666667;
83236;06/02/1961;1200;;19.5;;;;
83236;07/02/1961;0000;30;;24.68;77.75;1.333333;
83236;07/02/1961;1200;;19.7;;;;
83236;08/02/1961;0000;32.8;;25.38;79.25;1.666667;
83236;08/02/1961;1200;;21;;;;
83236;09/02/1961;0000;33.4;;25.66;74;1.666667;
83236;09/02/1961;1200;;19.7;;;;
83236;10/02/1961;0000;32.6;;25.76;69.5;1.666667;
83236;10/02/1961;1200;;19.7;;;;
83236;11/02/1961;0000;31.3;;25.44;73.75;3;
83236;11/02/1961;1200;;21;;;;
83236;12/02/1961;0000;25.4;;22.06;91.75;1.666667;
83236;12/02/1961;1200;;20;;;;
83236;13/02/1961;0000;31.3;;24.22;80;1.666667;
83236;13/02/1961;1200;;19.4;;;;
83236;14/02/1961;0000;30.9;;24.08;79;1.333333;
83236;14/02/1961;1200;;20.6;;;;
83236;15/02/1961;0000;28.6;;22.96;89;1.333333;
83236;15/02/1961;1200;;19.5;;;;
83236;16/02/1961;0000;27.2;;22.78;88.75;1.333333;
83236;16/02/1961;1200;;19.2;;;;
83236;17/02/1961;0000;30.4;;23.86;81;1.666667;
83236;17/02/1961;1200;;18.1;;;;
83236;18/02/1961;0000;31.3;;24.56;80;1.666667;
83236;18/02/1961;1200;;20.3;;;;
83236;19/02/1961;0000;32;;25.16;78;2.333333;
83236;19/02/1961;1200;;20;;;;
83236;20/02/1961;0000;30.8;;25.04;74.25;1.333333;
83236;20/02/1961;1200;;21;;;;
83236;21/02/1961;0000;31;;23.56;87.75;2.333333;
83236;21/02/1961;1200;;20.8;;;;
83236;22/02/1961;0000;31.6;;25.02;75.75;1.333333;
83236;22/02/1961;1200;;20.4;;;;
83236;23/02/1961;0000;32.5;;24.36;76.5;1.333333;
83236;23/02/1961;1200;;18;;;;
83236;24/02/1961;0000;33.2;;25.6;73.5;2;
83236;24/02/1961;1200;;19.3;;;;
83236;25/02/1961;0000;34.8;;25.78;71;2.666667;
83236;25/02/1961;1200;;20.2;;;;
83236;26/02/1961;0000;33.6;;25.74;71;1.666667;
83236;26/02/1961;1200;;20.2;;;;
83236;27/02/1961;0000;33.6;;25.78;74.75;1.333333;
83236;27/02/1961;1200;;20.9;;;;
83236;28/02/1961;0000;34.8;;26.32;72.75;1.333333;
83236;28/02/1961;1200;;19;;;;
83236;01/03/1961;0000;32.2;;25.24;79.25;1.666667;
83236;01/03/1961;1200;;20.5;;;;
83236;02/03/1961;0000;32.8;;25.2;77.5;2;
83236;02/03/1961;1200;;20;;;;
83236;03/03/1961;0000;32.6;;24.48;82.75;2;
83236;03/03/1961;1200;;19.4;;;;
83236;04/03/1961;0000;26.2;;23.14;91;1.333333;
83236;04/03/1961;1200;;20.7;;;;
83236;05/03/1961;0000;32.8;;24.86;80.25;1.666667;
83236;05/03/1961;1200;;18.7;;;;
83236;06/03/1961;0000;32;;24.6;80.75;1;
83236;06/03/1961;1200;;19.1;;;;
83236;07/03/1961;0000;33.2;;25.04;80.75;2;
83236;07/03/1961;1200;;21.8;;;;
83236;08/03/1961;0000;34.4;;24.98;76.25;1;
83236;08/03/1961;1200;;19.1;;;;
83236;09/03/1961;0000;33.6;;24.94;78;1.666667;
