--------------------
BDMEP - INMET
--------------------
Estação           : LENCOIS - BA (OMM: 83242)
Latitude  (graus) : -12.56
Longitude (graus) : -41.38
Altitude  (metros): 438.74
Estação Operante
Inicio de operação: 01/09/1931
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83242;01/01/1961;0000;31.5;;24.68;78.5;0.3;
83242;01/01/1961;1200;;20.5;;;;
83242;02/01/1961;0000;31.1;;24.56;77.5;1.466667;
83242;02/01/1961;1200;;20.5;;;;
83242;03/01/1961;0000;34.3;;25.64;79;0.3;
83242;03/01/1961;1200;;20.5;;;;
83242;04/01/1961;0000;30.5;;25.02;82.5;0.6;
83242;04/01/1961;1200;;20.6;;;;
83242;05/01/1961;0000;29.5;;23.7;84.25;1.1;
83242;05/01/1961;1200;;19.8;;;;
83242;06/01/1961;0000;31.8;;24.78;82.75;1.1;
83242;06/01/1961;1200;;20.2;;;;
83242;07/01/1961;0000;32;;25.18;78;0.6;
83242;07/01/1961;1200;;19.5;;;;
83242;08/01/1961;0000;33.5;;25.74;80.25;0;
83242;08/01/1961;1200;;21.6;;;;
83242;09/01/1961;0000;31.5;;25.28;80.25;0;
83242;09/01/1961;1200;;20;;;;
83242;10/01/1961;0000;33.4;;25.36;81.25;0.3;
83242;10/01/1961;1200;;20.5;;;;
83242;11/01/1961;0000;31.4;;24.92;85;0.3;
83242;11/01/1961;1200;;19;;;;
83242;12/01/1961;0000;29.4;;24.4;84;0.6;
83242;12/01/1961;1200;;20.6;;;;
83242;13/01/1961;0000;32.5;;25.92;81;0.6;
83242;13/01/1961;1200;;21;;;;
83242;14/01/1961;0000;32.5;;26.44;76;1.6;
83242;14/01/1961;1200;;20.5;;;;
83242;15/01/1961;0000;31.2;;24.96;77;0.3;
83242;15/01/1961;1200;;19;;;;
83242;16/01/1961;0000;35;;26.3;77.5;0.3;
83242;16/01/1961;1200;;19.5;;;;
83242;17/01/1961;0000;29.5;;26.14;84.25;1.1;
83242;17/01/1961;1200;;21.6;;;;
