--------------------
BDMEP - INMET
--------------------
Estação           : ITABERABA - BA (OMM: 83244)
Latitude  (graus) : -12.51
Longitude (graus) : -40.28
Altitude  (metros): 249.89
Estação Operante
Inicio de operação: 21/08/1931
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83244;01/01/1961;0000;34.6;;26.28;67.25;1;
83244;01/01/1961;1200;;22.1;;;;
83244;02/01/1961;0000;33;;26.32;60.5;2;
83244;02/01/1961;1200;;20.7;;;;
83244;03/01/1961;0000;34.6;;26.44;59.25;3.666667;
83244;03/01/1961;1200;;19.5;;;;
83244;04/01/1961;0000;36.6;;27.54;61.5;1.333333;
83244;04/01/1961;1200;;21.5;;;;
83244;05/01/1961;0000;31.8;;26.32;66.75;1.666667;
83244;05/01/1961;1200;;22.1;;;;
83244;06/01/1961;0000;32.8;;26.16;64.75;2.333333;
83244;06/01/1961;1200;;22.1;;;;
83244;07/01/1961;0000;33.8;;27.02;60.25;3;
83244;07/01/1961;1200;;22.1;;;;
83244;08/01/1961;0000;36;;27.98;56.5;3.666667;
83244;08/01/1961;1200;;22.3;;;;
83244;09/01/1961;0000;34.8;;26.74;59.25;1.666667;
83244;09/01/1961;1200;;20.7;;;;
83244;10/01/1961;0000;35.2;;27.02;56;3.333333;
83244;10/01/1961;1200;;20.7;;;;
83244;11/01/1961;0000;34.6;;26.22;64.25;3.333333;
83244;11/01/1961;1200;;20.3;;;;
83244;12/01/1961;0000;32.3;;26.38;68;3.333333;
83244;12/01/1961;1200;;22.1;;;;
83244;13/01/1961;0000;34;;26.98;59.25;5.333333;
83244;13/01/1961;1200;;22.7;;;;
83244;14/01/1961;0000;34.2;;26.26;61;2.4;
83244;14/01/1961;1200;;21.9;;;;
83244;15/01/1961;0000;34.4;;25.62;61.5;4;
83244;15/01/1961;1200;;19.7;;;;
83244;16/01/1961;0000;34;;26.9;61.5;4.666667;
83244;16/01/1961;1200;;21.9;;;;
83244;17/01/1961;0000;26.6;;23.1;95.5;0;
83244;17/01/1961;1200;;21.7;;;;
83244;18/01/1961;0000;32.2;;25.28;71.75;1.666667;
83244;18/01/1961;1200;;21.3;;;;
83244;19/01/1961;0000;32.8;;25.98;65;1.666667;
83244;19/01/1961;1200;;20.5;;;;
83244;20/01/1961;0000;33.6;;26.2;64.25;2.666667;
83244;20/01/1961;1200;;20.7;;;;
83244;21/01/1961;0000;31.4;;25.54;67.75;2;
83244;21/01/1961;1200;;20.1;;;;
83244;22/01/1961;0000;26.2;;23.78;89.75;0;
83244;22/01/1961;1200;;22.7;;;;
83244;23/01/1961;0000;33.8;;24.96;80;4.333333;
83244;23/01/1961;1200;;21.3;;;;
83244;24/01/1961;0000;34.3;;25.48;80.5;2.333333;
83244;24/01/1961;1200;;20.7;;;;
83244;25/01/1961;0000;31.6;;25.24;83.25;1;
83244;25/01/1961;1200;;21.1;;;;
83244;26/01/1961;0000;30;;25.76;76.5;1.333333;
83244;26/01/1961;1200;;22.3;;;;
83244;27/01/1961;0000;28.6;;24.26;83.75;1;
83244;27/01/1961;1200;;21.9;;;;
83244;28/01/1961;0000;33;;26.1;73.75;2.666667;
83244;28/01/1961;1200;;21.9;;;;
83244;29/01/1961;0000;32.4;;26.1;65.25;1.333333;
83244;29/01/1961;1200;;21.3;;;;
83244;30/01/1961;0000;33.1;;25.98;64.25;2.666667;
83244;30/01/1961;1200;;21.1;;;;
