--------------------
BDMEP - INMET
--------------------
Estação           : ALAGOINHAS - BA (OMM: 83249)
Latitude  (graus) : -12.14
Longitude (graus) : -38.42
Altitude  (metros): 130.92
Estação Operante
Inicio de operação: 01/01/1931
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83249;01/01/1961;0000;31.8;;25.74;78.75;2;
83249;01/01/1961;1200;;17.2;;;;
83249;02/01/1961;0000;33.4;;26.98;73.75;1.666667;
83249;02/01/1961;1200;;20.5;;;;
83249;03/01/1961;0000;33.6;;26.52;74;2;
83249;03/01/1961;1200;;16.8;;;;
83249;04/01/1961;0000;33.6;;26.2;76.75;1.666667;
83249;04/01/1961;1200;;18.2;;;;
83249;05/01/1961;0000;33.4;;26.74;80.75;1.666667;
83249;05/01/1961;1200;;20.4;;;;
83249;06/01/1961;0000;34.8;;27.16;81.75;1.666667;
83249;06/01/1961;1200;;18.2;;;;
83249;07/01/1961;0000;33.6;;26.56;72.5;1.666667;
83249;07/01/1961;1200;;17.2;;;;
83249;08/01/1961;0000;35.8;;27.82;65.75;2;
83249;08/01/1961;1200;;20;;;;
83249;09/01/1961;0000;33.2;;26.62;76;1.666667;
83249;09/01/1961;1200;;17.3;;;;
83249;10/01/1961;0000;33.8;;26.86;73.25;2;
83249;10/01/1961;1200;;17.3;;;;
83249;11/01/1961;0000;33.8;;26.98;75.25;2;
83249;11/01/1961;1200;;18.6;;;;
83249;12/01/1961;0000;33.4;;26.5;72.75;1.333333;
83249;12/01/1961;1200;;17.2;;;;
83249;13/01/1961;0000;34.8;;26.92;73.5;1.666667;
83249;13/01/1961;1200;;19.5;;;;
