--------------------
BDMEP - INMET
--------------------
Estação           : SAO JOSE DO RIO CLARO - MT (OMM: 83267)
Latitude  (graus) : -13.43
Longitude (graus) : -56.71
Altitude  (metros): 350.00
Estação Operante
Inicio de operação: 14/03/1990
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83267;01/04/1995;0000;25.2;;;;;
83267;02/04/1995;0000;30.8;;;84.25;;
83267;03/04/1995;0000;32;;;83.5;;
83267;04/04/1995;0000;32.2;;;;;
83267;05/04/1995;0000;24.4;;;;;
83267;06/04/1995;0000;26.4;;;;;
83267;07/04/1995;0000;25.2;;;;;
83267;08/04/1995;0000;29.6;;;88;;
83267;09/04/1995;0000;31.2;;;89.5;;
83267;10/04/1995;0000;31.4;;;;;
83267;11/04/1995;0000;26.6;;;;;
83267;13/04/1995;0000;28.6;;;;;
83267;14/04/1995;0000;28.6;;;;;
83267;15/04/1995;0000;32.6;;;84.5;;
83267;16/04/1995;0000;32.8;;;;;
83267;17/04/1995;0000;26.4;;;;;
83267;18/04/1995;0000;22.8;;;;;
83267;19/04/1995;0000;32.6;;;95.75;;
83267;20/04/1995;0000;33.2;;;;;
83267;21/04/1995;0000;22.6;;;93.75;;
83267;22/04/1995;0000;16.8;;;90;;
83267;23/04/1995;0000;18.8;;;;;
83267;24/04/1995;0000;23.8;;;;;
83267;25/04/1995;0000;32.6;;;;;
83267;26/04/1995;0000;34.2;;;97.75;;
83267;27/04/1995;0000;33.6;;;87;;
83267;28/04/1995;0000;33.6;;;85.25;;
83267;29/04/1995;0000;33;;;83.5;;
83267;30/04/1995;0000;33.2;;;;;
83267;01/05/1995;0000;24.8;;;;;
83267;02/05/1995;0000;28;;;80.75;;
83267;03/05/1995;0000;28.2;;;;;
83267;04/05/1995;0000;30;;;89;;
83267;05/05/1995;0000;30.2;;;;;
83267;06/05/1995;0000;25.6;;;;;
83267;07/05/1995;0000;23.7;;;93.5;;
83267;08/05/1995;0000;23.9;;;;;
83267;09/05/1995;0000;21.4;;;;;
83267;10/05/1995;0000;26.8;;;;;
83267;11/05/1995;0000;27.2;;;;;
83267;12/05/1995;0000;29.8;;;;;
83267;13/05/1995;0000;32.6;;;;;
