--------------------
BDMEP - INMET
--------------------
Estação           : CANARANA - MT (OMM: 83270)
Latitude  (graus) : -13.47
Longitude (graus) : -52.27
Altitude  (metros): 430.00
Estação Operante
Inicio de operação: 04/08/1987
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83270;05/02/1995;0000;28.8;;;;;
83270;06/02/1995;0000;29.3;;;;;
83270;06/02/1995;1200;;19.9;;;;
83270;07/02/1995;0000;30.8;;;;;
83270;07/02/1995;1200;;20;;;;
83270;08/02/1995;0000;25.4;;;;;
83270;08/02/1995;1200;;19.4;;;;
83270;09/02/1995;0000;30.4;;;;;
83270;09/02/1995;1200;;19.4;;;;
83270;10/02/1995;0000;30.4;;;;;
83270;10/02/1995;1200;;20.3;;;;
83270;11/02/1995;0000;30.4;;;;;
83270;11/02/1995;1200;;20;;;;
83270;12/02/1995;0000;31;;;;;
83270;12/02/1995;1200;;19.9;;;;
83270;13/02/1995;0000;30.2;;24.76;82;;
83270;13/02/1995;1200;;20.4;;;;
83270;15/02/1995;0000;30.8;;;;;
83270;15/02/1995;1200;;19.6;;;;
83270;16/02/1995;0000;29.2;;;;;
83270;16/02/1995;1200;;19.6;;;;
83270;17/02/1995;0000;29.4;;;;;
83270;17/02/1995;1200;;20.4;;;;
83270;19/02/1995;0000;31;;;;;
83270;20/02/1995;0000;30.4;;;;;
83270;20/02/1995;1200;;19.3;;;;
83270;21/02/1995;0000;30.2;;;;;
83270;21/02/1995;1200;;20.5;;;;
83270;22/02/1995;0000;32;;;;;
83270;22/02/1995;1200;;19;;;;
83270;23/02/1995;0000;31;;;;;
83270;23/02/1995;1200;;19.2;;;;
83270;24/02/1995;0000;31.6;;;;;
83270;24/02/1995;1200;;18.2;;;;
83270;25/02/1995;0000;31.8;;;;;
83270;25/02/1995;1200;;17.3;;;;
83270;26/02/1995;0000;31.7;;;;;
83270;26/02/1995;1200;;18.3;;;;
83270;27/02/1995;0000;34.7;;;;;
83270;27/02/1995;1200;;17.6;;;;
83270;28/02/1995;0000;25.4;;;;;
83270;28/02/1995;1200;;19.2;;;;
83270;01/03/1995;0000;32;;;;;
83270;01/03/1995;1200;;19.2;;;;
83270;01/05/1997;0000;31.3;;;;;
83270;01/05/1997;1200;;20.6;;;;
83270;02/05/1997;0000;31.4;;;;;
83270;02/05/1997;1200;;24;;;;
83270;03/05/1997;0000;31.3;;24.9;73;1;
83270;03/05/1997;1200;;20.6;;;;
83270;04/05/1997;0000;31.8;;24.22;71.75;0.833333;
83270;04/05/1997;1200;;19;;;;
83270;05/05/1997;0000;32.2;;24.4;70.75;1.166667;
83270;05/05/1997;1200;;18.8;;;;
83270;06/05/1997;0000;31.1;;23.76;67.5;1;
83270;06/05/1997;1200;;18.4;;;;
83270;07/05/1997;0000;30.2;;22.74;71.75;1;
83270;07/05/1997;1200;;17.5;;;;
83270;08/05/1997;0000;30.8;;23.36;66.25;0.833333;
83270;08/05/1997;1200;;17.4;;;;
83270;09/05/1997;0000;31.1;;23.62;66.75;0;
83270;09/05/1997;1200;;17.4;;;;
83270;10/05/1997;0000;31.2;;24.28;69.5;1.166667;
83270;10/05/1997;1200;;20.5;;;;
83270;11/05/1997;0000;31.6;;25.3;56.75;0;
83270;11/05/1997;1200;;17.7;;;;
83270;12/05/1997;0000;31.2;;24.7;66.25;1;
83270;12/05/1997;1200;;19.5;;;;
83270;13/05/1997;0000;31.6;;24.94;67.5;0.833333;
83270;13/05/1997;1200;;19.1;;;;
83270;14/05/1997;0000;28.1;;22.6;86.5;0.833333;
83270;14/05/1997;1200;;20.1;;;;
83270;15/05/1997;0000;30.8;;22.58;78.75;1;
83270;15/05/1997;1200;;16.7;;;;
83270;16/05/1997;0000;31.6;;23.72;78.5;2;
83270;16/05/1997;1200;;19.2;;;;
83270;17/05/1997;0000;30.8;;24.16;71;3;
83270;17/05/1997;1200;;19.4;;;;
83270;18/05/1997;0000;31.2;;24.1;66.5;2;
83270;18/05/1997;1200;;18.9;;;;
83270;19/05/1997;0000;31.1;;24;66.5;0.833333;
83270;19/05/1997;1200;;17.9;;;;
83270;20/05/1997;0000;31.6;;24.74;62.25;0;
83270;20/05/1997;1200;;19.1;;;;
83270;21/05/1997;0000;31.9;;25;74.75;0.833333;
83270;21/05/1997;1200;;19.1;;;;
83270;22/05/1997;0000;32.8;;24.34;66.5;3.166667;
83270;22/05/1997;1200;;19.1;;;;
83270;23/05/1997;0000;30.4;;22.74;69.5;2;
83270;23/05/1997;1200;;16.7;;;;
83270;24/05/1997;0000;31.5;;23.54;69.25;1.833333;
83270;24/05/1997;1200;;18;;;;
83270;25/05/1997;0000;31;;23.54;77;2;
83270;25/05/1997;1200;;18.7;;;;
83270;26/05/1997;0000;30.9;;23.76;67.5;1;
83270;26/05/1997;1200;;19.1;;;;
83270;27/05/1997;0000;31.8;;24.14;66;1.833333;
83270;27/05/1997;1200;;18.7;;;;
83270;28/05/1997;0000;33.8;;24.36;63.75;0;
83270;28/05/1997;1200;;16.7;;;;
83270;29/05/1997;0000;31.6;;23.56;64;0;
83270;29/05/1997;1200;;17;;;;
83270;30/05/1997;0000;31.9;;23.92;64;1;
83270;30/05/1997;1200;;16.7;;;;
83270;31/05/1997;0000;32.2;;23.88;65.25;1;
83270;31/05/1997;1200;;17.5;;;;
83270;01/06/1997;0000;31.4;;22.48;65.75;1.666667;
83270;01/06/1997;1200;;16.7;;;;
83270;02/06/1997;0000;32.6;;23.1;59.25;0;
83270;02/06/1997;1200;;16.6;;;;
83270;03/06/1997;0000;32.4;;24.54;59.5;1;
83270;03/06/1997;1200;;18.7;;;;
83270;04/06/1997;0000;32.4;;24.78;60.75;2.833333;
83270;04/06/1997;1200;;19.1;;;;
83270;05/06/1997;0000;32.7;;25.1;63.5;1.666667;
83270;05/06/1997;1200;;19.4;;;;
83270;06/06/1997;0000;32.4;;22.8;75.25;3.666667;
83270;06/06/1997;1200;;19.4;;;;
83270;07/06/1997;0000;24;;20.06;91.25;0;
83270;07/06/1997;1200;;17.7;;;;
83270;08/06/1997;0000;23.4;;19.76;79.5;0;
83270;08/06/1997;1200;;17.8;;;;
83270;09/06/1997;0000;27;;18.7;68.25;0;
83270;09/06/1997;1200;;13;;;;
83270;10/06/1997;0000;31.2;;20.72;67;0;
83270;10/06/1997;1200;;13.5;;;;
83270;11/06/1997;0000;31.6;;22.82;62.25;0;
83270;11/06/1997;1200;;15.5;;;;
83270;12/06/1997;0000;31.9;;24.24;71.5;0.833333;
83270;12/06/1997;1200;;18.5;;;;
83270;13/06/1997;0000;32.3;;25.04;66.25;0.833333;
83270;13/06/1997;1200;;18.7;;;;
83270;14/06/1997;0000;32.4;;24.82;66.75;1.166667;
83270;14/06/1997;1200;;19.5;;;;
83270;15/06/1997;0000;24.8;;20.56;89.5;3.666667;
83270;15/06/1997;1200;;18.8;;;;
83270;16/06/1997;0000;31;;22.98;75.25;0;
83270;16/06/1997;1200;;17.3;;;;
83270;17/06/1997;0000;32.5;;24.6;68.5;0;
83270;17/06/1997;1200;;18.7;;;;
83270;18/06/1997;0000;33.4;;24.92;64.25;1;
83270;18/06/1997;1200;;18.6;;;;
83270;19/06/1997;0000;32.8;;25.14;64.75;1;
83270;19/06/1997;1200;;19.9;;;;
83270;20/06/1997;0000;31.8;;24.78;62.25;0;
83270;20/06/1997;1200;;19.3;;;;
83270;21/06/1997;0000;32.4;;24.4;53.5;0;
83270;21/06/1997;1200;;18.2;;;;
83270;22/06/1997;0000;32.2;;23.7;56.75;0.833333;
83270;22/06/1997;1200;;15.7;;;;
83270;23/06/1997;0000;32.5;;24.04;56.25;0;
83270;23/06/1997;1200;;18.1;;;;
83270;24/06/1997;0000;32.8;;22.94;60.5;0;
83270;24/06/1997;1200;;15.1;;;;
83270;25/06/1997;0000;31.8;;22.86;55;0;
83270;25/06/1997;1200;;15.7;;;;
83270;26/06/1997;0000;31.7;;;;0;
83270;26/06/1997;1200;;15.5;;;;
83270;27/06/1997;0000;31.4;;22.4;56.5;0.833333;
83270;27/06/1997;1200;;14.2;;;;
83270;28/06/1997;0000;32.2;;23.06;;0;
83270;28/06/1997;1200;;14.1;;;;
83270;29/06/1997;0000;32.4;;;;0;
83270;29/06/1997;1200;;14.3;;;;
83270;30/06/1997;0000;32.6;;22.94;45.5;0;
83270;30/06/1997;1200;;13.4;;;;
83270;01/07/1997;0000;32;;22.4;50.75;0;
83270;01/07/1997;1200;;14.9;;;;
83270;02/07/1997;0000;33.5;;23.88;46.25;1.166667;
83270;02/07/1997;1200;;14.3;;;;
83270;03/07/1997;0000;34.2;;24.04;55.5;0;
