--------------------
BDMEP - INMET
--------------------
Estação           : BOM JESUS DA LAPA - BA (OMM: 83288)
Latitude  (graus) : -13.26
Longitude (graus) : -43.41
Altitude  (metros): 439.96
Estação Operante
Inicio de operação: 01/11/1941
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83288;11/09/1969;0000;35.1;;26.26;31.25;0.333333;
83288;11/09/1969;1200;;15.2;;;;
83288;12/09/1969;0000;35;;25.26;31.5;0.333333;
83288;12/09/1969;1200;;16;;;;
83288;13/09/1969;0000;35.8;;26.76;29.25;1;
83288;13/09/1969;1200;;18.6;;;;
83288;14/09/1969;0000;34.8;;25.88;33;0.333333;
83288;14/09/1969;1200;;17.6;;;;
83288;15/09/1969;0000;34.7;;25.46;31.75;1.666667;
83288;15/09/1969;1200;;17.1;;;;
83288;16/09/1969;0000;35.5;;26.16;30;1;
83288;16/09/1969;1200;;16.2;;;;
83288;17/09/1969;0000;34.5;;26.26;36.5;1.333333;
83288;17/09/1969;1200;;18.4;;;;
83288;18/09/1969;0000;33.9;;26.4;39;2.666667;
83288;18/09/1969;1200;;17.1;;;;
83288;19/09/1969;0000;35;;27.46;35.5;1.333333;
83288;19/09/1969;1200;;18.1;;;;
83288;20/09/1969;0000;34.6;;27.54;36.75;1.333333;
83288;20/09/1969;1200;;18.1;;;;
83288;21/09/1969;0000;31.4;;26.26;51.5;1.333333;
83288;21/09/1969;1200;;21.7;;;;
83288;22/09/1969;0000;26.6;;23.02;79.5;0.333333;
83288;22/09/1969;1200;;20.3;;;;
83288;23/09/1969;0000;33;;25.72;51.5;0.333333;
83288;23/09/1969;1200;;19.6;;;;
83288;24/09/1969;0000;34.7;;25.66;43;0.333333;
83288;24/09/1969;1200;;15.4;;;;
83288;25/09/1969;0000;33.8;;26.78;42;0.333333;
83288;25/09/1969;1200;;20.8;;;;
83288;26/09/1969;0000;33.7;;27.18;37.25;0.666667;
83288;26/09/1969;1200;;19.8;;;;
83288;27/09/1969;0000;34.9;;27.26;35.75;1.666667;
83288;27/09/1969;1200;;18.1;;;;
83288;28/09/1969;0000;35.8;;28.36;26;0.666667;
83288;28/09/1969;1200;;19.7;;;;
83288;29/09/1969;0000;36.5;;27.88;24.75;0.333333;
83288;29/09/1969;1200;;17.7;;;;
83288;30/09/1969;0000;36.9;;27.56;25.5;2.333333;
83288;30/09/1969;1200;;16.9;;;;
83288;01/10/1969;0000;37.5;;28.86;27;0;
83288;01/10/1969;1200;;18.8;;;;
83288;02/10/1969;0000;37.4;;29.24;30.25;2;
83288;02/10/1969;1200;;20.3;;;;
83288;03/10/1969;0000;37.6;;27.82;21;0.666667;
83288;03/10/1969;1200;;18.4;;;;
83288;04/10/1969;0000;37.3;;27.52;30.5;0;
83288;04/10/1969;1200;;17.1;;;;
83288;05/10/1969;0000;37.7;;29.86;28;0.666667;
83288;05/10/1969;1200;;20.2;;;;
83288;06/10/1969;0000;38.3;;28.5;20;0.333333;
83288;06/10/1969;1200;;18.6;;;;
83288;07/10/1969;0000;37.2;;27.98;28;0.666667;
83288;07/10/1969;1200;;16.9;;;;
83288;08/10/1969;0000;35.2;;27.7;32.75;2;
83288;08/10/1969;1200;;18.1;;;;
83288;09/10/1969;0000;32.4;;26.16;47.75;5;
83288;09/10/1969;1200;;21.5;;;;
83288;10/10/1969;0000;35.1;;26.66;32.5;1.333333;
83288;10/10/1969;1200;;18.2;;;;
83288;11/10/1969;0000;36.9;;27.1;29.25;0;
83288;11/10/1969;1200;;17.9;;;;
83288;12/10/1969;0000;36.7;;29.7;32.75;0.666667;
83288;12/10/1969;1200;;22.9;;;;
83288;13/10/1969;0000;29.8;;25.06;65.25;1.333333;
83288;13/10/1969;1200;;21;;;;
83288;14/10/1969;0000;28.3;;24.06;69.75;0.666667;
83288;14/10/1969;1200;;22;;;;
83288;15/10/1969;0000;25.9;;23.56;78.25;0;
83288;15/10/1969;1200;;21;;;;
83288;16/10/1969;0000;35.7;;25.78;67.75;2.333333;
83288;16/10/1969;1200;;20.8;;;;
83288;17/10/1969;0000;35.4;;27.56;50.25;1.666667;
83288;17/10/1969;1200;;21.5;;;;
83288;18/10/1969;0000;31.2;;24.26;83.75;2.333333;
83288;18/10/1969;1200;;20.4;;;;
83288;19/10/1969;0000;30.9;;25.76;67.75;1.666667;
83288;19/10/1969;1200;;20.6;;;;
83288;20/10/1969;0000;34.2;;26.98;54;2;
83288;20/10/1969;1200;;20.8;;;;
83288;21/10/1969;0000;34.7;;27.78;34.75;3.666667;
83288;21/10/1969;1200;;20.8;;;;
83288;22/10/1969;0000;35.9;;27.58;30;0.666667;
83288;22/10/1969;1200;;20.3;;;;
83288;23/10/1969;0000;35.2;;27.48;39.25;1;
83288;23/10/1969;1200;;20;;;;
83288;24/10/1969;0000;36.8;;29;36;2.666667;
83288;24/10/1969;1200;;20.4;;;;
83288;25/10/1969;0000;34.9;;27.72;44;1.333333;
83288;25/10/1969;1200;;20.9;;;;
83288;26/10/1969;0000;33.9;;27.68;48.75;1.333333;
83288;26/10/1969;1200;;21.7;;;;
83288;27/10/1969;0000;35.2;;28.9;32.75;3.666667;
83288;27/10/1969;1200;;19.9;;;;
83288;28/10/1969;0000;36.1;;28;37.75;2;
83288;28/10/1969;1200;;21.6;;;;
83288;29/10/1969;0000;36.2;;28;38.5;2.666667;
83288;29/10/1969;1200;;19.6;;;;
83288;30/10/1969;0000;35;;27.16;52.5;4;
83288;30/10/1969;1200;;21.9;;;;
83288;31/10/1969;0000;34.2;;26.6;62.5;1.666667;
83288;31/10/1969;1200;;21.5;;;;
83288;01/11/1969;0000;36.3;;29.1;43.75;1.666667;
83288;01/11/1969;1200;;22.8;;;;
83288;02/11/1969;0000;35.1;;27.72;50.25;3.333333;
83288;02/11/1969;1200;;21.9;;;;
83288;03/11/1969;0000;37.9;;28.74;43.75;2.666667;
83288;03/11/1969;1200;;22.1;;;;
83288;04/11/1969;0000;31.4;;26.08;65.75;0.666667;
83288;04/11/1969;1200;;21.6;;;;
83288;05/11/1969;0000;35;;27.78;56.25;0.666667;
