--------------------
BDMEP - INMET
--------------------
Estação           : ITUACU - BA (OMM: 83292)
Latitude  (graus) : -13.81
Longitude (graus) : -41.3
Altitude  (metros): 531.43
Estação Operante
Inicio de operação: 18/02/1973
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83292;01/01/1977;0000;30.5;;25.18;;0.666667;
83292;01/01/1977;1200;;20.3;;;;
83292;02/01/1977;0000;32;;25.46;;1.333333;
83292;02/01/1977;1200;;18.7;;;;
83292;03/01/1977;0000;31.6;;25.68;;0.666667;
83292;03/01/1977;1200;;19.4;;;;
83292;04/01/1977;0000;31.8;;25.04;;2;
83292;04/01/1977;1200;;18.5;;;;
83292;05/01/1977;0000;32.3;;26.24;;2.333333;
83292;05/01/1977;1200;;20.6;;;;
83292;06/01/1977;0000;32.7;;25.78;;3.333333;
83292;06/01/1977;1200;;20.6;;;;
83292;07/01/1977;0000;30;;24.28;;4;
83292;07/01/1977;1200;;20.1;;;;
83292;08/01/1977;0000;29;;24.36;;5.666667;
83292;08/01/1977;1200;;17.7;;;;
83292;09/01/1977;0000;31.8;;25.4;;5.666667;
83292;09/01/1977;1200;;18.7;;;;
83292;10/01/1977;0000;32.3;;24.62;;5.333333;
83292;10/01/1977;1200;;17.2;;;;
83292;11/01/1977;0000;28.4;;22.6;;0;
83292;11/01/1977;1200;;18.7;;;;
83292;12/01/1977;0000;28.3;;23.48;;2.666667;
83292;12/01/1977;1200;;18.6;;;;
83292;13/01/1977;0000;31;;25.46;;4.666667;
83292;13/01/1977;1200;;20;;;;
83292;14/01/1977;0000;30.6;;25.12;;4.333333;
83292;14/01/1977;1200;;20.2;;;;
83292;15/01/1977;0000;30.4;;24.84;;1;
83292;15/01/1977;1200;;17.1;;;;
83292;16/01/1977;0000;32.6;;25.3;;3.333333;
83292;16/01/1977;1200;;17.2;;;;
83292;17/01/1977;0000;32;;25.9;;1.333333;
83292;17/01/1977;1200;;20.6;;;;
83292;18/01/1977;0000;27.5;;24.32;;2;
83292;18/01/1977;1200;;20.5;;;;
83292;19/01/1977;0000;31;;24.02;;1.333333;
83292;19/01/1977;1200;;20.2;;;;
83292;20/01/1977;0000;28.7;;22.96;;1.666667;
83292;20/01/1977;1200;;19.3;;;;
83292;21/01/1977;0000;28.9;;23.28;;2;
83292;21/01/1977;1200;;20.3;;;;
83292;22/01/1977;0000;28.6;;24;;0;
83292;22/01/1977;1200;;20.2;;;;
83292;23/01/1977;0000;28.6;;23.62;;0;
83292;23/01/1977;1200;;20.1;;;;
83292;24/01/1977;0000;26.4;;23.12;;0;
83292;24/01/1977;1200;;20.8;;;;
83292;25/01/1977;0000;25.6;;22.38;;0;
83292;25/01/1977;1200;;20.2;;;;
83292;26/01/1977;0000;28.4;;23.34;;0;
83292;26/01/1977;1200;;19.1;;;;
83292;27/01/1977;0000;29.8;;24.44;;2;
83292;27/01/1977;1200;;19.9;;;;
83292;28/01/1977;0000;29.4;;24.74;;0.666667;
83292;28/01/1977;1200;;20;;;;
83292;29/01/1977;0000;27.7;;24.44;;2;
83292;29/01/1977;1200;;20.2;;;;
83292;30/01/1977;0000;28;;25.08;;0;
83292;30/01/1977;1200;;21.9;;;;
83292;31/01/1977;0000;30;;23.5;;1.333333;
83292;31/01/1977;1200;;20;;;;
83292;01/02/1977;0000;29.3;;22.02;84.75;2.333333;
83292;01/02/1977;1200;;15.3;;;;
83292;02/02/1977;0000;26.8;;22.42;87.75;0;
83292;02/02/1977;1200;;18.7;;;;
83292;03/02/1977;0000;28.8;;23.68;83.75;0.666667;
83292;03/02/1977;1200;;19.3;;;;
83292;04/02/1977;0000;28.7;;24.04;74.75;1.333333;
83292;04/02/1977;1200;;18.9;;;;
83292;05/02/1977;0000;30.3;;24.04;69.25;1;
83292;05/02/1977;1200;;18.9;;;;
83292;06/02/1977;0000;29.6;;24.4;65.5;4;
83292;06/02/1977;1200;;18.3;;;;
83292;07/02/1977;0000;30.8;;25.42;66.25;1;
83292;07/02/1977;1200;;20;;;;
83292;08/02/1977;0000;31.1;;25.6;64;0;
83292;08/02/1977;1200;;21.4;;;;
83292;09/02/1977;0000;30.2;;22.9;80.75;1.333333;
83292;09/02/1977;1200;;15.3;;;;
