--------------------
BDMEP - INMET
--------------------
Estação           : ITIRUCU  JAGUAQUARA  - BA (OMM: 83295)
Latitude  (graus) : -13.35
Longitude (graus) : -40.11
Altitude  (metros): 755.61
Estação Operante
Inicio de operação: 01/08/1941
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83295;01/01/1961;0000;30.6;;24.16;88.25;2;
83295;01/01/1961;1200;;17.4;;;;
83295;02/01/1961;0000;28;;23.84;91.75;2.666667;
83295;02/01/1961;1200;;18;;;;
83295;03/01/1961;0000;30;;23.92;87.75;2.666667;
83295;03/01/1961;1200;;18.2;;;;
83295;04/01/1961;0000;29.4;;24.04;90.75;2;
83295;04/01/1961;1200;;19;;;;
83295;05/01/1961;0000;30;;24.84;93.5;2.666667;
83295;05/01/1961;1200;;20.2;;;;
83295;06/01/1961;0000;30;;24.24;89.75;1.333333;
83295;06/01/1961;1200;;19.4;;;;
83295;07/01/1961;0000;30.6;;24.4;92;2.666667;
83295;07/01/1961;1200;;18.4;;;;
83295;08/01/1961;0000;29.6;;24.4;91.75;2.666667;
83295;08/01/1961;1200;;18.8;;;;
83295;09/01/1961;0000;31.4;;23.92;91.5;2;
83295;09/01/1961;1200;;18.4;;;;
83295;10/01/1961;0000;29.6;;22.68;91.25;2;
83295;10/01/1961;1200;;18;;;;
83295;11/01/1961;0000;28.6;;22.76;88.75;0.666667;
83295;11/01/1961;1200;;17.4;;;;
83295;12/01/1961;0000;28.6;;23.64;90.75;3.333333;
83295;12/01/1961;1200;;19.4;;;;
83295;13/01/1961;0000;29.2;;24.4;92.75;2;
83295;13/01/1961;1200;;20;;;;
83295;14/01/1961;0000;28;;24.2;87.25;3.333333;
83295;14/01/1961;1200;;18.4;;;;
83295;15/01/1961;0000;29.8;;24.48;87.5;1.333333;
83295;15/01/1961;1200;;18.8;;;;
83295;16/01/1961;0000;28.6;;23.04;92.25;1.333333;
83295;16/01/1961;1200;;16;;;;
83295;17/01/1961;0000;24.2;;21.92;94;2;
83295;17/01/1961;1200;;15.4;;;;
83295;18/01/1961;0000;26;;22.88;90;2;
83295;18/01/1961;1200;;17.2;;;;
83295;19/01/1961;0000;29.6;;24.16;88.75;3.333333;
83295;19/01/1961;1200;;20;;;;
83295;20/01/1961;0000;29;;23.68;87.5;2.666667;
83295;20/01/1961;1200;;19;;;;
83295;21/01/1961;0000;26.8;;22.8;90.25;2;
83295;21/01/1961;1200;;18;;;;
83295;22/01/1961;0000;26.8;;22.36;92;1.333333;
83295;22/01/1961;1200;;16.4;;;;
83295;23/01/1961;0000;25.2;;22.88;92.5;2.666667;
83295;23/01/1961;1200;;19;;;;
83295;24/01/1961;0000;33;;24.24;91.75;3.333333;
83295;24/01/1961;1200;;18.4;;;;
83295;25/01/1961;0000;27.6;;23.96;88.25;1.333333;
83295;25/01/1961;1200;;19.4;;;;
83295;26/01/1961;0000;30;;23.88;88.75;2;
83295;26/01/1961;1200;;18.6;;;;
83295;27/01/1961;0000;29;;24.04;90.25;2;
83295;27/01/1961;1200;;19.4;;;;
83295;28/01/1961;0000;29.2;;24.56;89.5;1.333333;
83295;28/01/1961;1200;;20.4;;;;
83295;29/01/1961;0000;30.2;;25.08;90.5;2;
83295;29/01/1961;1200;;19.4;;;;
83295;30/01/1961;0000;30;;24.32;91;2.666667;
83295;30/01/1961;1200;;17.4;;;;
83295;31/01/1961;0000;29.8;;24.44;90.5;2.666667;
83295;31/01/1961;1200;;19;;;;
83295;01/02/1961;0000;29.6;;24.52;91.5;2;
83295;01/02/1961;1200;;19;;;;
83295;02/02/1961;0000;29.8;;23.04;85.75;1.333333;
83295;02/02/1961;1200;;12.4;;;;
83295;03/02/1961;0000;30;;23.92;92.5;4;
83295;03/02/1961;1200;;15.4;;;;
83295;04/02/1961;0000;29.8;;24.48;94.25;1.333333;
83295;04/02/1961;1200;;18.4;;;;
83295;05/02/1961;0000;29;;23.52;92.75;2;
83295;05/02/1961;1200;;16.4;;;;
83295;06/02/1961;0000;25.6;;22.56;89.75;2;
83295;06/02/1961;1200;;14.4;;;;
83295;07/02/1961;0000;29;;24.92;89.25;1.333333;
83295;07/02/1961;1200;;20;;;;
83295;08/02/1961;0000;29.6;;24.56;95;3.333333;
83295;08/02/1961;1200;;19;;;;
83295;09/02/1961;0000;28;;24.04;95.5;2.666667;
83295;09/02/1961;1200;;17.4;;;;
83295;10/02/1961;0000;29.8;;23.6;95.5;2.666667;
83295;10/02/1961;1200;;17.8;;;;
83295;11/02/1961;0000;30;;23.64;90.75;1.333333;
83295;11/02/1961;1200;;19.4;;;;
83295;12/02/1961;0000;31;;24.68;87.5;1.333333;
83295;12/02/1961;1200;;18.4;;;;
83295;13/02/1961;0000;25.8;;23.56;94.25;2;
83295;13/02/1961;1200;;17.8;;;;
83295;14/02/1961;0000;29.2;;24.44;94;2;
83295;14/02/1961;1200;;19.2;;;;
83295;15/02/1961;0000;29.8;;24.48;89.75;2.666667;
83295;15/02/1961;1200;;18.4;;;;
83295;16/02/1961;0000;28.6;;23.36;90.75;2;
83295;16/02/1961;1200;;16.4;;;;
83295;17/02/1961;0000;29.6;;23.88;94.25;2.666667;
83295;17/02/1961;1200;;17;;;;
83295;18/02/1961;0000;29;;23.8;93.5;2.666667;
83295;18/02/1961;1200;;17.4;;;;
83295;19/02/1961;0000;29.8;;24.12;96;1.333333;
83295;19/02/1961;1200;;17.8;;;;
83295;20/02/1961;0000;28;;23.4;92.75;0.666667;
83295;20/02/1961;1200;;17.4;;;;
83295;21/02/1961;0000;26;;22.52;88.5;0.666667;
83295;21/02/1961;1200;;15.4;;;;
83295;22/02/1961;0000;27.8;;22.56;94.75;2;
83295;22/02/1961;1200;;15;;;;
83295;23/02/1961;0000;29.6;;23.6;93.75;1.333333;
83295;23/02/1961;1200;;17.2;;;;
83295;24/02/1961;0000;30.6;;24.44;92.5;1.333333;
83295;24/02/1961;1200;;17;;;;
83295;25/02/1961;0000;30;;24.32;91.75;2.666667;
83295;25/02/1961;1200;;17.4;;;;
83295;26/02/1961;0000;29.8;;24.36;93.5;2;
83295;26/02/1961;1200;;17.8;;;;
83295;27/02/1961;0000;30.6;;24.56;89.25;2.666667;
83295;27/02/1961;1200;;18.2;;;;
83295;28/02/1961;0000;30.2;;24.8;84.5;3.333333;
83295;28/02/1961;1200;;20.2;;;;
83295;01/04/1961;0000;25.8;;21.68;89.25;2;
83295;01/04/1961;1200;;16.4;;;;
83295;02/04/1961;0000;27;;22.12;88.75;0.666667;
83295;02/04/1961;1200;;16.8;;;;
83295;03/04/1961;0000;29;;23.48;82.75;1.333333;
83295;03/04/1961;1200;;19;;;;
83295;04/04/1961;0000;28.8;;23.56;84.75;2.666667;
83295;04/04/1961;1200;;20;;;;
83295;05/04/1961;0000;27.6;;22.68;86.25;2.666667;
83295;05/04/1961;1200;;19;;;;
83295;06/04/1961;0000;28.6;;21.96;91.25;2;
83295;06/04/1961;1200;;18.4;;;;
83295;07/04/1961;0000;27.8;;22.24;86.25;2.666667;
83295;07/04/1961;1200;;19.2;;;;
83295;08/04/1961;0000;25.6;;21.96;88.75;2.666667;
83295;08/04/1961;1200;;17.4;;;;
83295;09/04/1961;0000;25;;21.48;91;2;
83295;09/04/1961;1200;;17.8;;;;
83295;10/04/1961;0000;27;;22.68;88;2;
83295;10/04/1961;1200;;18.4;;;;
83295;11/04/1961;0000;27;;22.56;89.75;2.666667;
83295;11/04/1961;1200;;17.4;;;;
83295;12/04/1961;0000;30;;23.56;87;2.666667;
83295;12/04/1961;1200;;19.2;;;;
83295;13/04/1961;0000;27.6;;22.28;89;1.333333;
83295;13/04/1961;1200;;18.4;;;;
83295;14/04/1961;0000;25.6;;21.44;82.25;2;
83295;14/04/1961;1200;;18;;;;
83295;15/04/1961;0000;26.4;;21.76;90.75;2;
83295;15/04/1961;1200;;18.2;;;;
83295;16/04/1961;0000;25.6;;21.6;86.25;1.333333;
83295;16/04/1961;1200;;18.4;;;;
83295;17/04/1961;0000;24.6;;21.24;82.5;3.333333;
83295;17/04/1961;1200;;17;;;;
83295;18/04/1961;0000;26;;21.6;94.25;2;
83295;18/04/1961;1200;;17.4;;;;
83295;19/04/1961;0000;27.6;;22.72;89.5;2;
83295;19/04/1961;1200;;17.4;;;;
83295;20/04/1961;0000;26.6;;22.72;85.5;2;
83295;20/04/1961;1200;;17.2;;;;
83295;21/04/1961;0000;27.6;;22.12;85.25;1.333333;
83295;21/04/1961;1200;;16.4;;;;
83295;22/04/1961;0000;23;;21.4;89.25;2;
83295;22/04/1961;1200;;16.8;;;;
83295;23/04/1961;0000;27;;22.04;89.5;1.333333;
83295;23/04/1961;1200;;17.4;;;;
83295;24/04/1961;0000;26;;22.24;90.25;1.333333;
83295;24/04/1961;1200;;16.4;;;;
83295;25/04/1961;0000;27.6;;21.8;91.25;2;
83295;25/04/1961;1200;;17.4;;;;
83295;26/04/1961;0000;26.8;;22.12;86.75;2.666667;
83295;26/04/1961;1200;;18;;;;
83295;27/04/1961;0000;28;;23.04;83.75;2;
83295;27/04/1961;1200;;17.4;;;;
83295;28/04/1961;0000;28.6;;22.76;86.25;2;
83295;28/04/1961;1200;;20.2;;;;
83295;29/04/1961;0000;27;;22.48;90.5;1.333333;
83295;29/04/1961;1200;;17.8;;;;
83295;30/04/1961;0000;30;;23.44;88.25;0.666667;
83295;30/04/1961;1200;;18;;;;
83295;01/05/1961;0000;27.6;;22.4;91;0.666667;
83295;01/05/1961;1200;;17.4;;;;
83295;02/05/1961;0000;24.6;;20.92;87.5;2;
83295;02/05/1961;1200;;15.4;;;;
83295;03/05/1961;0000;26;;21.84;90;1.333333;
83295;03/05/1961;1200;;16.4;;;;
83295;04/05/1961;0000;27.6;;22.48;80.75;2.666667;
83295;04/05/1961;1200;;17.2;;;;
83295;05/05/1961;0000;26;;22.12;88;2;
83295;05/05/1961;1200;;16.4;;;;
83295;06/05/1961;0000;27;;22.56;88.25;1.333333;
83295;06/05/1961;1200;;16.4;;;;
83295;07/05/1961;0000;27.6;;22.36;92.5;1.333333;
83295;07/05/1961;1200;;16.8;;;;
83295;08/05/1961;0000;26.6;;22.08;86;3.333333;
83295;08/05/1961;1200;;16;;;;
83295;09/05/1961;0000;28;;22.12;92;2;
83295;09/05/1961;1200;;15.4;;;;
83295;10/05/1961;0000;26;;22;87;0.666667;
83295;10/05/1961;1200;;16.4;;;;
83295;11/05/1961;0000;25.6;;21.64;92.75;1.333333;
83295;11/05/1961;1200;;16.8;;;;
83295;12/05/1961;0000;26;;21.52;90.25;2;
83295;12/05/1961;1200;;16.4;;;;
83295;13/05/1961;0000;26.6;;21.8;89.25;1.333333;
83295;13/05/1961;1200;;17;;;;
83295;14/05/1961;0000;25.6;;21.08;89.25;2.666667;
83295;14/05/1961;1200;;16.4;;;;
83295;15/05/1961;0000;24;;20.72;88.75;3.333333;
83295;15/05/1961;1200;;15.8;;;;
83295;16/05/1961;0000;25.6;;21.36;89.5;2;
83295;16/05/1961;1200;;17.2;;;;
83295;17/05/1961;0000;25;;21.36;89.5;2;
83295;17/05/1961;1200;;15.4;;;;
83295;18/05/1961;0000;25.6;;22;93.75;2;
83295;18/05/1961;1200;;17.4;;;;
83295;19/05/1961;0000;26.4;;22;87.75;1.333333;
83295;19/05/1961;1200;;18;;;;
83295;20/05/1961;0000;26.4;;22;86.25;1.333333;
83295;20/05/1961;1200;;17.4;;;;
83295;21/05/1961;0000;25.6;;20.88;90;1.333333;
83295;21/05/1961;1200;;16.8;;;;
83295;22/05/1961;0000;24.6;;20.8;85.5;1.333333;
83295;22/05/1961;1200;;16.4;;;;
