--------------------
BDMEP - INMET
--------------------
Estação           : NOVA XAV  XAVANTINA  - MT (OMM: 83319)
Latitude  (graus) : -14.7
Longitude (graus) : -52.35
Altitude  (metros): 316.00
Estação Operante
Inicio de operação: 05/08/1987
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83319;05/08/1987;1200;;20.4;;;;
83319;17/08/1987;0000;36.5;;;;;
83319;17/08/1987;1200;;18;;;;
83319;18/08/1987;0000;36.6;;;;;
83319;18/08/1987;1200;;19.5;;;;
83319;04/10/1987;0000;37.9;;;;;
83319;04/10/1987;1200;;20.2;;;;
83319;17/10/1987;0000;39.9;;;;;
83319;17/10/1987;1200;;23.1;;;;
83319;23/10/1987;0000;33.7;;;;;
83319;23/10/1987;1200;;20.8;;;;
83319;28/10/1987;0000;37.3;;;;;
83319;28/10/1987;1200;;22.1;;;;
83319;02/11/1987;0000;38.7;;;;;
83319;02/11/1987;1200;;21.5;;;;
83319;04/11/1987;0000;34.1;;;;;
83319;04/11/1987;1200;;21.8;;;;
83319;07/11/1987;0000;35.9;;;;;
83319;07/11/1987;1200;;21.8;;;;
83319;09/11/1987;0000;34.1;;;;;
83319;09/11/1987;1200;;22.8;;;;
83319;10/11/1987;0000;31.2;;;;;
83319;10/11/1987;1200;;22.8;;;;
83319;13/11/1987;0000;28.3;;;;;
83319;13/11/1987;1200;;20.3;;;;
83319;16/11/1987;0000;26.1;;;;;
83319;16/11/1987;1200;;20.3;;;;
83319;18/11/1987;0000;30.1;;;;;
83319;18/11/1987;1200;;20.7;;;;
83319;26/11/1987;0000;32.1;;;;;
83319;26/11/1987;1200;;20.1;;;;
83319;27/11/1987;0000;29.1;;;;;
83319;27/11/1987;1200;;22.5;;;;
83319;28/11/1987;0000;34.1;;;;;
83319;28/11/1987;1200;;21;;;;
83319;30/11/1987;0000;27.1;;;;;
83319;30/11/1987;1200;;20.1;;;;
83319;06/12/1987;0000;33.7;;;;;
83319;06/12/1987;1200;;21;;;;
83319;10/12/1987;0000;33.1;;;;;
83319;10/12/1987;1200;;21.1;;;;
83319;11/12/1987;0000;29.5;;;;;
83319;11/12/1987;1200;;23.4;;;;
83319;13/12/1987;0000;32.5;;;;;
83319;13/12/1987;1200;;20.7;;;;
83319;16/12/1987;0000;28.1;;;;;
