--------------------
BDMEP - INMET
--------------------
Estação           : POSSE - GO (OMM: 83332)
Latitude  (graus) : -14.1
Longitude (graus) : -46.36
Altitude  (metros): 825.64
Estação Operante
Inicio de operação: 04/08/1975
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83332;01/11/1975;0000;28.1;;23;77.75;5;
83332;01/11/1975;1200;;19.4;;;;
83332;02/11/1975;0000;25.3;;22.22;84.25;3.333333;
83332;02/11/1975;1200;;19.8;;;;
83332;03/11/1975;0000;29.2;;22.92;72;0.333333;
83332;03/11/1975;1200;;18;;;;
83332;04/11/1975;0000;29.2;;22.76;71.5;0;
83332;04/11/1975;1200;;18;;;;
83332;05/11/1975;0000;25.6;;22.6;74;0.333333;
83332;05/11/1975;1200;;18;;;;
83332;06/11/1975;0000;25.1;;22.58;81.25;0;
83332;06/11/1975;1200;;20;;;;
83332;07/11/1975;0000;26.4;;22.72;82.25;0;
83332;07/11/1975;1200;;20;;;;
83332;08/11/1975;0000;29;;24.1;76.5;0.333333;
83332;08/11/1975;1200;;19.9;;;;
83332;09/11/1975;0000;30.2;;25.12;64;0;
83332;09/11/1975;1200;;20;;;;
83332;10/11/1975;0000;30;;24;73.25;0;
83332;10/11/1975;1200;;19;;;;
83332;11/11/1975;0000;29;;23.2;82.75;0.666667;
83332;11/11/1975;1200;;19.6;;;;
83332;12/11/1975;0000;29.7;;23.94;65;0;
83332;12/11/1975;1200;;16.6;;;;
83332;13/11/1975;0000;30;;23.92;79.5;1;
83332;13/11/1975;1200;;20.6;;;;
83332;14/11/1975;0000;24.2;;21.64;81.75;1.333333;
83332;14/11/1975;1200;;19.2;;;;
83332;15/11/1975;0000;28.5;;23.98;80;2;
83332;15/11/1975;1200;;20;;;;
83332;16/11/1975;0000;29.5;;23.3;80.5;2.333333;
83332;16/11/1975;1200;;17.8;;;;
83332;17/11/1975;0000;26;;22.48;75.75;0.333333;
83332;17/11/1975;1200;;20;;;;
83332;18/11/1975;0000;29.5;;24.14;72;1;
83332;18/11/1975;1200;;19;;;;
83332;19/11/1975;0000;29.4;;24.2;67;4.333333;
83332;19/11/1975;1200;;19.4;;;;
