--------------------
BDMEP - INMET
--------------------
Estação           : FORMOSO - MG (OMM: 83334)
Latitude  (graus) : -14.93
Longitude (graus) : -46.25
Altitude  (metros): 840.00
Estação Operante
Inicio de operação: 03/04/1976
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83334;01/05/1976;0000;29.3;;;84.25;3;
83334;02/05/1976;0000;28;;;88.5;3.666667;
83334;03/05/1976;0000;24.8;;;83.5;2.666667;
83334;04/05/1976;0000;22.4;;;87;2.666667;
83334;05/05/1976;0000;18.5;;;97;0.666667;
83334;06/05/1976;0000;24;;;89.75;1.666667;
83334;07/05/1976;0000;28.3;;;82.75;1.666667;
83334;08/05/1976;0000;30.9;;;81;2.333333;
83334;09/05/1976;0000;30.5;;;79;1.333333;
83334;10/05/1976;0000;30.4;;;71.5;2;
83334;11/05/1976;0000;30.3;;;73;2.666667;
83334;12/05/1976;0000;29.5;;;76.75;2.666667;
83334;13/05/1976;0000;31;;;71.25;0;
83334;14/05/1976;0000;27.9;;;75.75;3;
83334;15/05/1976;0000;28;;;79.25;2.333333;
83334;16/05/1976;0000;28.4;;;82.25;2.666667;
83334;17/05/1976;0000;31;;;81;1.333333;
83334;18/05/1976;0000;32.3;;;74.5;0;
83334;19/05/1976;0000;31.8;;;70.75;3;
83334;20/05/1976;0000;31.7;;;78;1;
83334;21/05/1976;0000;30.3;;;77.5;3;
83334;22/05/1976;0000;27.4;;;82.25;3;
83334;23/05/1976;0000;30.2;;;80.5;2.666667;
83334;24/05/1976;0000;29.6;;;78.5;2;
83334;25/05/1976;0000;31.4;;;73.25;0.666667;
83334;26/05/1976;0000;32.2;;;80.5;0.666667;
83334;27/05/1976;0000;31.8;;;69;2;
83334;28/05/1976;0000;31.8;;;77.25;2.333333;
83334;29/05/1976;0000;30.6;;;75.25;1.666667;
83334;30/05/1976;0000;30.6;;;76.25;1.666667;
83334;31/05/1976;0000;29.4;;;80;4;
83334;01/06/1976;0000;28.5;;;72;3;
83334;02/06/1976;0000;29.2;;;81.25;1.333333;
83334;03/06/1976;0000;29.2;;;75.75;2.666667;
83334;04/06/1976;0000;29.5;;;76;4.333333;
83334;05/06/1976;0000;29.4;;;71.5;2.333333;
83334;06/06/1976;0000;30.8;;;72.25;1.333333;
83334;07/06/1976;0000;30.6;;;71.5;1.333333;
83334;08/06/1976;0000;31;;;74.5;4.666667;
83334;09/06/1976;0000;29.3;;;66.5;3.666667;
83334;10/06/1976;0000;29.7;;;77;4.666667;
83334;11/06/1976;0000;28.7;;;69.5;0.666667;
83334;12/06/1976;0000;31;;;75.25;0.666667;
