--------------------
BDMEP - INMET
--------------------
Estação           : ESPINOSA - MG (OMM: 83338)
Latitude  (graus) : -14.91
Longitude (graus) : -42.8
Altitude  (metros): 569.64
Estação Operante
Inicio de operação: 01/03/1974
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83338;01/03/1974;0000;35.1;;27.46;47.5;1;
83338;01/03/1974;1200;;21.6;;;;
83338;02/03/1974;0000;35.1;;26.8;58.5;1.333333;
83338;02/03/1974;1200;;21.4;;;;
83338;03/03/1974;0000;25.5;;23.02;83.5;0.333333;
83338;03/03/1974;1200;;21.8;;;;
83338;04/03/1974;0000;33.1;;26.5;57;3.666667;
83338;04/03/1974;1200;;21;;;;
83338;05/03/1974;0000;32.9;;25.7;54.75;4;
83338;05/03/1974;1200;;20.2;;;;
83338;06/03/1974;0000;32.6;;26.24;50;3;
83338;06/03/1974;1200;;20.6;;;;
83338;07/03/1974;0000;33.3;;27.4;46;4.666667;
83338;07/03/1974;1200;;21.2;;;;
83338;08/03/1974;0000;33.1;;26.06;53;3;
83338;08/03/1974;1200;;21.6;;;;
83338;09/03/1974;0000;29.9;;25.58;63;2.666667;
83338;09/03/1974;1200;;21;;;;
83338;10/03/1974;0000;31.6;;25.72;69.25;2.666667;
83338;10/03/1974;1200;;22.6;;;;
83338;11/03/1974;0000;25.1;;22.1;89;0.666667;
83338;11/03/1974;1200;;18.2;;;;
83338;12/03/1974;0000;30.1;;24.08;74;1.333333;
83338;12/03/1974;1200;;20.6;;;;
83338;13/03/1974;0000;28.2;;23.9;78;1.666667;
83338;13/03/1974;1200;;20.7;;;;
83338;14/03/1974;0000;26.9;;22.52;84.5;1.333333;
83338;14/03/1974;1200;;19.6;;;;
83338;15/03/1974;0000;27.7;;23.38;80;0.333333;
83338;15/03/1974;1200;;21;;;;
83338;16/03/1974;0000;30.4;;24.84;65.75;3.666667;
83338;16/03/1974;1200;;21.2;;;;
83338;17/03/1974;0000;30.9;;24.38;68.75;1;
83338;17/03/1974;1200;;19.4;;;;
83338;18/03/1974;0000;30.3;;24.32;73.25;5;
83338;18/03/1974;1200;;20.4;;;;
83338;19/03/1974;0000;27.5;;23.62;75.5;2;
83338;19/03/1974;1200;;21;;;;
83338;20/03/1974;0000;30.7;;25.3;65.5;2;
83338;20/03/1974;1200;;20.2;;;;
83338;21/03/1974;0000;28.7;;24.18;79.25;2.666667;
83338;21/03/1974;1200;;21.4;;;;
83338;22/03/1974;0000;29.5;;24.02;77.75;2;
83338;22/03/1974;1200;;20.6;;;;
83338;23/03/1974;0000;27.4;;23.06;87;2;
83338;23/03/1974;1200;;21.2;;;;
83338;24/03/1974;0000;27.5;;22.74;88.25;0.333333;
83338;24/03/1974;1200;;20.2;;;;
83338;25/03/1974;0000;30.1;;24.18;79;1;
83338;25/03/1974;1200;;20.1;;;;
83338;26/03/1974;0000;27.9;;24;82.5;2;
83338;26/03/1974;1200;;20.2;;;;
83338;27/03/1974;0000;29.3;;24.34;85;2;
83338;27/03/1974;1200;;22.2;;;;
83338;28/03/1974;0000;30.3;;23.94;82;0.666667;
83338;28/03/1974;1200;;20.2;;;;
83338;29/03/1974;0000;29.9;;23.78;81;1.666667;
83338;29/03/1974;1200;;21.2;;;;
83338;30/03/1974;0000;29.5;;24.72;75.5;1.333333;
