--------------------
BDMEP - INMET
--------------------
Estação           : CAETITE - BA (OMM: 83339)
Latitude  (graus) : -14.06
Longitude (graus) : -42.48
Altitude  (metros): 882.47
Estação Operante
Inicio de operação: 01/01/1907
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83339;01/01/1961;0000;29;;22.24;77.75;3.333333;
83339;01/01/1961;1200;;17.8;;;;
83339;02/01/1961;0000;27.4;;22.38;83.5;2.666667;
83339;02/01/1961;1200;;17.5;;;;
83339;03/01/1961;0000;27.9;;22.94;87;1;
83339;03/01/1961;1200;;17.8;;;;
83339;04/01/1961;0000;27.2;;21.98;82.5;1.333333;
83339;04/01/1961;1200;;17.4;;;;
83339;05/01/1961;0000;25.9;;21.44;92.5;0;
83339;05/01/1961;1200;;17.6;;;;
83339;06/01/1961;0000;28.2;;23.36;85.75;1.333333;
83339;06/01/1961;1200;;18.4;;;;
83339;07/01/1961;0000;28;;22.68;86.75;1.666667;
83339;07/01/1961;1200;;17.6;;;;
83339;08/01/1961;0000;27.5;;22.06;77.5;1.333333;
83339;08/01/1961;1200;;17.4;;;;
83339;09/01/1961;0000;29.1;;22.28;72.5;2.666667;
83339;09/01/1961;1200;;17.8;;;;
83339;10/01/1961;0000;28.6;;22.18;73.25;2.666667;
83339;10/01/1961;1200;;16.3;;;;
83339;11/01/1961;0000;29.3;;23.14;70.25;2.333333;
83339;11/01/1961;1200;;16.3;;;;
83339;12/01/1961;0000;24.7;;20.9;90.75;2;
83339;12/01/1961;1200;;18.3;;;;
83339;13/01/1961;0000;26.4;;21.3;81.25;4;
83339;13/01/1961;1200;;18.4;;;;
83339;14/01/1961;0000;25.6;;22.18;68.75;4.666667;
83339;14/01/1961;1200;;17.5;;;;
83339;15/01/1961;0000;25.8;;21.12;78.25;4;
83339;15/01/1961;1200;;16.8;;;;
83339;16/01/1961;0000;28.8;;22.74;73;2.666667;
83339;16/01/1961;1200;;17.4;;;;
83339;17/01/1961;0000;30.1;;22.66;78;4;
83339;17/01/1961;1200;;17.6;;;;
83339;18/01/1961;0000;28.1;;21.72;74.5;3.333333;
83339;18/01/1961;1200;;17;;;;
83339;19/01/1961;0000;29.4;;22.2;75.75;7.666667;
83339;19/01/1961;1200;;16.8;;;;
83339;20/01/1961;0000;30.8;;23.52;69.75;4.333333;
83339;20/01/1961;1200;;18.3;;;;
83339;21/01/1961;0000;25.6;;21.14;86.75;0.666667;
83339;21/01/1961;1200;;18;;;;
83339;22/01/1961;0000;24.6;;20.18;89.25;0.666667;
83339;22/01/1961;1200;;16.8;;;;
83339;23/01/1961;0000;26.8;;21.84;81.25;2.333333;
83339;23/01/1961;1200;;17.1;;;;
83339;24/01/1961;0000;27;;22.5;81.75;2.666667;
83339;24/01/1961;1200;;18.5;;;;
83339;25/01/1961;0000;26.3;;21.38;87.5;2;
83339;25/01/1961;1200;;18.9;;;;
83339;26/01/1961;0000;27.1;;21;86.75;1.666667;
83339;26/01/1961;1200;;18.6;;;;
83339;27/01/1961;0000;24.8;;20.7;85.75;3;
83339;27/01/1961;1200;;17.6;;;;
83339;28/01/1961;0000;27.1;;21.34;84;1.666667;
83339;28/01/1961;1200;;17;;;;
83339;29/01/1961;0000;27.6;;21.88;78.75;1.333333;
83339;29/01/1961;1200;;18.6;;;;
83339;30/01/1961;0000;28.6;;22.14;72.75;3.666667;
83339;30/01/1961;1200;;16.4;;;;
83339;31/01/1961;0000;29.6;;22.74;68.25;2;
83339;31/01/1961;1200;;17.4;;;;
83339;01/02/1961;0000;26.4;;21.02;77.5;6;
83339;01/02/1961;1200;;17.3;;;;
83339;02/02/1961;0000;27.6;;21.48;66.5;5.666667;
83339;02/02/1961;1200;;17.4;;;;
83339;03/02/1961;0000;28;;22.28;66.25;3.666667;
83339;03/02/1961;1200;;17.6;;;;
83339;04/02/1961;0000;29.2;;22.4;67.25;7.666667;
83339;04/02/1961;1200;;17.5;;;;
83339;05/02/1961;0000;27.8;;21.98;72.25;2.666667;
83339;05/02/1961;1200;;17.2;;;;
83339;06/02/1961;0000;27.2;;22.22;75.75;2;
83339;06/02/1961;1200;;18.1;;;;
83339;07/02/1961;0000;27.6;;21.72;76;3;
83339;07/02/1961;1200;;18.2;;;;
83339;08/02/1961;0000;28.2;;21.12;76;2.666667;
83339;08/02/1961;1200;;15.9;;;;
83339;09/02/1961;0000;29.2;;21.8;67.75;2;
83339;09/02/1961;1200;;15.6;;;;
83339;10/02/1961;0000;29.4;;22.04;67;3;
83339;10/02/1961;1200;;15.4;;;;
83339;11/02/1961;0000;30.9;;23.24;75.5;2;
83339;11/02/1961;1200;;17.1;;;;
83339;12/02/1961;0000;27.4;;21.52;75.75;2.666667;
83339;12/02/1961;1200;;18;;;;
83339;13/02/1961;0000;28.8;;22.46;71.25;2.666667;
83339;13/02/1961;1200;;16.4;;;;
83339;14/02/1961;0000;29.9;;23.72;73.75;1.666667;
83339;14/02/1961;1200;;17.5;;;;
83339;15/02/1961;0000;27.4;;21.28;75.25;2.666667;
83339;15/02/1961;1200;;17.4;;;;
83339;16/02/1961;0000;27.9;;21.48;67.25;6.333333;
83339;16/02/1961;1200;;16.8;;;;
83339;17/02/1961;0000;27.5;;20.94;71.5;1.666667;
83339;17/02/1961;1200;;16.6;;;;
83339;18/02/1961;0000;29;;22.04;68.75;2.333333;
83339;18/02/1961;1200;;17.1;;;;
83339;19/02/1961;0000;30.6;;22.96;68.25;1.666667;
83339;19/02/1961;1200;;17.5;;;;
83339;20/02/1961;0000;28.5;;22.7;65.75;2.333333;
83339;20/02/1961;1200;;17.2;;;;
83339;21/02/1961;0000;28.7;;22.12;50.5;2.666667;
83339;21/02/1961;1200;;16.7;;;;
83339;22/02/1961;0000;30;;21.98;59.25;2;
83339;22/02/1961;1200;;14.8;;;;
83339;23/02/1961;0000;31.1;;23.86;52.75;3;
83339;23/02/1961;1200;;15.7;;;;
83339;24/02/1961;0000;30.9;;23.16;60.5;2.333333;
83339;24/02/1961;1200;;17.8;;;;
83339;25/02/1961;0000;31.6;;23.04;63.5;2.333333;
83339;25/02/1961;1200;;16.5;;;;
83339;26/02/1961;0000;30;;22.66;58.25;1.333333;
83339;26/02/1961;1200;;16;;;;
83339;27/02/1961;0000;31.8;;23.12;61.75;1;
83339;27/02/1961;1200;;17;;;;
83339;28/02/1961;0000;31.2;;22.92;64.25;3;
83339;28/02/1961;1200;;17.5;;;;
83339;01/03/1961;0000;29.8;;22.86;75;5.333333;
83339;01/03/1961;1200;;17.8;;;;
83339;02/03/1961;0000;31.9;;24.16;65.75;0.666667;
83339;02/03/1961;1200;;18;;;;
83339;03/03/1961;0000;32;;24.46;62.25;2;
83339;03/03/1961;1200;;18.1;;;;
83339;04/03/1961;0000;26.4;;20.96;86.25;2.333333;
83339;04/03/1961;1200;;16.8;;;;
83339;05/03/1961;0000;29.5;;23.4;70.75;4.333333;
83339;05/03/1961;1200;;16.6;;;;
83339;06/03/1961;0000;29.6;;23.32;70;8;
83339;06/03/1961;1200;;18.2;;;;
83339;07/03/1961;0000;28.3;;22.36;69.25;3.666667;
83339;07/03/1961;1200;;17.4;;;;
83339;08/03/1961;0000;31;;23.52;57.25;2.666667;
83339;08/03/1961;1200;;17.4;;;;
83339;09/03/1961;0000;32.1;;24.36;66;1.666667;
83339;09/03/1961;1200;;19;;;;
83339;10/03/1961;0000;31.6;;24.98;57.5;4;
83339;10/03/1961;1200;;18.2;;;;
83339;11/03/1961;0000;31.8;;25.12;61.25;3;
83339;11/03/1961;1200;;19.4;;;;
83339;12/03/1961;0000;31.1;;24.78;58;3.666667;
83339;12/03/1961;1200;;19.2;;;;
83339;13/03/1961;0000;32;;23.96;59.75;5.333333;
83339;13/03/1961;1200;;18.3;;;;
83339;14/03/1961;0000;31.4;;24.1;57.5;3;
83339;14/03/1961;1200;;18.1;;;;
83339;15/03/1961;0000;32.4;;24.56;59.5;1.666667;
83339;15/03/1961;1200;;18.2;;;;
83339;16/03/1961;0000;30.7;;23;77.5;2.333333;
83339;16/03/1961;1200;;18.4;;;;
83339;17/03/1961;0000;29.2;;22.62;83;1.333333;
83339;17/03/1961;1200;;17.5;;;;
83339;18/03/1961;0000;31.8;;22.68;79.5;3;
83339;18/03/1961;1200;;17.8;;;;
83339;19/03/1961;0000;30.4;;23.72;70.25;3;
83339;19/03/1961;1200;;18.1;;;;
83339;20/03/1961;0000;29.2;;23.52;64;3.666667;
83339;20/03/1961;1200;;18.5;;;;
83339;21/03/1961;0000;28;;23.18;66;3;
