--------------------
BDMEP - INMET
--------------------
Estação           : VITORIA DA CONQUISTA - BA (OMM: 83344)
Latitude  (graus) : -14.88
Longitude (graus) : -40.79
Altitude  (metros): 874.81
Estação Operante
Inicio de operação: 01/01/1936
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83344;11/12/1975;0000;26.4;;20.82;74.25;;
83344;11/12/1975;1200;;16.4;;;;
83344;12/12/1975;0000;26.6;;19.7;77.5;;
83344;12/12/1975;1200;;12.2;;;;
83344;13/12/1975;0000;28;;21.58;72.5;;
83344;13/12/1975;1200;;16.7;;;;
83344;14/12/1975;0000;27.2;;21.7;79;;
83344;14/12/1975;1200;;18.7;;;;
83344;15/12/1975;0000;20.6;;18.56;94.25;;
83344;15/12/1975;1200;;16.8;;;;
83344;16/12/1975;0000;24.7;;20.36;81.75;;
83344;16/12/1975;1200;;17.1;;;;
83344;17/12/1975;0000;25.1;;19.96;80;;
83344;17/12/1975;1200;;17.1;;;;
83344;18/12/1975;0000;23.5;;19.32;79.5;;
83344;18/12/1975;1200;;15.2;;;;
83344;19/12/1975;0000;24.5;;19.38;71.75;;
83344;19/12/1975;1200;;14.8;;;;
83344;20/12/1975;0000;25.1;;19.58;79;;
83344;20/12/1975;1200;;16;;;;
83344;21/12/1975;0000;24.2;;19.9;82;;
83344;21/12/1975;1200;;17.4;;;;
83344;22/12/1975;0000;25.3;;20.16;79.75;;
83344;22/12/1975;1200;;16.1;;;;
83344;23/12/1975;0000;26.5;;20.82;90.25;;
83344;23/12/1975;1200;;17.5;;;;
83344;24/12/1975;0000;27;;21.58;74;4.866667;
83344;24/12/1975;1200;;17.2;;;;
83344;25/12/1975;0000;27.6;;22.26;74.5;3.8;
83344;25/12/1975;1200;;18.6;;;;
83344;26/12/1975;0000;27.4;;21.3;75.25;4.266667;
83344;26/12/1975;1200;;16.8;;;;
83344;27/12/1975;0000;26.2;;20.06;73.5;2.7;
83344;27/12/1975;1200;;15.2;;;;
83344;28/12/1975;0000;25.2;;20.04;79.25;2.9;
83344;28/12/1975;1200;;16.1;;;;
83344;29/12/1975;0000;25.3;;20.04;86.5;4.3;
83344;29/12/1975;1200;;16.6;;;;
83344;30/12/1975;0000;22.9;;19.12;89.25;4.2;
83344;30/12/1975;1200;;16.8;;;;
83344;31/12/1975;0000;25.7;;19.62;80.75;3.566667;
83344;31/12/1975;1200;;16.6;;;;
83344;01/01/1976;0000;25.2;;19.32;84.25;4.6;
83344;01/01/1976;1200;;16.3;;;;
83344;02/01/1976;0000;24.6;;19.52;82;4.166667;
83344;02/01/1976;1200;;16.3;;;;
83344;03/01/1976;0000;26.3;;20.54;78;4.233333;
83344;03/01/1976;1200;;16.8;;;;
83344;04/01/1976;0000;26.4;;20.14;75.5;4.966667;
83344;04/01/1976;1200;;17;;;;
83344;05/01/1976;0000;26.6;;20.4;69.75;4.166667;
83344;05/01/1976;1200;;14.2;;;;
83344;06/01/1976;0000;26.9;;20.62;74;4.133333;
83344;06/01/1976;1200;;15;;;;
83344;07/01/1976;0000;27.6;;20.56;66.75;3.5;
83344;07/01/1976;1200;;14.5;;;;
83344;08/01/1976;0000;28.8;;21.5;71.5;3.466667;
83344;08/01/1976;1200;;16.2;;;;
83344;09/01/1976;0000;27.9;;21.22;73.75;4.233333;
83344;09/01/1976;1200;;15.6;;;;
83344;10/01/1976;0000;26.4;;20.34;65.25;4;
83344;10/01/1976;1200;;16;;;;
83344;11/01/1976;0000;27.7;;21.4;76.75;4.866667;
83344;11/01/1976;1200;;16.4;;;;
83344;12/01/1976;0000;27.4;;21;81;3.8;
83344;12/01/1976;1200;;16.5;;;;
83344;13/01/1976;0000;27.2;;20.8;72;3.266667;
83344;13/01/1976;1200;;16.1;;;;
83344;14/01/1976;0000;27;;20.52;67;3.866667;
83344;14/01/1976;1200;;16.2;;;;
83344;15/01/1976;0000;26.8;;20;77.75;4.366667;
83344;15/01/1976;1200;;15.1;;;;
83344;16/01/1976;0000;27.6;;20.92;75.25;4.266667;
83344;16/01/1976;1200;;15.7;;;;
83344;17/01/1976;0000;27.6;;21.88;61.75;3.966667;
83344;17/01/1976;1200;;17.1;;;;
83344;18/01/1976;0000;26.9;;20.2;64.75;3.8;
83344;18/01/1976;1200;;14.6;;;;
83344;19/01/1976;0000;27.5;;20.42;72.25;3.633333;
83344;19/01/1976;1200;;15.7;;;;
83344;20/01/1976;0000;27.6;;21.38;72.5;4.733333;
83344;20/01/1976;1200;;16.4;;;;
83344;21/01/1976;0000;28.1;;21.54;71.5;3.8;
83344;21/01/1976;1200;;16.2;;;;
83344;22/01/1976;0000;26.6;;21.08;74.5;4.633333;
83344;22/01/1976;1200;;16.2;;;;
83344;23/01/1976;0000;26.8;;20.82;72.75;4.166667;
83344;23/01/1976;1200;;15.2;;;;
83344;24/01/1976;0000;27.5;;20.58;69.5;3.633333;
83344;24/01/1976;1200;;15.2;;;;
83344;25/01/1976;0000;28.2;;21.36;71;3.666667;
83344;25/01/1976;1200;;15.3;;;;
83344;26/01/1976;0000;30.1;;22.16;68.75;3.733333;
83344;26/01/1976;1200;;15.2;;;;
83344;27/01/1976;0000;29.1;;22.16;70.75;4.233333;
83344;27/01/1976;1200;;18;;;;
83344;28/01/1976;0000;28;;20.64;72;4.2;
83344;28/01/1976;1200;;15.1;;;;
83344;29/01/1976;0000;26.4;;20.08;73.5;4.366667;
83344;29/01/1976;1200;;15.4;;;;
83344;30/01/1976;0000;27;;20.9;72.5;4.2;
83344;30/01/1976;1200;;15.9;;;;
83344;31/01/1976;0000;28.6;;21.58;66.75;5.566667;
83344;31/01/1976;1200;;15.2;;;;
83344;01/02/1976;0000;27.7;;21.8;70.75;4.1;
83344;01/02/1976;1200;;15.4;;;;
83344;02/02/1976;0000;29.2;;21.96;81;3.3;
83344;02/02/1976;1200;;18.2;;;;
83344;03/02/1976;0000;26.4;;21.42;82.75;2.966667;
83344;03/02/1976;1200;;18.6;;;;
83344;04/02/1976;0000;27;;21.6;84.25;4.233333;
83344;04/02/1976;1200;;19.1;;;;
83344;05/02/1976;0000;27.2;;22.36;80.5;2.133333;
83344;05/02/1976;1200;;19.4;;;;
83344;06/02/1976;0000;27;;21.62;81.5;2.4;
83344;06/02/1976;1200;;18.4;;;;
83344;07/02/1976;0000;27.2;;21.6;75.25;4.066667;
83344;07/02/1976;1200;;16.7;;;;
83344;08/02/1976;0000;26.7;;21.44;74;3;
83344;08/02/1976;1200;;17.7;;;;
83344;09/02/1976;0000;27.6;;21.66;71.5;2.9;
83344;09/02/1976;1200;;17.2;;;;
