--------------------
BDMEP - INMET
--------------------
Estação           : POXOREO - MT (OMM: 83358)
Latitude  (graus) : -15.83
Longitude (graus) : -54.38
Altitude  (metros): 450.00
Estação Operante
Inicio de operação: 18/09/1978
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83358;18/09/1978;0000;29.8;;24.48;79.5;1;
83358;18/09/1978;1200;;21.4;;;;
83358;19/09/1978;0000;32.8;;22.38;85.25;1;
83358;19/09/1978;1200;;14;;;;
83358;20/09/1978;0000;26.9;;21.96;80.25;1;
83358;20/09/1978;1200;;14;;;;
83358;21/09/1978;0000;24.2;;20.72;91.5;0;
83358;21/09/1978;1200;;14.8;;;;
83358;22/09/1978;0000;25.4;;21.48;82.25;1;
83358;22/09/1978;1200;;15.2;;;;
83358;23/09/1978;0000;32.7;;22.08;72.25;1;
83358;23/09/1978;1200;;10.7;;;;
83358;24/09/1978;0000;34;;22.98;66.5;1;
83358;24/09/1978;1200;;11.1;;;;
83358;25/09/1978;0000;34.4;;22.52;69;1;
83358;25/09/1978;1200;;11.2;;;;
83358;26/09/1978;0000;34.4;;23.72;67.5;1.333333;
83358;26/09/1978;1200;;11.2;;;;
83358;27/09/1978;0000;24.8;;21.28;79.75;1.666667;
83358;27/09/1978;1200;;15.6;;;;
83358;28/09/1978;0000;24.3;;20.14;79.25;0.666667;
83358;28/09/1978;1200;;14.4;;;;
83358;29/09/1978;0000;28.2;;21.08;82.5;0;
83358;29/09/1978;1200;;13;;;;
83358;30/09/1978;0000;32.6;;23.34;72.25;1.666667;
83358;30/09/1978;1200;;13.2;;;;
83358;01/10/1978;0000;34.6;;24.16;69;2;
83358;01/10/1978;1200;;12.4;;;;
83358;02/10/1978;0000;35.2;;24.96;55.75;2;
83358;02/10/1978;1200;;13.6;;;;
83358;03/10/1978;0000;36.7;;24.02;67.5;0;
83358;03/10/1978;1200;;12.4;;;;
83358;04/10/1978;0000;35.5;;24.26;63.75;0;
83358;04/10/1978;1200;;13.4;;;;
83358;05/10/1978;0000;35.4;;23.28;62.5;0.666667;
83358;05/10/1978;1200;;12;;;;
83358;06/10/1978;0000;36.9;;23.88;61.5;0.666667;
83358;06/10/1978;1200;;11.9;;;;
83358;07/10/1978;0000;36.1;;25.94;48;0.666667;
83358;07/10/1978;1200;;12;;;;
83358;08/10/1978;0000;33.6;;24.76;59.25;2;
