--------------------
BDMEP - INMET
--------------------
Estação           : CUIABA - MT (OMM: 83361)
Latitude  (graus) : -15.61
Longitude (graus) : -56.1
Altitude  (metros): 145.00
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83361;01/01/1961;0000;30.1;;25.2;83.5;1.9;
83361;01/01/1961;1200;;21.9;;;;
83361;02/01/1961;0000;32.4;;27.36;73.25;3.566667;
83361;02/01/1961;1200;;23.9;;;;
83361;03/01/1961;0000;30.7;;25.58;81;4;
83361;03/01/1961;1200;;23.1;;;;
83361;04/01/1961;0000;30.6;;26.16;81.75;2.566667;
83361;04/01/1961;1200;;23.3;;;;
83361;05/01/1961;0000;31.1;;26.7;77.75;2.366667;
83361;05/01/1961;1200;;23.3;;;;
83361;06/01/1961;0000;30.3;;26.46;78.75;2.766667;
83361;06/01/1961;1200;;23.9;;;;
83361;07/01/1961;0000;32.5;;27.84;72;2.766667;
83361;07/01/1961;1200;;24.4;;;;
83361;08/01/1961;0000;31.1;;26.4;92.25;0.966667;
83361;08/01/1961;1200;;23.2;;;;
83361;09/01/1961;0000;32.4;;25.98;86.75;2.533333;
83361;09/01/1961;1200;;23.3;;;;
83361;10/01/1961;0000;32;;26.6;86.25;3.8;
83361;10/01/1961;1200;;23;;;;
83361;11/01/1961;0000;32.4;;26.12;83.25;3;
83361;11/01/1961;1200;;23.5;;;;
83361;12/01/1961;0000;31.6;;26.8;77.25;2.4;
83361;12/01/1961;1200;;22.6;;;;
83361;13/01/1961;0000;30.3;;26.58;76.5;3.266667;
83361;13/01/1961;1200;;24;;;;
83361;14/01/1961;0000;30.6;;26.48;71.25;3.566667;
83361;14/01/1961;1200;;23.6;;;;
83361;15/01/1961;0000;34.3;;26.84;75.25;3.5;
83361;15/01/1961;1200;;23.2;;;;
83361;16/01/1961;0000;31.6;;26.42;83;1.5;
83361;16/01/1961;1200;;22.6;;;;
83361;17/01/1961;0000;29.9;;26.52;82.25;3.433333;
83361;17/01/1961;1200;;24.1;;;;
83361;18/01/1961;0000;31.9;;27.02;71.75;2.533333;
83361;18/01/1961;1200;;22.9;;;;
83361;19/01/1961;0000;34.3;;27.3;67.75;3.5;
83361;19/01/1961;1200;;23.4;;;;
83361;20/01/1961;0000;34.7;;28.56;69;1.066667;
83361;20/01/1961;1200;;22.7;;;;
83361;21/01/1961;0000;33.4;;28.16;74;2.166667;
83361;21/01/1961;1200;;24.7;;;;
83361;22/01/1961;0000;30;;26.7;84;1.633333;
83361;22/01/1961;1200;;23.6;;;;
83361;23/01/1961;0000;33.7;;26.88;80.5;3.3;
83361;23/01/1961;1200;;23.2;;;;
83361;24/01/1961;0000;30.9;;26.46;80.5;2.633333;
83361;24/01/1961;1200;;23.7;;;;
83361;25/01/1961;0000;28.5;;25.84;91;1.266667;
83361;25/01/1961;1200;;23.4;;;;
83361;26/01/1961;0000;27.5;;24.32;94.75;0.966667;
83361;26/01/1961;1200;;22.6;;;;
83361;27/01/1961;0000;28.3;;24.02;88.25;1.333333;
83361;27/01/1961;1200;;22;;;;
83361;28/01/1961;0000;27.1;;23.64;92.25;2.033333;
83361;28/01/1961;1200;;22.2;;;;
83361;29/01/1961;0000;29.6;;24.8;86;1.333333;
83361;29/01/1961;1200;;21.3;;;;
83361;30/01/1961;0000;33.4;;27.38;70.75;2.8;
83361;30/01/1961;1200;;23.2;;;;
83361;31/01/1961;0000;31;;26.72;77.5;2.733333;
83361;31/01/1961;1200;;23.5;;;;
83361;01/02/1961;0000;33.4;;27.84;67;3.366667;
83361;01/02/1961;1200;;22.4;;;;
83361;02/02/1961;0000;33.5;;27.68;76.75;1.966667;
83361;02/02/1961;1200;;24.2;;;;
83361;03/02/1961;0000;34.2;;25.82;80.75;0.833333;
83361;03/02/1961;1200;;21;;;;
83361;04/02/1961;0000;35.2;;27.58;78;0.966667;
83361;04/02/1961;1200;;23.2;;;;
83361;05/02/1961;0000;35.1;;26.22;80;1.6;
83361;05/02/1961;1200;;22.5;;;;
83361;06/02/1961;0000;35;;27.28;68.5;2.5;
83361;06/02/1961;1200;;22.6;;;;
