--------------------
BDMEP - INMET
--------------------
Estação           : ARAGARCAS - GO (OMM: 83368)
Latitude  (graus) : -15.9
Longitude (graus) : -52.23
Altitude  (metros): 345.00
Estação Operante
Inicio de operação: 19/07/1970
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83368;01/05/1970;0000;31.6;;23.68;82.75;0.333333;
83368;01/05/1970;1200;;18.6;;;;
83368;02/05/1970;0000;32.4;;23.82;84.25;0.333333;
83368;02/05/1970;1200;;17.3;;;;
83368;03/05/1970;0000;32.6;;24.02;82.25;0.666667;
83368;03/05/1970;1200;;18.7;;;;
83368;04/05/1970;0000;32.4;;24.18;82.5;0.666667;
83368;04/05/1970;1200;;18.2;;;;
83368;05/05/1970;0000;33.4;;25;79.5;0.666667;
83368;05/05/1970;1200;;17.6;;;;
83368;06/05/1970;0000;32.8;;25.48;81;1.333333;
83368;06/05/1970;1200;;19.6;;;;
83368;07/05/1970;0000;31.9;;25.8;88;1.666667;
83368;07/05/1970;1200;;22;;;;
83368;08/05/1970;0000;29.2;;24.24;86.5;1;
83368;08/05/1970;1200;;20;;;;
83368;09/05/1970;0000;31.3;;24.64;81.5;0.666667;
83368;09/05/1970;1200;;20.5;;;;
83368;10/05/1970;0000;31.8;;24.04;76.5;1;
83368;10/05/1970;1200;;18.2;;;;
83368;11/05/1970;0000;32.1;;23.56;73.25;0.333333;
83368;11/05/1970;1200;;18.3;;;;
83368;12/05/1970;0000;32.2;;23.04;70.25;1.666667;
83368;12/05/1970;1200;;17;;;;
83368;13/05/1970;0000;30.9;;21.82;74;1.333333;
83368;13/05/1970;1200;;15.3;;;;
83368;14/05/1970;0000;30.6;;22.86;69.75;1.333333;
83368;14/05/1970;1200;;17.3;;;;
83368;15/05/1970;0000;31.4;;22.4;71.75;0.333333;
83368;15/05/1970;1200;;15.6;;;;
83368;16/05/1970;0000;31.4;;22.36;85;1;
83368;16/05/1970;1200;;15.4;;;;
83368;17/05/1970;0000;31.4;;21.8;82.5;1;
83368;17/05/1970;1200;;14;;;;
83368;18/05/1970;0000;31.6;;22.46;72;1;
83368;18/05/1970;1200;;15.7;;;;
83368;19/05/1970;0000;32.9;;22.56;75.75;1;
83368;19/05/1970;1200;;15.9;;;;
83368;20/05/1970;0000;32.4;;22.92;70.75;1;
83368;20/05/1970;1200;;15.4;;;;
83368;21/05/1970;0000;28.9;;23.04;79.5;0.666667;
83368;21/05/1970;1200;;19.6;;;;
83368;22/05/1970;0000;29.9;;23.2;75.5;0.666667;
83368;22/05/1970;1200;;18.4;;;;
83368;23/05/1970;0000;30.9;;23.72;72;1;
83368;23/05/1970;1200;;19.1;;;;
83368;24/05/1970;0000;31.7;;24.04;78.25;1.333333;
83368;24/05/1970;1200;;17.4;;;;
83368;25/05/1970;0000;30.9;;23.38;77.75;1.333333;
83368;25/05/1970;1200;;18.2;;;;
83368;26/05/1970;0000;31.9;;23.9;80.75;1.333333;
83368;26/05/1970;1200;;18.8;;;;
83368;27/05/1970;0000;31.6;;23.36;80;0.666667;
83368;27/05/1970;1200;;17.4;;;;
83368;28/05/1970;0000;31.4;;23.54;74.25;1;
83368;28/05/1970;1200;;17;;;;
83368;29/05/1970;0000;31.3;;22.7;82.25;0.666667;
83368;29/05/1970;1200;;17;;;;
83368;30/05/1970;0000;30.5;;21.44;77.75;0.666667;
83368;30/05/1970;1200;;15;;;;
83368;31/05/1970;0000;31.2;;22.18;85;1;
83368;31/05/1970;1200;;15.6;;;;
83368;01/06/1970;0000;31;;23.2;70.5;1.333333;
83368;01/06/1970;1200;;18.4;;;;
83368;02/06/1970;0000;31.6;;23.16;64.5;1;
83368;02/06/1970;1200;;15.4;;;;
83368;03/06/1970;0000;30.6;;21.86;71.5;1;
83368;03/06/1970;1200;;15;;;;
83368;04/06/1970;0000;32.4;;22.48;69.25;0.666667;
83368;04/06/1970;1200;;15;;;;
83368;05/06/1970;0000;32.9;;24.82;61;1;
83368;05/06/1970;1200;;15.2;;;;
83368;06/06/1970;0000;31.9;;23.78;69;1;
83368;06/06/1970;1200;;16.6;;;;
83368;07/06/1970;0000;32.2;;23.46;65.25;0.666667;
83368;07/06/1970;1200;;16.6;;;;
83368;08/06/1970;0000;32.4;;22.32;69.75;1;
83368;08/06/1970;1200;;15.8;;;;
83368;09/06/1970;0000;32.1;;22.58;65.75;1.666667;
83368;09/06/1970;1200;;15.4;;;;
83368;10/06/1970;0000;32.3;;23.14;67.5;1;
83368;10/06/1970;1200;;16;;;;
83368;11/06/1970;0000;32.3;;23.46;69.75;0.333333;
83368;11/06/1970;1200;;17;;;;
83368;12/06/1970;0000;31.7;;22.98;69.5;1;
83368;12/06/1970;1200;;16.6;;;;
83368;13/06/1970;0000;32.6;;23.36;65.75;0.666667;
83368;13/06/1970;1200;;16;;;;
83368;14/06/1970;0000;32.1;;23.5;63.5;0.333333;
83368;14/06/1970;1200;;16.4;;;;
83368;15/06/1970;0000;32.9;;23.34;64;1;
83368;15/06/1970;1200;;15.8;;;;
83368;16/06/1970;0000;32.1;;24.18;64;1;
83368;16/06/1970;1200;;18.6;;;;
83368;17/06/1970;0000;33;;23.12;66.5;0.666667;
83368;17/06/1970;1200;;16.2;;;;
83368;18/06/1970;0000;31.9;;22.76;70.75;1;
83368;18/06/1970;1200;;16.3;;;;
83368;19/06/1970;0000;31.9;;22.82;65.25;0.333333;
83368;19/06/1970;1200;;16.8;;;;
83368;20/06/1970;0000;32.2;;21.9;66.5;1;
83368;20/06/1970;1200;;15.1;;;;
83368;21/06/1970;0000;32.4;;23.08;61.25;1;
83368;21/06/1970;1200;;15.3;;;;
83368;22/06/1970;0000;32.4;;23.2;61.75;0.333333;
83368;22/06/1970;1200;;15;;;;
83368;23/06/1970;0000;29.7;;22.46;71.5;1.666667;
83368;23/06/1970;1200;;17.4;;;;
83368;24/06/1970;0000;26.9;;20.82;70.25;1;
83368;24/06/1970;1200;;17.2;;;;
83368;25/06/1970;0000;29;;20.44;74.75;0.666667;
83368;25/06/1970;1200;;14.2;;;;
83368;26/06/1970;0000;30.1;;21.52;75;0.666667;
83368;26/06/1970;1200;;15;;;;
83368;27/06/1970;0000;31.5;;22.62;71.5;0.666667;
83368;27/06/1970;1200;;16.2;;;;
83368;28/06/1970;0000;32.1;;24.18;65.5;1.333333;
83368;28/06/1970;1200;;17;;;;
