--------------------
BDMEP - INMET
--------------------
Estação           : RONCADOR - DF (OMM: 83373)
Latitude  (graus) : -15.93
Longitude (graus) : -47.88
Altitude  (metros): 1100.57
Estação Operante
Inicio de operação: 28/05/1979
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83373;01/04/1994;0000;26.5;;20.96;82.5;0.266667;
83373;01/04/1994;1200;;14.8;;;;
83373;02/04/1994;0000;27.1;;20.68;84.75;2.466667;
83373;02/04/1994;1200;;16.2;;;;
83373;03/04/1994;0000;26.7;;20.92;85.75;1.033333;
83373;03/04/1994;1200;;15.6;;;;
83373;04/04/1994;0000;27.1;;21.06;83.5;1.866667;
83373;04/04/1994;1200;;18.6;;;;
83373;05/04/1994;0000;27;;21.2;75.25;1.5;
83373;05/04/1994;1200;;15.9;;;;
83373;06/04/1994;0000;26.9;;21.38;79.5;1.666667;
83373;06/04/1994;1200;;17.1;;;;
83373;07/04/1994;0000;27.5;;21.22;82.5;2.233333;
83373;07/04/1994;1200;;16.9;;;;
83373;08/04/1994;0000;25;;19.62;94.25;1.833333;
83373;08/04/1994;1200;;17;;;;
83373;09/04/1994;0000;26.5;;20.96;84.25;1.466667;
83373;09/04/1994;1200;;15.6;;;;
83373;10/04/1994;0000;25;;20.48;86;2.5;
83373;10/04/1994;1200;;18.9;;;;
83373;11/04/1994;0000;25.1;;20.08;83.75;1.866667;
83373;11/04/1994;1200;;16.6;;;;
83373;12/04/1994;0000;27.3;;20.82;83.75;2.066667;
83373;12/04/1994;1200;;14.6;;;;
83373;13/04/1994;0000;27.2;;21.82;79.25;2.066667;
83373;13/04/1994;1200;;16.8;;;;
83373;14/04/1994;0000;27.1;;21.84;79.75;2.133333;
83373;14/04/1994;1200;;18.8;;;;
83373;15/04/1994;0000;26.9;;21.34;80.5;1.4;
83373;15/04/1994;1200;;15.3;;;;
83373;16/04/1994;0000;25.3;;20.12;80.75;2.366667;
83373;16/04/1994;1200;;15.4;;;;
83373;17/04/1994;0000;26.7;;21.14;92;1.7;
83373;17/04/1994;1200;;17.3;;;;
83373;18/04/1994;0000;26.5;;20.54;85.5;0.533333;
83373;18/04/1994;1200;;15.1;;;;
83373;19/04/1994;0000;27.3;;20.86;80;1.2;
83373;19/04/1994;1200;;15.3;;;;
83373;20/04/1994;0000;27.3;;21.16;70.25;2.8;
83373;20/04/1994;1200;;15;;;;
83373;21/04/1994;0000;27.3;;20.98;74.75;2.866667;
83373;21/04/1994;1200;;15;;;;
83373;22/04/1994;0000;27.2;;21.4;70.5;2.766667;
83373;22/04/1994;1200;;15.9;;;;
83373;23/04/1994;0000;26.9;;20.84;70.75;2.4;
83373;23/04/1994;1200;;15;;;;
83373;24/04/1994;0000;26.3;;20.66;76.5;2.6;
83373;24/04/1994;1200;;16.1;;;;
83373;25/04/1994;0000;26.2;;21.04;78.25;2.2;
83373;25/04/1994;1200;;15.7;;;;
83373;26/04/1994;0000;26.7;;20.7;76;2.666667;
83373;26/04/1994;1200;;16.5;;;;
83373;27/04/1994;0000;27.1;;20.92;73.75;3;
83373;27/04/1994;1200;;15;;;;
83373;28/04/1994;0000;26.9;;21.06;71.25;2.933333;
83373;28/04/1994;1200;;16.4;;;;
83373;29/04/1994;0000;26.5;;20.1;76.25;2.5;
83373;29/04/1994;1200;;15.1;;;;
83373;30/04/1994;0000;25.5;;19.76;81;2.433333;
83373;30/04/1994;1200;;15.2;;;;
83373;01/05/1994;0000;23.3;;17.96;87.75;1.9;
83373;01/05/1994;1200;;14.8;;;;
83373;02/05/1994;0000;24.7;;18.26;75.25;2.4;
83373;02/05/1994;1200;;12.7;;;;
83373;03/05/1994;0000;25.5;;19.22;76.5;2.1;
83373;03/05/1994;1200;;14.6;;;;
83373;04/05/1994;0000;27.2;;20.42;65.5;1.7;
83373;04/05/1994;1200;;14;;;;
83373;05/05/1994;0000;27.2;;20.22;72.25;2.6;
83373;05/05/1994;1200;;12.6;;;;
83373;06/05/1994;0000;27.4;;20.54;68.5;2.366667;
83373;06/05/1994;1200;;14.2;;;;
83373;07/05/1994;0000;27.1;;20.36;72.25;2.666667;
83373;07/05/1994;1200;;14.4;;;;
83373;08/05/1994;0000;26.3;;19.76;81.25;2.233333;
83373;08/05/1994;1200;;15;;;;
83373;09/05/1994;0000;27.4;;20.18;65;2.833333;
83373;09/05/1994;1200;;13.6;;;;
83373;10/05/1994;0000;27.1;;20.18;73.75;2.3;
83373;10/05/1994;1200;;12.9;;;;
83373;11/05/1994;0000;27.6;;20.16;72.5;1.7;
83373;11/05/1994;1200;;14.3;;;;
83373;12/05/1994;0000;28.1;;20.76;72;1.666667;
83373;12/05/1994;1200;;13.6;;;;
83373;13/05/1994;0000;27.3;;19.86;74.25;1.333333;
83373;13/05/1994;1200;;14.1;;;;
83373;14/05/1994;0000;26.3;;19.26;79.75;2.366667;
83373;14/05/1994;1200;;16;;;;
83373;15/05/1994;0000;28;;20.38;70;1.2;
83373;15/05/1994;1200;;15.6;;;;
83373;16/05/1994;0000;26.6;;19.8;79.75;0.566667;
83373;16/05/1994;1200;;14.7;;;;
83373;17/05/1994;0000;27.7;;20.86;77.5;0.766667;
83373;17/05/1994;1200;;13.7;;;;
83373;18/05/1994;0000;28;;21.56;73.75;2.066667;
83373;18/05/1994;1200;;16.5;;;;
83373;19/05/1994;0000;25.5;;20.56;86.75;0.8;
83373;19/05/1994;1200;;17.8;;;;
83373;20/05/1994;0000;28.2;;19.88;80.75;1.366667;
83373;20/05/1994;1200;;13.3;;;;
83373;21/05/1994;0000;28.1;;20.04;82.75;1.5;
83373;21/05/1994;1200;;15.4;;;;
83373;22/05/1994;0000;28;;19.94;82.25;1.533333;
83373;22/05/1994;1200;;14;;;;
83373;23/05/1994;0000;24.9;;19.76;84;0;
83373;23/05/1994;1200;;14.6;;;;
83373;24/05/1994;0000;28.1;;21;74.75;1.166667;
83373;24/05/1994;1200;;14.6;;;;
83373;25/05/1994;0000;28.2;;21.24;73.5;2.033333;
83373;25/05/1994;1200;;14.1;;;;
83373;26/05/1994;0000;28.8;;20.96;77.75;1.1;
83373;26/05/1994;1200;;14.9;;;;
83373;27/05/1994;0000;27.3;;19.9;80.5;0.833333;
83373;27/05/1994;1200;;13.7;;;;
83373;28/05/1994;0000;26;;18.8;87.5;1.133333;
83373;28/05/1994;1200;;13.5;;;;
83373;29/05/1994;0000;27.9;;20.7;73.25;1.033333;
83373;29/05/1994;1200;;15.1;;;;
83373;30/05/1994;0000;26.2;;19.74;82;2.9;
83373;30/05/1994;1200;;15.9;;;;
83373;31/05/1994;0000;22.8;;17.3;81.5;2.233333;
83373;31/05/1994;1200;;14.3;;;;
83373;01/06/1994;0000;25.5;;18.72;80.25;2.066667;
83373;01/06/1994;1200;;13;;;;
83373;02/06/1994;0000;26.3;;19.62;66.25;2.066667;
83373;02/06/1994;1200;;13.1;;;;
83373;03/06/1994;0000;26.7;;20.08;66.25;1.2;
83373;03/06/1994;1200;;13;;;;
83373;04/06/1994;0000;26.6;;20.86;66.25;1.7;
83373;04/06/1994;1200;;17.2;;;;
83373;05/06/1994;0000;27.2;;20.12;63;3;
83373;05/06/1994;1200;;11.6;;;;
83373;06/06/1994;0000;27.6;;19.66;66;0.966667;
83373;06/06/1994;1200;;11;;;;
83373;07/06/1994;0000;26.3;;19.18;64.5;1.966667;
83373;07/06/1994;1200;;12;;;;
83373;08/06/1994;0000;25.8;;19.18;67;1.566667;
83373;08/06/1994;1200;;12.4;;;;
83373;09/06/1994;0000;25.2;;17.8;75.75;1.166667;
83373;09/06/1994;1200;;10.8;;;;
83373;10/06/1994;0000;24.5;;17.38;81.25;3.5;
83373;10/06/1994;1200;;13.1;;;;
83373;11/06/1994;0000;22.9;;15.48;82.5;2.7;
83373;11/06/1994;1200;;11;;;;
83373;12/06/1994;0000;23.9;;15.96;77;1.8;
83373;12/06/1994;1200;;7;;;;
83373;13/06/1994;0000;25.8;;18.08;77.75;1.333333;
83373;13/06/1994;1200;;10.1;;;;
83373;14/06/1994;0000;25.7;;18.02;82.5;1.466667;
83373;14/06/1994;1200;;10.9;;;;
83373;15/06/1994;0000;26.5;;19.44;71.5;1.666667;
83373;15/06/1994;1200;;12;;;;
83373;16/06/1994;0000;26.6;;19;63.5;1.566667;
83373;16/06/1994;1200;;11.3;;;;
83373;17/06/1994;0000;26.5;;20.14;61;1.2;
83373;17/06/1994;1200;;17.5;;;;
83373;18/06/1994;0000;25.5;;18.28;64.5;2.133333;
83373;18/06/1994;1200;;11.8;;;;
83373;19/06/1994;0000;26.2;;17.86;65.25;0.866667;
83373;19/06/1994;1200;;10;;;;
83373;20/06/1994;0000;28;;17.62;62.25;0.866667;
83373;20/06/1994;1200;;8.6;;;;
83373;21/06/1994;0000;28;;18.86;67;0.666667;
83373;21/06/1994;1200;;11.6;;;;
83373;22/06/1994;0000;24.2;;17.76;90.25;0.333333;
83373;22/06/1994;1200;;13;;;;
83373;23/06/1994;0000;24;;17.7;78.5;1.466667;
83373;23/06/1994;1200;;12.1;;;;
83373;24/06/1994;0000;26.7;;18.32;79.5;1.533333;
83373;24/06/1994;1200;;11.5;;;;
83373;25/06/1994;0000;22.7;;15.2;88.25;2;
83373;25/06/1994;1200;;11.4;;;;
83373;26/06/1994;0000;22.1;;12.34;56.25;1.233333;
83373;26/06/1994;1200;;5.5;;;;
83373;27/06/1994;0000;23.1;;14.82;60.75;1.766667;
83373;27/06/1994;1200;;7;;;;
83373;28/06/1994;0000;24.2;;17.18;78.75;2.566667;
83373;28/06/1994;1200;;11;;;;
83373;29/06/1994;0000;22.6;;16.7;83.5;2.8;
83373;29/06/1994;1200;;13.6;;;;
83373;30/06/1994;0000;22.3;;16.68;80.25;2.9;
83373;30/06/1994;1200;;12.6;;;;
83373;01/07/1994;0000;23.7;;17.64;75.75;3.166667;
83373;01/07/1994;1200;;13.1;;;;
83373;02/07/1994;0000;24.7;;16.96;81.25;1.8;
83373;02/07/1994;1200;;12.3;;;;
83373;03/07/1994;0000;23.6;;16.18;74.5;2.366667;
83373;03/07/1994;1200;;12;;;;
83373;04/07/1994;0000;25.2;;17.5;73.25;1.5;
83373;04/07/1994;1200;;10.6;;;;
83373;05/07/1994;0000;24.7;;17;70.5;2.2;
83373;05/07/1994;1200;;11.4;;;;
83373;06/07/1994;0000;24.5;;16.96;64;2.033333;
83373;06/07/1994;1200;;10.4;;;;
83373;07/07/1994;0000;26;;18.3;66.5;2.033333;
83373;07/07/1994;1200;;10.4;;;;
83373;08/07/1994;0000;26.9;;18.72;62.75;0.466667;
83373;08/07/1994;1200;;11.4;;;;
83373;09/07/1994;0000;20.6;;13.38;80.25;2.466667;
83373;09/07/1994;1200;;10;;;;
83373;10/07/1994;0000;24.7;;14.46;57.5;1.833333;
83373;10/07/1994;1200;;4.7;;;;
83373;11/07/1994;0000;23.9;;15.88;70.25;1.9;
83373;11/07/1994;1200;;8.8;;;;
83373;12/07/1994;0000;22.6;;15.34;72;2.033333;
83373;12/07/1994;1200;;10.2;;;;
83373;13/07/1994;0000;24.8;;16.84;73.5;3.166667;
83373;13/07/1994;1200;;10.2;;;;
83373;14/07/1994;0000;24.4;;17.32;67.75;2.233333;
83373;14/07/1994;1200;;10.1;;;;
83373;15/07/1994;0000;23.7;;16.96;66.75;1.5;
83373;15/07/1994;1200;;11.6;;;;
83373;16/07/1994;0000;25;;18.26;60.5;2.266667;
83373;16/07/1994;1200;;11;;;;
83373;17/07/1994;0000;25.7;;19.3;63.75;2.233333;
83373;17/07/1994;1200;;16.6;;;;
