--------------------
BDMEP - INMET
--------------------
Estação           : PIRENOPOLIS - GO (OMM: 83376)
Latitude  (graus) : -15.85
Longitude (graus) : -48.96
Altitude  (metros): 740.00
Estação Operante
Inicio de operação: 17/02/1977
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83376;17/02/1977;0000;34.1;;25.02;64;2;
83376;17/02/1977;1200;;18.8;;;;
83376;18/02/1977;0000;36.8;;24.64;67.75;3.333333;
83376;18/02/1977;1200;;17.6;;;;
83376;19/02/1977;0000;30.9;;22.78;75.5;2.333333;
83376;19/02/1977;1200;;16.8;;;;
83376;20/02/1977;0000;32.3;;23.7;76.5;1.333333;
83376;20/02/1977;1200;;20.4;;;;
83376;21/02/1977;0000;28.2;;22.32;73.25;2;
83376;21/02/1977;1200;;16.4;;;;
83376;22/02/1977;0000;29.5;;22.26;87.5;0.666667;
83376;22/02/1977;1200;;16.4;;;;
83376;23/02/1977;0000;22.5;;20.5;92;1.333333;
83376;23/02/1977;1200;;18.8;;;;
83376;24/02/1977;0000;25.9;;20.86;91.5;0;
83376;24/02/1977;1200;;17.6;;;;
83376;25/02/1977;0000;28.3;;22.26;83;0.666667;
83376;25/02/1977;1200;;18.4;;;;
83376;26/02/1977;0000;30.3;;22.86;80.75;2;
83376;26/02/1977;1200;;17.6;;;;
83376;27/02/1977;0000;30.3;;22.98;79.75;1.666667;
83376;27/02/1977;1200;;19.4;;;;
83376;28/02/1977;0000;29.7;;23.42;75;1.666667;
83376;28/02/1977;1200;;18.6;;;;
83376;01/03/1977;0000;30.3;;23.82;79.25;1.333333;
83376;01/03/1977;1200;;21;;;;
83376;02/03/1977;0000;31.7;;24.06;79.75;1;
83376;02/03/1977;1200;;18.4;;;;
83376;03/03/1977;0000;30.3;;23.38;84.25;0.333333;
83376;03/03/1977;1200;;19.4;;;;
83376;04/03/1977;0000;33.1;;24.06;61.75;2.333333;
83376;04/03/1977;1200;;17.6;;;;
83376;05/03/1977;0000;32.7;;24.3;62.5;1.333333;
83376;05/03/1977;1200;;16.2;;;;
83376;06/03/1977;0000;32.5;;24.06;70.75;3.666667;
83376;06/03/1977;1200;;20.2;;;;
83376;07/03/1977;0000;33.5;;24.82;61;2.666667;
83376;07/03/1977;1200;;19;;;;
83376;08/03/1977;0000;33.7;;25.48;59.25;4;
83376;08/03/1977;1200;;18.8;;;;
83376;09/03/1977;0000;34;;24.24;65.25;0;
83376;09/03/1977;1200;;17.2;;;;
83376;10/03/1977;0000;33.1;;23.98;69;0;
83376;10/03/1977;1200;;17.2;;;;
83376;11/03/1977;0000;33.2;;24.28;68.25;0.666667;
83376;11/03/1977;1200;;16.8;;;;
83376;12/03/1977;0000;32.1;;24.26;83.5;1;
83376;12/03/1977;1200;;20;;;;
83376;13/03/1977;0000;32.3;;24.86;74.5;0.333333;
83376;13/03/1977;1200;;20.6;;;;
83376;14/03/1977;0000;31.2;;23.84;76.75;1.333333;
83376;14/03/1977;1200;;18.4;;;;
83376;15/03/1977;0000;33.3;;24.94;71.5;0.333333;
83376;15/03/1977;1200;;18.8;;;;
83376;16/03/1977;0000;31.1;;24.26;77.75;1.666667;
83376;16/03/1977;1200;;19;;;;
83376;17/03/1977;0000;31.5;;24.34;77.75;0.333333;
83376;17/03/1977;1200;;19.4;;;;
83376;18/03/1977;0000;30.3;;22.5;84.5;1.333333;
83376;18/03/1977;1200;;18.4;;;;
83376;19/03/1977;0000;28;;22.96;79.75;1.666667;
83376;19/03/1977;1200;;17.8;;;;
83376;20/03/1977;0000;26.3;;23.22;81.5;1;
83376;20/03/1977;1200;;20.4;;;;
83376;21/03/1977;0000;22.6;;21.16;95;1;
83376;21/03/1977;1200;;20.2;;;;
83376;22/03/1977;0000;26.9;;22.22;94.5;1;
83376;22/03/1977;1200;;19.8;;;;
83376;23/03/1977;0000;29.9;;22.62;82.25;0;
83376;23/03/1977;1200;;20.1;;;;
83376;24/03/1977;0000;30.7;;23.78;76;2;
83376;24/03/1977;1200;;19.8;;;;
83376;25/03/1977;0000;30.3;;23.12;79.25;0.666667;
83376;25/03/1977;1200;;19.6;;;;
83376;26/03/1977;0000;31.9;;24.34;71.75;2;
83376;26/03/1977;1200;;18.4;;;;
83376;27/03/1977;0000;31.9;;24.34;72.75;0.666667;
83376;27/03/1977;1200;;18;;;;
83376;28/03/1977;0000;30.1;;23.1;80.75;1.666667;
83376;28/03/1977;1200;;17.6;;;;
83376;29/03/1977;0000;30.9;;24.22;85.5;0;
83376;29/03/1977;1200;;20;;;;
83376;30/03/1977;0000;30;;23.88;86;0;
83376;30/03/1977;1200;;20.8;;;;
83376;31/03/1977;0000;28.9;;22.78;84.75;1;
83376;31/03/1977;1200;;19.4;;;;
83376;01/04/1977;0000;25.3;;21.3;90.75;0;
83376;01/04/1977;1200;;19.6;;;;
83376;02/04/1977;0000;27.3;;22.26;91.25;0;
83376;02/04/1977;1200;;19.2;;;;
83376;03/04/1977;0000;28.3;;22.78;84.5;0;
83376;03/04/1977;1200;;20.2;;;;
83376;04/04/1977;0000;27.3;;22.42;84.25;0.666667;
83376;04/04/1977;1200;;19;;;;
83376;05/04/1977;0000;27;;22.16;93.75;0;
83376;05/04/1977;1200;;19.4;;;;
83376;06/04/1977;0000;31.5;;24.06;79.75;1;
83376;06/04/1977;1200;;18.6;;;;
83376;07/04/1977;0000;31.7;;24.52;74.75;3.666667;
83376;07/04/1977;1200;;19.3;;;;
83376;08/04/1977;0000;28.8;;22.86;87.75;1.333333;
83376;08/04/1977;1200;;20.1;;;;
83376;09/04/1977;0000;31.1;;24.08;81.75;0.666667;
83376;09/04/1977;1200;;19.3;;;;
83376;10/04/1977;0000;26.7;;22.88;93.25;0;
83376;10/04/1977;1200;;20.9;;;;
83376;11/04/1977;0000;31.3;;24.18;77.5;1;
83376;11/04/1977;1200;;19.4;;;;
83376;12/04/1977;0000;31.2;;24.2;74.25;3.333333;
83376;12/04/1977;1200;;19.8;;;;
83376;13/04/1977;0000;30.5;;23.38;69.75;2;
83376;13/04/1977;1200;;16.8;;;;
83376;14/04/1977;0000;31.3;;23.7;70.5;2.666667;
83376;14/04/1977;1200;;19;;;;
83376;15/04/1977;0000;31.3;;24.5;75.75;2.666667;
83376;15/04/1977;1200;;18.8;;;;
83376;16/04/1977;0000;31.9;;23.82;68;1.333333;
83376;16/04/1977;1200;;20.2;;;;
83376;17/04/1977;0000;30.3;;22.7;76.25;2.666667;
83376;17/04/1977;1200;;18.2;;;;
83376;18/04/1977;0000;30;;23.56;76.5;1;
83376;18/04/1977;1200;;19.4;;;;
83376;19/04/1977;0000;31.3;;23.94;73.25;1;
83376;19/04/1977;1200;;18.6;;;;
83376;20/04/1977;0000;28.7;;22.54;83.5;1.333333;
83376;20/04/1977;1200;;19.4;;;;
83376;21/04/1977;0000;27.2;;21.28;87.5;0.666667;
83376;21/04/1977;1200;;17.8;;;;
83376;22/04/1977;0000;28.4;;22.22;86;0;
83376;22/04/1977;1200;;19;;;;
83376;23/04/1977;0000;29.1;;22.48;77.5;1.666667;
83376;23/04/1977;1200;;19.8;;;;
83376;24/04/1977;0000;28.6;;21.12;78;0.666667;
83376;24/04/1977;1200;;15.7;;;;
83376;25/04/1977;0000;29.7;;23.3;70.5;2;
83376;25/04/1977;1200;;17.4;;;;
83376;26/04/1977;0000;30.6;;23.76;68;3.666667;
83376;26/04/1977;1200;;19.6;;;;
83376;27/04/1977;0000;30;;21.64;65.25;2.666667;
83376;27/04/1977;1200;;14.6;;;;
83376;28/04/1977;0000;29.4;;21.6;68;4;
83376;28/04/1977;1200;;17.4;;;;
83376;29/04/1977;0000;26.9;;21.14;68.75;3.333333;
83376;29/04/1977;1200;;16.4;;;;
83376;30/04/1977;0000;24.1;;20.82;82.75;1.666667;
83376;30/04/1977;1200;;19.2;;;;
83376;01/05/1977;0000;25.5;;21.06;83.5;0.333333;
83376;01/05/1977;1200;;18.2;;;;
83376;02/05/1977;0000;26.4;;20.84;90.75;1.666667;
83376;02/05/1977;1200;;18.6;;;;
83376;03/05/1977;0000;27.6;;22.48;81.75;1.333333;
83376;03/05/1977;1200;;18.4;;;;
83376;04/05/1977;0000;29.9;;23.02;66.25;2.666667;
83376;04/05/1977;1200;;19.6;;;;
83376;05/05/1977;0000;29.5;;22.66;64.5;3.666667;
83376;05/05/1977;1200;;17.6;;;;
83376;06/05/1977;0000;29.1;;23.24;66.75;3;
83376;06/05/1977;1200;;18.3;;;;
83376;07/05/1977;0000;29.1;;22.22;72;3.666667;
83376;07/05/1977;1200;;16.1;;;;
83376;08/05/1977;0000;28.6;;21.92;76.5;0.666667;
83376;08/05/1977;1200;;17.1;;;;
