--------------------
BDMEP - INMET
--------------------
Estação           : BRASILIA - DF (OMM: 83377)
Latitude  (graus) : -15.78
Longitude (graus) : -47.92
Altitude  (metros): 1159.54
Estação Operante
Inicio de operação: 12/09/1961
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83377;21/08/1961;0000;27.9;;22.14;36.25;1.366667;
83377;21/08/1961;1200;;13.8;;;;
83377;22/08/1961;0000;29.7;;23.52;28.25;1.033333;
83377;22/08/1961;1200;;13.9;;;;
83377;23/08/1961;0000;28.8;;21.04;46.75;2.066667;
83377;23/08/1961;1200;;13.8;;;;
83377;24/08/1961;0000;29.2;;22.56;35;2.066667;
83377;24/08/1961;1200;;13.2;;;;
83377;25/08/1961;0000;31.6;;21.9;35.75;1.533333;
83377;25/08/1961;1200;;12.9;;;;
83377;26/08/1961;0000;31.2;;22.64;34.75;2.033333;
83377;26/08/1961;1200;;12.8;;;;
83377;27/08/1961;0000;30.2;;22.44;36;1.866667;
83377;27/08/1961;1200;;12.4;;;;
83377;28/08/1961;0000;29.8;;22;40;3.1;
83377;28/08/1961;1200;;13;;;;
83377;29/08/1961;0000;28.4;;20.76;44.25;2.566667;
83377;29/08/1961;1200;;12.7;;;;
83377;30/08/1961;0000;29.6;;22.04;31.25;2.066667;
83377;30/08/1961;1200;;12.5;;;;
83377;31/08/1961;0000;30.5;;22.16;35.25;2.266667;
83377;31/08/1961;1200;;12;;;;
83377;01/09/1961;0000;30;;22.02;37.5;2.6;
83377;01/09/1961;1200;;11.7;;;;
83377;02/09/1961;0000;29;;20.86;39.25;2.933333;
83377;02/09/1961;1200;;11.3;;;;
83377;03/09/1961;0000;30;;21.48;40.5;1.866667;
83377;03/09/1961;1200;;13.8;;;;
83377;04/09/1961;0000;31.3;;21.46;36;1.866667;
83377;04/09/1961;1200;;12;;;;
83377;05/09/1961;0000;32.2;;22.98;26;2.433333;
83377;05/09/1961;1200;;13.5;;;;
83377;06/09/1961;0000;32.6;;22.34;25.5;1.866667;
83377;06/09/1961;1200;;10.8;;;;
83377;07/09/1961;0000;32.6;;23;38;2.066667;
83377;07/09/1961;1200;;14;;;;
83377;08/09/1961;0000;32.6;;22.44;27.25;3.733333;
83377;08/09/1961;1200;;13.2;;;;
83377;09/09/1961;0000;32.2;;23.02;37.25;2.9;
83377;09/09/1961;1200;;17.4;;;;
83377;10/09/1961;0000;31.7;;;;1.7;
83377;10/09/1961;1200;;18;;;;
83377;11/09/1961;0000;32.9;;;;2.566667;
83377;11/09/1961;1200;;16;;;;
83377;12/09/1961;0000;32.4;;;;2.066667;
83377;12/09/1961;1200;;14.2;;;;
83377;13/09/1961;0000;32.9;;;;1.9;
83377;13/09/1961;1200;;14.1;;;;
83377;14/09/1961;0000;32.5;;;;2.9;
83377;14/09/1961;1200;;15;;;;
83377;15/09/1961;0000;32.2;;;;2.566667;
83377;15/09/1961;1200;;13.9;;;;
83377;16/09/1961;0000;31.3;;;;2.733333;
83377;16/09/1961;1200;;14.2;;;;
83377;17/09/1961;0000;31.8;;24.02;30.75;2.066667;
83377;17/09/1961;1200;;16.5;;;;
83377;18/09/1961;0000;32.4;;23.96;27.75;1.9;
83377;18/09/1961;1200;;14.6;;;;
83377;19/09/1961;0000;33.4;;23.8;31.5;2.066667;
83377;19/09/1961;1200;;12;;;;
83377;20/09/1961;0000;32.7;;23.18;27.75;2.9;
