--------------------
BDMEP - INMET
--------------------
Estação           : FORMOSA - GO (OMM: 83379)
Latitude  (graus) : -15.54
Longitude (graus) : -47.33
Altitude  (metros): 935.19
Estação Operante
Inicio de operação: 01/01/1925
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83379;01/01/1961;0000;24.6;;21.32;88.5;1.333333;
83379;01/01/1961;1200;;18.2;;;;
83379;02/01/1961;0000;27.4;;21.96;83.5;1.666667;
83379;02/01/1961;1200;;18;;;;
83379;03/01/1961;0000;27.8;;22.16;83;1.333333;
83379;03/01/1961;1200;;18.8;;;;
83379;04/01/1961;0000;25.4;;22;89;1.333333;
83379;04/01/1961;1200;;19.2;;;;
83379;05/01/1961;0000;26;;21.68;89.25;0.666667;
83379;05/01/1961;1200;;18.8;;;;
83379;06/01/1961;0000;27.2;;21.72;85.75;0.666667;
83379;06/01/1961;1200;;17.8;;;;
83379;07/01/1961;0000;27;;22.32;82.75;1.333333;
83379;07/01/1961;1200;;18.6;;;;
83379;08/01/1961;0000;25;;20.68;95.75;0.666667;
83379;08/01/1961;1200;;18.6;;;;
83379;09/01/1961;0000;27;;22.28;83.75;0.666667;
83379;09/01/1961;1200;;18.2;;;;
83379;10/01/1961;0000;27.6;;22.48;86.25;1.333333;
83379;10/01/1961;1200;;17.8;;;;
83379;11/01/1961;0000;27;;20.48;89.5;1.666667;
83379;11/01/1961;1200;;18;;;;
83379;12/01/1961;0000;24;;19.24;90.75;1.666667;
83379;12/01/1961;1200;;16.8;;;;
83379;13/01/1961;0000;23.6;;19.56;93.75;2.666667;
83379;13/01/1961;1200;;17.2;;;;
83379;14/01/1961;0000;25;;20.92;87;0;
83379;14/01/1961;1200;;17.6;;;;
83379;15/01/1961;0000;27;;20.48;89.75;0.666667;
83379;15/01/1961;1200;;17.8;;;;
83379;16/01/1961;0000;26.2;;21.16;76.5;0.666667;
83379;16/01/1961;1200;;17.4;;;;
83379;17/01/1961;0000;29;;21.4;77;0.666667;
83379;17/01/1961;1200;;17.4;;;;
83379;18/01/1961;0000;27.4;;21.84;80.25;1.333333;
83379;18/01/1961;1200;;16.8;;;;
83379;19/01/1961;0000;30;;23.68;71.25;1.333333;
83379;19/01/1961;1200;;16.6;;;;
83379;20/01/1961;0000;33.6;;25.48;75.5;1;
83379;20/01/1961;1200;;17.8;;;;
83379;21/01/1961;0000;26.2;;21;88.75;2;
83379;21/01/1961;1200;;18;;;;
83379;22/01/1961;0000;25.6;;20.84;90.5;2.333333;
83379;22/01/1961;1200;;17.8;;;;
83379;23/01/1961;0000;25.4;;21.44;92.5;0.666667;
83379;23/01/1961;1200;;18.6;;;;
83379;24/01/1961;0000;26;;21.08;95.25;0.666667;
83379;24/01/1961;1200;;19;;;;
83379;25/01/1961;0000;26.6;;21.68;88.5;1.666667;
83379;25/01/1961;1200;;18.8;;;;
83379;26/01/1961;0000;23;;20.8;93;2;
83379;26/01/1961;1200;;19.2;;;;
83379;27/01/1961;0000;23.4;;20.64;96.75;1.333333;
83379;27/01/1961;1200;;18.8;;;;
83379;28/01/1961;0000;22;;19.64;96.75;2.333333;
83379;28/01/1961;1200;;17.8;;;;
83379;29/01/1961;0000;27;;21.16;88.75;0.666667;
