--------------------
BDMEP - INMET
--------------------
Estação           : ARINOS - MG (OMM: 83384)
Latitude  (graus) : -15.91
Longitude (graus) : -46.1
Altitude  (metros): 519.00
Estação Operante
Inicio de operação: 05/04/1976
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83384;01/06/1976;0000;30;;;67;;
83384;02/06/1976;0000;31;;;75.5;;
83384;03/06/1976;0000;30.4;;;73.5;;
83384;04/06/1976;0000;30.8;;;76.5;;
83384;05/06/1976;0000;30.6;;;73;;
83384;06/06/1976;0000;31.8;;;72.25;;
83384;07/06/1976;0000;31.6;;;72.5;;
83384;08/06/1976;0000;31.4;;;72.25;;
83384;09/06/1976;0000;30.6;;;72.5;;
83384;10/06/1976;0000;30.6;;;68.5;;
83384;11/06/1976;0000;29.6;;;71.5;;
83384;12/06/1976;0000;30.8;;;73.5;;
83384;13/06/1976;0000;31.6;;;73.75;;
83384;14/06/1976;0000;32.2;;;72.75;;
83384;15/06/1976;0000;32;;;73;;
83384;16/06/1976;0000;31.8;;;70.75;;
83384;17/06/1976;0000;30.8;;;71.75;;
83384;18/06/1976;0000;30;;;70.5;;
83384;19/06/1976;0000;29.2;;;64.25;;
83384;20/06/1976;0000;31;;;70.25;;
83384;21/06/1976;0000;28.8;;;71.75;;
83384;22/06/1976;0000;28.6;;;73.25;;
83384;23/06/1976;0000;28.4;;;61;;
83384;24/06/1976;0000;29.4;;;67.5;;
83384;25/06/1976;0000;29.8;;;64.25;;
83384;26/06/1976;0000;30;;;66.75;;
83384;27/06/1976;0000;30.2;;;69;;
83384;28/06/1976;0000;31.6;;;52.75;;
83384;29/06/1976;0000;32.6;;;64.75;;
83384;30/06/1976;0000;31.4;;;70.25;;
83384;01/07/1976;0000;30.8;;;64.75;;
83384;02/07/1976;0000;27.4;;;71;;
83384;03/07/1976;0000;29.6;;;68.25;;
83384;04/07/1976;0000;29.2;;;66.25;;
83384;05/07/1976;0000;29.2;;;61.25;;
83384;06/07/1976;0000;30.4;;;69.25;;
83384;07/07/1976;0000;31.2;;;64.25;;
83384;08/07/1976;0000;32.8;;;69.5;;
83384;09/07/1976;0000;33;;;72;;
83384;10/07/1976;0000;32;;;61;;
83384;11/07/1976;0000;29.8;;;63.75;;
83384;12/07/1976;0000;30.4;;;67.25;;
83384;13/07/1976;0000;31.2;;;69.75;;
83384;14/07/1976;0000;32.4;;;60;;
83384;15/07/1976;0000;33;;;71.25;;
83384;16/07/1976;0000;32.4;;;57.75;;
83384;17/07/1976;0000;31;;;61.25;;
83384;18/07/1976;0000;28.2;;;65;;
83384;19/07/1976;0000;26.6;;;62.75;;
83384;20/07/1976;0000;28.4;;;76.5;;
83384;21/07/1976;0000;26.8;;;66.25;;
83384;22/07/1976;0000;27.6;;;71.25;;
83384;23/07/1976;0000;29.2;;;66.5;;
83384;24/07/1976;0000;32;;;57.5;;
83384;25/07/1976;0000;31;;;58.5;;
83384;26/07/1976;0000;32;;;60.75;;
83384;27/07/1976;0000;32.2;;;56;;
83384;28/07/1976;0000;30;;;60;;
83384;29/07/1976;0000;30;;;69.75;;
83384;30/07/1976;0000;30.4;;;66.25;;
83384;31/07/1976;0000;32.6;;;59.75;;
83384;01/08/1976;0000;32.2;;;58.5;;
83384;02/08/1976;0000;32;;;60.5;;
83384;03/08/1976;0000;31.8;;;60.75;;
83384;04/08/1976;0000;31.2;;;59.5;;
83384;05/08/1976;0000;32;;;56.25;;
83384;06/08/1976;0000;33;;;58.25;;
83384;07/08/1976;0000;33;;;58.5;;
83384;08/08/1976;0000;34;;;56.75;;
83384;09/08/1976;0000;34.8;;;56.25;;
83384;10/08/1976;0000;36;;;56.75;;
83384;11/08/1976;0000;36;;;58.5;;
83384;12/08/1976;0000;35;;;59.25;;
83384;13/08/1976;0000;35;;;64;;
83384;14/08/1976;0000;35;;;60.75;;
83384;15/08/1976;0000;31.8;;;65;;
83384;16/08/1976;0000;29.2;;;71.75;;
83384;17/08/1976;0000;29;;;77.75;;
83384;18/08/1976;0000;33.4;;;51.75;;
83384;19/08/1976;0000;35;;;51.5;;
83384;20/08/1976;0000;34;;;51.25;;
83384;21/08/1976;0000;32;;;57;;
83384;22/08/1976;0000;32;;;57.5;;
83384;23/08/1976;0000;31.6;;;55.5;;
83384;24/08/1976;0000;31;;;55.5;;
83384;25/08/1976;0000;32;;;54;;
83384;26/08/1976;0000;31.4;;;54.5;;
83384;27/08/1976;0000;32;;;53.75;;
83384;28/08/1976;0000;31.4;;;55.5;;
83384;29/08/1976;0000;31.4;;;54.5;;
83384;30/08/1976;0000;30.2;;;49.75;;
83384;31/08/1976;0000;30.8;;;55;;
83384;01/09/1976;0000;32;;;47.75;;
83384;02/09/1976;0000;33;;;50;;
83384;03/09/1976;0000;34;;;53;;
83384;04/09/1976;0000;35.6;;;48.25;;
83384;05/09/1976;0000;35.2;;;45;;
83384;06/09/1976;0000;34;;;55.75;;
83384;07/09/1976;0000;34.8;;;58.5;;
83384;08/09/1976;0000;34;;;65.75;;
83384;09/09/1976;0000;30;;;82.25;;
83384;10/09/1976;0000;30.8;;;68.5;;
83384;11/09/1976;0000;33.2;;;57.75;;
83384;12/09/1976;0000;34.2;;;56.5;;
83384;13/09/1976;0000;30;;;61.5;;
83384;14/09/1976;0000;32;;;53.5;;
83384;15/09/1976;0000;33.6;;;73.75;;
83384;16/09/1976;0000;27;;;93;;
83384;17/09/1976;0000;29.4;;;65;;
83384;18/09/1976;0000;33.2;;;46.5;;
83384;19/09/1976;0000;31.8;;;55.75;;
83384;20/09/1976;0000;30.2;;;58.25;;
83384;21/09/1976;0000;27;;;85.5;;
83384;22/09/1976;0000;33.4;;;58.5;;
83384;23/09/1976;0000;31.6;;;71.75;;
83384;24/09/1976;0000;31.2;;;58.75;;
83384;25/09/1976;0000;30;;;69.5;;
83384;26/09/1976;0000;31;;;77.75;;
83384;27/09/1976;0000;25.6;;;83;;
83384;28/09/1976;0000;28.2;;;87.25;;
83384;29/09/1976;0000;32.8;;;59;;
83384;30/09/1976;0000;34;;;44.5;;
83384;01/10/1976;0000;35;;;45.25;;
83384;02/10/1976;0000;27.6;;;65.5;;
83384;03/10/1976;0000;32;;;51.75;;
83384;04/10/1976;0000;33.6;;;54.75;;
83384;05/10/1976;0000;32.2;;;69;;
83384;06/10/1976;0000;25.2;;;87.5;;
83384;07/10/1976;0000;25.2;;;72.5;;
83384;08/10/1976;0000;25.2;;;76.75;;
83384;09/10/1976;0000;22.3;;;91.25;;
83384;10/10/1976;0000;24;;;88.75;;
83384;11/10/1976;0000;30;;;83.5;;
83384;12/10/1976;0000;31.4;;;52.5;;
83384;13/10/1976;0000;30.8;;;58.75;;
83384;14/10/1976;0000;32.2;;;57.5;;
83384;15/10/1976;0000;33;;;53.75;;
83384;16/10/1976;0000;34;;;48.25;;
83384;17/10/1976;0000;35.2;;;50.5;;
