--------------------
BDMEP - INMET
--------------------
Estação           : JANUARIA - MG (OMM: 83386)
Latitude  (graus) : -15.45
Longitude (graus) : -44
Altitude  (metros): 473.71
Estação Operante
Inicio de operação: 19/06/1912
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83386;01/01/1961;0000;30.4;;25.12;79.5;2;
83386;01/01/1961;1200;;21.6;;;;
83386;02/01/1961;0000;31.6;;24.4;80.75;1.333333;
83386;02/01/1961;1200;;21.4;;;;
83386;03/01/1961;0000;28.2;;23.96;87.25;1.666667;
83386;03/01/1961;1200;;21.4;;;;
83386;04/01/1961;0000;27.8;;24.08;85.75;2;
83386;04/01/1961;1200;;21;;;;
83386;05/01/1961;0000;29.2;;24.32;85.5;2;
83386;05/01/1961;1200;;21;;;;
83386;06/01/1961;0000;28.8;;23.88;83.25;1;
83386;06/01/1961;1200;;21.4;;;;
83386;07/01/1961;0000;28.8;;25;82.5;2;
83386;07/01/1961;1200;;21.2;;;;
83386;08/01/1961;0000;28.8;;24.72;81.5;1.333333;
83386;08/01/1961;1200;;21.8;;;;
83386;09/01/1961;0000;34;;26.88;74.5;1;
83386;09/01/1961;1200;;22.4;;;;
83386;10/01/1961;0000;30;;26;77;1;
83386;10/01/1961;1200;;22;;;;
83386;11/01/1961;0000;31.4;;24.68;79;1.333333;
83386;11/01/1961;1200;;22;;;;
83386;12/01/1961;0000;22.8;;21.76;93;2;
83386;12/01/1961;1200;;20.2;;;;
83386;13/01/1961;0000;27.2;;23.84;82.25;1.666667;
83386;13/01/1961;1200;;19;;;;
83386;14/01/1961;0000;27.2;;24.12;85.75;1.333333;
83386;14/01/1961;1200;;20.6;;;;
83386;15/01/1961;0000;28.4;;24.52;80.75;1.333333;
83386;15/01/1961;1200;;19.2;;;;
83386;16/01/1961;0000;31;;25.72;73.25;1;
83386;16/01/1961;1200;;20;;;;
83386;17/01/1961;0000;30.8;;24.76;70.5;2;
83386;17/01/1961;1200;;20.6;;;;
83386;18/01/1961;0000;30.8;;25.8;70.75;1;
83386;18/01/1961;1200;;20.2;;;;
83386;19/01/1961;0000;31.6;;26.32;73.75;1.666667;
83386;19/01/1961;1200;;20.2;;;;
83386;20/01/1961;0000;32.2;;25.84;68.75;2;
83386;20/01/1961;1200;;20.6;;;;
83386;21/01/1961;0000;26.6;;23.72;84.5;1;
83386;21/01/1961;1200;;21.6;;;;
83386;22/01/1961;0000;28.6;;24.48;77.5;2;
83386;22/01/1961;1200;;20.4;;;;
83386;23/01/1961;0000;28.2;;24.32;82.25;1.666667;
83386;23/01/1961;1200;;20.6;;;;
83386;24/01/1961;0000;25.6;;23.72;90;2.333333;
83386;24/01/1961;1200;;22;;;;
83386;25/01/1961;0000;26.4;;23.68;88;2;
83386;25/01/1961;1200;;21;;;;
83386;26/01/1961;0000;29.6;;24.44;82.75;1.666667;
83386;26/01/1961;1200;;21.8;;;;
83386;27/01/1961;0000;26.8;;24.04;89.75;1.333333;
83386;27/01/1961;1200;;21.2;;;;
83386;28/01/1961;0000;27.4;;23.44;88;1.666667;
83386;28/01/1961;1200;;21.4;;;;
83386;29/01/1961;0000;30.6;;25.2;82.25;2;
83386;29/01/1961;1200;;21;;;;
83386;30/01/1961;0000;29;;24.92;85;1.333333;
83386;30/01/1961;1200;;21;;;;
83386;31/01/1961;0000;31.8;;26.52;79.25;1.333333;
83386;31/01/1961;1200;;21.4;;;;
83386;01/02/1961;0000;32.2;;26;72.25;1.666667;
83386;01/02/1961;1200;;20.8;;;;
83386;02/02/1961;0000;31.4;;25.96;64.25;2;
83386;02/02/1961;1200;;19.6;;;;
83386;03/02/1961;0000;30.6;;25.28;64.25;1.666667;
83386;03/02/1961;1200;;17.2;;;;
83386;04/02/1961;0000;30.8;;25.68;67.5;2.333333;
83386;04/02/1961;1200;;19;;;;
83386;05/02/1961;0000;31.4;;26.64;69.25;1.666667;
83386;05/02/1961;1200;;19.6;;;;
83386;06/02/1961;0000;31.6;;26.92;71.25;2;
83386;06/02/1961;1200;;20.6;;;;
83386;07/02/1961;0000;32;;27;72.25;1.666667;
83386;07/02/1961;1200;;21.6;;;;
83386;08/02/1961;0000;31.8;;26.92;67.5;1.666667;
83386;08/02/1961;1200;;21.2;;;;
83386;09/02/1961;0000;32.2;;27.2;66;2;
83386;09/02/1961;1200;;20.4;;;;
83386;10/02/1961;0000;32.8;;27.96;62.75;2;
83386;10/02/1961;1200;;22;;;;
83386;11/02/1961;0000;31.4;;27.24;66.75;2;
83386;11/02/1961;1200;;21.6;;;;
83386;12/02/1961;0000;28.2;;23.72;79.25;2.333333;
83386;12/02/1961;1200;;21.4;;;;
83386;13/02/1961;0000;29.6;;24.44;77.75;2;
83386;13/02/1961;1200;;20;;;;
83386;14/02/1961;0000;30;;26.24;81.5;2.333333;
83386;14/02/1961;1200;;22.4;;;;
83386;15/02/1961;0000;27.6;;24.24;79;1.333333;
83386;15/02/1961;1200;;20.6;;;;
83386;16/02/1961;0000;29;;25.08;74.5;2.666667;
83386;16/02/1961;1200;;21;;;;
83386;17/02/1961;0000;29.4;;24.84;73.25;1.666667;
83386;17/02/1961;1200;;18.6;;;;
83386;18/02/1961;0000;29.6;;25.16;72.25;2.333333;
83386;18/02/1961;1200;;18;;;;
83386;19/02/1961;0000;29.2;;25.6;75.25;2;
83386;19/02/1961;1200;;19.8;;;;
83386;20/02/1961;0000;29.4;;24.72;80;1;
83386;20/02/1961;1200;;21.8;;;;
83386;21/02/1961;0000;28.2;;25;77.5;1;
83386;21/02/1961;1200;;22;;;;
83386;22/02/1961;0000;30.8;;25.8;69.25;1.666667;
83386;22/02/1961;1200;;21.4;;;;
83386;23/02/1961;0000;31.6;;25.84;70.25;2;
83386;23/02/1961;1200;;18.2;;;;
83386;24/02/1961;0000;32.2;;26.72;69;2.333333;
83386;24/02/1961;1200;;21.4;;;;
83386;25/02/1961;0000;32.4;;27.32;67.25;2;
83386;25/02/1961;1200;;21.4;;;;
83386;26/02/1961;0000;31;;26.28;70;2.666667;
83386;26/02/1961;1200;;20.6;;;;
83386;27/02/1961;0000;31.4;;25.96;67;1.333333;
83386;27/02/1961;1200;;19.6;;;;
83386;28/02/1961;0000;33.6;;26.52;64.75;1.333333;
83386;28/02/1961;1200;;19.4;;;;
83386;01/03/1961;0000;32.6;;27.44;70.25;2;
83386;01/03/1961;1200;;20.6;;;;
83386;02/03/1961;0000;30.7;;25.9;77.25;1;
83386;02/03/1961;1200;;22.2;;;;
83386;03/03/1961;0000;33.4;;27.28;69.25;1.333333;
83386;03/03/1961;1200;;23;;;;
83386;04/03/1961;0000;28.2;;23.88;87;2;
83386;04/03/1961;1200;;21;;;;
83386;05/03/1961;0000;30.8;;25.8;79.5;1.666667;
83386;05/03/1961;1200;;20.2;;;;
83386;06/03/1961;0000;31.2;;25.84;78;2;
83386;06/03/1961;1200;;21.6;;;;
83386;07/03/1961;0000;31.4;;26.72;73.5;2;
83386;07/03/1961;1200;;22.2;;;;
83386;08/03/1961;0000;32.2;;25.68;74.5;1.666667;
83386;08/03/1961;1200;;20.4;;;;
83386;09/03/1961;0000;32.6;;26.36;79.75;1.333333;
83386;09/03/1961;1200;;20.6;;;;
83386;10/03/1961;0000;33;;27.44;70;2.333333;
83386;10/03/1961;1200;;21.8;;;;
83386;11/03/1961;0000;33.2;;27.24;70.75;2.333333;
83386;11/03/1961;1200;;20.2;;;;
83386;12/03/1961;0000;32.6;;27.44;69;2;
83386;12/03/1961;1200;;21;;;;
83386;13/03/1961;0000;33;;27.36;67.75;2;
83386;13/03/1961;1200;;20.8;;;;
83386;14/03/1961;0000;32.4;;27.08;64;1.333333;
83386;14/03/1961;1200;;20.2;;;;
83386;15/03/1961;0000;33.6;;27;67;1.333333;
83386;15/03/1961;1200;;19.8;;;;
83386;16/03/1961;0000;32.2;;26.96;67;2.666667;
83386;16/03/1961;1200;;19.8;;;;
83386;17/03/1961;0000;31;;26.32;77.25;3;
83386;17/03/1961;1200;;22.2;;;;
83386;18/03/1961;0000;33.4;;27.44;69.5;1.666667;
83386;18/03/1961;1200;;20.2;;;;
83386;19/03/1961;0000;34;;27.32;70.5;1;
83386;19/03/1961;1200;;21.8;;;;
83386;20/03/1961;0000;32.4;;27.08;65.75;1.333333;
83386;20/03/1961;1200;;21.6;;;;
83386;21/03/1961;0000;33;;27.28;65.75;3.333333;
83386;21/03/1961;1200;;20.8;;;;
83386;22/03/1961;0000;33.4;;27.2;62.75;3.666667;
83386;22/03/1961;1200;;20.4;;;;
83386;23/03/1961;0000;32.4;;26.72;66;2.666667;
83386;23/03/1961;1200;;20.6;;;;
83386;24/03/1961;0000;30.2;;25.6;65.75;2.666667;
83386;24/03/1961;1200;;21.6;;;;
83386;25/03/1961;0000;32;;26;65.25;2.666667;
83386;25/03/1961;1200;;19.8;;;;
83386;26/03/1961;0000;33.4;;27.48;61.25;1.333333;
83386;26/03/1961;1200;;19.6;;;;
83386;27/03/1961;0000;33.2;;26;62;1.666667;
83386;27/03/1961;1200;;19.4;;;;
83386;28/03/1961;0000;30.8;;26.16;63;3.333333;
83386;28/03/1961;1200;;21.8;;;;
83386;29/03/1961;0000;31.2;;25.64;62.75;3;
83386;29/03/1961;1200;;21.2;;;;
83386;30/03/1961;0000;31.6;;25.04;58.25;2.333333;
83386;30/03/1961;1200;;20;;;;
83386;31/03/1961;0000;31.8;;25.36;59;2.333333;
83386;31/03/1961;1200;;18.4;;;;
83386;01/04/1961;0000;33.2;;25.72;61;2;
83386;01/04/1961;1200;;19;;;;
83386;02/04/1961;0000;32;;26.04;62.25;1.333333;
83386;02/04/1961;1200;;19;;;;
83386;03/04/1961;0000;32.8;;25.8;65.75;1.333333;
83386;03/04/1961;1200;;19;;;;
83386;04/04/1961;0000;33.2;;27.64;65.5;2;
83386;04/04/1961;1200;;20.8;;;;
83386;05/04/1961;0000;35.2;;27.56;60.5;2;
83386;05/04/1961;1200;;21;;;;
83386;06/04/1961;0000;35.4;;28.52;62;1.666667;
83386;06/04/1961;1200;;20.2;;;;
83386;07/04/1961;0000;32.6;;27;63;3;
83386;07/04/1961;1200;;20.8;;;;
83386;08/04/1961;0000;32.6;;26.4;60.5;1.666667;
83386;08/04/1961;1200;;20.4;;;;
83386;09/04/1961;0000;34;;26.96;62;1;
83386;09/04/1961;1200;;19.8;;;;
83386;10/04/1961;0000;32.4;;26.56;64.5;1.666667;
