--------------------
BDMEP - INMET
--------------------
Estação           : MONTE AZUL - MG (OMM: 83388)
Latitude  (graus) : -15.16
Longitude (graus) : -42.86
Altitude  (metros): 625.00
Estação Operante
Inicio de operação: 01/03/1974
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83388;01/03/1974;0000;34.1;;27.34;46.75;;
83388;01/03/1974;1200;;21.4;;;;
83388;02/03/1974;0000;35.1;;25.76;63.25;;
83388;02/03/1974;1200;;21.9;;;;
83388;03/03/1974;0000;28.1;;23.02;93;;
83388;03/03/1974;1200;;20.7;;;;
83388;04/03/1974;0000;32.7;;26.28;56;;
83388;04/03/1974;1200;;20.3;;;;
83388;05/03/1974;0000;32.3;;25.48;51.75;;
83388;05/03/1974;1200;;20.1;;;;
83388;06/03/1974;0000;32.5;;26.4;48.5;;
83388;06/03/1974;1200;;21.3;;;;
83388;07/03/1974;0000;32.5;;26.94;46.5;;
83388;07/03/1974;1200;;21;;;;
83388;08/03/1974;0000;31.5;;25.46;52.25;;
83388;08/03/1974;1200;;20.8;;;;
83388;09/03/1974;0000;30.3;;25.52;55.75;;
83388;09/03/1974;1200;;21.3;;;;
83388;10/03/1974;0000;30.3;;25.44;66.25;;
83388;10/03/1974;1200;;22.1;;;;
83388;11/03/1974;0000;28.7;;23.62;82.25;;
83388;11/03/1974;1200;;21.1;;;;
83388;12/03/1974;0000;29.9;;24.16;73.5;;
83388;12/03/1974;1200;;20.5;;;;
83388;13/03/1974;0000;26.3;;23.54;78.25;;
83388;13/03/1974;1200;;20.6;;;;
83388;14/03/1974;0000;27.9;;23.04;80;;
83388;14/03/1974;1200;;19.1;;;;
83388;15/03/1974;0000;27.8;;23.08;84;;
83388;15/03/1974;1200;;20.6;;;;
83388;16/03/1974;0000;30.7;;25.44;61.75;;
83388;16/03/1974;1200;;20.9;;;;
83388;17/03/1974;0000;30.5;;24.92;58.75;;
83388;17/03/1974;1200;;18.9;;;;
83388;18/03/1974;0000;30.5;;24.94;60.5;;
83388;18/03/1974;1200;;19.9;;;;
83388;19/03/1974;0000;28.8;;23.88;67.75;;
83388;19/03/1974;1200;;19.6;;;;
83388;20/03/1974;0000;30.3;;25.26;62;;
83388;20/03/1974;1200;;19.8;;;;
83388;21/03/1974;0000;28.7;;23.68;82.75;;
83388;21/03/1974;1200;;21.1;;;;
83388;22/03/1974;0000;28.3;;23.12;77.5;;
83388;22/03/1974;1200;;19.7;;;;
83388;23/03/1974;0000;25;;22.22;90.75;;
83388;23/03/1974;1200;;20.5;;;;
83388;24/03/1974;0000;27.1;;;90.5;;
83388;25/03/1974;0000;27.3;;;89.5;;
83388;26/03/1974;0000;28.1;;;82.25;;
83388;27/03/1974;0000;28.5;;;82.5;;
83388;28/03/1974;0000;29.9;;;85;;
83388;29/03/1974;0000;28.3;;;85.5;;
83388;30/03/1974;0000;26.8;;;77.75;;
83388;31/03/1974;0000;28.5;;;80.75;;
83388;01/04/1974;0000;28;;;84.25;;
83388;02/04/1974;0000;30.6;;;61;;
83388;03/04/1974;0000;30.7;;;48.75;;
83388;04/04/1974;0000;30.9;;;60.75;;
83388;05/04/1974;0000;31.3;;;67;;
83388;06/04/1974;0000;31.3;;;55.5;;
83388;07/04/1974;0000;31.9;;;60.25;;
83388;08/04/1974;0000;29.9;;;55.25;;
83388;09/04/1974;0000;31.2;;;54.5;;
83388;10/04/1974;0000;31.3;;;62.5;;
