--------------------
BDMEP - INMET
--------------------
Estação           : PEDRA AZUL - MG (OMM: 83393)
Latitude  (graus) : -16
Longitude (graus) : -41.28
Altitude  (metros): 648.91
Estação Operante
Inicio de operação: 01/10/1918
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83393;01/02/1972;1200;;23;;;;
83393;21/02/1972;0000;32;;;70.75;1.333333;
83393;22/02/1972;0000;31.5;;;68;2.333333;
83393;23/02/1972;0000;32;;;66;2;
83393;24/02/1972;0000;31;;;71.5;2.333333;
83393;25/02/1972;0000;29.4;;;71.5;2;
83393;26/02/1972;0000;29.5;;;71;1.666667;
83393;27/02/1972;0000;31.2;;;66.25;2;
83393;28/02/1972;0000;30;;;84.25;4;
83393;29/02/1972;0000;29;;;75;3.666667;
83393;01/03/1972;0000;26.5;;21.6;78.75;3.333333;
83393;01/03/1972;1200;;11.8;;;;
83393;02/03/1972;0000;25.5;;;83.75;1.666667;
83393;03/03/1972;0000;30.5;;22.6;71.5;3;
83393;03/03/1972;1200;;11.2;;;;
83393;04/03/1972;0000;29.5;;;69;2.666667;
83393;05/03/1972;0000;30;;;62.25;4.666667;
83393;06/03/1972;0000;26;;;77;1.666667;
83393;07/03/1972;0000;30;;22.64;61;2.333333;
83393;07/03/1972;1200;;10.7;;;;
83393;08/03/1972;0000;30.5;;22.94;62.75;1.333333;
83393;08/03/1972;1200;;11.5;;;;
83393;09/03/1972;0000;31;;23.48;59.75;2.333333;
83393;09/03/1972;1200;;12;;;;
83393;10/03/1972;0000;31.5;;22.84;60.25;1.666667;
83393;10/03/1972;1200;;10.1;;;;
83393;11/03/1972;0000;33;;;60.75;2.666667;
83393;12/03/1972;0000;31;;;64.25;4;
83393;13/03/1972;0000;31;;22.98;57;3.333333;
83393;13/03/1972;1200;;10.1;;;;
83393;14/03/1972;0000;30.5;;23.2;58.75;2;
83393;14/03/1972;1200;;11.5;;;;
83393;15/03/1972;0000;32.2;;23.22;72.5;1;
83393;15/03/1972;1200;;10.9;;;;
83393;16/03/1972;0000;33.2;;24.94;55.25;1.333333;
83393;16/03/1972;1200;;12.5;;;;
83393;17/03/1972;0000;33.8;;;50.25;1.666667;
83393;18/03/1972;0000;32;;;68.75;2.666667;
83393;19/03/1972;0000;28;;21.24;84.75;1;
83393;19/03/1972;1200;;11.2;;;;
83393;20/03/1972;0000;27;;21.48;81;1.333333;
83393;20/03/1972;1200;;10.1;;;;
83393;21/03/1972;0000;27.3;;;75.25;2.333333;
83393;22/03/1972;0000;28;;;76.25;2;
83393;23/03/1972;0000;29.8;;21.68;74.5;1.666667;
83393;23/03/1972;1200;;11.4;;;;
83393;24/03/1972;0000;29.2;;21.86;67.25;1.333333;
83393;24/03/1972;1200;;10.1;;;;
83393;25/03/1972;0000;28;;;71.75;1.666667;
83393;26/03/1972;0000;27.5;;;75.5;2.666667;
83393;27/03/1972;0000;28.5;;21.32;73;3.333333;
83393;27/03/1972;1200;;10.1;;;;
83393;28/03/1972;0000;30.5;;22.36;69.5;2;
83393;28/03/1972;1200;;12.5;;;;
83393;29/03/1972;0000;28;;21.62;72;2.333333;
83393;29/03/1972;1200;;11.1;;;;
83393;30/03/1972;0000;29;;;68;3;
