--------------------
BDMEP - INMET
--------------------
Estação           : JANAUBA - MG (OMM: 83395)
Latitude  (graus) : -15.8
Longitude (graus) : -43.29
Altitude  (metros): 516.00
Estação Operante
Inicio de operação: 15/03/1975
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83395;01/01/1977;0000;29;;;85.75;4;
83395;02/01/1977;0000;31.8;;;82.5;3.333333;
83395;03/01/1977;0000;31.4;;;88.25;0.666667;
83395;04/01/1977;0000;31.8;;;86.5;2;
83395;05/01/1977;0000;33;;;78.75;5.333333;
83395;06/01/1977;0000;32.8;;;82;5.666667;
83395;07/01/1977;0000;31.8;;;82.75;4.666667;
83395;08/01/1977;0000;32;;;81.75;4.666667;
83395;09/01/1977;0000;32.4;;;79.5;8;
83395;10/01/1977;0000;31.6;;;81;4.666667;
83395;11/01/1977;0000;31.4;;;83.25;5;
83395;12/01/1977;0000;31.8;;;81.5;5.666667;
83395;13/01/1977;0000;32;;;79;7.666667;
83395;14/01/1977;0000;33.2;;;87;2;
83395;15/01/1977;0000;34.4;;;76.75;2.666667;
83395;16/01/1977;0000;35;;;73.75;2.333333;
83395;17/01/1977;0000;35.2;;;77.5;4.333333;
83395;18/01/1977;0000;29;;;93;3.666667;
83395;19/01/1977;0000;28;;;94.5;1;
83395;20/01/1977;0000;24;;;97.75;6.666667;
83395;21/01/1977;0000;25.2;;;96.5;4.333333;
83395;22/01/1977;0000;28.2;;;94.25;2.333333;
83395;23/01/1977;0000;31.8;;;89.5;3.666667;
83395;24/01/1977;0000;29.4;;;91.25;3.666667;
83395;25/01/1977;0000;28.4;;;96;4;
83395;26/01/1977;0000;28.1;;;94;3.666667;
83395;27/01/1977;0000;29.6;;;95;2;
83395;28/01/1977;0000;26.2;;;95.25;3.333333;
83395;29/01/1977;0000;27.6;;;96;3;
83395;30/01/1977;0000;25;;;97;2.666667;
83395;31/01/1977;0000;24;;;96;3;
83395;01/02/1977;0000;29.4;;;85.5;5;
83395;02/02/1977;0000;27.8;;;93;5;
83395;03/02/1977;0000;32.2;;;78;3.666667;
83395;04/02/1977;0000;31.4;;;81.75;3.333333;
83395;05/02/1977;0000;31;;;81.5;3.333333;
83395;06/02/1977;0000;29.6;;;86.5;4.666667;
83395;07/02/1977;0000;31.2;;;88.25;3.333333;
83395;08/02/1977;0000;33.8;;;82.75;1.333333;
83395;09/02/1977;0000;32.4;;;77;3.333333;
83395;10/02/1977;0000;30.4;;;80.5;5;
83395;11/02/1977;0000;31;;;78.25;5;
83395;12/02/1977;0000;30;;;82;3;
83395;13/02/1977;0000;33.4;;;71;2;
83395;14/02/1977;0000;30.6;;;83.75;7.666667;
83395;15/02/1977;0000;30.8;;;81.25;5.333333;
83395;16/02/1977;0000;30;;;81.25;4.333333;
83395;17/02/1977;0000;30.2;;;81;4.666667;
83395;18/02/1977;0000;30.6;;;82.25;5;
83395;19/02/1977;0000;31.3;;;81;5;
83395;20/02/1977;0000;30.4;;;79.25;4.666667;
83395;21/02/1977;0000;29.8;;;82.5;3.333333;
83395;22/02/1977;0000;31;;;79.25;3.666667;
83395;23/02/1977;0000;30.6;;;82.75;3.666667;
83395;24/02/1977;0000;30.2;;;82.75;3.333333;
83395;25/02/1977;0000;30.2;;;87.75;3.333333;
83395;26/02/1977;0000;29.6;;;78;4.1;
83395;27/02/1977;0000;30.6;;;84.25;4.666667;
83395;28/02/1977;0000;31;;;81.25;2;
83395;01/03/1977;0000;30.2;;;88;1.333333;
83395;02/03/1977;0000;33;;;76.25;2.666667;
83395;03/03/1977;0000;32.2;;;78;3.666667;
83395;04/03/1977;0000;32;;;74.25;4.666667;
83395;05/03/1977;0000;32;;;80.5;2.666667;
83395;06/03/1977;0000;32;;;69.5;4.333333;
83395;07/03/1977;0000;34.6;;;76.5;3;
83395;08/03/1977;0000;33.6;;;74;4.666667;
83395;09/03/1977;0000;34;;;72.75;3.333333;
83395;10/03/1977;0000;32.3;;;74.5;3;
83395;11/03/1977;0000;34.2;;;77;2;
83395;12/03/1977;0000;34.4;;;71.75;2.333333;
83395;13/03/1977;0000;33.4;;;71;2;
83395;14/03/1977;0000;33.6;;;77.25;4.666667;
83395;15/03/1977;0000;33;;;71.75;2.666667;
83395;16/03/1977;0000;34.2;;;73.5;2;
83395;17/03/1977;0000;35.6;;;76.5;3.333333;
83395;18/03/1977;0000;35.6;;;70.25;6;
83395;19/03/1977;0000;36.1;;;71;1.333333;
83395;20/03/1977;0000;35.2;;;69.5;2.333333;
83395;21/03/1977;0000;35.6;;;71.25;2;
83395;22/03/1977;0000;34.2;;;71.75;4;
83395;23/03/1977;0000;33.8;;;75.75;4;
83395;24/03/1977;0000;33.8;;;73.25;2.333333;
83395;25/03/1977;0000;34.4;;;72.75;5.666667;
83395;26/03/1977;0000;35.6;;;67.75;3.666667;
83395;27/03/1977;0000;35.5;;;67.75;2;
83395;28/03/1977;0000;36.4;;;66.5;2;
83395;29/03/1977;0000;34.5;;;74;1;
83395;30/03/1977;0000;33;;;80.25;2.333333;
83395;31/03/1977;0000;33.6;;;76.25;1.666667;
83395;01/04/1977;0000;32.4;;;82;1.666667;
83395;02/04/1977;0000;28.2;;;85.25;2.666667;
83395;03/04/1977;0000;29.2;;;80.75;7;
83395;04/04/1977;0000;29.6;;;76.5;6.666667;
83395;05/04/1977;0000;33.4;;;71.75;1.333333;
83395;06/04/1977;0000;33;;;71.75;4.666667;
83395;07/04/1977;0000;31;;;77;4.666667;
83395;08/04/1977;0000;32.6;;;72.25;3.666667;
83395;09/04/1977;0000;32.4;;;72.25;3.333333;
83395;10/04/1977;0000;32.8;;;64;3;
83395;11/04/1977;0000;32.4;;;64.25;3;
83395;12/04/1977;0000;31.4;;;71.75;8.666667;
83395;13/04/1977;0000;33;;;67;5.333333;
83395;14/04/1977;0000;32.3;;;72.5;6.333333;
83395;15/04/1977;0000;31.6;;;65.75;3.666667;
83395;16/04/1977;0000;31.1;;;73.75;6.666667;
83395;17/04/1977;0000;30.2;;;78.5;8;
83395;18/04/1977;0000;33.8;;;68;2;
83395;19/04/1977;0000;33.2;;;76.25;4;
83395;20/04/1977;0000;30.3;;;87.75;2.666667;
83395;21/04/1977;0000;28.1;;;92;1;
83395;22/04/1977;0000;29.5;;;90.5;0.333333;
83395;23/04/1977;0000;26.6;;;91.5;1.333333;
83395;24/04/1977;0000;28.4;;;81.75;3.333333;
83395;25/04/1977;0000;27.6;;;81.25;2.666667;
83395;26/04/1977;0000;29.5;;;73.75;4.666667;
83395;27/04/1977;0000;28;;;75.5;5.333333;
83395;28/04/1977;0000;28;;;69.5;10;
83395;29/04/1977;0000;27.2;;;72.5;7.666667;
83395;30/04/1977;0000;26.4;;;78.75;8;
83395;01/05/1977;0000;28.4;;;69.25;5.666667;
83395;02/05/1977;0000;29.3;;;71.75;4.333333;
83395;03/05/1977;0000;29.8;;;69;4;
83395;04/05/1977;0000;30.1;;;69;6;
83395;05/05/1977;0000;29.4;;;67.75;8;
83395;06/05/1977;0000;29.8;;;66.5;5.666667;
83395;07/05/1977;0000;30.1;;;66.25;6.333333;
83395;08/05/1977;0000;31;;;66;5.666667;
83395;09/05/1977;0000;31.8;;;70.25;1.666667;
83395;10/05/1977;0000;30.4;;;64;4;
83395;11/05/1977;0000;30.1;;;63.5;4.666667;
83395;12/05/1977;0000;31.2;;;67.25;2;
83395;13/05/1977;0000;30.1;;;72.25;1;
83395;14/05/1977;0000;31.6;;;64.75;2.666667;
83395;15/05/1977;0000;31.6;;;62.5;2.666667;
83395;16/05/1977;0000;31.1;;;78;1.333333;
83395;17/05/1977;0000;25.8;;;85.5;2.666667;
83395;18/05/1977;0000;20.6;;;88.75;4.333333;
83395;19/05/1977;0000;25.1;;;70.75;7;
83395;20/05/1977;0000;26.7;;;68.75;3;
83395;21/05/1977;0000;27.2;;;78;2.333333;
83395;22/05/1977;0000;28.2;;;70.25;1;
83395;23/05/1977;0000;28.7;;;67.75;4;
83395;24/05/1977;0000;27;;;70;5;
83395;25/05/1977;0000;26.3;;;70.25;6.666667;
83395;26/05/1977;0000;27;;;71.5;6;
83395;27/05/1977;0000;27;;;75;6.333333;
83395;28/05/1977;0000;29;;;76.5;2.666667;
83395;29/05/1977;0000;30.3;;;75.25;4.333333;
83395;30/05/1977;0000;28.4;;;71;2.666667;
83395;31/05/1977;0000;29.4;;;69.25;6;
83395;01/06/1977;0000;28.4;;;73;6.666667;
83395;02/06/1977;0000;27.4;;;75;4;
83395;03/06/1977;0000;27.4;;;73.25;6.666667;
83395;04/06/1977;0000;27.2;;;69;5.333333;
83395;05/06/1977;0000;30.1;;;72.5;2.666667;
83395;06/06/1977;0000;30.2;;;78.5;2.333333;
83395;07/06/1977;0000;32;;;71.25;1.333333;
83395;08/06/1977;0000;31.6;;;68;1.666667;
83395;09/06/1977;0000;29.8;;;70.5;6;
83395;10/06/1977;0000;27;;;72.5;2.333333;
83395;11/06/1977;0000;30.6;;;68.5;3.666667;
83395;12/06/1977;0000;28;;;75.5;7;
83395;13/06/1977;0000;26.1;;;75.25;5.666667;
83395;14/06/1977;0000;28.8;;;68.5;2.666667;
83395;15/06/1977;0000;28.7;;;62.25;5.333333;
83395;16/06/1977;0000;27.8;;;60.75;4;
83395;17/06/1977;0000;28.2;;;70.5;4.333333;
83395;18/06/1977;0000;28.7;;;70.75;5.333333;
83395;19/06/1977;0000;27;;;72;5.666667;
83395;20/06/1977;0000;28.6;;;70.5;4.666667;
83395;21/06/1977;0000;27.8;;;71.5;4.666667;
83395;22/06/1977;0000;28.4;;;77.5;2.666667;
83395;23/06/1977;0000;29.8;;;74.5;3.333333;
83395;24/06/1977;0000;27.4;;;70.5;4.666667;
83395;25/06/1977;0000;29.6;;;72.25;5;
83395;26/06/1977;0000;28.6;;;66.5;3.666667;
83395;27/06/1977;0000;27;;;70.5;7;
83395;28/06/1977;0000;26.2;;;70.25;8;
83395;29/06/1977;0000;26;;;76;10;
83395;30/06/1977;0000;26.2;;;74.25;8;
83395;01/08/1977;0000;33.6;;24.88;46;2.666667;
83395;01/08/1977;1200;;13.5;;;;
83395;02/08/1977;0000;33.4;;23.68;53.5;3.333333;
83395;02/08/1977;1200;;14;;;;
83395;03/08/1977;0000;28.6;;22.5;53.75;6.666667;
83395;03/08/1977;1200;;16.2;;;;
83395;04/08/1977;0000;29.7;;22.66;56.5;5.666667;
83395;04/08/1977;1200;;15.6;;;;
83395;05/08/1977;0000;29.9;;23.84;60;4;
83395;05/08/1977;1200;;18.6;;;;
