--------------------
BDMEP - INMET
--------------------
Estação           : CANAVIEIRAS - BA (OMM: 83398)
Latitude  (graus) : -15.66
Longitude (graus) : -38.95
Altitude  (metros): 3.87
Estação Operante
Inicio de operação: 01/01/1930
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83398;01/01/1977;0000;29.6;;25.54;81.5;2.666667;
83398;01/01/1977;1200;;21.1;;;;
83398;02/01/1977;0000;30;;25.52;79;1.333333;
83398;02/01/1977;1200;;22.2;;;;
83398;03/01/1977;0000;30;;26.12;73;2.666667;
83398;03/01/1977;1200;;20;;;;
83398;04/01/1977;0000;29.9;;26.28;71.25;2.666667;
83398;04/01/1977;1200;;21.3;;;;
83398;05/01/1977;0000;28.7;;24.84;90;1.666667;
83398;05/01/1977;1200;;22.3;;;;
83398;06/01/1977;0000;29.6;;26;77;4.333333;
83398;06/01/1977;1200;;21.4;;;;
83398;07/01/1977;0000;29.7;;26.68;68;4.333333;
83398;07/01/1977;1200;;22.9;;;;
83398;08/01/1977;0000;29.2;;25.18;83.25;3;
83398;08/01/1977;1200;;21.5;;;;
83398;09/01/1977;0000;29.2;;25.9;81.25;3.333333;
83398;09/01/1977;1200;;21.6;;;;
83398;10/01/1977;0000;29;;24.76;81;5.333333;
83398;10/01/1977;1200;;21.8;;;;
83398;11/01/1977;0000;29;;25.52;75.25;4;
83398;11/01/1977;1200;;21;;;;
83398;12/01/1977;0000;29.2;;24.62;83.75;0.666667;
83398;12/01/1977;1200;;21.2;;;;
83398;13/01/1977;0000;29.6;;26.02;78.75;2.333333;
83398;13/01/1977;1200;;22;;;;
83398;14/01/1977;0000;29.9;;26.54;75.25;3.333333;
83398;14/01/1977;1200;;22.2;;;;
83398;15/01/1977;0000;29.5;;26.1;76.25;3;
83398;15/01/1977;1200;;21.7;;;;
83398;16/01/1977;0000;29.3;;26.02;73;3.333333;
83398;16/01/1977;1200;;20.2;;;;
83398;17/01/1977;0000;29.7;;26.3;80.25;3.333333;
83398;17/01/1977;1200;;20.8;;;;
83398;18/01/1977;0000;29.6;;26.86;85.25;5;
83398;18/01/1977;1200;;24.2;;;;
83398;19/01/1977;0000;30.1;;26.96;84;6;
83398;19/01/1977;1200;;23;;;;
83398;20/01/1977;0000;29.9;;26.26;82.5;6.333333;
83398;20/01/1977;1200;;23;;;;
83398;21/01/1977;0000;30.2;;25.84;85.5;6.333333;
83398;21/01/1977;1200;;22.2;;;;
83398;22/01/1977;0000;28;;25;90.75;4.333333;
83398;22/01/1977;1200;;21.6;;;;
83398;23/01/1977;0000;30.3;;25.74;87;5;
83398;23/01/1977;1200;;21.4;;;;
83398;24/01/1977;0000;28.7;;24.68;92;1.666667;
83398;24/01/1977;1200;;21.6;;;;
83398;25/01/1977;0000;29.3;;25.76;84;2.666667;
83398;25/01/1977;1200;;21.5;;;;
83398;26/01/1977;0000;29.6;;25.86;83.25;4.333333;
83398;26/01/1977;1200;;21.4;;;;
83398;27/01/1977;0000;29.6;;26.3;82;6.666667;
83398;27/01/1977;1200;;22.5;;;;
83398;28/01/1977;0000;29.3;;26.5;82.75;6;
83398;28/01/1977;1200;;23.4;;;;
83398;29/01/1977;0000;28.9;;25.94;83.5;5.666667;
83398;29/01/1977;1200;;24.4;;;;
83398;30/01/1977;0000;29.4;;26.04;83;5.333333;
83398;30/01/1977;1200;;22.8;;;;
83398;31/01/1977;0000;29.5;;25.86;83.75;3.666667;
83398;31/01/1977;1200;;22.6;;;;
83398;01/02/1977;0000;28.1;;24.14;88.25;1;
83398;01/02/1977;1200;;21.2;;;;
83398;02/02/1977;0000;28.7;;25.3;83.5;0;
83398;02/02/1977;1200;;21.2;;;;
83398;03/02/1977;0000;29.3;;26;78.25;4;
83398;03/02/1977;1200;;22.2;;;;
83398;04/02/1977;0000;29.2;;25.64;79.25;2;
83398;04/02/1977;1200;;21.6;;;;
83398;05/02/1977;0000;29;;25.28;83.75;1;
83398;05/02/1977;1200;;21.2;;;;
83398;06/02/1977;0000;29;;24.94;91;1;
83398;06/02/1977;1200;;22.6;;;;
83398;07/02/1977;0000;29.5;;25.86;76.75;2.666667;
83398;07/02/1977;1200;;21.6;;;;
83398;08/02/1977;0000;29.3;;25.74;79.5;1.333333;
83398;08/02/1977;1200;;21.2;;;;
83398;09/02/1977;0000;29.5;;26.14;74.5;4.333333;
83398;09/02/1977;1200;;20.2;;;;
83398;10/02/1977;0000;29.6;;26.68;79.75;4.666667;
83398;10/02/1977;1200;;22.2;;;;
83398;11/02/1977;0000;28.9;;25.36;85.75;1.666667;
83398;11/02/1977;1200;;21.6;;;;
83398;12/02/1977;0000;29.2;;25.72;81.75;2.333333;
